DOY2,HR2,USTAR,TA,WS,FC,H,LE,H2O,CO2,SW_IN,LW_IN,SW_OUT,RH,TS,PA
1,15.25,0.0421,-14.134275,0.4494,-0.926775,-10.586,1.070625,3.584147965225,406.65439726,18.96333274425,193.42916225,2.746208358125,39.0818340095,0.6,97.9195125
1,15.75,0.03715,-14.3596375,0.401125,-0.3277,-21.992625,2.73205,3.6110321208,409.74275054,13.7254165725,188.9483351925,1.4271250045,38.7984171095,0.595125,97.9433125
1,16.25,0.0364,-14.4208625,0.40925,-0.1118,-39.069325,4.2134,3.5365286982,409.14736358,7.62568339565,193.7016692575,0.72483333175,39.03966723225,0.6,97.9462875
1,16.75,0.04125,-14.5686,0.43925,-0.188675,-79.0331,-0.569525,3.4798583803,409.9038921325,3.339399974425,187.355835185,0.21774999425,41.49816665725,0.6,98.0197
1,17.25,0.0433,-14.7438625,0.344,-2.6755,-68.3066,-4.05425,3.5793225271,410.319767635,-0.786474999175,187.2849967,-0.4955000041,44.189333,0.6,98.0003
1,17.75,0.02375,-14.9197375,0.3414,-1.490575,-83.7553,-3.384175,3.5336426013,410.5917280025,-4.685233236925,178.518336685,-0.6830833275,50.4769990485,0.6,98.023
1,18.25,0.0261,-14.9377375,0.195125,-2.2144,-69.8524,-4.5915,3.55390712135,411.713887015,-4.641183248,181.15667,-0.7982500025,53.2356664815,0.6,98.021
1,18.75,0.04005,-15.2671125,0.1845,-1.29545,-63.72305,-3.20795,3.5309347492,414.454310735,-4.647708314925,179.657501815,-0.6462666598,52.83166617,0.6,98.0498
1,19.25,0.02125,-15.76065,0.131775,-1.4634,-69.708675,-5.40405,3.401540602875,416.8520934625,-4.6148082375,177.4250010575,-0.3686666554,52.91508312325,0.6,98.0662
1,19.75,0.03105,-16.13485,0.14585,-1.4509,-74.468075,-3.967675,3.40142228215,414.438005965,-4.70886667435,177.163335935,-0.3949999916,54.460666475,0.6,97.9569875
1,20.25,0.0244,-16.2912,0.092275,-1.344625,-61.0698,-2.1649,3.4018141807,414.7182179875,-4.626916512,174.12417255,-0.4012666706,54.38908296825,0.6,98.067225
1,20.75,0.03305,-16.3553,0.0948,-2.8447,-69.599,-2.54985,3.3678663155,415.305416295,-4.6473583745,171.1850033,-0.40110833025,53.4134992185,0.6,98.0227625
1,21.25,0.0391,-15.916225,0.0965,-1.442,-58.1834,-1.534,3.505652462,415.20402825,-4.614700097,170.9258385,-0.7624583638,53.6866671515,0.6,97.9939125
1,21.75,0.0475,-16.217175,0.19805,-1.5657,-94.114,-2.3758,3.4396959515,419.08265966,-4.6520333625,171.3600000075,-0.38675000645,52.7426661985,0.6,97.979075
1,22.25,0.042,-16.66235,0.14085,-1.707125,-81.57995,-1.9444,3.77273249175,419.467607575,-4.547175159425,169.4300007425,-0.491375003475,55.80866578,0.6,97.9520375
1,22.75,0.017,-17.702325,0.1,0.024125,-56.82345,-1.216625,3.469012732,418.694438625,-4.459074918,169.64499745,-0.288583332125,60.742666802,0.6,97.949375
1,23.25,0.0251,-18.5529625,0.09305,-3.5969,-61.74945,-3.8954,3.5031392719,418.76511632,-4.40901669565,170.521666685,-0.2234166665,60.251333798,0.6,97.99835
1,23.75,0.03385,-19.2900625,0.11415,-0.553625,-53.6655,-0.949975,3.535147152325,418.8438740925,-4.445191682,176.2899981925,-0.2212666633,62.06124975125,0.6,97.966925
2,0.25,0.0212,-18.6163460865,0.1805,-0.708775,-43.00675,-2.64195,3.509068761375,419.64977559,-4.739091640525,192.9058392475,-0.455066664725,52.613500251,0.465,97.6719
2,0.75,0.02975,-18.26544388175,0.187,-0.27515,-51.564675,-10.04675,3.69730373225,419.856951175,-4.8966999297,194.3900003,-0.465850002275,52.091999899,0.465,97.7135125
2,1.25,0.024325,-18.228666801,0.100925,-1.1016,-37.4777,-2.1098,3.646765993925,419.7206173025,-4.4452001233,195.32666364,-0.53898333525,53.1491662145,0.465,97.75205
2,1.75,0.0323,-18.18339375,0.114925,-0.1898,-51.89725,0.1036,3.5177092466,419.8780631,-4.5601332803,198.70333697,-0.66021666075,52.041666449,0.465,97.7631875
2,2.25,0.0282,-18.000838676,0.1502,-0.6936,-61.2349,-1.7259,3.6481596491,420.78746375,-4.6037333303,198.78666664,-0.539858322275,53.015332349,0.50275,97.8241
2,2.75,0.0431,-17.92986263175,0.099625,-0.15995,-51.38955,-0.4446,3.517735047875,420.6852416375,-4.6762667367,196.67000033,-0.593158326425,51.826666998,0.555,97.8264625
2,3.25,0.0365,-17.9336458385,0.159375,-1.6208,-42.785725,-3.6478,3.433223301625,420.786839205,-4.8645665567,198.88666867,-0.8140666741,53.98199980975,0.5575,97.8043125
2,3.75,0.038475,-18.034239325,0.161,-0.68625,-44.62,1.53325,3.43727783875,420.55323025,-4.704666757,197.89332997,-0.5475000085,53.7161663985,0.555,97.7200625
2,4.25,0.035,-17.96502291925,0.0997,-0.76135,-36.6279,-6.827,3.49963226165,420.2866162775,-4.6499999136,197.40667567,-0.542833344,54.6791671565,0.555,97.687775
2,4.75,0.02715,-17.5032571625,0.1091,-0.8666,-46.1146,-3.8614,3.4315998384,420.3081992,-4.5675668103,200.2866727,-0.3972583361,54.4116675,0.56,97.682775
2,5.25,0.0282,-17.123581126,0.1801,-0.8896,-98.903525,-3.0266,3.4364179054,420.92845912,-4.670933353,199.91,-0.44625833685,51.683333835,0.6,97.751
2,5.75,0.031325,-16.71670638175,0.1787,-0.441,-110.713675,-0.811575,3.4111192248,421.06052346,-4.7165000564,197.22333633,-0.6275999954,52.936000483,0.6,97.7303
