DOY2,HR2,LE,H,FC,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,PPFD_IN,SW_IN
1,0.25,5.41646451661043,-21.395994178607,0.506452445006316,-19.19616,-3.34853408453294,-11.81595,-5.45407597529056,-60.21061,-9.141461,-9.8169415,73.2598590034528,0.524424340931875,65.74843,0.9418252,13.78187,397.070624408031,2.8257784793859,-6.9627845,0.01424726,0.00168166666666667
1,0.75,6.12454068700099,-19.1104589753153,0.625475567507661,-19.134015,-3.31913558059322,-11.38938,-5.22001601289965,-60.19997,-9.226162,-9.8656355,72.7759233186586,0.523422081232738,65.72279,0.9471046,13.93151,396.787597422068,2.85970324667785,-6.921727,0.016052395,0.0018695
1,1.25,4.57307132714455,-20.2080186882626,0.457749966073656,-18.6958,-3.38591215118067,-11.19923,-5.05549161000438,-61.32256,-9.2415705,-9.754897,73.7168317176337,0.513021369600457,65.71118,0.9386792,13.75851,396.594188721648,2.87019698234974,-7.008685,0.014598265,0.00242766666666667
1,1.75,6.03409238962692,-18.289201452824,0.512775544504147,-18.3399,-3.6414355825785,-10.5178,-5.67549926465728,-56.81969,-9.18629,-9.725082,74.1202443285536,0.49124637066154,65.70657,0.9258202,13.71479,396.692285551326,2.89630021636892,-7.107413,0.01538803,0.0016235
1,2.25,4.82571916474919,-18.8472144515181,0.494126422445208,-17.88001,-3.49042863098677,-10.46604,-5.4788161285856,-58.73389,-9.259751,-9.805763,74.4490487494442,0.494751070937453,65.73326,0.9385213,13.88437,396.754322693578,2.88284943887354,-7.173805,0.016317035,0.00191433333333334
1,2.75,5.15552149706613,-19.3554854947192,0.720944420086205,-17.90527,-3.251205792401,-10.31353,-5.02949572766011,-59.14288,-9.427563,-9.792317,74.3238956858453,0.475038853913362,65.73534,0.928857,13.76647,396.823646341434,2.85514305066329,-7.224947,0.015998415,0.00205516666666667
1,3.25,5.48731645575056,-21.1646616352063,0.662455083361307,-17.2725,-3.25726113764527,-10.54079,-5.14701429556641,-60.88093,-9.328176,-9.781168,73.5421059229534,0.485655563705801,65.73956,0.9543249,13.84119,396.953085362093,2.85397955265859,-7.213064,0.015709565,0.0024305
1,3.75,5.62802065203507,-21.6834346202631,0.46803457975599,-16.96925,-3.33280915148368,-10.085615,-5.05433219285159,-59.32685,-9.459503,-9.64384,73.2323507608687,0.535260069752189,65.726155,0.960178,14.076495,396.958006206011,2.87291660076749,-7.24043,0.01523017,0.00308583333333333
1,4.25,5.26176758388073,-21.5533791241562,0.634598063745057,-16.98837,-3.19488018874726,-10.220355,-4.77207608248989,-63.91571,-9.668343,-9.731762,72.4231152733933,0.527885078389758,65.6969,0.9593336,14.22053,396.581537349186,2.88226804356608,-7.242824,0.014952115,0.00308633333333334
1,4.75,4.63312453668552,-22.4940697254462,0.385382563432245,-16.87672,-2.95058184185311,-10.0680655,-4.67868536773836,-61.93579,-9.543562,-9.778351,71.9063142012256,0.539840785914574,65.694095,0.9476577,14.04727,396.559795653507,2.84627885737576,-7.33145,0.013453555,0.003083
1,5.25,5.44617330852345,-22.0933552408411,0.524111230441241,-16.4756,-2.91581108346821,-9.90859,-4.29164749734235,-60.57822,-9.623416,-9.9473385,73.0582718919197,0.518722082101545,65.68503,0.947423,13.99682,396.743556142146,2.80567931548682,-7.363028,0.01299635,0.00280333333333333
1,5.75,5.18984056145337,-20.9476984845123,0.411659538860598,-16.59694,-2.71513912064925,-9.754416,-3.80157348513949,-63.54694,-9.809916,-10.01844,73.0586676310635,0.565036460428936,65.695115,0.9560491,13.64396,396.857647376071,2.80026548810208,-7.342988,0.01385276,0.00280283333333333
1,6.25,6.75306911458132,-19.8513650658151,0.522289694821283,-15.912195,-2.85910148613391,-9.94144,-3.93681046265444,-65.53542,-9.7571595,-10.06858,72.5750187816427,0.584734515565515,65.71845,0.9442136,13.579815,396.824887165283,2.79508125638389,-7.338002,0.015026195,0.0029895
1,6.75,4.28696158612429,-20.9248784318606,0.583529261091636,-16.438085,-2.83861764364759,-9.6424115,-4.24685716136179,-62.44635,-9.5938,-9.978457,72.2098623256571,0.567597583868888,65.73747,0.93531275,13.541525,396.95587727996,2.82668682297776,-7.407956,0.0735051,0.194149333333334
1,7.25,4.99130338781445,-18.8479448653051,0.49228733784545,-16.41421,-2.68928328493794,-9.62747,-4.03589893336668,-59.65815,-9.542747,-10.06028,72.1512885732325,0.565329143860537,65.75746,0.9064445,13.18752,397.099455254766,2.84597289013991,-7.406337,7.27886,8.4141985
1,7.75,6.81781788071645,-15.2117957011403,0.457243106166534,-13.93711,-2.58299122195671,-8.227234,-4.227752,-54.5554,-9.468297,-9.998613,72.0326416959103,0.534653442443547,65.76311,0.9412687,13.218615,397.349409600422,2.88450913786377,-7.4312955,62.019465,54.4159416666667
1,8.25,9.55827829628187,-9.87624813668087,0.696257406163543,-9.135576,-2.31245382933127,-5.3149395,-3.24249548869494,-32.672035,-9.344062,-9.7871485,71.2319220895622,0.572114607829385,65.78493,0.917366,13.04398,397.455132101395,2.90637281601763,-7.5750475,173.2934,129.241066666666
1,8.75,12.9118696616545,-2.50366984674749,0.853216270604794,-4.849247,-1.85519049743639,-3.224723,-1.534597,-0.81450055,-9.311027,-9.6067705,71.4661327810197,0.582609242965612,65.80916,0.92432035,12.9081,397.464042276981,2.90078926680215,-7.657635,332.93875,207.7100995
1,9.25,14.5315564602718,4.93137260124161,0.955867138706603,-1.939898,-0.834406774170966,-1.481464,-0.187445172010255,26.26376,-9.2856895,-9.659091,70.6691172409013,0.59974588152126,65.84935,0.91618245,13.22672,397.404138060314,2.92167749405488,-7.558078,492.1057,289.304666666666
1,9.75,20.0275509641694,12.5749132570868,1.12612835005311,2.027092,-0.62506543565781,0.4194298,1.24253680510269,56.90886,-9.053034,-9.387004,69.9571171217015,0.614962364310983,65.862445,0.9204477,12.87988,397.153006148441,2.88789994986929,-7.408797,602.1963,350.40615
1,10.25,21.0020180641401,21.518815860363,1.29022800529374,7.352332,0.2763895,3.696111,2.19940303374099,90.05728,-8.851826,-9.277568,69.6567557023084,0.645037080355603,65.88406,0.8970016,12.3446,397.547986790501,2.9648888784521,-7.350437,677.24585,395.6982
1,10.75,27.3446281537773,29.6417057864767,1.40403615882007,9.5111335,1.0784397213512,4.945614,3.24652774675945,117.8305,-8.86842,-9.273604,68.8159285698003,0.617061952610291,65.88224,0.9229708,12.455225,397.192689551283,3.00745517221162,-7.16944,757.60115,448.7864
1,11.25,26.7029989454688,31.2377371445482,1.52247667915237,11.92807,1.840428944451,6.644035,4.72232303177567,140.6249,-8.650955,-9.174018,68.7780027966843,0.625211829829856,65.86031,0.9026839,12.57083,396.995991650877,3.04059707672042,-6.875737,871.60755,492.49995
1,11.75,27.4410683253673,40.1504247141727,1.50826188315854,16.44763,2.13200030928471,9.768751,6.11865569809096,175.37115,-8.561442,-8.956861,68.8079992312813,0.663225672130758,65.82453,0.9106959,12.60947,397.169866290438,3.05562705141346,-6.6098175,915.75585,524.10765
1,12.25,28.1455985489261,44.9093490931374,1.86652611502613,20.460335,2.76592373031523,11.21737,6.48672375403114,185.2278,-8.467483,-8.772417,68.6041418972252,0.659574228988086,65.80524,0.9167367,12.91857,397.324228785653,3.04967266204687,-6.324986,977.55995,527.3302
1,12.75,29.6744469381062,47.8130403386135,1.53730766896302,19.91987,3.26386791871245,11.38501,6.00147064078399,196.9782,-8.537885,-8.958522,68.5559552589288,0.684487312627414,65.76511,0.92832565,12.97191,397.220105450796,3.11587594660392,-6.0920035,1000.2157,519.00605
