DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,0.25,0,-8.68378,-158.1872,0,-36.4525,-1.404625,45.1315,0.07806,89.7,0.0218008,-79.31759,0,-0.957725,0,-10.93375,-9.5335,-6.743375,-25.54475,-8.6506875,-11.2604875,398.6175
1,0.75,0,-7.522525,-153.709875,0,-36.21025,-1.431225,43.62575,0.0477625,89.7,0.00425439,-79.8111025,0,-0.96365,0,-11.28075,-9.60125,-6.78255,-25.247,-8.855375,-10.0436375,398.7725
1,1.25,0,-2.38802425,-164.728,0,-37.105,-1.422275,41.54875,0.0524,89.6575,0,-79.274985,0,-0.961225,0,-11.42875,-9.59,-6.79695,-26.3775,-8.9474,-10.4824375,398.345
1,1.75,0,-8.28849375,-170.960075,0,-36.23975,-1.407475,41.75775,0.0624525,89.6575,0.033376525,-82.3985525,0,-0.96715,0,-11.51675,-9.56125,-6.73765,-26.088,-9.00535,-9.7942,398.5725
1,2.25,0,-4.90679125,-153.104325,0,-36.231,-1.38285,43.03175,0.08509,89.6,0.0129882025,-82.3591,0,-0.969325,0,-11.6135,-9.5435,-6.80355,-26.605,-9.0360125,-10.5320875,398.49
1,2.75,0,-11.7969345,-148.711075,0,-37,-1.3961,42.0165,0.0565875,89.6,0,-79.7374,0,-0.9686,0,-11.72575,-9.579,-6.7111,-26.2575,-9.0647375,-11.0190375,398.9175
1,3.25,0,-3.66082525,-161.803875,0,-37.7825,-1.38125,43.488,0.0594375,89.6,0,-79.6312025,0,-0.96325,0,-11.7485,-9.508,-6.749425,-22.716,-9.0881875,-11.02465,398.65
1,3.75,0,-6.6065795,-167.481875,0,-37.4125,-1.386025,45.68575,0.065845,89.6,0.008115135,-78.1704,0,-0.970375,0,-11.7765,-9.436,-6.743475,-22.83,-9.113775,-11.08715,398.645
1,4.25,0,-5.6341025,-155.7294,0,-36.695,-1.396775,45.88325,0.055765,89.6,0,-76.1851,0,-0.965275,0,-11.8315,-9.378,-6.7821,-23.5845,-9.1441625,-10.2767,398.6725
1,4.75,0,-3.1960625,-160.85755,0,-37.366,-1.406325,44.398,0.04901,89.6,0.02150925,-77.1750225,0,-0.9713,0,-11.802,-9.33,-6.7438,-24.658,-9.1276,-10.2616,398.7725
1,5.25,0,-7.92193875,-156.85955,0,-38.16475,-1.4343,43.008,0.064865,89.6,0,-78.78426,0,-0.966275,0,-11.826,-9.278,-6.833,-25.581,-9.1736,-10.3319,398.075
1,5.75,0,-4.4956695,-154.031325,0,-37.545,-1.441975,42.432,0.07781,89.6,0.020272875,-79.0465,0,-0.973275,0,-11.886,-9.244,-6.7904,-28.2,-9.21,-11.2922,398.2
1,6.25,0,-3.53031225,-155.723625,0,-37.65,-1.429725,41.338,0.0502375,89.6,0.0044364075,-79.5831425,0,-0.973825,0,-11.93,-9.228,-6.6434,-28.14275,-9.2382,-11.4308,398.225
1,6.75,0,-11.16278275,-163.86955,0,-37.44,-1.432225,43.448,0.050445,89.6,0.0433345625,-78.97797,0,-0.979075,0,-11.96,-9.246,-6.7094,-28.238,-9.2612,-11.4264,398.27
