DOY2,HR2,CO2,CO2_SIGMA,FC,SC,CH4,FCH4,SCH4,H2O,H2O_SIGMA,G_1,G_2,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,LW_IN,LW_OUT,SW_IN,SW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,431.827,0.0967838829557897,0.937274,0.122651,2256.0925,9.1602925,-0.0421399,22.15685,5.90525198513281,2.245953,-2.037052,-11.68385,29.3444,102.10785,91.7072901375784,21.3185,0.256679043457122,21,0.430250026458607,393.06162982785,420.849065427807,-1.852,1.7135,-24.8854999999995,20.0675,19.735,20.235,21.115,22.3975,23.0525,23.345,-0.0010241065,0.704048836767824,0.232667,0.507845333693738,0.294585810812818,1.97325
1,0.75,430.82125,0.105633138304505,0.73435225,0.12045525,2265.35,10.2695,1.4410275,21.8137,5.86561298401433,1.6081125,-3.0442655,-12.63625,21.38325,102.0903,91.6638230496792,21.2,0.22643748637259,20.845,0.417706113336348,393.908733102567,420.056105678146,-1.4405,1.7005,-20.264,20.145,19.88,20.0075,20.8325,22.2325,22.8825,23.36,-0.00080780675,0.688592635202667,0.22437275,0.511320391376016,0.289884563877024,2.15275
1,1.25,432.3025,0.082993668828553,0.86737675,0.084672625,2209.36,8.0655525,1.763985,21.229425,5.60048538669476,1.06545875,-3.8708045,-11.7251,18.6709,102.0807,92.6952399227589,20.9495,0.218611203324914,20.7725,0.405750838869816,397.179078958363,419.860216839965,-1.1605,1.815,-18.0685,19.955,19.865,20.315,20.915,22.07,22.7075,23.32,-0.0022042175,0.665542778418163,0.233303,0.535133508631055,0.298871990765562,2.1125
1,1.75,431.84525,0.106855595463889,0.656644,0.076673975,2225.975,8.064255,2.638875,21.4523,6.57301300774614,0.6368747,-4.5704155,-11.871065,21.119825,102.0478,92.5102778351437,20.91425,0.24048496773009,20.63,0.39742685485363,397.034566964945,419.338331492565,-1.2325,1.664,-17.8815,20.075,19.98,20.2825,20.85,21.9225,22.5775,23.295,-0.00133565175,0.649403807397901,0.2282315,0.49707618606827,0.313496797800893,2.049
1,2.25,433.536,0.114776726616858,0.623836,0.2235435,2223.38,7.43595,1.7042375,21.8928,6.65141693710923,0.36207053,-5.129468,-8.64176,18.6041,102.0252,92.1947165145069,20.65675,0.221809484200314,20.7175,0.378670336056786,397.299337099786,419.531262167289,-1.2625,1.9105,-18.6099999999999,19.695,19.85,20.0025,20.7125,21.795,22.58,23.2475,-0.0012306525,0.5649519265988,0.21541925,0.465710702565349,0.28529675559797,2.23925
1,2.75,432.9535,0.13570327367149,1.1675325,0.13840525,2225.65,10.56511,2.866525,22.45275,6.34407570704242,0.083486,-5.4734865,-8.39873,25.0945,102.0004,93.2539555497927,20.612,0.231043271113369,20.8125,0.366146789548192,399.923707464658,419.817804815997,-1.1565,1.8145,-17.4684999999999,19.475,19.6775,20.0525,20.6875,21.69,22.4625,23.2075,-0.00078621375,0.610845246687052,0.2201905,0.442210094211283,0.28301230044556,2.15325
1,3.25,431.646,0.0978490163466143,0.925666,0.158629,2248.1375,7.0476675,1.3010525,21.789175,6.08110082325616,-0.33498685,-5.7296525,-6.8671525,16.9176,102.00505,92.2967119693419,20.8765,0.242452234916897,20.5325,0.354952325107094,400.079934327185,419.349780324243,-0.911,2.011,-16.78,19.47,19.71,20.015,20.62,21.675,22.4,23.295,-0.00207774,0.688239183305752,0.25159125,0.512394990097708,0.331888532502063,1.9735
1,3.75,429.5795,0.135948890762757,0.802678,0.05750695,2247.6125,9.235815,0.856949,19.882175,5.64818261814299,-0.359719355,-5.952625,-8.181485,20.772125,101.9946,92.070341014985,20.72375,0.23042277702089,20.4975,0.347879861679915,399.168849538726,418.772316232961,-1.1405,1.787,-16.8775000000001,19.635,19.45,19.885,20.68,21.59,22.34,23.275,-0.0019058225,0.746676785837477,0.23792575,0.512721384300013,0.331070877943623,2.299
1,4.25,431.7635,0.12657611080045,0.67917525,0.31759925,2259.28,11.3938,1.07666,20.2015,7.43981854617436,-0.82292,-6.171563,-8.85699,18.8577,102.00645,92.7430614114819,20.62825,0.222209009580737,20.43,0.34821474072876,399.192424117586,419.369473646626,-1.363,1.974,-13.827,19.75,19.56,19.985,20.565,21.525,22.2625,23.295,-0.001628745,0.712297916176532,0.26626425,0.546914777553856,0.362609257655948,2.308
1,4.75,433.608,0.142620124807125,1.32598,0.12255,2219.085,7.8993525,1.85173,20.034625,5.19132145028014,-0.94682705,-6.4592585,-8.9246175,20.45255,102.02495,92.9820787014506,20.64275,0.240659413192218,20.3775,0.340846751579073,396.173962713263,419.33162014884,-1.229,1.7975,-15.7295,19.75,19.72,19.81,20.5025,21.54,22.1925,23.24,-0.00443474,0.780416022574482,0.27193175,0.571127377717148,0.350230955537853,2.15025
