DOY2,HR2,FC,LE,H,CO2,H2O,USTAR,TA,RH,PA,VPD,WS,NETRAD,PPFD_IN,SW_IN,LW_IN,SW_OUT,LW_OUT
10,21.25,-0.03628415,-13.159773,-87.24058155,376.219309,2.7754295625,0.0487725856,1.334944,13.26353275,77.37944925,0.138883616,1.24992344,-126.335281,0,0,222.255863,0.04931901375,316.90243325
10,21.75,-0.05703655,-10.5284382,-87.488109125,376.2155975,2.7754897,0.072247163625,1.852732,13.5011655,77.36861575,0.134008541,1.21267598,-124.45190675,0,0,220.28544425,0.065580308,314.73285525
10,22.25,-0.05535685,-11.057658,-83.43854185,376.4248525,2.868127425,0.06140107125,1.5973725,13.78946975,77.377109,0.129565536,1.36871964,-123.9352575,0,0,221.28643775,0.063311068,314.08660975
10,22.75,-0.07783875,-10.718440475,-83.888500025,375.765626,2.875140515,0.0797636541,1.85578,13.91209,77.3737545,0.090585469,1.216097835,-121.85316275,0,0,219.12101575,0.046613095,315.518216
10,23.25,-0.0576295,-8.4646019575,-87.29604025,376.524049,2.831119175,0.06789559715,1.6678675,14.01058675,77.35438325,0.106423938,1.19028876,-122.497695,0,0,218.4832685,0.04515772075,313.89229025
10,23.75,-0.0404134,-11.7166159,-83.44100305,376.3597675,2.963812025,0.079260547,1.32276125,14.5127585,77.36433425,0.110586998,1.2525081075,-120.4927,0,0,218.461019,0.0466669705,313.032432
11,0.25,-0.09403035,-8.63094517,-88.1973775,378.11193625,2.2058000475,0.062197432625,-4.827058,16.472494,77.11351875,0.121484196,0.943638679,-117.16864825,0,0,187.887241,0.02989225,283.542863
11,0.75,-0.061602425,-9.491240075,-83.2748651,378.254083,2.23260874,0.05959591935,-5.310812,16.548269,77.08660475,0.1527382245,1.10365366,-117.07124225,0,0,187.461066,0,283.628491
11,1.25,-0.0700796,-7.21721436,-85.45406745,378.431098,2.3240705875,0.0642459818,-5.70654,17.555007,77.05997175,0.13448337075,1.24335246,-116.61743,0,0,185.804006,0.00313572742500001,282.263039
11,1.75,-0.064005775,-8.0219399875,-87.0305995,378.289357,2.19920612,0.06414357705,-5.95172525,18.336192,77.084655,0.1199669425,1.20805865,-116.53902675,0,0,184.977512,0.014728456,279.470284
11,2.25,-0.0830084,-7.422587005,-85.036915375,378.3574245,2.2200230275,0.0593029909,-6.529243,18.561432,77.07364425,0.167485437,1.388343105,-115.83971575,0,0,185.388667,0,279.631022
11,2.75,-0.052474375,-8.76666503,-87.3804244,378.37209725,2.1978221925,0.067628596875,-6.6490575,17.832026,77.07038825,0.13322487375,1.26120211,-116.2358035,0,0,184.681872,0.0012059658,278.206475
11,3.25,-0.0927128,-7.0141266,-86.019077125,378.2662305,2.0180040875,0.0701991353,-6.692925,17.610892,77.0686345,0.152467493,1.1122402425,-116.83452525,0,0,182.177802,0,277.115942
11,3.75,-0.060730625,-6.8576920225,-89.879759825,378.24188475,1.88114063,0.058674119525,-6.5954495,17.353134,77.0644335,0.1572172955,1.28450548,-114.829285,0,0,181.742372,0,275.739552
11,4.25,-0.0762717,-6.53185698,-86.27417075,378.1961335,2.2420184,0.0548622808,-7.3195175,16.179162,77.0567605,0.125747575,1.1814951175,-116.1510395,0,0,181.126555,0,275.431165
11,4.75,-0.101095,-6.7296777,-86.232990625,378.153808,2.0576636975,0.058291369625,-6.77626425,17.279494,77.0576825,0.12660357775,0.9506191425,-116.94293875,0,0,181.231006,0,274.825377
