DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,NETRAD,RH,SW_IN,SW_OUT,T_CANOPY,G,TS_1_4_1,VPD,WS,LW_IN,LW_OUT,PPFD_IN,PA
1,0.25,0.0289068,-0.8734159,-0.8619242625,-0.166746875,-46.36010895,-1.791857675,-4.5397015,-0.5131953,398.061546,0.454569125,-27.483263,-5.8800606,-5.39159435,-4.6447059,-81.58352125,55.952325,-0.2063148075,-1.7572625,-30.808398,-25.244037,-3.9870716,0.00539994825,0.23511371,150.09185,201.728175,0,96.91396985
1,0.75,0.033735075,-1.0648246,-0.9880866,-0.1628604625,-48.3878024875,-2.3533369,-3.569457075,-0.6694485,398.7030737,0.2570282,-27.2292495,-5.945677,-5.39770575,-4.718904625,-81.21548125,56.3010375,-0.24025963,-2.0533255,-30.794915,-25.33802,-4.0609219,0.00529895,0.270049825,148.95629,200.8628375,0,96.8295498
1,1.25,0.02913515,-0.913371625,-0.82603525,-0.1674344,-47.8366354,-2.130517,-4.0318028,-0.5806596,397.982541975,0.4282159375,-27.48111725,-6.0786266,-5.5137505,-4.84185965,-82.5951275,57.15119,-0.183002905,-1.75423875,-31.4122375,-25.546851,-4.13242915,0.00532699675,0.26295953,148.274085,198.5386875,0,96.8474425
1,1.75,0.03245165,-0.915485575,-0.8751194625,-0.20602985,-48.1344052,-1.850004225,-3.796449525,-0.55564945,398.199443175,0.35509225,-27.6048135,-6.2005166,-5.500893925,-4.865201975,-80.65486375,57.9970825,-0.13744620825,-1.7284655,-32.0011895,-25.850934,-4.153144175,0.00542248275,0.23111534,147.607675,198.7285,0,96.8413892
1,2.25,0.0257891,-0.896975625,-0.8615021,-0.1803582125,-41.66903275,-1.8568189,-3.630733375,-0.51445765,398.5797005,0.372313,-27.7237905,-6.3414004,-5.472069075,-4.850581425,-80.003665,58.615575,-0.11193655,-1.79411925,-32.559381,-26.105781,-4.2318078,0.0053891035,0.230051835,148.276335,198.966975,0,96.8134022
1,2.75,0.03407105,-0.982244,-0.9245361625,-0.2161318375,-45.44694495,-1.79085975,-4.06756735,-0.50333205,398.4183895,0.2978326,-27.61278025,-6.439217,-5.55395405,-4.89856235,-80.07105625,58.837685,-0.25485537,-1.872867,-32.8942365,-26.307307,-4.29222325,0.005244674,0.2461528125,148.223445,198.372425,0,96.8266527
1,3.25,0.03285085,-0.94544555,-0.8200263,-0.21135565,-48.133824675,-1.786881775,-3.9657135,-0.49785125,397.76590885,0.27876165,-27.6274915,-6.4763618,-5.700480325,-4.817771675,-79.47242625,59.9624725,-0.2094297625,-1.8467775,-33.1350555,-26.283786,-4.248153875,0.0052328915,0.240822845,148.20056,197.58055,0,96.78801505
1,3.75,0.029362325,-1.0519015,-0.98308375,-0.1484078,-45.4054049625,-1.745874,-4.3107769,-0.463291,397.87806,0.261644775,-27.711715,-6.4969278,-5.798393975,-4.8824332,-79.12016125,61.869915,-0.2408985875,-1.938313,-33.1475495,-26.406301,-4.24586435,0.00529656675,0.2284789,149.58498,196.6958125,0,96.78664465
1,4.25,0.031586,-1.00306,-0.988808725,-0.1244872,-43.90090955,-1.67190055,-4.024671425,-0.551709,397.7213864,0.3359520125,-27.815465,-6.4814824,-5.8423635,-4.93743825,-77.11069375,62.5041975,-0.1588641725,-1.71406175,-33.1855545,-26.648988,-4.29336845,0.005272013,0.249503045,150.21182,195.9466375,0,96.766224875
1,4.75,0.0267713,-0.9008457,-0.88520755,-0.1267921875,-40.6823292,-1.3603275,-3.24055835,-0.5551050375,397.60126625,0.31576525,-27.722725,-6.403717,-5.865698925,-5.0254389,-77.69579875,63.1607075,-0.240738445,-1.81809675,-33.0190865,-27.102726,-4.378768325,0.003978341,0.2414235775,150.42019,195.91335,0,96.72200425
1,5.25,0.0321646,-0.99811545,-1.0105261,-0.09376625,-48.5949175,-1.6015624,-4.815232,-0.4711342,398.68392275,0.2576891,-27.787482,-6.323358,-5.7918875,-5.077814025,-76.8235775,62.33478875,-0.2289092,-1.6789608,-33.459691,-27.606983,-4.451933175,0.00505643475,0.2416905775,150.308035,198.0048,0,96.65767575
1,5.75,0.02992345,-0.90026165,-0.9835586625,-0.1642455,-40.7797637,-1.79605165,-4.104508,-0.41021925,397.8776446,0.2479782,-28.205426,-6.28147,-5.79752915,-5.12426395,-76.281115,62.67776775,-0.221770935,-1.62321285,-33.312208,-27.833726,-4.50119645,0.005067098275,0.2283548325,150.17285,197.491075,0,96.6637987
1,6.25,0.0249847,-0.87761275,-0.90647075,-0.142033975,-39.5220392,-1.70711245,-3.72083365,-0.55360375,397.9396838,0.260036775,-27.901706,-6.3676958,-5.780010875,-5.193043675,-76.107205,62.900333,-0.2870134125,-1.909776975,-33.516256,-27.601084,-4.476060675,0.00364500335000001,0.27387496,150.37389,197.147525,0,96.68013305
1,6.75,0.027507,-1.17306195,-0.9751797,-0.16241935,-40.4488928,-1.900406,-4.2978007,-0.6397214375,398.7550557625,0.2410984,-27.62558,-6.400849,-5.7929913,-5.1945753,-77.41321625,62.9600975,-0.2818524425,-1.82685705,-33.8625275,-26.761521,-4.492358075,0.00376394912500001,0.243592075,150.72518,195.61545,0,96.65390425
