DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_OUT,VPD,RH,PA,TA,TS_1,TS_2,G_1,G_2,WS
1,0.25,0.1672682535,-10.427825,-1.5468,0.038675,0,0.12438,204.55,214.09,-16.933,0,0.16224,72.328,98.41475,-22.223,-0.352,-0.64439,-9.75925,-12.934,0.334575
1,0.75,0.1079827535,-12.3625,-1.5432,0.0367,0,0.06748325,207.34,213.085,-17.694,0,0.1614875,74.43575,98.42675,-22.22025,-0.3930675,-0.631935,-9.715125,-13.058,0.3279275
1,1.25,0.1269535635,-10.661,-1.1693,0.0317,0,0.077262,207.245,214.165,-15.7755,0,0.1661975,74.20625,98.43,-22.2535,-0.41245,-0.67978,-9.929275,-13.0775,0.3497975
1,1.75,0.157088016,-12.906,-1.19735,0.0396,0,0.09463075,205.31,214.5225,-13.568,0,0.1673425,74.23775,98.45125,-22.42575,-0.4253175,-0.6903425,-9.926125,-12.99475,0.337175
1,2.25,0.21665117075,-13.5545,-0.8074225,0.03575,0,0.1327875,205.075,212.7275,-12.98,0,0.1649875,73.9965,98.465,-22.9875,-0.406425,-0.677445,-9.937125,-12.919,0.3339575
1,2.75,0.151462353,-14.064,-2.6852,0.0423,0,0.135735,203.83,212.5775,-13.292,0,0.15689,74.95075,98.45525,-23.80675,-0.4077,-0.643445,-9.93675,-12.8325,0.334335
1,3.25,0.14807871975,-18.479,-1.9124,0.03635,0,0.0906555,205.1125,211.235,-12.28425,0,0.1618025,75.28875,98.47575,-23.41725,-0.400605,-0.6014725,-9.9509,-12.75825,0.31965
1,3.75,0.1425579865,-13.359,-1.27205,0.036175,0,0.1023975,203.5625,211.29,-12.63675,0,0.1620975,73.51525,98.48,-23.521,-0.4219125,-0.6527425,-9.955525,-12.66775,0.32738
1,4.25,0.220146146,-12.724,-0.965635,0.04275,0,0.13662,203.8675,215.4425,-12.6485,0,0.159115,71.7205,98.47125,-23.2365,-0.4354575,-0.6677475,-9.927825,-12.57625,0.34029
1,4.75,0.1467307025,-14.601,-0.901805,0.0426,0,0.14519,203.02,215.13,-12.1095,0,0.16551,73.10875,98.454,-23.048,-0.45361,-0.6831375,-9.869275,-12.50125,0.30459
1,5.25,0.167771937,-15.599,-1.236775,0.0379,0,0.08854875,203.795,216.025,-9.6759,0,0.1583075,72.53125,98.456,-22.64575,-0.445545,-0.6268975,-9.9688,-12.49025,0.32561
1,5.75,0.126210311,-7.7263,-0.7203325,0.0371,0,0.0867205,204.16,216.665,-9.1458,0,0.1615525,73.197,98.447,-22.69075,-0.45771,-0.6325325,-10.05975,-12.51125,0.32017
1,6.25,0.162542454,-12.3735,-1.4024,0.036325,0,0.18274,202.98,218.205,-10.223,0,0.1665775,71.036,98.42775,-22.057,-0.4426025,-0.6698725,-10.16025,-12.53625,0.34424
1,6.75,0.169373515,-11.899,-1.2621,0.0453,0,0.1766325,205.635,218.2475,-10.567,0,0.16158,73.36925,98.4005,-21.913,-0.37439,-0.69909,-10.2545,-12.6795,0.32953
1,7.25,0.136224244,-9.868775,-0.7513975,0.041675,0,0.1269875,204.315,219.1625,-12.26325,0,0.1631275,72.471,98.428,-22.22475,-0.365405,-0.647135,-10.36025,-12.709,0.32716
1,7.75,0.1567849895,-10.9675,-0.75221,0.0388,0,0.11567,203.5325,216.99,-12.313,0,0.1677775,74.44825,98.416,-21.80675,-0.38756,-0.640745,-10.4455,-12.719,0.31631
1,8.25,0.1412438045,-14.01,-1.6275,0.045425,0,0.1175575,204.2025,214.2825,-11.44975,0,0.174245,74.30425,98.38625,-21.993,-0.37324,-0.6202325,-10.53775,-12.7035,0.37549
1,8.75,0.118877105,-10.7185,-0.882655,0.0467,0,0.1298125,204.7975,217.3825,-11.2665,0.0010059025,0.1633475,72.278,98.3615,-21.711,-0.370725,-0.668025,-10.62,-12.68,0.34267
1,9.25,0.145253373,-12.35275,-0.98458,0.036,0,0.1801875,204.33,215.8975,-10.23415,0.02277825,0.1544,72.7705,98.36275,-21.701,-0.3625425,-0.65731,-10.70375,-12.727,0.33958
1,9.75,0.261193769,-22.5335,-1.19635,0.0353,0,0.48906,201.5,214.335,-10.853,0.33467,0.167535,72.26175,98.35725,-21.9965,-0.3773625,-0.6408275,-10.79375,-12.65325,0.34773
1,10.25,0.171503278,-19.743,-1.09465,0.0398,0.582215,1.296025,204.46,214.495,-10.6955,2.436,0.163815,72.3935,98.3415,-21.99825,-0.3754325,-0.65118,-10.889,-12.64975,0.3231
1,10.75,0.1931466325,-16.3785,-0.76404,0.0332,2.4433,2.576525,208.575,215.4175,-9.37115,7.525475,0.17557,73.462,98.3355,-21.82075,-0.3937475,-0.67975,-10.98425,-12.5775,0.30771
1,11.25,0.105890505,-10.795,-0.8647675,0.0371,5.8786,4.766075,208.7,216.1425,-5.447275,16.56675,0.18307,71.78375,98.29025,-20.42425,-0.39406,-0.6712825,-11.0765,-12.55925,0.3468625
1,11.75,0.160748779,-10.5161,-1.202,0.03745,10.787,7.943825,212.42,222.6425,-0.7535,27.45925,0.1940025,72.8555,98.255,-19.704,-0.4028725,-0.65467,-11.11925,-12.6425,0.3777575
1,12.25,0.15523719875,-11.933,-0.516555,0.05015,13.862,10.2565,218.895,224.4775,0.7389625,34.41025,0.206595,68.98575,98.26775,-19.03275,-0.38019,-0.6170075,-11.1645,-12.8945,0.3853825
1,12.75,0.131602833,-9.01225,-0.25908,0.05015,16.03775,12.026,219.0925,226.19,0.76393,38.7615,0.2343125,69.05775,98.2535,-17.95675,-0.340125,-0.6049625,-11.1785,-12.5995,0.3734275
