DOY2,HR2,FC,CO2,SC,H,LE,H2O,SH,SLE,G_1_1_1,G_2_1_1,WS,USTAR,PA_1_1_1,RH_1_1_1,VPD,TA_1_1_1,TA_1_1_2,TA_1_1_3,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,SW_IN,SW_OUT,LW_IN,LW_OUT,NEE
1,0.25,0.27356,419.18,0.0067275,0.01375,10.0973,2.379825,0.957625,0.486555,-2.9854355,-4.68066925,0.819728,0.20308,99.730715,71.8438275,2.7446,-12.7675,-1.75802195,-7.34888225,-2.1861755,-1.851375,-1.3501,-1.270262,-0.436638475,0.3236325,1.27626575,3.3158475,0.0396275525,1.212067,237.199925,251.599,0.28375
1,0.75,0.268335,419.2775,0.0972825,-0.0509,5.140925,2.461525,-0.26269,0.0339275,-2.99824625,-4.85013125,0.8743775,0.1821925,99.7018575,71.5003725,2.29545,-12.7825,-2.462360275,-8.07925,-2.15425,-1.854925,-1.35895,-1.2580835,-0.4295062,0.3272725,1.31805,3.34069825,-0.022920045,0.9439926,237.0964,249.596475,0.25383
1,1.25,0.180535,422.805,0.1204475,-0.085925,7.1295575,2.212775,-0.1631275,-0.01415,-2.95964,-4.883074,0.788356,0.1901325,98.90823,72.115915,1.99805,-12.53,-1.909219,-9.237075,-2.1346645,-1.8248535,-1.3601895,-1.258382,-0.41979,0.331925,1.3248405,3.3526,-0.01391685,0.979641025,237.15085,244.72885,0.15126
1,1.75,0.1970025,427.5475,0.05668,-0.549125,9.292065,2.2877,0.0299675,0.0780575,-2.918541,-4.70052575,0.9786385,0.1597275,98.8488175,71.6632725,1.9038825,-13.6925,-2.387815,-11.53925,-2.10623125,-1.8335885,-1.35405,-1.24221525,-0.42485,0.3412825,1.326225,3.35220925,0.147144575,1.28166475,239.15105,247.818175,0.227165
1,2.25,0.2310625,433.9825,0.214495,0.369175,12.4465525,2.2869,0.031575,0.0283125,-3.079703,-4.9079845,0.674119,0.1706325,98.854315,71.80666,1.7721975,-14.03367,-2.137482,-12.65075,-2.2018,-1.875808,-1.3968,-1.26783225,-0.47582,0.32725,1.3142,3.344735,0.148276,0.91963525,239.8396,240.147,0.35193
1,2.75,0.3063825,433.64,0.071325,2.235575,0.53383,1.2018,0.2407975,0.047,-3.0482,-4.910307,0.58555,0.1310675,98.86996,72.0826,0.400725,-14.9938875,-2.184576,-13.13175,-2.2121,-1.877553,-1.397,-1.31649925,-0.47467,0.33695,1.297,3.3367,0.0450507,0.9365117,238.568,238.0561,0.2831725
1,3.25,0.23436,428.5275,0.036425,0.819675,7.9767175,2.1747,0.3935575,0.048425,-2.926175,-4.910012,0.91444575,0.1526575,98.8042575,72.44379,1.6389775,-15.6378275,-0.567936,-13.278,-2.1799,-1.8407,-1.3758,-1.2869245,-0.466965,0.33706,1.3035,3.3389985,0.1684988,0.8773306,237.4002,239.40415,0.2805
1,3.75,0.24487,429.6475,0.0437,0.770825,5.985375,2.10265,0.2088525,0.08419,-2.8784405,-4.889583,1.050778,0.1325375,98.5781,72.757005,1.762635,-16.21323,-1.8141245,-13.581,-2.1701805,-1.832575,-1.380075,-1.29840875,-0.4659491,0.3334375,1.3311,3.371492,0.103206415,0.97947755,237.011875,239.97375,0.3023825
1,4.25,0.2523625,429.36,0.013505,0.140725,6.09829,2.33555,0.2767025,0.116335,-2.8979,-4.8452,0.9929625,0.1486775,98.5653775,73.01875,1.8713125,-15.749075,-2.86777515,-13.916,-2.157,-1.8179,-1.3763,-1.193245,-0.46156,0.34394,1.3389,3.4065,0.12371269925,1.21236975,237.6281,240.8868,0.26411
1,4.75,0.31564,433.025,0.0927575,0.3057,5.249325,2.4646,0.10489,0.0967475,-2.8859225,-4.8898,0.967595,0.10852,98.557985,72.73297,1.8545875,-15.530015,-3.3997794,-12.49441025,-2.1930435,-1.8595,-1.38935,-1.20694325,-0.45577,0.33216,1.3698365,3.41485,-0.01579431,1.0680946,237.86435,240.8278,0.3516025
