DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,TS_6,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU
1,0.25,413.263118,7.002363,2198.7863825,0.8723845,12.083367,-36.76519675,-3.808673,0.440014,0.060989,0.222221,0.052224,101.90175,85.7,3.236,0.37511,8.859154,0.2030125,5.649667,5.895333,5.024,5.36,6.717667,11.206,-39.186142,0,0,-2.971014,0.538462,291.025621,323.677196,-0.04962425
1,0.75,414.58712375,7.07281825,2174.43783425,0.17261175,14.653165,-30.34386,-4.01487,0.468628,0.056076,0.1976,0.053074,101.87175,85.8,2.895,0.349291,8.827277,0.201281,5.635,5.858,5.024,5.36,6.717,11.2,-37.403317,0,0,-2.826087,0.538462,290.371469,321.52626,-0.050792
1,1.25,413.5993585,6.915454,2188.003785,0.6316505,1.669292,-39.141858,-4.31448775,0.46129,0.061352,0.207245,0.053628,101.85025,86.815,2.6906,0.327048,8.768536,0.1957025,5.621667,5.835333,5.05,5.36,6.721,11.2,-36.092474,0,0,-2.753623,0.538462,289.772,321.388911,-0.049758
1,1.75,411.576477,6.807957,2215.0248335,0.850369,8.5501405,-39.77835175,-6.917266,0.470653,0.06419,0.210412,0.054622,101.86,87.082,2.687,0.319544,8.19173,0.187334,5.623667,5.8,5.05,5.36,6.719,11.206,-35.724911,0,0,-2.681159,0.461538,292.956309,321.147618,-0.0553475
1,2.25,410.597563,6.798764,2240.831403,0.69103475,13.525758,-38.9577705,-3.61901425,0.415919,0.054065,0.202315,0.053404,101.87575,87.2,2.359,0.297203,7.945127,0.180742,5.63,5.774667,5.05,5.36,6.729,11.2,-32.191216,0,0,-2.536232,0.461538,292.248091,320.896251,-0.062214
1,2.75,411.461686,6.80926925,2224.94995225,0.3373795,9.0066775,-30.9967115,-1.667672,0.446797,0.056246,0.208018,0.055926,101.878,88.1,2.25,0.297933,7.455473,0.1786585,5.632667,5.774667,5.05,5.36,6.74,11.2,-28.763725,0,0,-2.753623,0.461538,292.923712,320.050451,-0.0438995
1,3.25,411.26624975,6.77488225,2170.5760665,0.642579,2.22516325,-41.91777925,-1.74778275,0.43518,0.05533,0.205402,0.053612,101.89075,89,2.11,0.285267,7.170415,0.1724985,5.637333,5.749333,5.05,5.36,6.748667,11.206,-27.504778,0,0,-2.681159,0.384615,293.601861,319.52404,-0.04703725
1,3.75,411.188435,6.5757375,2185.17161425,0.66499,3.6287115,-39.6062875,-4.175378,0.439429,0.058992,0.206349,0.055407,101.89725,88.4,1.993,0.274711,6.985385,0.1753255,5.607667,5.743333,5.05,5.334,6.755,11.2,-25.19271,0,0,-2.536232,0.384615,294.07415,318.717845,-0.044512
1,4.25,411.132421,6.790284,2198.7031195,0.6216895,15.039491,-43.97862275,-2.8773435,0.423097,0.053106,0.210173,0.056182,101.87625,88.7,1.901,0.25952,6.577757,0.168322,5.594333,5.751333,5.076,5.334,6.759667,11.2,-24.334835,0,0,-2.536232,0.384615,295.915293,318.59334,-0.05761
1,4.75,410.035356,7.113457,2224.79673925,1.0000275,17.87396125,-43.546659,-5.376502,0.461895,0.058516,0.211214,0.055781,101.87325,88.6,1.824,0.246199,6.548379,0.17014875,5.595667,5.773667,5.087667,5.334,6.760333,11.2,-24.841092,0,0,-2.608696,0.307692,294.328745,317.380168,-0.05369475
1,5.25,412.6198895,6.600805,2244.1695975,0.719929,4.57743175,-29.752139,-4.0092215,0.438321,0.059032,0.204817,0.059704,101.884,89.8,1.539,0.237402,6.327439,0.15665,5.618,5.775,5.102,5.334,6.765,11.206,-24.433736,0,0,-2.536232,0.384615,294.933876,316.915877,-0.065614
1,5.75,410.688852,6.5141415,2231.993925,0.56689,-8.1906215,-29.32838175,-2.883188,0.420793,0.056362,0.209819,0.056592,101.90325,89.5,1.4424,0.226348,6.137395,0.1523215,5.610667,5.752667,5.102,5.334,6.767,11.2,-22.43375,0,0,-2.391304,0.307692,295.540393,316.777175,-0.05534475
1,6.25,413.17893425,6.57526075,2229.838124,0.813773,8.52397,-30.07036825,-3.17505675,0.449623,0.059074,0.207893,0.064064,101.90975,89.1,1.32,0.23481,6.023353,0.161197,5.621667,5.734667,5.102,5.334,6.766667,11.2,-22.323527,0,0,-2.608696,0.307692,295.496485,316.711926,-0.06248
