DOY2,HR2,T_CANOPY,CO2,CO2_SIGMA,FC,H2O,H2O_SIGMA,G,H,LE,PA,RH,T_SONIC,T_SONIC_SIGMA,TA,VPD,LW_IN,LW_OUT,NETRAD,PPFD_IN,SW_IN,SW_OUT,TS,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS
1,0.25,-18.013315,389.62225,19.74587297,0.036175,0.6822375,0.8260111965,-9.7253355,-12.2785,-1.4965,97.92498,43.804425,-15.24275,0.10796155,-16.446,1.8383,207.840375,246.04755,-44.68692,0.0003662035,-2.43164,-0.0113172335,-2.950489125,-0.0929,0.385467804,0.10441425,0.3245057635,0.12469149225,2.402668
1,0.75,-18.254295,389.812,19.74669593,0.0563,0.662796,0.814388918,-10.89359,-12.29,-1.22405,97.9138025,43.13755,-15.126,0.103331781,-16.04725,1.9171,209.33665,243.0296,-44.590395,0.0004103275,-2.336813,0.0312160475,-2.914150125,-0.1025625,0.408602844,0.1025855,0.329651243,0.1234428875,2.30925
1,1.25,-18.2312125,390.16675,19.7580743,0.0562,0.64705125,0.8046549745,-8.92156675,-12.872,-1.568,97.9025325,43.61025,-15.71925,0.1012848145,-16.23525,1.92105,208.458675,243.117825,-44.5240675,0.00033620475,-2.366171,0.034331035,-2.898750875,-0.09455475,0.40366245725,0.10828775,0.3336961635,0.108419914,1.959541
1,1.75,-18.0420275,389.91975,19.7523606175,0.0241,0.581787,0.762971821,-10.7704725,-15.091,-0.311775,97.89149,44.75185,-15.678,0.098164786,-16.2965,1.7691,208.984,245.03985,-43.3494875,0.00043326625,-2.2330105,0.06659308,-2.92691,-0.098017,0.3970319455,0.10325425,0.3358800725,0.1122226795,1.934314
1,2.25,-17.87984,390.07625,19.7598266675,0.00349975,0.53484525,0.73143100275,-10.26427,-18.3285,-1.14128,97.8852075,44.391575,-15.577,0.098183502,-16.19025,1.8712,212.906725,242.733,-44.86988,0.00041915175,-2.189333,0.0319576675,-2.9543125,-0.0977,0.389277536,0.114567,0.352657057,0.12909725,2.192354
1,2.75,-18.6677125,389.66,19.74228963,0.104515,0.506249,0.71169107025,-10.2780175,-16.45425,-1.0014,97.873585,43.41875,-15.385,0.089213116,-15.98875,1.944875,205.988225,241.98585,-46.2976575,0.000395322,-2.344105,0.0185211075,-2.96447525,-0.108471,0.39503291,0.113815,0.349127484,0.136984671,2.261842
1,3.25,-19.276025,389.9065,19.7519619,0.0483,0.513574,0.716824944,-9.7246375,-17.9435,0.0057441,97.87957,44.26525,-15.586,0.099985873,-16.0455,1.7608,205.948225,240.83275,-45.6014375,0.000388263,-2.438398,0.0439615925,-2.945762625,-0.105631,0.4371039875,0.1307915,0.341121544,0.145227528,2.494219
1,3.75,-19.1919825,390.4075,19.758732235,0.014029,0.5053205,0.7108447445,-11.489925,-17.0295,-0.06830165,97.8665775,44.00205,-15.608,0.096540147,-16.1675,1.7635,204.628925,240.666175,-45.5534025,0.000402386,-2.618898,0.0268015375,-2.936211125,-0.095441,0.430354505,0.118566,0.345098537,0.151597493,2.34713075
1,4.25,-19.4171375,390.09975,19.7569290975,0.076177,0.51432875,0.71732461225,-10.4189525,-17.92375,-0.014556825,97.8457875,44.2462,-15.696,0.102469508,-16.33425,1.800075,208.18775,239.8445,-43.9498775,0.0003741485,-2.32589175,0.0152203225,-2.90528775,-0.106407,0.443240341,0.120187,0.322958202,0.136381817,2.377377
1,4.75,-19.721985,390.12575,19.754467785,0.044175,0.4635825,0.6810123835,-9.363384,-18.1055,-0.80303,97.8248275,43.965025,-15.86575,0.0928332215,-16.75625,1.84034605,205.955225,238.638775,-43.462405,0.000427091,-2.294123,0.03614806,-2.882501625,-0.092676,0.426959276,0.1105225,0.341537219,0.124118752,2.24738
1,5.25,-19.65303,390.15125,19.7563783525,0.03895,0.42904,0.655151891,-10.445145,-17.396,0.381085,97.8001175,45.665925,-15.72175,0.084939326,-16.54975,1.88595,208.1575,240.018425,-40.5206275,0.0003723805,-2.260459,0.03689923,-2.89325475,-0.09756075,0.40400312825,0.11464075,0.34853583,0.12399286875,2.03359675
1,5.75,-19.302205,390.237,19.76036437,0.0338,0.388469,0.623393936,-10.7921,-16.7085,-0.42775,97.8058275,43.64195,-15.981,0.088751113,-16.89075,1.6191,210.047675,240.287025,-42.7970275,0.000462388,-2.23156225,0.0348688275,-2.85503,-0.099412,0.406691529,0.115269,0.32557334,0.126491106,2.1291885
1,6.25,-18.9351125,390.395,19.75841593,-0.0152,0.3573895,0.59782647525,-10.74498,-20.34025,-1.9568,97.816415,45.91445,-15.94,0.088881944,-17.1285,1.6433337,209.324775,240.787425,-43.5589925,0.000405911,-2.155796,0.04980587,-2.822932875,-0.105284,0.39227159,0.0986,0.327447706,0.108440306,2.32724075
1,6.75,-19.1489675,390.322,19.75656853,-0.018464,0.40933575,0.6397252735,-11.4936,-16.1215,-2.449575,97.849585,47.46615,-15.832,0.099146356,-16.947,1.7224265,211.22915,240.298075,-41.9228125,0.000331792,-2.282843,0.0289922875,-2.83292425,-0.098415,0.368236337,0.098108,0.305661741,0.09679876,2.057011
1,7.25,-19.4024325,390.56525,19.762723715,-0.02602575,0.414808,0.6438338125,-11.287755,-17.68725,-1.2867,97.86925,45.458225,-16.28275,0.09984244825,-17.12275,1.7129,208.727425,238.946825,-43.327415,0.005403945,-2.256,0.08227349,-2.84274975,-0.105797,0.41059647925,0.10426725,0.31746869625,0.11365117075,2.022205
1,7.75,-18.78997,390.68225,19.7659176225,0.047388,0.3790475,0.6157830645,-11.62083,-15.35375,-1.035075,97.89655,46.444975,-16.3735,0.09367164125,-17.307,1.861875,212.6678,238.786175,-42.1173275,1.5215345,-0.4552541,0.650252825,-2.819018625,-0.10476975,0.427001919,0.10785825,0.34390993725,0.1205437825,2.175158
1,8.25,-18.181075,390.717,19.78754659,0.0206,0.4082455,0.639067696,-14.1236575,-14.86775,-1.0546,97.8846075,45.28185,-16.96325,0.10053133275,-16.993,1.7988,217.038525,239.099025,-26.835975,20.17487,8.45565975,6.8075615,-2.83954325,-0.09417775,0.39773857825,0.1045535,0.3189720335,0.116619038,2.11737025
1,8.75,-18.040795,391.70725,19.7983389075,-0.11548525,0.520165,0.7202747185,-13.6021825,-13.5165,0.44265,97.87445,46.4517,-16.153,0.102956301,-17.3795,1.8663,213.4441,240.689625,-4.54235925,64.120895,29.6935025,20.64686,-2.861994875,-0.111232,0.440964851,0.122796,0.320345126,0.130766968,2.12685775
1,9.25,-17.011925,391.0185,19.786390325,-0.190444,0.641044,0.7998835205,-9.04970575,-8.6909,1.2595,97.85748,44.530525,-16.312,0.095655632,-16.84825,1.8791,220.13315,248.274775,5.74323175,130.3522,60.2052425,38.3648975,-2.881371,-0.127994,0.472006356,0.131483,0.36900271,0.154596248,2.5688835
1,9.75,-15.652115,391.22025,19.779591715,-0.2895915,0.854175,0.9234950365,-8.494874,-10.467,1.53899,97.8474875,46.260075,-15.826,0.108759367,-16.05625,1.9234,218.62525,252.3647,14.8494975,203.214275,89.25905,60.82539,-2.911970875,-0.139713,0.451724474,0.147992,0.390726247,0.171172428,2.8341245
1,10.25,-14.6446975,390.81725,19.7701789475,-0.42234675,0.502126,0.70869968775,-7.9338215,-2.871375,3.1208,97.83618,44.80295,-14.95375,0.1160805265,-15.53175,1.7414,217.5258,256.518125,21.1095575,282.5692,125.70915,79.8080675,-2.9946165,-0.1319465,0.51215754,0.15189375,0.427081553,0.178255063,2.8841365
1,10.75,-14.0326825,390.459,19.7641527675,-0.39160175,0.5602395,0.748402425,-6.3487595,2.2859,4.5304,97.852935,42.20435,-14.29075,0.1193586525,-14.541,1.782,218.1133,258.378325,27.84839,326.012675,152.187725,104.26585,-2.9635245,-0.132157,0.55113450125,0.1647255,0.4672887095,0.18738729725,3.12582375
1,11.25,-14.25199,390.911,19.77146934,-0.53184825,0.552598,0.743574475,-6.454527,-0.2012,4.8236,97.83587,40.793525,-13.72375,0.114079623,-14.35925,1.96055,215.24815,258.801875,31.50281,388.1281,179.5261,107.94695,-2.99190275,-0.16094425,0.53486149675,0.1693715,0.449747506,0.19457691025,3.289341
1,11.75,-14.0787575,390.483,19.7615528375,-0.63798725,0.41505,0.644377219,-6.2160845,5.22645,5.2189,97.839955,41.81345,-13.384,0.131528915,-14.015,2.104475,210.56735,260.555175,37.618835,414.629,192.5532,111.9924,-2.9959039375,-0.1619055,0.5514264615,0.166827,0.46139126,0.1774743435,3.411912
1,12.25,-14.128315,390.1155,19.75672036,-0.560206,0.5071585,0.711967969,-5.601428,4.6659,4.174125,97.81935,42.518875,-12.99125,0.13360032425,-13.7745,2.14325,210.4773,261.9244,39.76802,453.70205,201.0956,132.52685,-2.866824625,-0.162001,0.5138512435,0.16569075,0.4713615905,0.191956981,3.301186
1,12.75,-13.6768025,389.968,19.7483289,-0.561393,0.5508975,0.7417132575,-5.183771,3.7118,4.4409,97.793965,40.263375,-12.798,0.130384048,-13.627,2.1612346,212.21485,264.18925,39.59407,451.58565,204.1691,122.17555,-2.8545120625,-0.181248,0.567667156,0.158955,0.463855581,0.196468827,3.375382
1,13.25,-14.03824,389.8475,19.744556195,-0.618948,0.55631775,0.74598808125,-4.8606985,2.8762,5.5111,97.7956825,41.581025,-12.991,0.122474487,-13.875,2.1841,212.28795,264.26175,35.91002,417.87095,186.0914,112.233,-2.81350025,-0.191563,0.589497243,0.171657,0.474510274,0.192353841,3.467178
1,13.75,-13.9625125,389.786,19.74431564,-0.448275,0.592585,0.7698529865,-4.65369075,2.256995,5.2648,97.788,42.3839,-12.9395,0.124599237,-13.71925,2.1779,209.28255,264.00735,32.94092,397.2131,178.377,112.72255,-2.8025380625,-0.173285,0.60074395325,0.1817455,0.5118049065,0.20264948275,3.503001
1,14.25,-14.35568,389.72375,19.74360655,-0.5827485,0.5872155,0.7662305385,-4.9270325,-2.4155,4.426,97.766395,41.8308,-12.716,0.11959452125,-13.667,2.3607,209.184525,262.107275,25.5881,349.4705,160.40535,98.0703425,-2.812198875,-0.16152725,0.6020494675,0.16984525,0.484608418,0.202111008,3.347592
1,14.75,-14.686615,389.843,19.74517663,-0.294768,0.7419685,0.860809003,-4.9023945,-2.351,4.293,97.784255,43.15965,-12.382,0.107412755,-13.57425,2.335,210.570825,261.90415,17.0620075,274.4206,133.867775,78.445005,-2.7914461875,-0.172454,0.613495721,0.177983,0.506544174,0.204947798,3.693452
1,15.25,-14.9911975,389.578,19.74135254,-0.198481,0.704393,0.839577275,-4.867764,-6.7616,3.3896,97.7818225,42.43575,-12.286,0.08694826,-13.358,2.252,209.58135,259.7377,7.4190085,220.521925,99.312075,62.697925,-2.7190135625,-0.162124,0.597524895,0.178694,0.472720848,0.203498649,3.62371075
1,15.75,-15.296055,389.403,19.73679305,-0.142118,0.661805,0.813783141,-5.0397315,-9.8999,2.8222,97.832115,42.09175,-12.504,0.089162773,-13.33475,2.242525,211.58875,256.29875,-2.0924745,141.4941,67.80403,39.9624,-2.7008819375,-0.139955,0.55173635,0.156725,0.440977324,0.178605711,3.43728925
1,16.25,-15.54866,389.56375,19.738059675,-0.05823425,0.591755,0.769483593,-4.99918825,-13.158,3.3719,97.86039,41.088525,-12.693,0.091104336,-13.8325,2.396225,212.6447,253.86605,-21.73596,80.9904,37.4662625,22.91491,-2.658955,-0.132175,0.526588074,0.137089,0.431607461,0.167630546,3.0550215
