DOY2,HR2,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_3,H2O_1_1_3,CO2_1_2_3,H2O_1_2_3,CO2_1_3_3,H2O_1_3_3,CO2_1_4_3,H2O_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,NETRAD
1,5.25,0.323531235036668,-3.73423197331267,0.621572923222823,423.442142274548,1.03361170981277,417.173480892742,1.19614618272129,417.450992194154,1.2617191041156,418.363827445513,1.21181083108381,419.62651092787,1.14256112748015,8.60447798914389,-17.4486661721463,0.298737953594553,5.95,6.29,-16.139925,-18.5925,-16.44865,-18.64045,102.48021,83.715,0.270875,-15.34,-15.68,-10.56,1.9,-0.575,3.3,-0.045,230.65,238.55,252.1,260.25,0.105,0.59,0.78,-0.04,0,-0.1,0.09,-0.21,-7.9105,-7.5445,-6.836,-5.882,-5.1935,-4.3915,-3.3885,-3.2235,-7.8655,-7.1735,-4.371,-3.564,-2.546,-2.036,-5.6,-5.485,-6.517,-6.318,-3.246,-3.2865,-2.539,-2.208,-2.1615,-9.6565,-9.568,-8.0525,-7.6335,-6.7255,-5.9515,-4.6485,-4.486,-10.531,-9.545,-8.7045,-7.658,-7.2585,-5.533,-4.327,-3.742,-3.68225,-1.6315,-0.935
1,5.75,0.322046308727173,-1.17647232769235,0.627963341775751,423.341707107605,1.02273948736541,417.809011453129,1.28561429410709,417.473110250037,1.2046881175699,417.917317403309,1.16872141071306,419.634666709877,1.07449621392945,8.99011061111448,-17.6941259594351,0.339441051780611,5.9675,5.73,-16.8815,-18.6355,-17.045375,-18.59535,102.49714,83.75,0.26585,-14.9375,-15.575,-10.62,1.9,-0.52,3.3,-0.045,233.35,238.75,251.85,260.25,0.1025,0.59,0.7875,-0.04,0,-0.1,0.09,-0.21,-7.914,-7.543,-6.84,-5.8855,-5.1965,-4.3955,-3.3915,-3.227,-7.8695,-7.164,-4.3745,-3.568,-2.549,-2.036,-5.6055,-5.4895,-6.518,-6.3225,-3.252,-3.2905,-2.5415,-2.21,-2.1625,-9.664,-9.571,-8.058,-7.6335,-6.727,-5.9545,-4.6505,-4.488,-10.551,-9.545,-8.7115,-7.656,-7.26,-5.536,-4.3305,-3.743,-3.75,-1.58325,-0.95
1,6.25,0.313615070966279,-0.0800717662004042,0.680220953328027,423.640365563486,1.01362029187778,417.44962384124,1.31762730015918,417.482267160186,1.29105665051203,417.934653237179,1.2968763621988,419.645816476531,1.40745442535078,8.76603200689945,-17.6756416583415,0.334097356798157,5.735,6.03,-16.99345,-18.4205,-17.0802,-18.41185,102.486175,83.77,0.2643,-14.4425,-15.74,-10.69,1.9,-0.545,3.2,0,233.9,239.35,251.75,260.2,0.105,0.59,0.78,-0.04,0,-0.1,0.09,-0.21,-7.917,-7.5415,-6.8445,-5.8885,-5.2005,-4.4,-3.3955,-3.2295,-7.86,-7.155,-4.379,-3.571,-2.552,-2.036,-5.611,-5.4935,-6.52,-6.328,-3.257,-3.2945,-2.5445,-2.2125,-2.1635,-9.6695,-9.575,-8.0625,-7.634,-6.7285,-5.958,-4.6525,-4.49,-10.545,-9.519,-8.712,-7.655,-7.2625,-5.539,-4.3335,-3.745,-3.798,-1.636,-1.06
1,6.75,0.310420690528199,-2.17592686289372,0.762123215953067,423.088057527897,0.951406742913214,417.343127645699,1.33976882098154,417.634150496454,1.3767980752418,418.580766279648,1.38697716651562,419.655852102232,1.42310358886919,8.54154574142919,-17.7099144922052,0.358142040978271,5.71,6.06,-17.11785,-18.6385,-17.0251,-18.37955,102.48275,83.795,0.26445,-14.81,-15.72,-10.72,1.85,-0.54,3.2,-0.06,233.7,238.95,251.2,260.15,0.1,0.59,0.78,-0.04,0,-0.1,0.09,-0.21,-7.915,-7.546,-6.8485,-5.8915,-5.204,-4.4045,-3.3985,-3.2325,-7.851,-7.1455,-4.3835,-3.575,-2.556,-2.036,-5.6175,-5.4985,-6.522,-6.335,-3.261,-3.299,-2.5475,-2.215,-2.1645,-9.686,-9.578,-8.066,-7.634,-6.73,-5.9615,-4.6545,-4.4915,-10.5245,-9.5065,-8.7125,-7.655,-7.2645,-5.5415,-4.336,-3.746,-3.7845,-1.648,-0.81
1,7.25,0.312187827055342,-1.88676455008298,0.709137418507281,422.883223468705,1.01704029747962,417.388522279339,1.35045073058222,417.363961847561,1.27478462684725,417.254722226115,1.34728900637847,419.637914203344,1.63147152811667,8.72973458522696,-17.5355420036736,0.397458713519,5.78,5.23,-17.217975,-18.892,-17.1013,-18.32335,102.49308,83.8725,0.256575,-15.3325,-15.605,-10.725,2,-0.555,3.4,-0.005,232.35,236.95,250.95,260.15,0.1,0.59,0.77,-0.04,0,-0.1,0.09,-0.21,-7.9135,-7.551,-6.8525,-5.896,-5.2075,-4.408,-3.402,-3.235,-7.844,-7.1375,-4.387,-3.579,-2.559,-2.037,-5.6235,-5.5025,-6.524,-6.3405,-3.266,-3.303,-2.551,-2.217,-2.189,-9.6855,-9.581,-8.066,-7.6345,-6.7315,-5.965,-4.657,-4.493,-10.5065,-9.497,-8.713,-7.654,-7.2675,-5.544,-4.3395,-3.748,-3.552,-1.53775,-1.055
1,7.75,0.313785090561735,-5.03679706795203,0.698584775907476,422.771016582071,0.993611625328083,419.420725638978,1.15623480434927,418.893420076923,1.08988528243549,417.97369657565,1.04355860839826,419.652475849379,0.980840702569768,9.16562315418069,-17.3489562140026,0.332260089373357,6.0575,6.125,-17.08105,-18.963,-16.9795,-18.25835,102.5345625,83.795,0.256225,-15.2875,-15.47,-10.72,1.9,-0.54,3.3,-0.0375,231.45,236.45,251,259.95,0.11,0.59,0.7775,-0.04,0,-0.1,0.09,-0.21,-7.912,-7.556,-6.857,-5.899,-5.2115,-4.4125,-3.405,-3.238,-7.8525,-7.129,-4.391,-3.582,-2.563,-2.037,-5.631,-5.5065,-6.527,-6.3465,-3.272,-3.307,-2.5535,-2.2195,-2.19,-9.675,-9.584,-8.066,-7.635,-6.7325,-5.969,-4.659,-4.495,-10.528,-9.4885,-8.7125,-7.653,-7.27,-5.547,-4.3425,-3.7495,-3.26925,-1.518,-1.03
1,8.25,0.358287608971563,-5.11152665668013,0.742832274975913,422.777998013439,0.995532285715726,417.772689948882,1.24820373000637,417.232544313846,1.27113583378653,418.826321969201,1.23855598045471,419.573224213498,1.21013447225632,9.46154603801061,-17.0950593875495,0.357884801366931,6.2425,6.3275,-16.8467,-19.056,-16.10255,-15.8912,102.53474,83.8425,0.2594,-15.695,-15.845,-10.73,2,-0.555,3.35,-0.065,230.4,236.8,251.3,259.85,0.11,0.59,0.7875,-0.04,0,-0.1,0.09,-0.21,-7.9115,-7.561,-6.86,-5.9025,-5.2145,-4.4165,-3.409,-3.241,-7.873,-7.133,-4.3955,-3.586,-2.63125,-2.038,-5.6375,-5.5115,-6.5295,-6.3545,-3.277,-3.311,-2.5565,-2.2215,-2.191,-9.6705,-9.581,-8.0655,-7.635,-6.734,-5.972,-4.6615,-4.4975,-10.552,-9.4985,-8.7095,-7.652,-7.2725,-5.5495,-4.3455,-3.751,-3.861,-1.5535,-1.1725
1,8.75,0.316910458261117,-4.78439778923657,0.671863555762046,422.857632615207,0.958147217733534,417.107424883077,1.31336125889619,417.140579174342,1.34095192633778,418.622514487506,1.31928275239779,419.3899380625,1.13178703389623,9.35406027208463,-17.2406639343643,0.307862017506691,6.4925,6.195,-16.6498,-19.109,-16.5136,-17.246875,102.549415,83.7,0.2606,-15.695,-16.02,-10.775,1.9,-0.51,3.3,-0.065,231.35,236.65,251.35,259.75,0.115,0.58,0.78,-0.04,0.0025,-0.1,0.09,-0.21,-7.911,-7.566,-6.8625,-5.906,-5.30025,-4.4205,-3.412,-3.2435,-7.894,-7.1365,-4.3995,-3.589,-2.6345,-2.038,-5.644,-5.5165,-6.5325,-6.36,-3.282,-3.3145,-2.5595,-2.224,-2.1695,-9.667,-9.578,-8.0645,-7.636,-6.735,-5.9755,-4.6635,-4.499,-10.578,-9.504,-8.706,-7.652,-7.2755,-5.552,-4.3485,-3.7525,-3.842,-1.644,-0.99
1,9.25,0.324367676882418,-1.95194778510624,0.663621424095405,423.212940524292,0.976219226356821,417.23474963141,1.36773022586001,417.411788254081,1.3568975876821,417.285374076826,1.42334847131497,419.559171216732,1.45319330696905,9.21479778408021,-16.9538647777704,0.348360628078415,6.585,6.46,-16.828075,-19.15275,-16.0703,-17.9135,102.5380025,83.6325,0.267175,-15.745,-15.995,-10.795,1.9,-0.5,3.2,-0.0575,231.5,236.95,251.075,259.8,0.11,0.59,0.79,-0.04,0,-0.1,0.09,-0.21,-7.91175,-7.601,-6.889,-5.926,-5.315,-4.43575,-3.42175,-3.27075,-7.936,-7.17075,-4.45575,-3.593,-2.63675,-2.038,-5.71375,-5.59575,-6.55325,-6.44375,-3.305,-3.33175,-2.5845,-2.2435,-2.17625,-9.67925,-9.57875,-8.067,-7.6405,-6.74925,-6.0055,-4.6755,-4.502,-10.6215,-9.525,-8.69475,-7.66075,-7.2855,-5.5745,-4.38425,-3.772,-3.817,-1.591,-1.17
1,9.75,0.321582807316836,-1.32377394802376,0.717987903556008,422.861865774003,1.05907332910089,417.261517797428,1.28469786871397,416.804164326923,1.31266204328477,417.54371351122,1.37212187609657,419.483934000701,1.04233537272434,9.12656548343743,-17.0237784077014,0.330864459537656,6.6725,6.23,-16.104,-19.3285,-15.768625,-18.2019,102.5509325,83.7025,0.2651,-15.775,-16.0275,-10.7725,1.9,-0.5,3.3,-0.0475,231.55,236.1,251.325,259.4,0.105,0.59,0.775,-0.04,0,-0.1,0.09,-0.21,-7.91175,-7.6035,-6.89,-5.92925,-5.3185,-4.44025,-3.425,-3.27375,-7.96325,-7.1755,-4.45975,-3.596,-2.576,-2.039,-5.7165,-5.598,-6.5545,-6.4475,-3.30975,-3.33575,-2.5875,-2.24625,-2.1775,-9.68575,-9.5765,-8.06825,-7.642,-6.7505,-6.00675,-4.6775,-4.504,-10.62125,-9.52975,-8.67775,-7.6605,-7.28175,-5.5775,-4.38725,-3.77375,-3.4895,-1.559,-1.2
