DOY2,HR2,FC_1_1_1,CO2_1_1_1,CO2_SIGMA_1_1_1,SC_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,H_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,TA_1_1_1,VPD_1_1_1,RH_1_1_1,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD_1_1_1,SW_IN_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_DIF_1_1_1,FC_1_2_1,CO2_1_2_1,CO2_SIGMA_1_2_1,LE_1_2_1,H2O_1_2_1,H2O_SIGMA_1_2_1,H_1_2_1,T_SONIC_1_2_1,T_SONIC_SIGMA_1_2_1,WS_1_2_1,USTAR_1_2_1,W_SIGMA_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,TA_1_2_1,VPD_1_2_1,RH_1_2_1
1,0.25,1.674,420.01602,2.0973025,0.12552075,3.463,10.62826,0.1811215,-4.79125,14.418,0.3837315,2.7755,0.273,0.325573,0.674166,0.5774905,9.535,2.9175,93.5,99.9,10.617,10.818,11.08,11.5,12.072,-7.203,-16.547,0,0,0,0,0,335.46625,349.3425,0,0.9763225,447.106307,8.018687,1.8187,10.592638,0.180263,0.191635,12.5,0.357351,0.4805625,0.0601095,0.078106,0.25512075,0.25514075,7.7,1.37405,94
1,0.75,2.0045,419.629344,2.537618,1.2553995,3.597,10.478627,0.21048925,-4.4865,14.377,0.415933,2.7915,0.2685,0.328634,0.685196,0.5928745,9.3775,2.89,93.5,99.9,10.59075,10.775,11.0635,11.477,12.07625,-6.665,-18.417,0,0,0,0,0,335.26675,349.1095,0,1.157475,449.359822,7.49491,1.4917,10.557257,0.199729,0.31579,12.479,0.3508945,0.4769925,0.060555,0.08161275,0.261967,0.2514645,7.645,1.3442,94.1
1,1.25,1.854,419.35698925,2.110485,1.120559,3.7275,10.33814325,0.18313125,-5.492,14.2355,0.398748,2.781,0.2665,0.319374,0.6568865,0.5856595,9.39,2.9525,93.8,99.9,10.54,10.747,11.047,11.453,12.075,-6.535,-19.3205,0,0,0,0,0,336.373,349.0185,0,1.0223,448.938132,7.7113555,1.2096,10.5265325,0.20305025,0.0847785,12.36475,0.36371925,0.4962875,0.06082475,0.0805165,0.25912575,0.255926,7.75,1.29265,94.3
1,1.75,1.631,419.004132,2.260262,1.08546525,3.90325,10.296986,0.173918,-4.466,14.037,0.403733,2.795,0.263,0.325576,0.662571,0.583952,9.39,2.9,94.075,99.9,10.455,10.7,11.025,11.4315,12.0775,-6.892,-18.201,0,0,0,0,0,336.161,348.889,0,1.252975,444.79399,7.6470625,1.438,10.4047085,0.185315,0.268735,12.42025,0.35215,0.48139,0.0588855,0.08240125,0.26180625,0.2571185,7.73,1.245525,94.3
1,2.25,1.848,417.9376725,2.36355775,1.149819,3.616,10.0913485,0.174983,-5.57925,13.922,0.4037305,2.722,0.261,0.311448,0.676757,0.562139,9.2925,2.9175,94,99.9,10.408,10.6715,10.9765,11.419,12.0765,-6.492,-17.554,0,0,0,0,0,335.00525,348.6,0,0.8937375,449.75666125,7.383197,1.380625,10.256193,0.205056,0.59979,12.288,0.353355,0.48956,0.06175,0.082101,0.268276,0.2667,7.68,1.2344,94.4
1,2.75,1.81775,419.123261,2.4525175,1.25493075,4.195,10.244662,0.1736835,-6.1345,13.83925,0.422491,2.759,0.267,0.317805,0.69173625,0.57074425,9.21,2.86,94.25,99.9,10.3725,10.66,10.9525,11.41,12.073,-6.6875,-16.79825,0,0,0,0,0,337.806,348.02275,0,1.04625,448.9850165,7.8835095,1.096,9.999857,0.2073595,0.3237475,12.238,0.3558995,0.4663375,0.062052,0.07912175,0.26631675,0.262452,7.65,1.1665,94.4
1,3.25,1.998,419.61003075,2.453577,1.008361,4.896,9.91288325,0.1888545,-5.363,13.89025,0.427785,2.761,0.264,0.334664,0.68775,0.577062,9.21,2.88,94.9375,99.9,10.3295,10.5815,10.94175,11.4025,12.06625,-6.677,-15.539,0,0,0,0,0,337.668,347.822,0,1.1896,446.150552,7.402087,2.110775,10.212074,0.206057,0.454415,12.114,0.349957,0.4935375,0.061032,0.0804525,0.26622575,0.2582235,7.56,1.168175,94.4
1,3.75,1.98325,419.7721995,2.237246,0.5966875,5.62,10.1150075,0.172525,-5.60325,13.905,0.437035,2.72625,0.27225,0.32249,0.70302825,0.5766235,9.0775,2.9875,94.775,99.9,10.282,10.55425,10.9095,11.39875,12.061,-6.86775,-14.245,0,0,0,0,0,337.422,347.68325,0,1.06915,447.173526,7.448744,1.6557,10.22508925,0.213191,0.443175,12.0305,0.347692,0.488905,0.0631875,0.0802465,0.263644,0.2545405,7.543,1.22995,94.5
1,4.25,2.06425,422.23566025,2.2846385,0.170118,4.81425,10.04410025,0.19014825,-5.489,13.7205,0.422491,2.72925,0.258,0.311448,0.6473005,0.55834475,8.8725,2.995,94.6,99.9,10.273,10.527,10.89975,11.385,12.058,-6.62875,-13.759,0,0,0,0,0,336.09725,347.069,0,1.08695,447.083772,6.8843105,1.787,9.983639,0.232467,0.30429,12.195,0.3579655,0.47811,0.060315,0.081367,0.256657,0.258343,7.45,1.2284,94.6
1,4.75,1.8055,418.800086,2.00419275,0.58633675,3.768,9.844943,0.1524135,-5.253,13.914,0.4107915,2.782,0.26375,0.319374,0.684836,0.5731445,8.905,3.0025,94.7,99.9,10.24375,10.497,10.90125,11.374,12.06475,-6.81025,-15.131,0,0,0,0,0,334.373,347.54275,0,1.0049325,446.032803,7.0991795,2.0718,10.130075,0.209853,0.419005,12.042,0.327384,0.484965,0.06334275,0.0803375,0.26914425,0.27010575,7.495,1.2458,94.6
