DOY2,HR2,USTAR,TA,WS,FC_1_1_1,H,LE,G,TS,RH,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O
1,0.25,0.18975,9.6165,2.06875,-0.042,-11.8,2.13,-27,10.167,70.548,90.9,386,6.8525,-58.8,-1.336,2.4295,287.5,345,8.16
1,0.75,0.19275,9.195,2.09,-0.016,-11.1,1.72,-27.7405,9.925,73.4655,90.9,386,6.57,-58.35,-1.325,2.37,290.5,345,8.31
1,1.25,0.19575,9.065,2.0845,-0.034,-8.584,2.02,-28.6,9.622,70.80525,90.9,386,6.285,-54.85,-1.231,2.42875,290,345,8.11
1,1.75,0.18975,8.765,2.05975,-0.0275,-9.4995,1.925,-28.65,9.32,69.2345,90.9,386,6.13,-54.308,-1.33,2.4,286.5,342.9035,8.0635
1,2.25,0.195,8.815,2.07,-0.032,-8.717,2.115,-28.9,9.094,71.9575,90.9,386,6.245,-54,-1.275,2.53,286.5,342.6415,8.025
1,2.75,0.2,8.57,2.07725,-0.0055,-8.369,1.8635,-29.4,9.0285,73.594,90.8385,386,5.99,-54.3,-1.113,2.3955,286,342,8.055
1,3.25,0.193,8.355,2.0815,-0.0405,-11.95,2.297,-29.9,8.768,75.9905,90.873,386,5.87,-54.206,-1.1425,2.42,286,341,8.1475
1,3.75,0.19475,8.185,2.03675,-0.031,-9.785,1.647,-29.75,8.53,76.54675,90.8795,386,5.9,-49.1,-1.105,2.42,286,340,8.0625
1,4.25,0.187,7.935,2.046,-0.0265,-8.94,1.98,-29.85,8.3505,74.4475,90.8825,386,5.675,-51.3,-1.08,2.417,284.3725,338,7.96275
1,4.75,0.18,7.704,2.0375,-0.02275,-8.866,2.01525,-30,8.151,76.2775,90.897,387,5.83,-53.95,-1.0645,2.495,283,335.5,7.94825
1,5.25,0.185,7.93,2.00225,-0.001,-7.41,2.09,-30.05,7.895,76.55,90.892,386,5.79,-52.95,-1.1225,2.4405,283,336.623,8.12
1,5.75,0.181,7.71,2.02,-0.03275,-9.394,1.823,-29.7,7.705,75.5855,90.9,386,5.685,-52.2,-1.08,2.405,284,336,8.17775
1,6.25,0.193,7.665,2.04,-0.002,-8.108,2.115,-29.8055,7.555,75.6685,90.9,386,5.615,-53.928,-1.055,2.41,283,336,8.13
1,6.75,0.181,6.915,1.9975,-0.02,-7.63,1.86,-29.95,7.28,78.44875,90.9,386,5.43,-54.45,-1.075,2.509,280.5,335,8.18
1,7.25,0.183,7.15,1.97,-0.025,-8.43,1.53,-30.2095,7.061,79.838,90.9,386,5.06,-49.7,1.8015,2.89875,279,333,8.18
1,7.75,0.18525,7.335,1.9375,-0.077,-7.37,2.332,-30.1,6.985,81.9415,90.9,386,5.46,-28.65,35.468,10.8,278,335,8.091
1,8.25,0.176,9.685,1.52,-0.186,9.22,7.13,-29.3,7.105,72.66,90.9,386,7.32,33.2,131,28.7,280.5,342.5,8.18
1,8.75,0.1705,12.4,1.1905,-0.22025,35.575,14.21025,-25.45,7.5315,64.8675,90.9,388,9.7975,110,229.5,38.7,285.5,356.169,7.99575
1,9.25,0.202,13.7,1.34,-0.3435,62.025,23.06475,-18.1,8.52,57.1015,90.9,389,11.425,190.643,330,49.8,291,369.207,7.8125
1,9.75,0.2445,14.7,1.6505,-0.3855,88.018,30.75,-4.927,9.59,51.24475,90.9,389,12.3025,257.5,423,63.4,294,384,7.904
1,10.25,0.258,15.53,1.64,-0.334,117.6375,34.45,11.913,10.95,46.56275,90.9,389.5,13.64,316,508.5,80.1,297.5,398.5,7.8355
1,10.75,0.259,16.319,1.815,-0.297,135.5,38.0865,30.45,13.1255,43.655,90.9,389.5,14.64,361.5,580.4505,95.45,302.5,412.5,7.78
1,11.25,0.2835,17.2,1.913,-0.26,157,44.8,47.8,15.15,42.625,90.9,389,15.69,394,634.5,107,302,425,7.83
1,11.75,0.302,18.2,1.9995,-0.2765,177.7995,41.638,60.45,16.65,39.896,90.8325,389,16.96,411.5,670.5,116,306,438,7.656
1,12.25,0.335,19.034,2.25,-0.18,180,43.303,71.65,18.15,36.354,90.8,389,17.96,421.3245,694.5,123,308,445.3055,7.672
1,12.75,0.362,19.748,2.4,-0.134,186.75,45.3975,80.156,19.5,34.085,90.7,389,18.82,418,701.5,127,310.5,454.5,7.645
1,13.25,0.3675,20.15,2.68,-0.08525,185.5,42.39825,85.95,20.7,32.566,90.7,389,18.95,404.7575,687.5,126.5,311,458,7.36025
1,13.75,0.3915,20.474,2.71,-0.113,184,41.325,90.25,21.65,31.244,90.6,389,20.09,378,657.5,123,315.54,460,7.2425
1,14.25,0.4145,20.95,3.1015,-0.0395,171.75,38.4,89.8,22.2,30.37325,90.6,389,20.965,336.5,610.5,115,315.5,459,7.34925
1,14.75,0.44,21.3,3.22,-0.021,152.25,34.725,84.8,22.344,30.73925,90.6,389,20.9925,292.5,549,104.5,315.8055,454,7.505
1,15.25,0.4425,21.2,3.185,-0.02375,129.063,31.679,75.9805,22.05,30.43175,90.6,388,21.39,234.5,469.5,89.75,318.5,447.1355,7.35125
1,15.75,0.4465,21.086,3.279,-0.019,98.1,26.263,65.05,21.416,30.4245,90.6,388,21.1525,167.5,377.5,73.05,318,437,7.52
1,16.25,0.4295,20.746,3.11,-0.03,68.382,21.25,53.9,20.8645,31.8075,90.6,388,20.845,92.6,276,55.6955,315.5,426.432,7.6425
1,16.75,0.4115,20.0995,2.868,-0.041,33.686,17.136,42.25,19.95,33.528,90.6,389,19.6,18.25,170,38.9,313.1365,412.1585,7.75
1,17.25,0.3325,18.95,2.34,0.008,1.5875,8.655,29.1725,18.65,36.21375,90.6,388,18.0525,-42.3,68.55,21.5,308.5,399.0925,7.735
1,17.75,0.237,17.1,1.835,0.09,-2.8725,5.08,16.45,17.4565,41.159,90.655,388,15.54,-77.454,6.33,3.815,305,385,7.545
1,18.25,0.1895,15.523,1.7,0.116,-2.115,2.86,6.3905,16.2975,51.32,90.7,388,12.83,-75.65,-2.885,2,302.5,374.268,7.83
1,18.75,0.19,14.0425,1.95,0.06375,-4.593,2.9615,-3.3115,15.25,54.2825,90.7,388,11.035,-72.95,-2.406,2.552,299.5,369,7.9315
1,19.25,0.22575,13,2.10875,0.06425,-9.24,3.3,-9.52,14.541,56.15075,90.715,387,10.285,-70.15,-2.0825,2.605,300,365,7.90475
1,19.75,0.21675,12.708,2.10675,0.059,-11.7,2.76,-13.55,13.884,58.40025,90.8,387,9.5425,-70.05,-2.04,2.78,298,362,7.912
1,20.25,0.2275,12.3,2.1,0.05425,-11.99375,3.04225,-16.65,13.3,59.40825,90.8,387.25,9.3425,-69.3,-1.872,2.695,293.5,359.5,7.936
1,20.75,0.2185,12,2.12,0.03975,-14.975,2.79,-18.9,12.7905,60.107,90.8,387,9.155,-66.9,-1.79,2.6775,294.5,358,8.05925
1,21.25,0.2205,11.842,2.075,0.044,-14.65,2.74825,-20.197,12.428,62.6565,90.8,387,8.9875,-65.82,-1.52,2.6675,292.5,355,8.1725
1,21.75,0.217,11.95,2.115,0.0355,-12.425,2.5175,-21.85,12.19,64.73875,90.8,387,8.8825,-64.6495,-1.64,2.6955,292,354.5805,8.055
1,22.25,0.2075,11.25,2.1,0.028,-11.75,2.6,-23.3,11.8,66.332,90.835,387,8.35,-62.4,-1.53,2.5955,293,354,8.125
1,22.75,0.211,10.95,2.094,0.02675,-11.01025,2.53625,-24.75,11.3,67.73125,90.9,387,8.06,-62.9,-1.5065,2.609,291,351.243,8.14
1,23.25,0.2005,10.7,2.09,-0.005,-12,2.22,-25.95,10.9,68.626,90.9,387,7.64,-61.45,-1.515,2.5365,290,349.705,8.13
1,23.75,0.19975,10.1,2.0685,-0.026,-10.7,1.93,-26.55,10.666,69.9385,90.9,387,7.4825,-58.6,-1.38,2.465,290,347.531,8.107
2,0.25,0.2295,10.8,2.155,0.07,-13.875,4.5575,-27.85,11.973,73.712,90.7,385,7.55,-68.4,-1.71,2.7175,292,352.5,8.93575
2,0.75,0.225,10.2055,2.15,0.04875,-13.9295,3.785,-28.5,11.598,73.161,90.7,384,7.2775,-68.05,-1.685,2.625,289,351.1545,8.8525
2,1.25,0.222,9.815,2.13,0.0185,-13.3,4.125,-29.45,11.25,73.993,90.7,384,7.25,-64.7,-1.43,2.6,291.5,349.9215,8.819
2,1.75,0.226,9.87,2.1585,0.026,-13.925,4.2,-30.15,11.05,76.405,90.7,383.5,7.39,-62,-1.415,2.61,291.9725,348.5,8.6035
2,2.25,0.221,9.515,2.101,0.02,-12.15,3.5285,-30.45,10.8,75.663,90.7,384,6.79,-59.85,-1.485,2.575,292.0955,347.2715,8.5715
2,2.75,0.207,9.4,2.07,0.02925,-11.875,3.54675,-30.3,10.45,76.419,90.6905,384.25,6.58,-59.1555,-1.38,2.5675,292,346.5,8.655
2,3.25,0.217,8.975,2.1,0.044,-9.15,3.34,-30.4,10.15,77.1415,90.6665,384,6.135,-59.15,-1.35,2.59,291,345.149,8.5125
2,3.75,0.2125,8.745,2.05,0.008,-11.9,3.22,-30.55,9.975,78.232,90.6305,385,6.305,-54.6,-1.37,2.52,298.105,345,8.37
2,4.25,0.20975,8.9005,2.06,0.01175,-9.3025,3.73,-30.75,9.77,79.61475,90.628,384,6.025,-51.95,-1.275,2.55,299,344,8.46275
2,4.75,0.20675,8.525,2.03625,-0.00375,-8.3575,3.115,-30.55,9.585,81.73875,90.6545,384,5.87,-52.25,-1.27,2.58,293.5,343,8.3275
2,5.25,0.205,8.145,2.03,0.01075,-8.5025,2.62,-30.85,9.455,81.17525,90.688,384.25,5.6875,-54.3,-1.42,2.515,288.5,341,8.3225
2,5.75,0.19525,7.92,1.9875,0.0195,-10.65,3.0985,-31.85,9.259,80.025,90.7,384.5,5.81,-52.7,-1.305,2.545,288.5,340.1085,8.2805
2,6.25,0.201,7.982,2.01,0.026,-11.3915,2.835,-32.2495,8.9525,79.562,90.7,384,5.83,-56.55,-1.265,2.56,290,340,8.24
2,6.75,0.20125,8.025,2.061,0.032,-10.3,3.145,-31.95,8.82,80.856,90.7,384.5,5.67,-53.4,-0.3045,2.77,289,339,8.225
2,7.25,0.196,7.955,1.97,-0.0445,-10.2,3.9175,-30.956,8.589,82.65,90.722,385,6.12,-39.9665,21.3,7.745,291,339.5,8.2
2,7.75,0.20325,9.6,1.7475,-0.175,-0.79,6.08,-30.55,8.5715,77.979,90.773,384.5,7.1,13.75,106.5,24.95,293.587,345,8.4
2,8.25,0.2045,11.5,1.44,-0.38675,24.70525,14.9,-28.3,8.786,69.105,90.7925,386,9.58,96.15,214.2915,36.9105,293.5,356.0405,8.5
