DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,PPFD_OUT,APAR,FAPAR,WS,USTAR,PA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1
1,0.25,0.5,-2.75,5.425,-0.03161,-1,91.7,-3.7,0,0,0,0,0,0,3.98,0.43,99.8,-2.7,2.3,2.6,3.5,4.4
1,0.75,0.5,-2.475,5,-0.03,-1,92,-3.5,0,0,0,0,0,0,3.875,0.43,99.81,-2.8,2.3,2.6,3.5,4.4
1,1.25,0.6,-2.7,4.75,-0.0292525,-1.1,92,-3.4,0,0,0,0,0,0,3.9,0.43,99.8,-2.7,2.3,2.6,3.5,4.4
1,1.75,0.5,-2.1,5.7,-0.032255,-1.1,91.9,-3.4,0,0,0,0,0,0,3.82,0.4175,99.81,-2.8,2.3,2.6,3.5,4.4
1,2.25,0.6,-1.9,5.15,-0.033845,-1.2,92.1,-3.2,0,0,0,0,0,0,3.72,0.42,99.8,-2.9,2.3,2.6,3.5,4.4
1,2.75,0.5,-2.1,5.2,-0.032355,-1.4,92.1,-3.3,0,0,0,0,0,0,3.7025,0.41,99.79,-2.9,2.3,2.6,3.5,4.4
1,3.25,0.5,-2.55,4.8,-0.0298175,-1.4,92.4,-3.2,0,0,0,0,0,0,3.69,0.42,99.78,-3,2.2,2.6,3.5,4.4
1,3.75,0.5,-2.375,4.9,-0.02478,-1.4,92.6,-3.6,0,0,0,0,0,0,3.6075,0.4,99.79,-3,2.2,2.6,3.5,4.4
1,4.25,0.6,-2.2,5.35,-0.02381,-1.5,92.7,-3.5,0,0,0,0,0,0,3.71,0.4,99.78,-3,2.2,2.6,3.5,4.4
1,4.75,0.6,-2.65,5.3,-0.026625,-1.6,93.1,-2.8,0,0,0,0,0,0,3.6875,0.405,99.81,-3.1,2.2,2.6,3.5,4.4
1,5.25,0.5,-2.9,5,-0.024815,-1.7,93.2,-3.1,0,0,0,0,0,0,3.6725,0.4,99.83,-3,2.2,2.6,3.5,4.4
