DOY2,HR2,CO2,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD_1_1_1,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TA_1_1_1,TS_1_1_1,TS_1_2_1,USTAR,VPD,WS
1,0.25,371.929,-5.6,-4.99,0.9215,0,217.05,222.95,-1.365,95.55,0,0,81.95,0.05,-0.2,0,-0.735,0.61,-18.065,-5.755,-5.37,0.16,0.2,1.405
1,0.75,371.6595,-5.6,-4.905,0.874,-0.1,215.05,222.95,-2,95.55,0,0,82.05,0.03,-0.7,0,-0.815,0.475,-18.35,-5.75,-5.37,0.195,0.2,1.523
1,1.25,371.484,-5.55,-4.25,0.854,-0.1,219.05,222.55,-1.83,95.55,0,0,82.5,-0.025,-0.4,0,-0.645,0.455,-18.1,-5.745,-5.375,0.175,0.2,1.495
1,1.75,371.983,-5.55,-3.23,0.899,-0.1,219.55,224.6,-1.63,95.55,0,0,82.75,-0.02,-0.25,0,-0.655,0.485,-17.5,-5.725,-5.37,0.17,0.2,1.45
1,2.25,372.2475,-5.6,-6.43,0.905,-0.2,220.25,225.5,-2.035,95.55,0,0,83.3,-0.03,-0.1,0,-0.485,0.42,-17.6,-5.72,-5.375,0.22,0.2,1.535
1,2.75,372.379,-5.6,-6.64,0.935,-0.1,219.55,223.9,-1.45,95.55,0,0,83.3,-0.05,-0.1,0,-0.62,0.43,-17.7,-5.735,-5.375,0.23,0.2,1.55
1,3.25,372.866,-5.6,-7.32,0.908,0,218,224.4,-1.77,95.6,0,0,83.25,0.035,-0.15,0,-0.53,0.445,-18.05,-5.745,-5.385,0.21,0.2,1.605
1,3.75,373.646,-5.6,-5.795,0.9255,0,218.4,224.85,-1.5,95.6,0,0,82.6,0.05,-0.5,0,-0.6,0.445,-18.175,-5.74,-5.39,0.21,0.2,1.57
1,4.25,373.389,-5.65,-5.44,1.078,-0.05,217.35,225.2,-2.33,95.6,0,0,82.6,0,-0.2,0,-0.635,0.485,-18.19,-5.74,-5.385,0.22,0.2,1.615
1,4.75,373.3095,-5.7,-1.97,1.0905,0,214.8,224.85,-2.12,95.65,0,0,82.55,0.035,-0.2,0,-0.79,0.45,-18.375,-5.745,-5.385,0.2,0.2,1.555
1,5.25,373.214,-5.7,-4.085,1.142,-0.1,215.25,223.4,-1.93,95.6,0,0,82.6,0.1,0,0,-0.735,0.505,-18.395,-5.76,-5.39,0.2,0.2,1.576
1,5.75,373.718,-5.7,-6.27,1.155,0,215.65,222.65,-2.605,95.55,0,0,82.4,0.075,-0.6,0,-0.59,0.53,-18.25,-5.775,-5.4,0.235,0.19,1.685
1,6.25,373.2065,-5.7,-3.63,1.18,0.5,216.3,222,-1.82,95.5,0,0,82.75,0.08,-0.1,0,-0.725,0.435,-18.45,-5.785,-5.405,0.23,0.2,1.595
1,6.75,372.591,-5.8,-4.36,1.0595,0.2,215.6,220.2,-1.575,95.5,0,0,82.05,-0.1,0.45,0,-0.63,0.475,-18.345,-5.805,-5.41,0.26,0.2,1.605
1,7.25,372.847,-5.9,-5.47,1.064,0.1,216.1,219.35,-1.1,95.5,0,0,81.95,0.045,0.4,0,-0.47,0.46,-18.085,-5.825,-5.42,0.245,0.2,1.49
1,7.75,373.674,-5.85,-3.5,1.1895,0.3,215.25,219.4,-1.41,95.5,0,0,82.5,0.04,-0.1,0,-0.425,0.43,-17.96,-5.835,-5.425,0.23,0.19,1.585
1,8.25,373.697,-5.85,-3.805,1.271,-0.05,216.75,220.1,-1.145,95.5,0,0,82.4,0.11,-0.15,-0.05,-0.425,0.345,-17.995,-5.84,-5.425,0.25,0.195,1.608
1,8.75,373.543,-5.9,-2.23,1.2185,0.4,216.1,220.9,-0.99,95.5,0,0,82.45,0.165,0,0,-0.03,0.58,-17.98,-5.85,-5.425,0.26,0.19,1.6215
1,9.25,372.7195,-5.95,-4.76,1.283,0,217.05,221.95,0.745,95.5,3.68,1.13,83.1,0.075,0,0,4.895,1.89,-18,-5.855,-5.43,0.235,0.19,1.73
1,9.75,372.5485,-6,0.15,1.288,1.1,216.65,223.3,6.975,95.5,24.06,6.351,83.4,0.085,0.5,0,25.79,6.96,-18.15,-5.925,-5.435,0.3,0.2,1.5945
1,10.25,372.844,-6,2.44,1.3115,1.3,215.75,227.25,23.47,95.55,62.205,14.905,84.05,-0.07,1.55,0.1,53.125,15.8505,-17.66,-5.925,-5.44,0.285,0.2,1.615
1,10.75,373.584,-6,18.28,1.308,2.5,217.95,228.55,40.71,95.55,86.865,23.705,82.85,-0.05,2.3,0.2,95.2,25.235,-17.405,-5.915,-5.44,0.32,0.21,1.685
1,11.25,372.649,-6,33.58,0.825,4.4,221.05,229.95,61.12,95.5,133.38,31.84,81.7,-0.36,4.3,0.2,136.85,34.41,-16.35,-5.88,-5.44,0.39,0.22,1.905
1,11.75,373.291,-6,47.09,0.8435,5.3,223.1,233.2,79.255,95.5,153.175,39.205,80.65,-0.575,5,0.3,139,36.125,-15.35,-5.88,-5.435,0.375,0.265,1.97
1,12.25,372.879,-6.1,51.085,0.9415,5.8,227.7,235.8,95.245,95.5,171.16,44.65,79.15,-0.47,4,0.2,159,39.01,-15,-5.88,-5.45,0.41,0.3,2.14
1,12.75,372.779,-6,65.77,0.9,5.8,226.7,238.3,97.425,95.5,193.075,47.065,78.25,-0.49,3.9,0.15,162.75,44.26,-14.35,-5.88,-5.42,0.435,0.34,2.155
1,13.25,373.072,-5.9,61.7,0.917,6.2,225.85,239.3,101.455,95.5,206.65,49.945,77.9,-0.46,2.65,0.2,176.9,44.47,-13.8,-5.88,-5.415,0.43,0.395,2.21
1,13.75,372.7005,-5.8,55.56,0.955,5.65,224.1,241.3,92.485,95.5,190.25,47.86,77.35,-0.2,2,0.1,166.3,40.71,-13.9,-5.88,-5.405,0.4,0.405,2.135
