DOY2,HR2,LE,H,FC,USTAR,TA,WS,CO2,VPD,H2O,RH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,G,APAR
1,0.25,78.7331299999999,66.71214,7.19332724999998,1.607526,4.84923500000001,8.765348,439.231125,1.609623075,11.076209,99.998,3.496362875,0.7043667525,1.972727175,332.8702375,336.5450125,-3.1438,0.11526968075
1,0.75,80.2330775,120.20585,6.613618,1.6057425,5.13117999999999,8.4062325,438.57065,2.0769016,9.82935175,99.998,2.59902279999999,0.590949079999999,2.1292322,332.6831,338.7614,-3.0006,0.12460263
1,1.25,81.6748,120.0287525,11.8216,1.55321,4.20267500000001,8.071368,445.85975,1.7016722,9.2068,99.998,5.1008824,0.8696883925,2.227113725,333.171465,334.4499975,-3.0075,0.1246398875
1,1.75,73.5128199999999,127.781599999999,10.8067825,1.562741,3.89814,7.41725475,442.355125,2.003274,9.244329,99.998,4.016124,0.63922136,2.3381928,330.52072,334.47944,-3.0807,0.08311437725
1,2.25,122.88185,72.5296400000001,4.870038,1.40329,3.5750375,7.3703775,445.5002,1.6049419,9.155044,99.998,3.673964025,0.839259437500001,2.23274905,329.957075,332.226335,-3.0927,0.124643135
1,2.75,102.39248,85.3333424999996,3.7057175,1.521399,3.7211402,7.47079,436.47535,1.7770128,9.16593,99.998,2.9709216,0.4185995,2.1618436,327.97156,331.8902,-3.1119,0.12463793
1,3.25,88.1137549999999,66.0675,7.59177399999998,1.5053405,3.333585,6.6888535,448.072,1.519469675,9.08938,99.998,4.413942875,0.519457477500001,2.557228775,329.5014675,329.658075,-3.1235,0.12463325
1,3.75,57.4325,59.93098,5.11887799999999,1.565426,3.2786048,7.45504599999999,437.059975,1.7299642,9.0823165,99.998,2.4414596,0.69249302,2.449688,327.11624,330.32164,-3.1303,0.1246761425
1,4.25,105.760825,53.1688975000001,3.5198625,1.5138135,3.0291775,7.160205,441.036,1.56925055,8.90289,99.998,3.9603071,0.6615838075,2.2419174,326.8726575,328.4029975,-3.1445,0.1246307025
1,4.75,65.92022,101.6101,8.50155350000001,1.40066025,3.24619,7.0199755,436.1453,1.6577932,8.38974075,99.998,4.217047,0.43926384,2.4191206,326.34244,329.93748,-3.1502,0.124629875
1,5.25,88.0649125,101.732645,4.59325099999999,1.5047925,3.09679,8.21379375,445.946,1.531567,7.703277,99.998,5.28945427500001,0.9260859825,2.139688025,327.3931425,328.62645,-3.1429,0.115288513
