DOY2,HR2,CO2,FC,G,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,T_SONIC,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,USTAR,VPD,WS
1,0.25,456.5672362,1.4325725,1.5566378437,15.877305,9.4734311666,36.270555,338.4925,342.9775,0.869,101.217,0,0,99.77748370975,0.2638,4.877,8.4125541635,8.12262465,6.785775,6.3666,8.024,6.733,8.32625,6.5,7.748,7.5325,7.1981,6.51135,6.44545,6.642675,6.458825,7.414425,7.5342,8.19575,9.03125,7.3023,7.23895,6.442875,6.718775,6.72215,7.08615,7.621775,8.091175,8.843,0.81732445105,1.88919524675,5.2596695052
1,0.75,464.45025,1.925939,1.42017816495,24.351689885,9.5013072424,21.44715,339.52,342.68,0.70725,101.1882,0,0,99.77854917,0.329,4.6782,8.061291197125,8.0266142,6.773,6.34925,8.03,6.7536,8.324,6.5,7.7236,7.5419,7.21855,6.49167499999999,6.524375,6.64215,6.79502499999999,7.4139,7.850375,8.421,9.03075,7.0519,7.2222,6.88365,7.024175,7.045025,7.474825,7.8261,8.16,8.86,0.846957837,1.7150396608,5.410075529025
1,1.25,462.76975,1.58024975,2.3638537776,32.79305898675,9.4147581478,22.612365,339.96,342.94,0.546274999999996,101.1616,0,0,99.77093321,0.1582,5.27235,8.2793756311,7.6014156,7.2034,6.30935,8.03,6.8264,8.316,6.5,7.6964,7.53,6.99215,6.45117499999999,6.56435,6.66115,6.77454999999999,7.413375,7.8299,8.39225,9.0605,6.781325,7.191225,6.87415,7.024175,7.03505,7.46485,7.8366,8.1705,8.86,0.94402365,1.6734112444,4.949147
1,1.75,464.73225,2.3333965,3.6414686668,23.00967805125,9.46843169069999,25.73208,340.56,343.12,0.736299999999997,101.13165,0,0,99.763323258,0.23,4.85005,8.42877345192498,7.1172264,7.2164,6.3294,8.109,6.8266,8.316,6.89,7.717,7.53,6.42704999999999,6.47067499999999,6.604325,6.681625,6.77402499999999,7.37295,7.809425,8.39225,9.03075,6.435625,7.1728,6.864175,7.025225,7.034,7.46485,7.82715,8.16,8.86,0.8247234,1.5910729378,4.97548726
1,2.25,495.8127,1.7099663966,1.47232451385,13.94030639,8.3692188254,22.04888,340.66,343.38,0.8835,100.998975,0,0,99.7735527635,0.21955,4.891375,7.3389737882,7.59460685,7.2295,6.325575,8.1065,6.86105,8.265,6.897975,7.6848,7.5325,5.98524999999999,6.49062499999999,6.66425,6.700075,6.754525,7.372425,7.8299,8.39225,9.0605,6.21655,7.16645,6.84365,7.015725,7.0435,7.45535,7.82715,8.1705,8.86,0.84583795,1.7192419392,4.738604
1,2.75,481.163175,2.432859,3.1289343694,13.9947,10.01092010075,23.3853525,337,342.98,1.98625,100.9695,0,0,99.77096919925,0.265675,4.959,8.23720129775,7.70902375,7.148475,6.296175,8.11625,6.8825,8.28975,6.922225,7.70625,7.5325,5.76582499999999,6.50752499999999,6.784625,6.7006,6.733525,7.35195,7.809425,8.39225,9.0605,6.205525,7.124925,6.85315,7.00575,7.032475,7.454875,7.82715,8.16,8.86,0.7775587,1.897410625675,4.732655025575
1,3.25,492.03125,2.56691451359999,3.76468972745,15.0668115,10.603116648,20.33476,332.54,342.26,1.5985,101.1782,0,0,99.779984037,0.265225,5.025,9.42059069759999,7.0294285,7.15375,6.355,8.10975,6.747025,8.265,6.9775,7.700475,7.5325,5.70634999999999,6.56485,6.86555,6.69905,6.733525,7.351425,7.808675,8.37225,9.03125,6.2155,7.028325,6.89105,6.995775,7.04245,7.465375,7.82715,8.16,8.86,0.814016,2.02802428445,4.4266355
1,3.75,497.255575,2.122641,2.9748024481,19.1966220945,10.52759281825,31.372555,331.98,341.14,0.94675,101.1549,0,0,99.773672231,0.2463,5.056,9.268922271225,6.88673099999999,7.20425,6.419325,8.10975,6.79125,8.2815,6.9775,7.6975,7.5325,5.64687499999999,6.6432,6.90605,6.69905,6.71305,7.331475,7.808675,8.37275,9.0605,6.205,6.9427,6.910525,6.995775,7.041925,7.4564,7.8282,8.1705,8.86,0.8196465,1.945533732325,4.7407807308
1,4.25,501.74745,2.157355,2.67878372745,17.76392,10.4617389175,28.539315,330.26,338.62,0.558,101.20585,0,0,99.78517689375,0.274425,4.98,9.44773384815,6.6985709,7.18,6.447575,8.0325,6.9325,8.265,6.9775,7.683475,7.5325,5.72479999999999,6.74,6.906575,6.719525,6.712525,7.33095,7.809425,8.37275,9.03075,6.196025,6.856075,6.92895,6.986275,7.041925,7.445375,7.8282,8.1705,8.86,0.795266875125,1.907630470175,4.9838945
1,4.75,500.0735,3.41183999999999,2.7711181117,12.45632167,10.26267214555,52.39253,330.56,336.74,1.397,101.240625,0,0,99.78421415225,0.250975,4.79965,9.397861214725,6.39850175,7.17075,6.517425,8.010225,6.894225,8.265,6.93625,7.667975,7.5325,5.84322499999999,6.660625,6.86555,6.719,6.69252499999999,7.33095,7.7882,8.37275,9.03125,6.18605,6.792025,6.95735,6.965275,7.0519,7.4354,7.818225,8.161,8.86,0.955219799999999,2.0823604507,5.0666246142
1,5.25,509.11875,2.1641345,2.37081067745,9.13037399999999,10.39593517465,33.619575,331.22,333.8,0.71675,100.935875,0,0,99.764542428,0.255475,4.9807,9.236225581725,6.5697476,7.1295,6.49875,7.919775,6.814025,8.265,6.889225,7.6506,7.5325,5.78374999999999,6.60225,6.84455,6.719525,6.67205,7.330425,7.7882,8.37275,9.03125,6.187575,6.73055,6.9868,6.944275,7.040875,7.4354,7.818225,8.1705,8.86,0.870266320275,2.108892918975,5.261203171
1,5.75,486.13,3.48363675,2.372425,8.40954300000001,10.0927109051,23.17462,332.24,333.68,1.1445,101.32505,0,0,99.7785184285,0.215075,4.5919,8.91363124175,6.69627105,7.1148,6.4875,7.919775,6.814025,8.265,6.88625,7.6744,7.5325,6.10257499999999,6.52385,6.84405,6.65855,6.69252499999999,7.33095,7.767725,8.37275,9.03075,6.18605,6.671125,6.995775,6.923275,7.040875,7.425425,7.818225,8.161,8.86,0.827558097899999,2.327519931975,5.0982101314
