DOY2,HR2,USTAR,TA_1_1_1,WS,FC,H,LE,RH,CO2,VPD,NETRAD,PPFD_IN,SW_IN,PPFD_OUT,SW_OUT,H2O_1_1_1
1,0.25,0.302,-27.662,2.799,0.034,-15.587,0.011,73.977,381.336,0.16,-2.201,0,-1.0665,-0.092,0.058,0.763
1,0.75,0.282,-27.634,2.817,0.046,-11.619,-0.009,74.11,381.3545,0.16,-2.27,0,-1.179,-0.086,0.061,0.758
1,1.25,0.335,-27.948,2.729,0.033,-13.2525,0.013,74.008,381.3765,0.16,-1.9085,0,-1.254,-0.067,0.083,0.76
1,1.75,0.294,-27.839,2.775,0.048,-13.129,-0.018,73.855,381.4715,0.16,-2.046,0,-1.2485,-0.075,0.0705,0.755
1,2.25,0.289,-28.355,2.746,0.046,-13.2025,-0.008,73.883,381.4705,0.16,-2.025,0,-1.036,-0.085,0.071,0.756
1,2.75,0.273,-28.098,2.752,0.056,-14.154,-0.033,73.99,381.4465,0.16,-2.1435,0,-0.917,-0.09,0.09,0.757
1,3.25,0.283,-27.887,2.804,0.055,-12.319,5e-04,73.972,381.4125,0.16,-1.9005,-7.702,-0.934,-0.062,0.101,0.7555
1,3.75,0.282,-27.627,2.759,0.04,-12.784,-0.061,74.026,381.357,0.15,-1.97,-6.68,-1.1585,-0.086,0.1015,0.756
1,4.25,0.268,-28.9205,2.733,0.053,-17.022,0.0035,73.869,380.335,0.15,-2.079,-7.628,-1.2105,-0.092,0.1375,0.754
1,4.75,0.264,-29.166,2.554,0.069,-14.567,-0.0315,74.212,380.3165,0.145,-2.2255,-6.539,-1.07,-0.106,0.13,0.75
1,5.25,0.279,-29.2795,2.706,0.054,-11.937,-0.0095,74.1515,381.3305,0.14,-2.318,-4.182,-0.977,-0.075,0.115,0.74
1,5.75,0.2725,-29.309,2.657,0.022,-13.143,-0.003,73.7795,381.356,0.14,-2.229,-4.802,-0.9745,-0.083,0.1125,0.7495
1,6.25,0.281,-29.305,2.66,0.0125,-11.6,0.052,73.7885,381.341,0.14,-2.2305,-4.52,-0.9255,-0.089,0.1,0.755
1,6.75,0.268,-29.1195,2.709,0.093,-13.2955,0.002,73.7605,381.198,0.14,-2.198,-5.2,-1.0455,-0.077,0.092,0.755
1,7.25,0.282,-29.035,2.77,0.0335,-13.776,-0.047,73.324,381.355,0.14,-2.18,-3.245,-1.174,-0.083,0.135,0.7465
1,7.75,0.286,-29.1085,2.695,0.052,-13.215,0.0155,73.502,381.434,0.14,-2.4025,-2.467,-1.0645,-0.075,0.1015,0.7345
1,8.25,0.275,-29.014,2.553,0.083,-10.9735,-0.0255,73.5095,381.724,0.14,-2.386,-4.983,-0.862,-0.005,0.2005,0.731
1,8.75,0.265,-29.0085,2.62,0.082,-9.393,0.057,73.417,381.9995,0.15,-1.241,0.8635,1.047,0.707,0.6615,0.7375
1,9.25,0.296,-28.647,2.552,0.064,-8.095,0.054,72.735,381.793,0.15,1.1385,21.4875,12.933,3.787,4.028,0.7425
1,9.75,0.301,-28.3155,2.409,0.154,-3.179,0.118,72.6005,381.993,0.15,7.515,57.271,32.98,10.108,9.8925,0.7355
1,10.25,0.373,-27.5915,2.537,0.248,11.9765,-0.001,72.4725,381.8655,0.165,17.654,102.5375,61.805,19.347,15.6925,0.7555
1,10.75,0.407,-27.371,2.542,0.249,30.504,0.144,72.087,381.765,0.17,35.3725,147.1745,90.829,28.274,22.736,0.789
1,11.25,0.41,-26.6875,2.389,0.133,47.275,0.037,71.088,381.7265,0.19,49.3995,182.5615,113.1505,36.975,25.846,0.799
1,11.75,0.43,-26.173,2.518,0.192,76.241,0.712,71.1675,381.661,0.2,59.763,225.402,128.404,41.016,28.567,0.83
1,12.25,0.4475,-25.859,2.4075,0.2,73,0.602,70.877,381.5495,0.2,69.083,249.832,132.897,44.672,33.002,0.858
1,12.75,0.44,-25.1105,2.634,0.22,89.439,1.589,70.5685,381.3605,0.22,70.985,242.7585,140.0235,45.6955,32.925,0.884
1,13.25,0.461,-24.474,2.652,0.248,79.567,0.234,70.1795,381.144,0.23,75.6095,250.2405,146.415,43.507,31.1665,0.905
1,13.75,0.47,-23.853,2.802,0.065,74.135,0.478,70.062,381.087,0.25,70.827,236.0285,160.901,38.592,31.293,0.927
1,14.25,0.459,-23.6755,2.681,0.124,63.345,0.74,69.5225,381.132,0.26,66.375,207.205,143.326,34.2185,29.254,0.93
1,14.75,0.444,-23.457,2.717,0.16,48.187,0.598,69.323,381.2265,0.26,46.6515,165.046,125.023,28.5395,23.8285,0.929
1,15.25,0.443,-23.394,2.577,0.184,29.32,0.217,70.0875,381.1375,0.26,27.5075,112.1185,84.0855,18.8315,18.6265,0.904
1,15.75,0.398,-23.4995,2.4565,0.067,11.216,0.173,70.0115,381.179,0.25,10.909,66.6315,56.0245,12.188,11.139,0.884
1,16.25,0.341,-23.732,2.475,0.019,-2.995,-0.022,70.2385,381.2625,0.24,1.6945,26.741,19.531,5.9895,5.0435,0.88
1,16.75,0.284,-24.1895,2.639,0.049,-8.9695,0.031,71.2015,381.2805,0.23,-2.537,4.452,1.8305,1.39,0.5445,0.854
1,17.25,0.293,-24.472,2.624,0.023,-7.9715,-0.031,72.4045,381.279,0.22,-5.0875,-0.1145,-1.2055,0.101,0.003,0.846
1,17.75,0.299,-24.7545,2.645,0.041,-12.4485,-0.149,72.9365,381.2925,0.21,-5.547,-1.707,-1.8875,-0.089,-0.0245,0.84
1,18.25,0.293,-24.9365,2.737,0.064,-13.405,-0.039,73.4885,381.243,0.205,-5.2775,-2.277,-1.9765,-0.0875,0.027,0.827
1,18.75,0.273,-25.1735,2.905,0.054,-15.397,0.053,73.8875,381.204,0.205,-5.106,-4.026,-2.0465,-0.0875,0,0.812
1,19.25,0.296,-25.2265,2.865,0.06,-14.599,0.004,73.7805,381.29,0.195,-5.237,-5.208,-1.802,-0.093,-0.0045,0.8005
1,19.75,0.285,-25.3375,2.851,0.039,-14.2825,0.052,73.488,381.243,0.19,-4.2235,-3.556,-1.88,-0.09,0.0055,0.808
1,20.25,0.281,-25.683,2.68,0.015,-12.9435,0.018,74.449,381.198,0.18,-4.1345,-5.3635,-1.8995,-0.076,0.016,0.8055
1,20.75,0.283,-25.805,2.683,0.004,-15.2775,-0.01,74.484,381.197,0.18,-3.5635,-5.503,-1.9535,-0.085,0.051,0.788
1,21.25,0.255,-26.068,2.622,0.061,-11.5675,0.051,74.3115,381.074,0.17,-3.5675,-5.9665,-1.79,-0.0775,0.0295,0.782
1,21.75,0.272,-26.3785,2.754,0.037,-12.6705,-0.11,73.9565,381.104,0.17,-2.9645,-6.675,-1.6065,-0.087,0.083,0.786
1,22.25,0.27,-26.305,2.8705,0.025,-13.977,0.014,74.148,381.243,0.165,-3.3275,0,-1.5135,-0.0805,0.054,0.7695
1,22.75,0.307,-26.532,2.835,0.0515,-17.646,-0.0275,73.9585,381.372,0.17,-2.768,0,-1.6135,-0.0985,0.0145,0.7635
1,23.25,0.3035,-27.1315,2.894,0.054,-13.316,0.0105,74.097,381.443,0.16,-2.951,0,-1.356,-0.0855,0.0785,0.766
1,23.75,0.2935,-27.297,2.737,0.028,-11.085,-0.0615,73.819,381.482,0.16,-2.7045,0,-1.3775,-0.081,0.055,0.7665
2,0.25,0.26,-21.4055,2.519,0.001,-11.108,-0.159,79.759,380.37,0.23,-21.155,0,-1.3145,-0.0635,0.03,1.278
2,0.75,0.267,-21.67,2.507,0.042,-10.07,-0.3525,79.7165,380.387,0.225,-21.985,0,-1.5315,-0.0815,0.018,1.282
2,1.25,0.263,-21.849,2.602,0.1015,-10.488,-0.0975,79.8765,380.418,0.215,-21.434,0,-1.5875,-0.042,0.02,1.266
2,1.75,0.262,-22.0205,2.619,0.064,-9.118,-0.0395,79.1905,380.436,0.22,-20.4145,0,-1.174,-0.073,0.005,1.28
2,2.25,0.249,-22.2035,2.651,0.028,-12.805,0.156,79.419,380.44,0.215,-23.191,0,-1.4575,-0.0745,0.0205,1.25
2,2.75,0.2545,-22.409,2.5815,0,-11.801,0.017,78.4885,380.208,0.22,-18.2505,0,-1.3395,-0.064,0.0335,1.213
2,3.25,0.259,-22.603,2.548,0.052,-11.063,0.0205,78.378,380.107,0.21,-19.7365,-9.589,-1.417,-0.095,0.0345,1.1845
2,3.75,0.269,-22.508,2.549,-0.0075,-10.07,-0.1395,78.4725,380.189,0.21,-20.6775,-9.024,-1.71,-0.104,0.0525,1.22
2,4.25,0.2645,-22.796,2.6425,0.116,-7.158,0.115,78.2535,381.062,0.21,-20.3525,-9.199,-1.4975,-0.0925,0.0865,1.2265
2,4.75,0.263,-22.932,2.542,0.075,-7.82,-0.044,78.8475,380.836,0.2,-18.957,-9.347,-1.471,-0.078,0.081,1.211
2,5.25,0.275,-23.283,2.595,0.089,-9.853,-0.205,78.706,380.835,0.2,-18.8945,-7.988,-1.994,-0.082,0.0485,1.222
2,5.75,0.249,-23.34,2.584,0.095,-8.465,-0.046,79.388,380.278,0.19,-19.4125,-8.951,-1.7525,-0.09,0.082,1.1935
2,6.25,0.2555,-23.53,2.4645,0.025,-12.6895,-0.049,79.105,380.103,0.19,-17.194,-9.1075,-1.7275,-0.087,0.056,1.1765
2,6.75,0.2415,-23.4225,2.4725,0.069,-9.6635,-0.048,79.146,380.054,0.19,-14.42,-8.695,-1.7995,-0.118,0.0935,1.148
2,7.25,0.266,-23.707,2.574,0.092,-10.81,-0.075,79.18,380.068,0.18,-12.838,-7.9605,-0.818,-0.064,0.1335,1.115
2,7.75,0.275,-24.027,2.561,0.148,-8.572,-0.048,78.936,380.06,0.18,-10.778,-2.3645,0.159,0.254,0.4315,1.1305
2,8.25,0.28,-24.504,2.442,0.1075,-7.169,0.136,78.4915,380.01,0.18,-3.567,14.386,7.332,1.9165,4.065,1.0955
2,8.75,0.309,-24.7845,2.331,0.096,-2.4375,0.506,78.853,379.966,0.18,11.1255,55.6815,29.571,8.1025,10.7295,1.136
2,9.25,0.352,-24.5515,2.215,0.181,10.6345,0.592,78.1345,379.97,0.19,26.6555,126.667,69.8805,16.4755,18.7895,1.149
2,9.75,0.396,-23.3855,2.259,0.4795,29.094,1.5105,78.062,380.049,0.2,51.2915,223.8665,125.6305,28.0945,29.591,1.119
2,10.25,0.403,-22.496,2.459,0.2045,62.4105,1.8815,77.8255,380.09,0.23,79.95,330.708,175.785,37.449,37.834,1.2225
2,10.75,0.423,-21.2355,2.407,0.1875,85.576,4.191,77.6745,380.055,0.25,108.6135,403.956,211.088,43.9205,40.142,1.264
2,11.25,0.445,-20.2515,2.56,0.131,102.307,3.062,76.9495,380.04,0.28,129.0435,504.904,250.737,54.0265,42.406,1.3085
2,11.75,0.489,-19.2685,2.5955,0.1985,137.012,5.4245,75.118,380.027,0.33,149.148,549.369,280.609,55.3835,44.4045,1.3595
2,12.25,0.4855,-18.254,2.593,0.07,138.544,6.299,74.1995,378.4695,0.37,170.2275,601.5495,296.687,53.2775,43.7495,1.396
2,12.75,0.513,-17.3985,2.64,0.206,145.304,8.022,72.4235,378.33,0.405,180.12,619.161,310.337,51.7975,43.408,1.443
