DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
1,0.25,0.18525,-4.18375,1.2105,0.6,0.216,-0.237,-37.40725,-0.221,-5.79225,2.53025,60.57,100.82575,394.1915,0.685,-63.2075,-0.475,-2.94425
1,0.75,0.16325,-4.39525,1.154,0.443,0.174,-0.22875,-38.48425,-0.014,-5.8475,2.483,61.345,100.9,393.8685,0.66,-63.87,-0.47425,-3.01625
1,1.25,0.17,-4.25825,1.054,0.5625,0.2055,-0.203,-36.3565,-0.132,-5.948,2.4525,60.2925,100.9,394.17875,0.67,-63.2225,-0.4735,-3.2285
1,1.75,0.1655,-4.1345,0.99875,0.684,0.27925,-0.12775,-42.12775,-0.263,-5.88425,2.464,60.09,100.9,394.01125,0.68,-62.7275,-0.47425,-3.2265
1,2.25,0.1755,-4.14175,1.099,0.52575,0.2575,-0.195,-41.065,-0.2135,-5.9075,2.48275,59.775,100.9,393.176,0.68,-60.83,-0.47325,-3.047
1,2.75,0.195,-4.2275,1.10575,0.6225,0.373,-0.203,-37.2075,-0.75075,-6.0205,2.448,60.485,100.9,392.392,0.665,-62.2475,-0.47525,-3.2185
1,3.25,0.1815,-4.2075,1.1315,0.62625,0.3535,-0.256,-34.952,-0.489,-6.15,2.427,62.275,100.925,393.678,0.675,-60.63,-0.474,-2.94675
1,3.75,0.178,-4.5315,1.2075,0.6495,0.291,-0.158,-38.1505,0.016,-6.2115,2.40925,63.86,100.9,393.81,0.7275,-60.5925,-0.475,-3.041
1,4.25,0.1575,-4.64825,1.1555,0.5845,0.2115,-0.11125,-40.547,-0.298,-6.1995,2.403,63.7475,100.9,393.3965,0.725,-61.9725,-0.47525,-3.028
1,4.75,0.188,-4.7015,1.1385,0.5615,0.169,-0.161,-41.9435,-0.18475,-6.1875,2.505,64.8555,100.9,392.8335,0.63,-60.685,-0.475,-3.013
1,5.25,0.187,-4.902,1.23675,0.6065,0.415,-0.178,-38.473,-0.302,-6.13625,2.4045,64.97,100.9,392.7735,0.6475,-58.6725,-0.46425,-2.9795
1,5.75,0.19775,-4.957,1.1865,0.456,0.227,-0.28625,-36.848,-0.08,-6.22275,2.4235,66.0375,100.8505,393.432,0.6375,-57.1325,-0.464,-2.93075
1,6.25,0.216,-4.5775,1.15975,0.365,0.33125,-0.4225,-34.75825,-0.4765,-6.28875,2.47675,65.21775,100.9,393.319,0.6275,-57.305,-0.17675,-2.74125
1,6.75,0.212,-4.519,1.10325,0.381,0.2205,-0.4335,-29.635,-0.18075,-6.2905,2.55975,65.11275,100.975,393.83375,0.6225,-54.615,-0.0895,-2.71425
1,7.25,0.2175,-4.3175,1.22075,0.201,0.25,-0.5195,-27.384,-0.592,-6.29375,2.6125,64.11,101,393.1795,0.61,-50.725,2.0695,-1.807
1,7.75,0.25125,-3.89975,1.1415,0.009,0.31175,-0.67125,-19.919,0.166,-6.276,2.657,61.6075,100.95,392.827,0.67,-31.755,15.665,2.8165
1,8.25,0.2775,-3.36875,1.22875,-0.6105,0.227,-1.122,-3.43175,0.705,-6.2355,2.7325,57.6175,101,392.00875,0.74,1.2985,40.9575,8.1275
1,8.75,0.35375,-2.6505,1.25525,-0.92575,0.16625,-1.089,11.39175,4.611,-6.21075,2.83025,54.785,101,392.32025,0.8175,23.6275,65.9725,10.145
1,9.25,0.399,-2.0785,1.5595,-1.0605,-0.049,-1.022,27.355,5.251,-6.07625,2.89925,52.6375,101,392.67825,1.065,45.2925,91.55,11.885
1,9.75,0.45325,-1.021,1.57925,-1.9645,-0.8125,-1.45,43.90325,7.93,-5.81225,2.94925,51.1275,101,392.467,1.25,56.0375,102.9,14.82
1,10.25,0.447,-0.80025,1.661,-1.447,-1.15,-1.144,33.679,5.472,-5.22125,2.97125,47.93,100.9,390.824,1.5725,67.1725,129.15,18.265
1,10.75,0.4645,-0.295,1.705,-1.632,-1.1245,-0.781,50.3835,8.211,-5.02925,3.00125,45.1375,100.9,391.678,1.8925,76.775,126.22575,18.0675
1,11.25,0.486,0.0875,1.821,-1.85375,-1.2645,-0.58375,75.7585,10.78475,-4.67375,3.0475,42.1925,100.801,391.34625,2.075,66.0025,127.925,16.5175
1,11.75,0.476,0.108,1.842,-1.5155,-1.1495,-0.645,72.5055,11.913,-4.4995,3.088,41.0425,100.77575,391.977,2.3275,70.925,132.75,16.2325
1,12.25,0.49225,0.39025,1.581,-1.265,-0.91675,-0.5355,64.0185,14.25,-4.27475,3.10575,38.33,100.725,392.228,2.4725,72.725,126.75,15.23
1,12.75,0.4605,0.526,1.70325,-1.668,-1.4035,-0.484,61.9175,9.85975,-4.049,3.098,38.605,100.725,391.7345,2.345,55.675,111.75,13.5125
1,13.25,0.4535,0.7015,1.75775,-1.03875,-0.664,-0.37925,49.4535,9.78675,-4.1545,3.077,38.04,100.7,392.113,2.37,46.59,107.9,13.1575
1,13.75,0.4295,1.1125,1.716,-0.923,-0.6255,-0.293,31.5115,7.176,-3.98625,3.105,37.77,100.62575,391.325,2.58,37.73,95.8,10.1125
1,14.25,0.3655,1.27925,1.637,-0.766,-0.82175,-0.1835,16.69,8.3975,-3.77,3.09475,37.26,100.7,391.2575,2.525,25.04,68.5025,8.3025
1,14.75,0.33275,0.8095,1.554,-0.0425,-0.25125,0.01425,-3.21075,4.505,-3.7765,3.0735,37.7175,100.7,390.408,2.2175,4.7465,46.995,5.0085
1,15.25,0.329,0.3215,1.489,-0.09475,-0.033,-0.104,-13.584,2.3255,-3.9585,3.01025,38.76,100.7,390.7265,2.2275,-8.56,33.5425,2.772
1,15.75,0.254,0.1395,1.346,0.286,0.012,-0.012,-14.926,0.2255,-4.17825,2.92575,40.2125,100.7,390.482,2.15,-16.99,8.44,-0.57525
1,16.25,0.18275,-0.01125,1.192,0.453,0.03075,0.069,-20.27475,0.302,-4.30225,2.8275,41.2775,100.7,391.1985,2.06,-33.8225,1.1175,-1.5
1,16.75,0.163,-0.3035,1.112,0.94525,0.1595,0.26475,-29.19225,0.068,-4.361,2.754,43.2875,100.7,391.8115,1.875,-58.6175,0.18075,-2.3015
1,17.25,0.149,-0.8135,1.055,1.0075,0.1995,0.2095,-34.04625,-0.128,-4.34275,2.69075,45.3925,100.75,392.4785,1.74,-70.3,-0.329,-3.117
1,17.75,0.149,-1.076,1.106,0.79,0.195,0.13325,-35.07,-0.29175,-4.377,2.64425,46.22,100.8005,392.293,1.6475,-68.6,-0.47625,-3.18425
1,18.25,0.14,-1.349,1.017,0.849,0.109,0.061,-30.1845,-0.174,-4.55475,2.605,47.805,100.87525,392.985,1.5775,-67.35,-0.4775,-3.18775
1,18.75,0.16475,-1.704,1.052,0.8085,0.20325,0.0905,-36.541,-0.0055,-4.65325,2.54875,49.1225,100.8,393.1445,1.595,-66.4475,-0.47625,-3.194
1,19.25,0.1595,-1.7055,1.139,0.82325,0.2375,0.0935,-37.83475,-0.4275,-4.938,2.54925,49.905,100.8,393.1745,1.495,-66.37,-0.476,-3.164
1,19.75,0.1805,-1.796,1.136,0.64775,0.1865,0.1215,-34.83975,-1.206,-4.99775,2.5125,50.5975,100.8,393.2565,1.31,-67.1,-0.477,-3.03625
1,20.25,0.2055,-2.145,1.168,0.906,0.126,-0.081,-37.6065,-0.22025,-5.23125,2.47075,50.505,100.9,393.586,1.215,-66.1,-0.47575,-3.03825
1,20.75,0.17,-2.2245,1.141,0.8385,0.324,-0.019,-36.913,-0.0225,-5.3825,2.42525,50.635,100.801,393.667,1.07,-66.855,-0.476,-2.82325
1,21.25,0.1735,-2.45425,1.129,0.80225,0.24,0.0525,-37.4815,-0.078,-5.5195,2.372,51.025,100.801,393.61,0.985,-66.635,-0.47725,-2.882
1,21.75,0.16675,-2.77625,1.208,0.758,0.21475,0,-34.572,-0.392,-5.5535,2.344,51.8725,100.801,393.522,0.9475,-66.3375,-0.477,-2.8885
1,22.25,0.16,-3.169,1.119,0.72175,0.192,-0.116,-38.88,-0.369,-5.6055,2.358,53.5,100.9,393.595,0.8875,-64.7925,-0.47525,-2.8295
1,22.75,0.192,-3.5155,1.098,0.6865,0.292,-0.19325,-39.81825,-0.3535,-5.612,2.34925,54.965,100.801,393.264,0.8675,-64.715,-0.47525,-2.80675
1,23.25,0.187,-3.7375,1.098,0.6655,0.2925,-0.2255,-36.45675,-0.351,-5.6595,2.32875,56.38,100.801,394.0245,0.83,-63.6825,-0.477,-2.817
1,23.75,0.17,-3.749,1.207,0.44625,0.2165,-0.1305,-36.5495,-0.097,-5.70675,2.313,57.7575,100.80025,394.27775,0.7975,-64.22225,-0.475,-2.92925
2,0.25,0.1755,-4.1475,1.12725,0.383,0.221,-0.194,-37.881,-0.318,-4.05475,1.36,57.8075,100.8005,391.531,0.885,-64.01725,-0.47825,-3.08425
2,0.75,0.15625,-4.28875,1.03325,0.4645,0.15825,-0.235,-36.57625,-0.202,-4.12325,1.3675,57.8475,100.8,391.36825,0.94,-62.165,-0.48175,-2.959
2,1.25,0.167,-4.3485,1.068,0.39725,0.156,-0.17025,-40.077,-0.371,-4.1695,1.42,58.255,100.8005,391.63475,0.84,-62.135,-0.477,-3.27575
2,1.75,0.1545,-4.5075,1.062,0.429,0.1,-0.239,-37.7265,-0.388,-4.2065,1.405,58.705,100.8005,391.81125,0.82,-59.67,-0.481,-3.07125
2,2.25,0.15775,-4.6335,1.109,0.3265,0.19175,-0.1515,-36.533,-0.39425,-4.2585,1.385,58.285,100.8005,391.92025,0.805,-61.745,-0.481,-2.985
