DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
1,0.25,0.53475,5.12025,2.50275,1.365,1.29425,0.371,-7.72775,2.871,-2.4285,5.985,91.425,102,405.12025,1.96,-14.2975,-0.006,-1.5045
1,0.75,0.57575,5.13575,2.49225,1.5385,1.43275,0.35875,-9.50675,2.541,-2.46575,5.94,90.625,102,404.7585,1.9625,-13.06,-0.006,-1.3925
1,1.25,0.548,4.856,2.54375,1.4315,1.162,0.4045,-9.4,2.32,-2.51675,5.9075,90.55,102,405.676,1.925,-13.095,-0.006,-1.34375
1,1.75,0.543,4.854,2.4845,1.545,1.1375,0.308,-10.50975,2.239,-2.57325,5.8525,90.825,102,406.39225,1.9925,-12.7275,-0.006,-1.36375
1,2.25,0.536,4.9375,2.4745,1.38875,1.2395,0.2505,-10.7025,1.85825,-2.67125,5.7875,90.275,102,407.042,1.96,-11.4725,-0.006,-1.33675
1,2.75,0.535,4.80575,2.43875,1.2515,1.316,0.252,-14.41975,1.66525,-2.68025,5.765,90.725,102,408.01925,2,-13.945,-0.006,-1.46925
1,3.25,0.472,4.8905,2.392,1.41225,1.15175,0.35275,-13.6305,1.656,-2.71525,5.7625,90.825,102,408.176,2.0175,-14.45,-0.006,-1.5415
1,3.75,0.503,5.03475,2.36825,1.5775,1.27,0.291,-14.221,2.291,-2.55275,5.745,91.1,102,407.962,2.03,-14.165,-0.006,-1.5775
1,4.25,0.484,4.946,2.48125,1.558,1.28425,0.32225,-12.691,1.468,-2.58,5.745,91.65,102,406.2715,1.9625,-13.94,-0.006,-1.4505
1,4.75,0.51,5.1215,2.3185,1.489,1.275,0.412,-11.27175,1.62575,-2.5755,5.745,92,102,406.55,1.93,-15.6,-0.005,-1.60675
1,5.25,0.464,4.9715,2.2825,1.199,1.21,0.381,-13.5835,2.523,-2.46425,5.71,91.25,102,406.12,1.9225,-14.055,-0.001,-1.75525
1,5.75,0.489,4.5105,2.3735,1.054,1.36475,0.29825,-9.382,1.948,-2.36225,5.695,91.775,102,406.1,1.89,-11.475,0,-1.5255
1,6.25,0.49125,4.729,2.335,1.322,1.4825,0.3865,-8.704,1.78575,-2.40375,5.72,91.25,102,405.936,1.8825,-7.115,0,-0.6335
1,6.75,0.559,4.79225,2.40225,1.321,1.3155,0.284,4.2965,2.54525,-2.51075,5.7275,90.925,102,406.07925,1.875,-4.881,0.53625,1.65325
1,7.25,0.573,5.01675,2.5325,1.448,1.275,0.327,7.4375,4.581,-2.688,5.7525,91.05,102.02525,404.83825,1.8875,-1.628,9.95,5.6645
1,7.75,0.59925,5.2005,2.58875,0.9835,1.03275,0.017,16.365,6.855,-2.68575,5.76775,91.35,102.0505,403.8975,1.935,5.68125,55.79,21
1,8.25,0.71075,5.50625,2.772,0.741,1.371,-0.232,44.13225,9.7905,-2.407,5.805,90.575,102.101,403.7845,2.2325,32.745,126.075,31.09
1,8.75,0.74925,6.07625,2.95475,0.55375,1.193,-0.236,104.4825,15.95,-1.99775,5.9225,87.5,102.101,400.72875,2.5975,72.275,204.25,36.2975
1,9.25,0.831,6.61175,3.05025,1.067,1.767,-0.189,147.299,26.9745,-1.55925,5.9725,84.85,102.10075,399.825,2.935,122.475,277.9,40.2
1,9.75,0.83575,7.115,3.1255,0.429,1.21175,-0.179,175.0445,27.2905,-0.81025,6.0325,81.9,102.101,399.0185,3.45,164.85,327.675,44.0925
1,10.25,0.82,7.41,3.248,1.022,1.537,-0.092,185.876,27.83225,-0.3045,6.0975,78.275,102,398.301,3.7375,201.05,368.175,46.6775
1,10.75,0.893,8.09,3.333,0.791,1.1955,-0.1465,217.078,36.721,0.2425,6.28425,77.55,102,397.79775,4.315,234.8,417.775,51.7475
1,11.25,0.88,9,3.206,0.654,0.9915,-0.000750000000000001,232.22475,38.62225,0.82525,6.3475,73.275,101.9,397.769,4.685,251.775,431.225,55.7325
1,11.75,0.862,9.1175,3.172,1.0445,1.113,-0.01975,212.4115,37.626,1.38725,6.3875,71.65,101.9,397.9485,4.7275,247.025,438.35,56.0175
1,12.25,0.89375,9.4325,3.356,1.1315,1.24775,-0.05025,219.1135,39.489,1.911,6.52,69.5325,101.9,398.0495,5.0325,253.675,447.175,55.4025
1,12.75,0.87825,9.12,3.2425,0.71125,0.732,0.11825,193.43225,32.37325,1.9795,6.586,67.3,101.87525,397.6095,5.595,238.55,412.3,53.855
1,13.25,0.8375,9.1,3.12,0.56325,0.725,0.19075,173.483,27.192,2.276,6.6975,66.13,101.87525,397.29375,5.76,216.5,389.05,46.64
1,13.75,0.808,9.3825,3.205,0.902,0.993,0.241,144.642,25.375,2.566,6.865,66.79,101.9,396.8615,6.0725,192.675,366.725,45.315
1,14.25,0.77775,9.5275,3.056,1.168,0.9615,0.24175,120.02975,26.8585,2.663,6.9525,67.8975,101.9,397.52425,6.015,154.8,318.65,40.315
1,14.75,0.7435,9.1175,3.081,1.21025,0.9975,0.4365,80.512,18.652,2.5875,7.035,69.295,101.87525,398.219,6,105,257.55075,33.455
