DOY2,HR2,NEE,FC,LE,H,USTAR,SC,CO2_1_1_1,H2O,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,TA,RH,WS,PA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_5_1,G_1_1_1,U_SIGMA,W_SIGMA,V_SIGMA
1,0.25,-1.125625,-2.609775,-6.14175,-32.471925,0.017875,-2.836325,418.8244,1.938425,-94.1854,0,-2.833,-0.939575,173.04105,222.3914,-16.4145,65.6035,0,97.673875,-1.560025,-1.236525,-0.364875,1.2754,-32.46015,0,0,0
1,0.75,-1.36025,-1.616575,-16.05595,-39.8365,0.017375,-0.6395,418.470375,2.6285,-90.4209,0,-2.9544,-1.165875,175.452025,221.72235,-17.293,64.84575,0.0584500000000001,97.574125,-1.74655,-1.374625,-0.37815,1.27485,-32.933575,0.01954,0.00588000000000001,0.0224
1,1.25,-0.8954,-2.1406,-5.286,-47.86135,0.0307,-0.3283,419.146175,2.43745,-84.54005,0,-2.6145,-1.224175,178.37845,221.381275,-17.50425,64.9055,0,97.3875,-1.832075,-1.464825,-0.390625,1.27485,-29.68285,0,0,0
1,1.75,-0.57565,-3.01895,-8.83095,-33.5356,0.020875,-0.8596,419.333,2.90645,-85.109025,0,-2.6251,-1.1508,178.153925,227.792925,-17.62575,63.49775,0,97.625625,-1.84675,-1.525475,-0.4024,1.274075,-30.760075,0,0,0
1,2.25,-1.10665,-2.6795,-4.608025,-42.474875,0.02525,-0.3179,418.509,0.6378,-78.92525,0,-2.637175,-1.017275,185.339725,224.752475,-17.227,63.34075,0,97.6575,-1.860725,-1.63765,-0.414225,1.2733,-33.199925,0,0,0
1,2.75,-1.1732,-2.11175,-5.316225,-42.1242,0.021,-0.24975,418.231,2.293675,-83.9811,0,-2.74535,-0.842825,181.941025,222.551475,-18.567,65.43525,0,97.43,-1.8892,-1.745775,-0.425575,1.2733,-31.9884,0,0,0
1,3.25,-1.0896,-3.30845,-5.752125,-53.20405,0.0213,-0.184075,418.284575,0.43315,-86.63485,0,-2.88235,-0.66795,174.1352,223.310225,-17.3675,65.64775,0,97.480425,-1.93775,-1.8474,-0.43645,1.272525,-33.986675,0,0,0
1,3.75,-0.9955,-1.263975,-5.544575,-46.7528,0.032875,-0.412,418.297525,1.089075,-86.457125,0,-2.926575,-0.594325,171.29865,222.12335,-17.22175,66.2385,0,97.49375,-2.020775,-1.96635,-0.446325,1.272525,-36.163675,0,0,0
1,4.25,-1.1647,-1.5055,-5.6232,-45.673,0.020875,-0.24975,418.07,2.185,-94.5177,0,-2.898375,-0.4372,169.100175,222.236925,-17.6865,66.93125,0,97.49825,-2.148175,-2.072075,-0.4562,1.2723,-36.175175,0,0,0
1,4.75,-1.29425,-2.17825,-4.275,-52.5585,0.0288,-0.41375,419.3203,1.241475,-91.690425,0,-2.871325,-0.345875,170.214875,223.37325,-17.31325,65.00775,0,97.5092,-2.3022,-2.12265,-0.466125,1.271525,-40.07375,0,0,0
