DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_2_3_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,427.086,3.3405,420.706,3.54,1987.49,427.228,3.296,421.355,3.441,1988.107,427.3745,3.194,421.1875,3.938,1989.721,427.559,3.1675,419.526,3.682,1991.0835,428.132,3.0155,423.07,3.572,1988.363,1.3005,-7.5125,0.2045,421.536,3.207,0.208,0.072,0.4615,-0.452,-0.2105,0.242,-15.361,-1.073,0.638,1.07,0.91,0.74,0.345,-7.544,-7.677,-7.473,-7.889,-7.916,-9.393,78.5185,79.17,0.714,-8.98,-8.89,-8.04,-4.81,0.3,-1.76,1.2,-0.9,0.02,251.8,273.55,-25.285,285.9,289.05,0.17,-0.19,0.2,0,-0.21,-0.105,0.05,-0.03,-0.05,-1.863,-1.568,-1.256,-0.629,-0.236,0.296,0.489,-1.392,-1.172,-0.9955,-0.111,-3.007,-2.549,-2.379,-1.4035,-0.678,-0.0605,0.2245,-1.72,-1.481,-1.0605,-0.4765,-0.509,0.372,0.6705,1.0295,-3.2915,-3.093,-2.693,-2.201,-1.855,-1.3835,-1.36,-1.403,-1.145
1,0.75,427.477,3.411,420.983,3.5325,1988.796,427.4205,3.208,421.498,3.48,1990.094,427.681,3.1735,420.752,3.965,1988.784,427.887,3.146,420.918,3.822,1988.575,428.376,2.806,424.357,3.024,1989.15,1.2715,-7.4475,0.2155,421.9695,3.094,0.188,0.036,0.247,0.4645,-0.52,0.2205,-18.548,-1.5225,0.6435,1.07,0.87,0.72,0.34,-7.634,-7.5,-7.661,-8.057,-7.904,-9.486,78.523,78.99,0.697,-9.28,-9.21,-8.59,-4.9,0.4,-2.03,1.3,-0.89,-0.06,251.8,272.5,-26.87,286.1,289.2,0.18,-0.19,0.21,0,-0.22,-0.095,0.05,-0.03,-0.05,-1.883,-1.572,-1.2515,-0.6295,-0.275,0.289,0.485,-1.403,-1.167,-1.004,-0.112,-3.012,-2.561,-2.375,-1.408,-0.678,-0.057,0.216,-1.725,-1.482,-1.0595,-0.467,-0.51,0.3715,0.667,1.0205,-3.302,-3.099,-2.699,-2.199,-1.855,-1.384,-1.346,-1.356,-1.04
1,1.25,427.558,3.3575,420.4465,3.707,1988.841,427.7055,3.206,420.368,3.858,1988.759,427.928,3.151,421.171,4.014,1990.079,427.852,3.0725,420.503,4.091,1991.1935,428.084,2.888,424.267,3.474,1989.4445,1.341,-7.379,0.191,422.1465,3.121,0.2905,0.037,0.379,-0.58,-0.162,0.224,-17.152,-0.924,0.593,1.04,0.885,0.73,0.3,-7.644,-7.683,-7.634,-7.891,-7.937,-9.6055,78.506,79.51,0.6745,-9.32,-9.29,-8.555,-5.065,0.4,-1.86,1.25,-0.925,-0.06,248.3,274.15,-26.65,286.4,288.7,0.19,-0.19,0.21,0,-0.21,-0.02,0.05,-0.03,-0.06,-1.882,-1.582,-1.255,-0.669,-0.28,0.281,0.486,-1.391,-1.1605,-1.004,-0.1575,-3.0205,-2.5675,-2.377,-1.4095,-0.721,-0.059,0.221,-1.728,-1.482,-1.057,-0.466,-0.508,0.371,0.666,1.02,-3.297,-3.094,-2.696,-2.202,-1.855,-1.38,-1.263,-1.361,-0.974
1,1.75,427.539,3.227,421.782,3.4445,1989.8465,427.514,3.199,422.5115,3.42,1990.7455,427.897,3.1145,422.0915,3.3495,1989.404,427.676,3.099,421.228,3.6735,1988.547,428.285,2.8895,424.381,3.309,1989.458,1.386,-7.64,0.205,422.223,3.2585,0.258,0.0305,0.259,-0.8085,-0.193,0.231,-23.998,-0.654,0.636,1.015,0.85,0.69,0.35,-7.6135,-7.615,-7.564,-7.821,-7.873,-9.906,78.5055,79.82,0.661,-9.01,-9.02,-8.45,-4.99,0.4,-1.91,1.5,-0.88,-0.015,254.55,272.55,-24.995,286.5,288.75,0.19,-0.185,0.2,0,-0.215,-0.04,0.05,-0.03,-0.05,-1.893,-1.581,-1.257,-0.671,-0.277,0.28,0.486,-1.358,-1.155,-1.031,-0.223,-3.0155,-2.565,-2.377,-1.405,-0.7235,-0.057,0.224,-1.7285,-1.49,-1.054,-0.4885,-0.509,0.3685,0.667,1.0275,-3.2885,-3.089,-2.688,-2.202,-1.855,-1.37,-1.351,-1.4185,-1.033
1,2.25,427.86,3.1995,421.335,3.463,1989.093,427.847,3.099,421.605,3.684,1990.1865,427.7025,3.068,421.186,3.847,1991.585,427.923,3.061,421.924,3.436,1991.4755,428.442,2.8855,424.956,3.069,1994.125,1.335,-7.816,0.223,422.13,3.17,0.18,0.019,0.294,-0.5315,-0.057,0.22,-18.9595,-0.83,0.546,1.02,0.86,0.69,0.35,-7.84,-7.982,-8.007,-7.797,-7.964,-9.917,78.5,79.89,0.7,-8.91,-8.81,-8.39,-5.005,0.3,-1.925,1.55,-0.88,-0.02,254.6,273.7,-27.2,286.95,288.85,0.19,-0.18,0.22,0,-0.22,-0.04,0.05,-0.03,-0.05,-1.889,-1.579,-1.254,-0.6725,-0.274,0.281,0.486,-1.369,-1.176,-1.024,-0.2255,-3.0175,-2.5755,-2.3745,-1.403,-0.683,-0.0595,0.224,-1.735,-1.4935,-1.0585,-0.496,-0.509,0.3655,0.6675,1.034,-3.3,-3.089,-2.7035,-2.205,-1.856,-1.3765,-1.319,-1.3905,-1.047
1,2.75,427.757,3.202,420.972,3.3945,1991.8425,427.539,3.215,422.234,3.4025,1991.286,427.781,3.1695,422.0165,3.8135,1992.167,427.742,3.107,420.9285,3.8055,1989.319,428.957,2.902,423.767,3.235,1990.756,1.1985,-7.8345,0.217,421.997,3.1155,0.113,0.005,0.034,-0.1365,-0.034,0.2535,-19.845,-0.8775,0.6195,0.97,0.79,0.69,0.305,-7.7765,-7.985,-8.0145,-8.017,-8.0165,-9.859,78.5095,79.9,0.7065,-9.02,-9.18,-8.66,-5.08,0.4,-1.875,1.3,-0.88,-0.02,248.5,271.95,-28.21,285.95,288.85,0.19,-0.18,0.22,0,-0.205,-0.03,0.05,-0.03,-0.05,-1.8845,-1.5775,-1.249,-0.666,-0.242,0.2835,0.484,-1.3625,-1.1685,-1.026,-0.194,-3.0205,-2.589,-2.388,-1.4055,-0.685,-0.056,0.227,-1.7315,-1.493,-1.058,-0.499,-0.507,0.366,0.6665,1.033,-3.292,-3.097,-2.712,-2.21,-1.8645,-1.38,-1.304,-1.327,-1.073
1,3.25,427.736,3.173,421.56,3.772,1991.4165,427.765,3.112,421.9555,3.885,1991.5,427.611,3.092,422.007,3.934,1989.875,427.9005,3.0805,421.603,3.811,1991.4,428.563,2.732,424.6595,3.4445,1989.8365,1.2105,-8.226,0.23,421.6565,3.246,0.1485,0.034,0.189,0.311,-0.136,0.229,-20.7385,0.148,0.6235,1.01,0.875,0.71,0.36,-8.065,-8.359,-8.146,-8.1755,-8.147,-9.882,78.519,80.01,0.6975,-9.405,-9.79,-8.585,-5.25,0.3,-1.88,1.4,-0.87,0.02,246.4,272.8,-25.87,285,288.5,0.16,-0.17,0.225,-0.01,-0.22,-0.055,0.05,-0.03,-0.05,-1.88,-1.577,-1.257,-0.6765,-0.2585,0.28,0.4845,-1.3885,-1.176,-0.999,-0.1275,-3.041,-2.603,-2.391,-1.407,-0.773,-0.064,0.227,-1.732,-1.495,-1.0765,-0.503,-0.508,0.368,0.666,1.019,-3.321,-3.109,-2.7245,-2.215,-1.872,-1.379,-1.3345,-1.414,-1.148
1,3.75,427.732,3.11,420.457,3.41,1987.4745,427.752,3.068,420.35,3.445,1990.655,427.889,3.0385,421.85,3.962,1990.383,427.826,2.966,420.366,4.0595,1991.9105,428.354,2.646,424.097,3.33,1990.1875,1.273,-8.195,0.234,422.651,3.238,0.193,0.011,0.2,-0.44,-0.177,0.239,-22.628,-0.375,0.634,1.1,0.9,0.75,0.355,-7.963,-8.4655,-8.133,-8.194,-8.057,-9.892,78.513,79.67,0.697,-9.245,-9.47,-8.475,-5.44,0.5,-1.69,1.6,-0.86,0.01,250.1,273,-25.19,285.7,287.9,0.17,-0.18,0.215,-0.01,-0.215,-0.09,0.05,-0.03,-0.05,-1.88,-1.577,-1.251,-0.668,-0.244,0.279,0.487,-1.3885,-1.176,-0.999,-0.1295,-3.0655,-2.596,-2.408,-1.404,-0.7325,-0.061,0.23,-1.736,-1.508,-1.084,-0.4945,-0.508,0.3675,0.665,1.018,-3.323,-3.122,-2.726,-2.215,-1.865,-1.381,-1.323,-1.4425,-1.1615
1,4.25,427.994,3.122,422.5835,3.3585,1991.5815,428.101,2.988,422.995,3.509,1991.692,428.0415,2.951,423.1075,3.612,1990.7165,428.0565,2.875,422.206,3.6545,1989.289,428.886,2.602,424.598,3.313,1991.8,1.266,-8.259,0.228,422.739,3.2245,0.1445,0.0725,0.216,-0.2475,-0.638,0.2115,-17.995,-0.962,0.5945,0.99,0.845,0.73,0.325,-8.393,-8.577,-8.321,-8.631,-8.5115,-10.159,78.507,79.815,0.643,-8.49,-8.92,-8.63,-5.39,0.4,-1.91,1.7,-0.85,0.02,251.2,272.1,-24.72,284.8,287.9,0.15,-0.18,0.21,0,-0.22,-0.12,0.05,-0.03,-0.05,-1.887,-1.566,-1.26,-0.68,-0.246,0.2795,0.4835,-1.398,-1.18,-1.005,-0.1315,-3.067,-2.587,-2.415,-1.405,-0.779,-0.063,0.23,-1.7445,-1.498,-1.084,-0.488,-0.508,0.367,0.665,1.018,-3.333,-3.12,-2.7265,-2.2165,-1.865,-1.385,-1.333,-1.397,-1.121
1,4.75,427.759,3.156,420.4885,3.3995,1989.509,428.072,3.1085,420.469,3.548,1990.4365,427.9765,3.089,420.468,3.731,1992.2855,428.037,2.883,423.174,3.773,1992.4335,428.588,2.596,425.5335,2.6085,1991.304,1.24,-8.598,0.252,421.723,3.173,0.29,-0.011,0.348,-0.524,-0.121,0.249,-18.0385,-0.178,0.584,0.99,0.83,0.71,0.345,-8.542,-8.606,-8.472,-8.705,-8.5145,-10.04,78.491,80.37,0.581,-8.595,-8.71,-8.285,-5.45,0.4,-1.66,1.6,-0.86,0.02,254.8,271.4,-20.34,284.5,287.4,0.15,-0.19,0.2,-0.01,-0.215,-0.08,0.05,-0.03,-0.05,-1.891,-1.563,-1.258,-0.694,-0.198,0.28,0.4825,-1.397,-1.176,-1.012,-0.1335,-3.072,-2.588,-2.411,-1.403,-0.781,-0.062,0.227,-1.752,-1.501,-1.085,-0.5035,-0.5115,0.365,0.664,1.017,-3.33,-3.127,-2.725,-2.215,-1.868,-1.388,-1.351,-1.401,-1.1835
