DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,TS_1,TS_2,TS_3,G_1,G_2,WS
1,0.25,0.02966,-77.10415,-11.609495,0.0227975,0,0.099325,-56.015,0,0,0.072649875,58.71325,96.5525,-39.205275,-1.458425,-5.934225,-5.81985,-11.4168,-6.4023,0.1977995
1,0.75,-0.18150963825,-49.39155,-4.5078325,0.024435,0,0.063075,-42.38375,0,0,0.07283225,58.6185,96.5525,-39.247875,-1.455875,-5.943275,-5.825425,-11.48375,-6.4051625,0.21306025
1,1.25,0.03546,-51.242325,-4.78375,0.033265,0,0.1247,-40.81125,0,0,0.070549975,58.264,96.5525,-39.433925,-1.462975,-5.956575,-5.837275,-11.483775,-6.451175,0.21535075
1,1.75,0.05192,-59.0181,-6.3354,0.023775,0,0.0319,-37.785,0,0,0.06946595,55.6426,96.525,-39.430325,-1.469975,-5.969425,-5.8504,-11.534575,-6.48135,0.18407725
1,2.25,0.02091,-48.683375,-6.80695,0.027415,0,0,-36.1075,0,0,0.071125225,55.056,96.5525,-39.382675,-1.473175,-5.98035,-5.86125,-11.579525,-6.5121375,0.231233
1,2.75,0.052308,-43.8457,-23.785875,0.02313,0,0,-33.48,0,0,0.070214675,56.14175,96.5525,-39.4026,-1.4812,-5.995725,-5.87365,-11.5969,-6.5344625,0.2227345
1,3.25,0.0192275,-57.50785,-5.15423,0.0228925,0,0,-33.924,0,0,0.071190725,57.18875,96.525,-39.41175,-1.487175,-5.99725,-5.8853,-11.61715,-6.55605,0.2208715
1,3.75,0.012058,-58.88235,-5.67317,0.017305,0,0,-32.292,0,0,0.070835625,56.45805,96.525,-39.517325,-1.4877,-5.990325,-5.8975,-11.632125,-6.5749625,0.253463
1,4.25,-0.277644108625,-51.386775,-9.24409,0.0214,0,0,-30.56,0,0,0.07092915,55.63765,96.525,-39.53395,-1.4841,-5.970525,-5.906975,-11.644,-6.5798375,0.2055535
1,4.75,0.0803781248,-62.6959,-3.72709,0.02341,0,0,-33.648,0,0,0.07106665,56.3963,96.525,-39.555675,-1.496725,-5.991875,-5.92175,-11.671,-6.58135,0.1749395
1,5.25,0.0152325,-55.6632,-2.2335025,0.019215,0,0.013775,-35.656,0,0,0.07215685,58.1239,96.4525,-39.51815,-1.4869,-5.95395,-5.9119,-11.701225,-6.580375,0.2005785
1,5.75,0.0605625,-60.4775,-4.41586,0.0248625,0,0,-34.268,0,0,0.071519075,60.272575,96.4525,-39.586175,-1.472025,-5.944575,-5.9019,-11.7363,-6.5765125,0.1885865
1,6.25,-0.219961696125,-52.2092,-4.87714,0.019585,0,0,-31.74,0,0,0.072891,61.3929,96.4525,-39.6025,-1.46525,-5.956775,-5.9007,-11.767575,-6.5722125,0.230537
1,6.75,-0.345634698625,-45.269425,-1.758175,0.0172,0,0,-31.99625,0,0,0.0719222,54.870825,96.48,-39.628425,-1.465175,-5.969975,-5.8984,-11.794125,-6.5647875,0.1933835
1,7.25,0.04762,-68.031,-5.45917,0.01935,0,0,-35.964,0,0,0.0709994,59.7709,96.48,-39.61355,-1.459575,-5.988525,-5.8952,-11.8146,-6.556875,0.2033195
1,7.75,0.05506,-60,-3.6642075,0.025065,0,0.009075,-32.884,0,0,0.072210025,60.15865,96.4525,-39.56245,-1.451,-5.996575,-5.891825,-11.8189,-6.5666125,0.2205275
1,8.25,0.015653,-56.794125,-5.3309775,0.03161,0,0,-36.24,0,0,0.07157295,55.4842,96.48,-39.6053,-1.45845,-6.006875,-5.8898,-11.812025,-6.58675,0.2339295
1,8.75,0.027245,-52.4292,-5.7461375,0.0198625,0,0,-43.832,0,0,0.07323305,52.2608,96.48,-39.505375,-1.45945,-5.9906,-5.886225,-11.733975,-6.603625,0.23316
1,9.25,0.012912,-62.9074,-4.24688,0.034105,0,0,-42.86,0,0,0.0728734,53.383625,96.48,-39.485425,-1.452575,-5.9727,-5.880025,-11.6445,-6.6161,0.1845205
1,9.75,0.033595,-52.165075,-3.1413625,0.02511,0,0,-43.4525,0.08541875,0,0.07336685,53.686625,96.48,-39.359175,-1.4526,-5.9666,-5.877275,-11.56685,-6.6246625,0.224066
1,10.25,0.02992,-57.95555,-3.76961,0.02497,0,0.14395,-42.7825,1.39411125,0.62422125,0.07431765,54.650125,96.48,-39.085375,-1.45035,-5.965825,-5.889825,-11.57555,-6.64005,0.226283
1,10.75,0.082556659,-37.97855,-6.23281,0.02017,1.35822,1.04735,-41.3775,5.272125,2.871115,0.078483075,54.2033,96.4075,-38.07285,-1.455925,-5.971325,-5.902925,-11.620175,-6.64635,0.184073
1,11.25,0.0665225,-47.187125,-0.797243,0.01506,4.0743725,2.5,-36.14625,10.8643375,6.5547975,0.0932267,52.184825,96.3625,-36.336275,-1.460225,-5.981975,-5.917475,-11.64995,-6.6505125,0.164513
1,11.75,0.0073355,-41.08595,-2.42508,0.03309,6.910525,4.128975,-29.18375,17.2495,9.5020725,0.10958075,52.564675,96.3625,-34.297725,-1.4602,-5.99365,-5.928825,-11.655075,-6.6573375,0.22361975
