DOY2,HR2,CO2,H2O,G_1_2_1,G_2_2_1,G_3_2_1,G_1_1_1,G_4_2_1,SG,USTAR,LE,H,FC,SLE,SH,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PPFD_OUT,TA_1_1_1,TA_1_1_2,TA_1_2_1,RH_1_1_1,RH_1_2_1,WS,PA,TS_1_2_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_1_1,TS_1_3_1,TS_2_4_1,TS_2_2_1,TS_3_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_3_2_1,TS_4_4_1,TS_3_5_1,TS_4_2_1,TS_5_4_1,TS_4_5_1,TS_2_1_1,TS_2_3_1,TS_6_4_1
1,0.25,391.8,1.627,-4.698,-3.168,-4.4085,-3.492,-3.97,-4.39,0.1281,0.02133,-1.851,0.008004,-0.02116,-0.03515,-5.6935,0.06873435,0.00392154,225.315,237.215,0.00767664,-0.0009822115,-18.2905,-19.282,-18.49,81.76765,82.34305,2.07095,95.0885,-7.19445,-6.85595,-6.56725,-6.19185,-4.71085,-1.88055,-6.4129,-6.26215,-5.0839,-5.2661,-5.064,-5.90495,-4.6141,-3.2334,-0.61964,-5.8196,-5.80325,-5.63635,-7.6054,-6.6399,-6.2419,-6.5391,-5.8064,-6.6399
1,0.75,390.95,1.288,-4.682,-3.1635,-4.482,-3.532,-4.139,-4.4305,0.13625,-0.01363,-2.512,0.025055,-0.029575,-0.03491,-8.3035,0.0330952,-0.00935139,226.2545,234.16,0.00768252,-0.0006232815,-18.25,-19.162,-18.4345,81.7227,82.4496,2.08275,95.10625,-7.19945,-6.8333,-6.5623,-6.1885,-4.71275,-1.8737,-6.40785,-6.27995,-5.0432,-5.2155,-5.0376,-5.90825,-4.5968,-3.2358,-0.69391,-5.8233,-5.7949,-5.6374,-7.6058,-6.6602,-6.2378,-6.561,-5.9449,-6.6602
1,1.25,390.8,1.19,-4.656,-3.1615,-4.5095,-3.509,-4.005,-4.477,0.1231,0.007218,-2.382,0.01526,-0.02091,-0.02909,-6.03,0.07158535,0.03052665,227.388,234.6695,0.00579653,-0.0005643105,-18.2185,-18.935,-18.488,81.64765,82.2682,2.07465,95.095,-7.19235,-6.82825,-6.5712,-6.189,-4.7134,-1.87675,-6.4481,-6.3003,-5.0817,-5.2732,-4.9962,-5.9161,-4.4376,-3.2351,-0.53879,-5.82425,-5.78155,-5.64395,-7.5919,-6.671,-6.2354,-6.5056,-5.9331,-6.671
1,1.75,390.9,1.166,-4.7165,-3.1755,-4.527,-3.493,-4.086,-4.527,0.1199,-0.00101055,-1.254,0.02301,-0.02238,-0.03494,-6.9705,0.115448,-0.008955175,226.563,235.2165,0.00534547,-0.000383883,-18.005,-18.938,-18.738,81.49975,82.79585,2.0692,95.0955,-7.1517,-6.82405,-6.59855,-6.18875,-4.71165,-1.87865,-6.4278,-6.2756,-5.07655,-5.23805,-4.97495,-5.91865,-4.5589,-3.16395,-0.587385,-5.83015,-5.81055,-5.65015,-7.589,-6.6667,-6.2305,-6.54495,-5.9033,-6.6667
1,2.25,391,1.196,-4.6975,-3.137,-4.615,-3.522,-4.1435,-4.615,0.1324,0.03078,-1.047,0.01684,-0.01513,-0.03044,-6.2125,0.121207,0.0275583,226.2785,235.7085,0.00944972,-0.000348778,-17.6695,-18.6325,-18.4665,81.254,82.55195,2.0973,95.08475,-7.1485,-6.8413,-6.642,-6.19025,-4.70385,-1.8873,-6.4218,-6.29595,-4.9555,-5.256,-5.0097,-5.9138,-4.5381,-3.2182,-0.6614,-5.8451,-5.78035,-5.65115,-7.585,-6.6587,-6.229,-6.575,-6.0555,-6.6587
1,2.75,391.05,1.2525,-4.7245,-3.1325,-4.6715,-3.517,-4.258,-4.6715,0.1373,-0.0060235,-2.322,0.02146,-0.01891,-0.02388,-5.6985,0.130766,0.0405745,226.078,236.5705,0.002337875,-0.0003718885,-17.8265,-18.457,-18.102,81.29515,82.52515,2.25375,95.083,-7.17805,-6.8389,-6.6754,-6.18555,-4.71335,-1.8824,-6.4493,-6.31825,-5.06935,-5.2673,-5.0215,-5.8834,-4.5237,-3.10905,-0.6421,-5.858,-5.7806,-5.6528,-7.5823,-6.6457,-6.2385,-6.52725,-5.9629,-6.6457
1,3.25,391.15,1.269,-4.7285,-3.13,-4.7165,-3.523,-4.301,-4.7165,0.14365,0.009777,-2.7615,0.0252,-0.01818,-0.0385,-5.38,0.1411705,0.0215571,223.4045,236.1945,0.0130493,-0.0006901755,-17.8485,-18.311,-18.198,80.9665,82.34875,2.18155,95.0705,-7.1816,-6.8853,-6.66225,-6.1811,-4.7123,-1.8936,-6.42195,-6.30345,-5.00945,-5.25765,-5.0103,-5.8901,-4.6235,-3.0977,-0.61163,-5.86485,-5.77175,-5.6542,-7.5935,-6.6466,-6.263,-6.53105,-5.96535,-6.6466
1,3.75,390.9,1.255,-4.7315,-3.1415,-4.769,-3.519,-4.302,-4.75,0.1474,-0.01872,-2.294,0.02436,-0.01382,-0.02707,-5.0855,0.1146,0.0222071,226.1315,236.586,0.011426145,-0.000573706,-17.8635,-18.351,-18.078,81.315,82.53625,2.1262,95.06075,-7.18925,-6.8851,-6.66545,-6.1774,-4.7157,-1.89165,-6.4481,-6.3404,-4.98395,-5.25355,-5.02005,-5.9167,-4.5292,-3.23225,-0.61699,-5.8671,-5.7628,-5.6526,-7.56415,-6.6192,-6.24735,-6.54165,-5.97025,-6.6192
1,4.25,390.95,1.218,-4.682,-3.17,-4.821,-3.5425,-4.231,-4.768,0.1254,-0.01959,-2.9715,0.02007,-0.009001,-0.02357,-4.281,0.08613645,0.02196005,224.2185,235.1285,-0.009125435,-0.000801383,-17.9295,-18.421,-18.101,81.383,82.6947,2.04975,95.02,-7.17145,-6.89055,-6.66025,-6.17445,-4.728,-1.88865,-6.4099,-6.3517,-4.9446,-5.2602,-4.9969,-5.9107,-4.527,-3.12465,-0.69014,-5.87235,-5.766,-5.6545,-7.5578,-6.6178,-6.25015,-6.55425,-6.05985,-6.6178
1,4.75,390.9,1.242,-4.7015,-3.1255,-4.8455,-3.584,-4.245,-4.793,0.1418,0.001351,-2.876,0.019175,-0.015075,-0.01777,-4.5335,0.04847055,0.0253067,222.855,235.083,0.001268397,-0.0005731585,-17.857,-18.212,-18.266,81.474,82.4461,2.0193,94.988,-7.1837,-6.8905,-6.65685,-6.17095,-4.7285,-1.8959,-6.4582,-6.3523,-4.97925,-5.24625,-5.0257,-5.90795,-4.5697,-3.2493,-0.595275,-5.8784,-5.77785,-5.64885,-7.5468,-6.6101,-6.24655,-6.5458,-6.0659,-6.6101
