DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,SW_DIF
1,0.25,420.960979,8.239489,2125.009402,0.41750325,-4.338419,-23.1795975,-11.0718595,0.800422,0.939389,0.089935,-0.054337,0.301558,0.085361,101.577,86.2,6.349,0.541514,13.598868,0.114992,8.2688335,9.0016665,9.835,9.835,9.835,-69.11723825,0,0,-3.629857,0.549451,275.454195,337.980748,-0.363196
1,0.75,420.58302875,8.264633,2097.083488,0.094295,-7.524431,-23.654857,-8.7247225,0.063822,1.033738,0.079416,-0.055701,0.272011,0.08676,101.581,85.875,5.9495,0.504394,13.286797,0.119045,8.1901665,8.885,9.786667,9.786667,9.786667,-68.514527,0,0,-3.527607,0.42735,274.501389,337.835856,-0.363196
1,1.25,420.948014,8.1533075,2129.855865,0.2766845,-6.14430075,-24.410523,-8.14661825,1.0962715,1.00098,0.089394,-0.049737,0.260687,0.093579,101.588,86.9,5.89225,0.3820425,13.032507,0.104156,8.2226665,8.73,9.735,9.735,9.735,-65.31051675,0,0,-3.578732,0.42735,275.731991,336.91104175,-0.363196
1,1.75,423.23120975,8.0927335,2119.373599,-0.228051,-3.616537,-24.6782305,-8.4542655,0.80684025,1.00530025,0.089396,-0.0544315,0.2709155,0.1002295,101.606,86.9,5.5155,0.212015,12.80040125,0.11696,8.119833,8.595,9.6783335,9.6783335,9.6783335,-64.47556475,0,0,-3.46370175,0.42735,274.79593,335.91228,-0.363196
1,2.25,422.98188,8.14218775,2141.23717975,-0.0311005,-3.3311915,-24.500817,-7.70597425,0.9837485,0.83422,0.0892975,-0.057544,0.2687315,0.0932375,101.616,87,5.4735,0.164948,12.69877475,0.121714,7.832,8.5021665,9.5683335,9.5683335,9.5683335,-66.62134625,0,0,-3.41257675,0.4731375,278.080989,335.06966425,-0.363196
1,2.75,422.329415,7.756665,2137.965267,-0.3109695,-6.040324,-24.080368,-6.17078875,-0.011175,0.864647,0.08165275,-0.05609125,0.29001825,0.093449,101.627,87,5.3245,0.1602245,12.36362825,0.125808,7.7088335,8.4326665,9.453333,9.453333,9.453333,-65.822914,0,0,-3.46370175,0.3663,276.50695375,334.7130555,-0.363196
1,3.25,419.958599,7.86563575,2176.478099,0.394495,-3.9772755,-22.2961915,-6.223965,0.81079025,0.995206,0.079555,-0.057404,0.27792775,0.081918,101.612,86.8,5.386,0.171464,12.30493075,0.119631,7.678667,8.345833,9.365,9.365,9.365,-66.481357,0,0,-3.41257675,0.30525,276.96885975,334.322407,-0.363196
1,3.75,421.284994,7.602754,2176.423082,0.268846,-2.282754,-21.62044525,-7.6689325,-0.182241,0.9016145,0.085795,-0.0481755,0.28567975,0.09249925,101.57825,88,5.171,0.177915,12.13294625,0.11960775,7.7346665,8.4278335,9.285,9.285,9.285,-58.16367875,0,0,-3.476483,0.30525,280.6954635,334.030422,-0.363196
1,4.25,422.332272,7.531689,2165.9313645,0.131625,-1.0945145,-21.665259,-8.7388825,0.877367,0.99288025,0.0891295,-0.05467175,0.28294475,0.09686975,101.5725,89,5.129,0.173016,11.9183495,0.11760375,7.7785,8.431667,9.1983335,9.1983335,9.1983335,-61.283767,0,0,-3.41257675,0.30525,276.21917525,334.808508,-0.363196
1,4.75,424.2003355,7.1142965,2185.029876,0.13495775,-2.452106,-22.2363905,-9.099609,0.0499285,0.990744,0.0912325,-0.048053,0.29838875,0.103714,101.547,88.4,5.1085,0.139944,11.73224675,0.10857075,7.650333,8.4343335,9.1133335,9.1133335,9.1133335,-60.6412885,0,0,-3.41257675,0.3663,279.69866275,333.6397875,-0.363196
1,5.25,423.72976925,7.128384,2160.341379,0.42702775,-4.5377555,-22.36543925,-7.27958,0.529801,1.04381325,0.07954575,-0.05487925,0.2995115,0.08553275,101.518,87.9,4.8845,0.106729,11.2460775,0.114373,7.5466665,8.3453335,9.083333,9.083333,9.083333,-59.01044575,0,0,-3.41257675,0.30525,282.835973,333.5827605,-0.363196
1,5.75,421.30400375,7.200637,2153.7038865,0.25775525,-5.127774,-22.98737875,-7.01934925,1.65999275,0.96248125,0.08149225,-0.0577155,0.2810375,0.09602725,101.51575,89,4.706,0.1201765,11.10278675,0.1257825,7.5838335,8.2085,9.0383335,9.0383335,9.0383335,-52.68259775,0,0,-3.323108,0.3663,285.6770195,333.149734,-0.363196
1,6.25,421.974577,7.615976,2169.230244,0.64018775,-2.717478,-23.00755975,-5.436737,0.37328925,0.84389625,0.09085275,-0.059774,0.264578,0.09877525,101.54075,89.1,4.7685,0.1039675,10.826916,0.11118325,7.3836665,8.138,9.006667,9.006667,9.006667,-51.1935725,0,0,-3.323108,0.3663,286.92264975,332.1475475,-0.363196
1,6.75,421.010049,7.2854345,2113.646875,0.30510025,-1.715903,-22.32654125,-5.84216575,-0.30283925,0.83478025,0.09426025,-0.054989,0.29184125,0.0900055,101.57225,89.9,4.4915,0.0996785,10.74969175,0.12188325,7.4253335,8.0865,8.9816665,8.9816665,8.9816665,-46.95950425,0,0,-3.34867075,0.3663,289.93918875,331.5640595,-0.363196
1,7.25,422.0761465,7.242739,2158.36068675,0.54489025,-2.2253465,-21.979962,-5.939364,0.998169,1.08668575,0.0905045,-0.0634295,0.30336,0.09864675,101.60525,90.1,4.447,0.0885955,10.67239575,0.11025,7.37,7.9665,8.915,8.915,8.915,-44.8860135,3.04802975,0.239234,0,0.42735,289.9740165,332.260519,2.542373
1,7.75,422.8590135,7.2135665,2147.8324775,0.19138475,-0.000395000000000006,-21.665888,-7.645215,2.08576,1.140657,0.09638475,-0.06109725,0.313751,0.106587,101.61825,90.5,4.425,0.0897025,10.64579075,0.12016,7.437167,7.9463335,8.8566665,8.8566665,8.8566665,-21.9734025,27.2475365,1.315789,13.1007155,1.282051,287.34574125,333.72044325,23.849879
