DOY2,HR2,CO2,H2O,FC,NEE,CH4,FCH4,H,LE,WS,USTAR,W_SIGMA,V_SIGMA,U_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA_1_1_1,TA_1_2_1,TS_1,TS_2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,394.479350380308,4.14832904012551,0.484229771422552,0.484229771422552,2166.785,7.304923065,-2.40989,5.37165133503019,2.12194,0.19498,0.271865,0.56125,0.6347,-2.488665,0.139495,99.84775,82.839125,-3.456564,-0.571022,3.6815985,4.9245775,-16.3638,0,0,0,281.4358,302.8313
1,0.75,393.701459365305,4.1038768565932,0.580194119540619,0.580194119540619,2157.828,5.885096448,-3.68711,6.2392431093,1.97094,0.20529,0.26738,0.57099,0.63729,-3.27855,0.14759,99.8414,82.046205,-3.5511075,-0.6467803,3.6689835,4.939494,-16.72615,0,0,0,281.2818,302.11115
1,1.25,393.812083287894,4.02401883250602,0.494968051272015,0.494968051272015,2155.655,4.771207648,-2.06677,7.40934511990536,2.087875,0.191705,0.25768,0.551025,0.606365,-3.811535,0.14092,99.78935,81.618198,-3.564952,-0.677195,3.717541,4.9084365,-15.71675,0,0,0,282.936,301.61345
1,1.75,394.207614426723,4.08423296565087,0.541836262715478,0.541836262715478,2157.802,5.2640038941,-3.36341,8.77069592720926,2.13947,0.2188,0.26862,0.52997,0.61967,-3.81397,0.13835,99.8426,82.21454,-3.589677,-0.7228634,3.6947015,4.930103,-17.4003,0,0,0,281.78785,301.26515
1,2.25,394.188008050241,3.99657274770213,0.552606416413195,0.552606416413195,2162.4085,3.10546986255,-3.26014,6.37509607484217,2.22881,0.206965,0.264575,0.58776,0.657875,-3.42413,0.14409,99.8964,82.56597025,-3.360476,-0.7545869,3.65005,4.881544,-17.90095,0,0,0,281.55525,301.438
1,2.75,394.059194870305,3.98917715948256,0.380918872595356,0.380918872595356,2163.917,5.5594336419,-4.35655,6.65927255873572,2.369675,0.217315,0.28459,0.61218,0.68862,-3.02138,0.15094,99.88915,81.794,-3.3958715,-0.744335,3.6616555,4.926374,-17.50075,0,0,0,280.1308,301.18145
1,3.25,393.787809626832,4.01955900149045,0.56354108974696,0.56354108974696,2187.225,6.61975845815,-3.909,6.5939772888,2.27397,0.208795,0.281315,0.639025,0.645505,-2.47899,0.16145,99.8781,81.2013,-3.4312755,-0.7562065,3.646439,4.9184565,-18.491,0,0,0,281.9897,301.18385
1,3.75,394.725049650707,4.16342525940855,0.562586125144143,0.562586125144143,2183.428,5.5267127549,-3.19204,7.31929930171996,2.050055,0.19045,0.24314,0.545485,0.598975,-2.94231,0.15838,99.8985,82.7781618,-3.400726,-1.11507145,3.6695875,4.9423935,-16.7127,0,0,0,281.47345,300.91845
1,4.25,395.004604501919,3.98599455963974,0.511723217979127,0.511723217979127,2194.7505,5.4490509625,-2.69763,6.0199198695,1.94624,0.18704,0.24024,0.53379,0.57476,-3.22876,0.13706,99.9156,82.6968061,-3.312414,-1.4431495,3.6964345,4.9376345,-16.72895,0,0,0,278.39065,300.4993
1,4.75,394.487719936442,4.03829475503034,0.513657163888723,0.513657163888723,2181.6745,5.3909588841,-1.97043,6.85333658754659,2.05608,0.191595,0.25233,0.514095,0.61635,-3.4272,0.138005,99.9191,82.59309035,-3.3247935,-1.700996,3.6378405,4.93407,-18.43805,0,0,0,277.0035,299.58265
