DOY2,HR2,USTAR,TA_1_2_1,WS,NEE,FC,SC,H,LE,RH,PA,CO2_1_1_1,CO2_1_2_1,VPD,NETRAD,PPFD_IN,H2O_1_2_1
1,0.5,0.12,23.63375,1.8155,3.7465,2.33675,-0.71175,-21.4375,-0.976,86.375,97.55225,385.37,388.784,1.53,-31.7055,0,27.49
1,1.5,0.12625,23.473,1.7745,3.76,2.56375,-1.134,-20.4325,-0.6655,87.675,97.52625,386.307,388.93,1.3475,-32.14,0,27.297
1,2.5,0.14,23.334,1.811,4.882,3.4945,-1.081,-20.4755,-2.095,89.375,97.5,387.96,389.954,1.08,-31.689,0,27.264
1,3.5,0.15275,23.16125,1.775,5.51,3.00225,-1.098,-20.3945,-1.3965,90.8,97.5065,389.87925,392.593,0.9175,-31.368,0,27.124
1,4.5,0.17525,22.89475,1.8195,5.117,4.03675,-1.334,-20.371,-1.4245,92.37525,97.539,390.9455,393.765,0.6875,-28.926,0,27.055
1,5.5,0.1695,22.80125,1.7855,5.5925,4.5615,-1.87225,-19.334,-2.4425,93.5,97.59475,392.2135,395.4205,0.62,-25.70175,0,26.991
1,6.5,0.208,22.82475,1.6115,-0.58225,3.367,-7.56875,-10.267,0.969,93.17525,97.664,392.1605,395.032,0.7475,13.33775,104.42125,27.063
1,7.5,0.32825,23.47075,1.756,-8.418,-0.62125,-10.01875,7.9335,34.1285,90.3,97.728,387.4855,388.2535,0.81,96.73325,326.849,27.715
1,8.5,0.39,24.104,1.9685,-16.795,-10.2585,-8.09575,32.718,118.619,84.7,97.762,384.044,382.955,1.69,175.14,525.108,27.739
1,9.5,0.4095,25.093,1.877,-19.07375,-15.292,-5.5565,50.377,157.8755,79.3,97.783,377.777,378.229,3.15,236.56375,782.765,27.397
1,10.5,0.41,25.76,1.911,-20.039,-17.981,-3.202,57.814,185.453,74,97.75325,373.747,374.5905,4.93,284.5765,907.079,27.09975
1,11.5,0.389,26.02625,1.782,-20.3025,-18.711,-1.6735,63.2305,198.528,71.075,97.71675,372.3615,373.11775,5.7425,289.9005,976.00025,27.055
1,12.5,0.359,26.49525,1.7285,-19.0565,-18.2545,-1.211,58.049,195.751,68.101,97.63175,371.97275,372.6895,6.0375,323.737,940.84,26.995
1,13.5,0.3505,26.47125,1.65,-15.798,-15.6885,-0.615,52.8465,179.063,67.45025,97.519,371.6485,372.073,6.0675,284.45075,870.3345,26.75375
1,14.5,0.288,26.454,1.4905,-12.449,-11.722,-0.442,27.6955,143.1115,66.601,97.405,372.14725,372.09125,5.5925,204.65825,694.3685,27.007
1,15.5,0.26725,26.443,1.373,-7.4755,-8.688,0.5305,9.281,102.913,67.35,97.33,371.902,372.5085,5.78,102.1585,508.74,27.4575
1,16.5,0.202,26.29875,1.26025,-1.6855,-3.61425,1.044,-2.3155,45.284,68.775,97.312,372.6855,373.215,4.9525,39.6585,237.755,27.212
1,17.5,0.1165,25.508,1.155,3.61525,-0.0785,2.938,-8.9945,8.001,71.05,97.31975,373.5035,374.7325,4.0525,-14.76775,48.219,27.264
1,18.5,0.072,24.967,1.335,4.8995,0.199,2.9665,-11.612,0.5925,74.575,97.3775,376.027,378.5,3.715,-38.2785,0,27.055
1,19.5,0.089,24.67,1.5785,4.275,0.61275,1.877,-14.54875,0.33,77.475,97.455,379.62,381.854,3.37,-35.382,0,27.401
1,20.5,0.10525,24.56325,1.75,3.304,1.0865,0.15275,-18.07425,-0.3375,79.3,97.54675,382.58275,385.4825,3.0825,-35.3605,0,27.281
