DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY
1,0.25,0.2247175,0.4190655,0.415557,0.0273855,-0.820985,0.06203,2.542472,0.05680775,418.997205,4.0465165,-2.831639,-1.95529665,-0.32668765,-0.18163715,-0.27001625,-0.249790075,-6.87460725,89.254585,0.76276234775,3.5835385,0,1.39773125,285.3009,299.79295,0.01443622,99.430908,-3.52939325
1,0.75,0.209755,0.41334175,0.4158375,0.015637,-0.60596,0.122704,2.535186,0.05507825,419.5390085,4.130079,-2.91668,-2.004049375,-0.322388,-0.19161615,-0.257558575,-0.25419405,-7.13278975,89.095165,0.74738955075,3.6665,0,1.381467,287.35295,299.62515,0.01275529,99.42559,-3.6213432385
1,1.25,0.211478,0.4472025,0.478186,0.024925,-0.865074,0.144602,2.643743,0.040902,419.71434325,4.10594875,-2.8786805,-2.051326625,-0.32231805,-0.194743,-0.2443773,-0.2787309,-6.61281475,89.3869225,0.7156696425,3.509352,0,1.43557025,285.488225,299.8159,0.0140467025,99.427438,-3.70774258425
1,1.75,0.20321975,0.38518475,0.382677,0.03597275,-0.842363,0.15429975,2.06068,0.059458,419.9361815,4.08262175,-2.8204025,-2.167590625,-0.3477834,-0.18370745,-0.2280784,-0.24239125,-6.4799775,89.3294175,0.7264542445,3.3682865,0,1.470279,285.5579,299.5788,0.01385605,99.44917,-3.846578656
1,2.25,0.21368075,0.4055255,0.41721925,0.0268925,-0.006097,0.15285,2.5472055,0.050605,420.083546,4.03627975,-2.8673675,-2.235673,-0.3379534,-0.179490225,-0.2186926,-0.2296733,-6.2578335,89.70325,0.70793598,3.3205435,0,1.5555535,286.76235,298.5736,0.01251745,99.49159425,-3.827292894
1,2.75,0.2052755,0.42439,0.416088,0.02956125,-0.2994225,0.163625,2.141547,0.0614165,419.474985,4.11746475,-3.0116655,-2.2902,-0.3530013,-0.1710132,-0.2140172,-0.2393459,-6.460169,89.997305,0.690495294,3.38505025,0,1.579964,286.0496,298.3773,0.013920985,99.493354,-4.120677576
1,3.25,0.21542425,0.394639,0.4109365,0.032685,-0.004138,0.1142915,2.588093,0.060466,420.1934205,4.0795675,-3.10808075,-2.445289875,-0.350863325,-0.18287945,-0.28215255,-0.2370138,-6.37446525,89.6357375,0.6758637155,3.471832,0,1.530992,287.959825,299.070725,0.012153685,99.461456,-3.8661405
1,3.75,0.21288675,0.3936465,0.375079,0.025333,-0.000413,0.06145675,2.21058925,0.053899,419.7575705,4.054787,-3.16834175,-2.51200775,-0.361869075,-0.17385175,-0.30165695,-0.264057075,-5.8605515,90.0236625,0.64699470825,3.390326,0,1.45923275,287.6699,298.298875,0.0131383225,99.458057,-3.908046537
1,4.25,0.21677025,0.413109,0.402351,0.02901025,-0.4021855,0.1190435,2.48212975,0.05714025,419.77664775,4.0365415,-3.4147675,-2.56209175,-0.359293,-0.17156685,-0.292473625,-0.270680725,-5.70008575,90.3161225,0.66622272625,3.431356,0,1.49472175,289.019475,298.6088,0.0136686875,99.506588,-3.8077415
1,4.75,0.211471,0.365394,0.3851255,0.0281825,-0.0049935,0.130538,2.15455375,0.0673985,420.03545675,3.98943225,-3.48250875,-2.564662,-0.348829575,-0.16567495,-0.286295975,-0.268676675,-5.88405525,90.52111,0.64322299975,3.404638,0,1.459777,286.473825,298.042825,0.012444945,99.519968,-4.13599902975
