DOY2,HR2,TAU,H,LE,FC,FCH4,WS,USTAR,T_SONIC,CO2,H2O,CH4,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,PA,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_OUT_1_1_1,PPFD_IN_1_1_1,RH_1_1_1,G_1_1_1,G_1_1_2,G_1_1_3,SW_IN_1_1_1,SW_OUT_1_1_1,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1
1,0.25,-0.02652635,-12.1137,13.0825,3.84324,4.94356,0.914436,0.143903,13.3313,467.746,7.44208,2126.1,0.53269,0.548503,0.133215,0.528652,102.089,296.783333333333,349.506666666667,0.0119499999999997,0.0577333333333333,94.8133333333333,-14.3228333333333,-12.421,-16.286,0,1.1405,7.85706666666667,9.42533333333333,9.973,10.0986666666667,10.606,11.6313333333333,12.42,8.12233333333333,8.95566666666667,9.534,9.798,10.422,10.9043333333333,8.67933333333333,8.81333333333333,9.295,9.83333333333333,10.6813333333333,11.5233333333333
1,0.75,-0.02782005,-18.2116,5.2396,4.91398,7.37522,0.74051,0.126438,13.0771,459.298,7.437355,2127.005,0.615904,0.519885,0.123318,0.496393,102.095,300.846666666667,349.721666666667,0,0.0577333333333333,95.01,-14.8945,-12.6306666666667,-15.9463333333333,0,1.01111666666667,7.59263333333333,9.38466666666667,9.92233333333333,10.0663333333333,10.594,11.6463333333333,12.4276666666667,8.23033333333333,8.90266666666667,9.54666666666666,9.76966666666667,10.416,10.8993333333333,8.596,8.795,9.227,9.777,10.6553333333333,11.52
1,1.25,-0.0378752,-12.5257,5.54572,3.59683,2.733045,0.919189,0.137276,12.7239,464.32,7.63658,2134.605,0.6282,0.538779,0.141795,0.430025,102.076,304.32,348.293333333333,0,0.0577333333333333,94.9433333333333,-14.4881666666667,-10.9206666666667,-16.9166666666667,0,1.1266,7.75593333333333,9.376,9.87266666666667,10.0623333333333,10.5643333333333,11.6446666666667,12.4303333333333,8.10433333333333,8.87166666666667,9.51066666666667,9.74366666666667,10.4113333333333,10.882,8.52633333333333,8.76133333333333,9.19933333333333,9.74266666666667,10.629,11.524
1,1.75,-0.04121535,-19.6432,8.08794,4.28123,5.488525,0.845287,0.18326,13.0202,461.325,7.217485,2149.26,0.603885,0.601956,0.152147,0.577633,102.087,300.866666666667,345.46,0,0.0577333333333333,94.5566666666667,-13.4845,-11.6556666666667,-16.5353333333333,0,0.9652,7.5511,9.33566666666667,9.825,10.029,10.5626666666667,11.642,12.421,8.04763333333333,8.896,9.46833333333333,9.71533333333334,10.4016666666667,10.8196666666667,8.562,8.71233333333333,9.16266666666667,9.71,10.6133333333333,11.5296666666667
1,2.25,-0.0428621,-33.2251,8.343,3.40086,-1.5854325,0.879705,0.180082,13.0806,457.099,7.13501,2137.02,0.69303,0.597684,0.161041,0.537035,102.081,301.896666666667,346.186666666667,0,0.0577333333333333,93.1366666666667,-12.0143333333333,-11.56,-17.5066666666667,0,0.968916666666667,7.18436666666667,9.28966666666667,9.75633333333333,9.98366666666667,10.547,11.6346666666667,12.4106666666667,7.83573333333333,8.79666666666667,9.44833333333333,9.69033333333333,10.388,10.8576666666667,8.40066666666667,8.60933333333333,9.09633333333333,9.66233333333333,10.6,11.5283333333333
1,2.75,-0.0340425,-22.10135,5.10351,3.74879,1.5002018,0.665092,0.146717,12.0386,460.981,7.39464,2139.38,0.63545,0.573362,0.154522,0.476139,102.0915,299.82,343.923333333333,0,0.0577333333333333,93.1466666666667,-10.5206666666667,-11.8833333333333,-17.513,0,1.0824,7.0228,9.267,9.686,9.95233333333333,10.533,11.6373333333333,12.3726666666667,7.71066666666667,8.668,9.41366666666667,9.668,10.3543333333333,10.907,8.27,8.532,9.019,9.61733333333333,10.593,11.5296666666667
1,3.25,-0.0370705,-10.4106,4.670835,3.07446,3.19621,0.644605,0.161543,11.2502,455.638,7.471215,2134.015,0.661767,0.560453,0.149599,0.490495,102.08,301.96,343.533333333333,0,0.0577333333333333,93.8233333333333,-9.23333333333333,-11.5196666666667,-18.4003333333333,0,0.91765,6.77143333333333,9.19233333333333,9.655,9.906,10.5223333333333,11.6486666666667,12.3676666666667,7.73406666666667,8.53933333333333,9.33166666666667,9.65166666666667,10.3593333333333,10.877,8.222,8.52133333333333,8.96033333333333,9.55533333333333,10.5766666666667,11.5223333333333
1,3.75,-0.0303541,-9.29392,6.08068,2.66097,-3.18338,0.937127,0.150221,11.7467,452.968,7.31383,2132.75,0.612642,0.526643,0.158006,0.546742,102.058,303.246666666667,342.026666666667,0,0.0577333333333333,94.3366666666667,-8.27183333333333,-11.8506666666667,-19.2806666666667,0,0.94025,6.64456666666667,9.175,9.62566666666667,9.853,10.4863333333333,11.6476666666667,12.3756666666667,7.47743333333333,8.50433333333333,9.24,9.635,10.4036666666667,10.8566666666667,8.09366666666667,8.35633333333333,8.936,9.48466666666667,10.5556666666667,11.513
1,4.25,-0.0278209,-16.0481,2.93452,3.41497,5.50449,0.679028,0.1405445,12.5546,456.819,7.28601,2135.28,0.58894,0.562356,0.15627,0.487549,102.042,308.81,342.706666666667,0,0.0577333333333333,94.93,-7.41903333333333,-12.1966666666667,-18.399,0,1.02513333333333,6.9169,9.03233333333333,9.534,9.77333333333333,10.429,11.6203333333333,12.37,7.68406666666667,8.46433333333333,9.10266666666667,9.60866666666667,10.3696666666667,10.8576666666667,8.096,8.321,8.81366666666667,9.42766666666666,10.5406666666667,11.51
1,4.75,-0.0354812,-19.9012,2.73328,2.88817,4.785335,0.606334,0.173971,12.7035,458.191,7.29158,2134.095,0.626364,0.601145,0.147592,0.439167,102.035,307.803333333333,341.716666666667,0,0.0577333333333333,95.0033333333333,-6.33523333333333,-11.7556666666667,-17.7616666666667,0,0.975316666666667,6.75903333333333,8.86466666666667,9.48766666666667,9.739,10.4,11.6106666666667,12.368,7.38366666666667,8.34433333333333,9.01666666666667,9.591,10.3143333333333,10.8343333333333,7.97706666666667,8.25066666666667,8.794,9.38933333333333,10.5253333333333,11.501
1,5.25,-0.0347775,-16.2306,3.97432,2.965555,4.339505,0.61448,0.163636,12.3918,459.283,8.18978,2138.45,0.541138,0.574174,0.164888,0.413404,102.032,307.356666666667,343.846666666667,0,0.0577333333333333,94.6566666666667,-5.95758333333333,-11.648,-17.6886666666667,0,0.941833333333333,7.0218,8.73233333333333,9.41566666666667,9.67866666666667,10.396,11.6223333333333,12.3566666666667,7.01666666666667,8.13933333333333,8.937,9.45933333333333,10.251,10.8046666666667,7.90473333333333,8.173,8.74233333333333,9.37033333333333,10.5156666666667,11.491
1,5.75,-0.0584932,-25.5464,4.19897,3.47431,2.323667,0.866296,0.167772,12.9453,453.22,8.095995,2128.84,0.645181,0.596458,0.153541,0.479511,102.047,301.64,343.546666666667,0,0.0577333333333333,93.83,-5.75856666666667,-11.9483333333333,-17.9393333333333,0,0.955233333333333,6.71246666666667,8.73633333333333,9.38466666666667,9.65,10.3773333333333,11.651,12.365,7.21333333333333,8.22466666666667,8.89533333333333,9.425,10.2613333333333,10.8315,7.82973333333333,8.14866666666667,8.68833333333333,9.351,10.493,11.4733333333333
1,6.25,-0.0365302,-13.6841,3.93755,2.95021,3.19114,0.668107,0.165516,12.633,454.387,8.29343,2125.81,0.645896,0.627888,0.163787,0.380004,102.089,297.596666666667,345.133333333333,0,0.0577333333333333,93.6466666666667,-6.10766666666667,-10.4593333333333,-17.0216666666667,0,0.894633333333333,6.91653333333333,8.734,9.35133333333333,9.62633333333333,10.3156666666667,11.6426666666667,12.361,7.2867,8.225,8.85466666666667,9.39166666666667,10.2556666666667,10.8193333333333,7.86496666666667,8.12433333333333,8.649,9.27933333333333,10.4673333333333,11.481
1,6.75,-0.0417701,-19.622,3.55941,3.7913,3.03107,0.99642,0.161513,11.9794,454.142,8.14676,2123.76,0.728738,0.616158,0.158279,0.426958,102.096,304.586666666667,345.27,0.407190239279784,0.0384666666666666,92.5833333333333,-5.62468333333333,-11.6413333333333,-16.9366666666667,0,0.90915,6.99063333333333,8.735,9.352,9.607,10.2986666666667,11.6433333333333,12.35,7.24,8.208,8.818,9.37333333333333,10.27,10.813,7.84766666666667,8.08533333333333,8.60966666666667,9.22566666666667,10.447,11.491
1,7.25,-0.04701095,-20.49585,5.45075,3.30757,-3.059165,0.666199,0.184541,11.4608,453.966,7.87361,2132.255,0.706918,0.643461,0.15423,0.436675,102.107,298.576666666667,343.855,0.5062,8.3429,92.8766666666667,-5.28246666666667,-12.0006666666667,-16.5206666666667,1.20433333333333,1.28296666666667,6.17343333333333,8.70166666666667,9.329,9.59033333333333,10.3016666666667,11.6466666666667,12.3496666666667,7.0147,8.13133333333333,8.77933333333333,9.33433333333333,10.2313333333333,10.768,7.72293333333333,8.0128,8.567,9.20733333333333,10.4236666666667,11.5036666666667
1,7.75,-0.0384313,-8.55263,7.31694,2.88852,-1.0271865,0.921101,0.15073,11.7637,454.077,7.86385,2136.53,0.656963,0.568044,0.16168,0.432273,102.118,301.416666666667,342.406666666667,3.09,48.6106666666667,93.89,-5.48881666666667,-12.13,-15.335,17.009,2.57836666666667,6.11613333333333,8.68733333333333,9.26066666666667,9.56233333333333,10.2763333333333,11.639,12.358,7.2932,7.95823333333333,8.76366666666667,9.30866666666667,10.187,10.7536666666667,7.69903333333333,7.91886666666667,8.49566666666667,9.16233333333333,10.393,11.4996666666667
1,8.25,-0.031416,-5.341735,8.18966,2.452705,-3.03225,0.625434,0.1586155,12.0106,451.27,8.093285,2118.08,0.719732,0.586552,0.17768,0.443075,102.134,309.596666666667,346.165,7.54506666666667,119.015666666667,93.32,-5.03261666666667,-10.2996666666667,-12.965,49.4856666666667,5.5799,6.95436666666667,8.662,9.19033333333333,9.575,10.2383333333333,11.611,12.3613333333333,7.63313333333333,7.9524,8.75133333333333,9.24866666666667,10.136,10.7133333333333,7.72936666666667,7.8968,8.41966666666667,9.111,10.3523333333333,11.474
1,8.75,-0.04167995,5.72819,22.35715,2.61061,-2.42156,0.768792,0.166825,13.0388,449.773,8.519905,2132.62,0.617895,0.574244,0.198838,0.434964,102.203,304.59,352.55,41.4213333333333,318.58,91.63,-5.0826,-7.91396666666667,-7.6782,132.086666666667,32.605,7.9282,8.654,9.16933333333333,9.59966666666667,10.2273333333333,11.587,12.3383333333333,7.82483333333333,8.124,8.746,9.22166666666667,10.046,10.7331666666667,7.8903,7.96846666666667,8.403,9.081,10.331,11.4576666666667
1,9.25,-0.0275417,15.05455,35.0503,1.743295,-8.41125,1.1153,0.153579,14.3365,443.434,8.18704,2124.23,0.630127,0.574948,0.214383,0.444318,102.226,297.573333333333,361.966666666667,65.765,496.516666666667,85.8533333333333,-4.74701666666667,-4.074,-0.886933333333333,225.903333333333,51.6516666666667,9.392,8.667,9.21,9.58866666666666,10.22,11.5893333333333,12.34,8.0131,8.354,8.792,9.236,10.0266666666667,10.733,8.4683,8.13706666666667,8.444,9.06366666666667,10.3143333333333,11.46
1,9.75,-0.0305332,24.1579,45.9213,0.335276,-8.06469,1.47114,0.1600485,15.40775,438.4605,8.74073,2124.275,0.735825,0.5959985,0.2546735,0.4299905,102.2355,298.08,372.14,81.0496666666667,652.25,82.3676666666667,-4.31508333333333,0.444366666666667,7.99956666666667,297.17,57.8896666666667,10.947,8.88566666666667,9.295,9.60033333333333,10.235,11.6033333333333,12.3346666666667,8.97733333333333,8.67733333333333,8.88533333333333,9.26533333333333,10.024,10.72,8.93466666666667,8.50566666666667,8.52833333333333,9.06333333333333,10.2976666666667,11.4513333333333
1,10.25,-0.0576492,33.004,53.4821,-0.0899513,-5.33298,1.70066,0.205147,16.3115,434.053,8.8544,2115.02,0.797608,0.657726,0.269701,0.373462,102.189,298.461666666667,377.693333333333,95.0433333333333,779.87,73.5563333333333,-2.37513333333333,3.78106666666667,17.6811666666667,366.026666666667,59.2776666666667,11.853,9.166,9.46133333333333,9.62066666666667,10.25,11.6316666666667,12.3533333333333,9.50366666666667,9.07233333333334,9.035,9.307,10.015,10.72,9.57933333333333,8.868,8.72933333333333,9.145,10.2773333333333,11.486
1,10.75,-0.0325433,53.88405,57.9474,-0.814562,-4.17929,1.79415,0.184809,16.8655,432.8455,9.09756,2106.43,0.809749,0.66255,0.283657,0.486281,102.194,302.87,386.013333333333,105.31,896.166666666667,70.1896666666667,-1.74351666666667,7.0074,23.978,430.59,63.5873333333333,12.593,9.42366666666667,9.58533333333333,9.611,10.26,11.669,12.3756666666667,10.3743333333333,9.67433333333333,9.201,9.36233333333333,9.99666666666667,10.7343333333333,10.1593333333333,9.21566666666667,9.02166666666667,9.22233333333333,10.2633333333333,11.492
1,11.25,-0.0502973,67.95805,63.1689,-1.02181,-6.13069,1.65743,0.204384,17.7968,431.269,8.96811,2104.28,0.83013,0.742377,0.296469,0.498389,102.167,308.403333333333,389.23,109.583333333333,972.466666666667,66.844,2.01133333333333,11.9543333333333,25.8113333333333,470.21,64.907,13.535,9.74066666666667,9.75833333333333,9.63933333333333,10.2613333333333,11.693,12.3606666666667,11.2426666666667,10.1743333333333,9.40433333333333,9.44566666666667,10.0313333333333,10.7433333333333,10.6306666666667,9.581,9.20333333333334,9.33433333333333,10.26,11.507
1,11.75,-0.0631849,75.4371,66.5586,-1.17865,-8.21571,1.81264,0.229695,18.3856,428.145,9.189385,2098.34,0.830758,0.796357,0.31886,0.510917,102.129,306.43,394.096666666667,112.588333333333,1037.29666666667,66.8686666666667,0.41005,15.3866666666667,27.3196666666667,500.216666666667,69.8478333333333,14.215,9.979,9.943,9.69433333333333,10.2833333333333,11.7,12.378,11.8826666666667,10.8123333333333,9.64433333333333,9.519,10.024,10.7486666666667,11.12,9.924,9.45566666666667,9.487,10.2476666666667,11.5143333333333
1,12.25,-0.0530364,84.376,69.135,-0.377008,-3.40543,2.0408,0.213861,18.71525,427.155,9.45828,2086.43,0.763125,0.792843,0.305599,0.4990565,102.079,308.035,394.226666666667,104.063333333333,1054.66666666667,66.297,4.68146666666667,18.3996666666667,28.1076666666667,504.693333333333,60.582,14.713,10.249,10.1093333333333,9.78033333333333,10.2936666666667,11.6993333333333,12.4006666666667,12.4,11.1273333333333,9.88533333333333,9.66466666666667,10.0673333333333,10.7936666666667,11.4743333333333,10.2906666666667,9.738,9.65566666666667,10.2523333333333,11.5296666666667
1,12.75,-0.0533777,86.9216,71.3731,-0.464671,-2.43151,2.274105,0.218579,19.17685,427.3495,9.36327,2088.105,0.778179,0.784914,0.3162655,0.5760955,102.026,311.303333333333,396.266666666667,103.026666666667,1047.96666666667,64.2433333333333,6.57746666666667,19.9893333333333,29.807,505.286666666667,57.9266666666667,15.2606666666667,10.523,10.268,9.873,10.318,11.6906666666667,12.414,12.9106666666667,11.2266666666667,10.1956666666667,9.81933333333333,10.146,10.8196666666667,11.858,10.6216666666667,10.0133333333333,9.837,10.2633333333333,11.5293333333333
