DOY2,HR2,CO2,FC,H2O,H,LE,PA,RH,T_SONIC,TA,VPD,TS_1_2_1,TS_2_2_1,USTAR,WS,G_1_2_1,G_2_2_1
1,0.25,634.68175,0.585828129,5.7236315,-6.515,2,94.2837,38.5669,17.28139,15.425,14.7,15.87,16.8775,0.2573569,1.765510856,-16.63,-11.6475
1,0.75,631.86975,0.47012202025,5.684123,-3.11,1.465,94.255015,39.04395,17.344115,15.5175,14.4,15.99,16.78,0.233971475,1.5983746885,-15.34,-11.75
1,1.25,627.526125,0.55564354825,5.6638645,-5.5375,1.65,94.26834,39.435075,16.50687,14.5675,13.7,15.355,16.335,0.2215735,1.637185881,-16.18,-12.24
1,1.75,621.3853,0.407753611,5.698097,-4.5025,2.3575,94.25578,39.8963,16.50699,14.47,13.2,15.26,16.7725,0.1977168,1.594285143,-15.16,-12.04
1,2.25,629.4543,0.408565281,5.7464495,-2.525,1.68,94.24717,41.3538,15.800005,13.735,12.35,15.12,16.7025,0.2165719,1.434902885,-13.81,-10.96
1,2.75,622.0106,0.379181267,5.741184,-2.8075,1.465,94.22968,41.8352,15.42143,13.68,12.3,14.635,16.3125,0.21696465,1.57143970575,-13.5375,-10.66
1,3.25,621.2745,0.551371157,5.671184,-4.6575,1.99,94.22832,43.87157,15.35982,13.55,12.5,14.445,16.1225,0.20373025,1.3873660525,-14.1625,-11.055
1,3.75,622.4227,0.417893514,5.595959,-6.9,1.82,94.22636,45.37,15.10038,13.3,12.3,14.335,15.9625,0.28019085,1.658594927,-14.1625,-11.7625
1,4.25,624.903,0.53533271,5.622038,-6.78,2.5375,94.23048,45.1363,15.09667,13.23,12.4,14.23,15.8,0.310717775,1.85319359575,-15.825,-12.865
1,4.75,622.864825,0.4929911675,5.64594425,-3.45,2.4,94.232425,45.6742075,14.973565,13.225,12.225,14.525,15.955,0.292446525,1.66868780925,-12.9725,-10.1425
1,5.25,635.1399,0.509029625,5.81977075,-6.5325,2.25,94.21839,45.482825,14.3693625,12.5375,11.8,14.455,15.9075,0.2690967,1.452099629,-10.6625,-9.1975
1,5.75,646.09315,0.473626403,5.6702075,-4.28,2.49,94.2405275,45.60685,14.622385,12.535,11.275,14.37,15.82,0.27492855,1.655066925,-2.085,-1.948
1,6.25,647.9738,0.500789705,5.837929,-2.13,2.785,94.230715,47.343955,14.3595,12.42,11.15,14.3975,15.77,0.21825255,1.515229954,0,0
1,6.75,643.249375,0.65154982875,5.92473275,-7.54,2.3125,94.23495,49.040525,14.346075,12.52,11.275,13.97,15.54,0.258470025,1.76756910825,0,0
1,7.25,650.9751,0.545982662,6.073174,-3.505,2.71,94.24271,50.5046,14.46899,12.47,10.9,13.99,15.515,0.2950709,1.756581239,0,0
1,7.75,621.895375,0.680387142,6.13960725,-5.745,2.625,94.260295,51.991425,14.240125,12.3725,10.65,13.3133333333333,14.895,0.2977914,1.582464957,0,0
1,8.25,616.42565,0.550525606,6.1429315,-3.35,3.98,94.2687125,53.8431,13.6212075,11.78,10.175,12.6366666666667,14.275,0.277853175,1.61690830025,0,0
1,8.75,622.0082,0.472782931,6.230276,-4.8075,4.75,94.26418,50.8447,13.63105,11.92,9.8638,11.96,13.655,0.272644,1.73266659,-11.1,-10.05
1,9.25,625.85785,0.470553814,6.1943845,8.57,8.505,94.299445,50.6249,14.75209,13.305,11.45,13.6475,14.1,0.37078905,2.036815398,-10.09,-11.09
1,9.75,637.0155,0.36918796,5.759902,51.75,12.4,94.33765,45.47021,15.80548,14.48,12.7,13.5925,14.32,0.443215525,2.17843958,-6.0875,-7.5575
1,10.25,637.6163,-0.039827761,6.498868,82.975,19.3,94.36479,44.1896,17.349955,16.18,14.975,15.01,14.66,0.4748226,2.5202558215,-0.43075,-6.02025
1,10.75,633.4673,-0.2341759465,6.2016525,115.75,21.525,94.392005,38.11335,19.246115,18.08,17.45,16.82,15.49,0.4705425,2.512517875,7.8615,-3.903
1,11.25,630.690525,-0.20981459,6.02344625,157,25.95,94.4134475,33.82748,21.06118,19.8225,20,18.6075,16.275,0.4390577,2.259753396,15.72,-0.04875
1,11.75,628.51135,-0.382107942,5.894036,188.5,33.675,94.413955,29.16655,22.366375,21.345,22.6,20.63,16.91,0.398785575,2.233866103,24.225,3.9625
1,12.25,626.94185,-0.4893665135,5.8977445,207.25,35.575,94.395015,27.62491,23.7117825,22.62,24.8,22.83,18.2,0.374073975,2.2247136375,27.585,8.285
1,12.75,627.70075,-0.51991250925,5.866749,228,35.2,94.354905,26.08475,24.8117325,23.835,26.7,24,19.35,0.373155975,2.51195594025,32.045,14.375
1,13.25,622.0589,-0.21741398825,5.8327965,252,43.75,94.300115,25.13275,25.578655,24.52,28.1,24.58,20.07,0.3894172,2.6772684135,41.77,24.455
1,13.75,620.2007,-0.2023592705,5.802612,238.25,41.05,94.242905,24.496055,25.986355,24.795,28.95,25.94,20.75,0.4066498,2.735396036,54.11,28.9
1,14.25,620.01895,-0.396609313,5.977791,245,36.35,94.19762,23.87249,26.41457,25.305,30.1,26.78,21.29,0.41007695,3.257434326,72.93,27.175
1,14.75,619.5967,-0.3111188615,5.635159,239,40.55,94.162175,23.4929,26.68423,25.8,30.8,27.92,21.07,0.40779325,3.088308713,76.925,24.545
1,15.25,619.12885,-0.390391449,5.18562,223,35.35,94.133305,22.648525,26.9899,25.94,30.95,28.44,21.02,0.43732605,3.223476467,70.185,26.53
1,15.75,618.76125,-0.3767424285,5.512586,198,33.475,94.122905,22.29175,27.2374,26.105,31.65,28.71,20.98,0.4240573,3.154695684,56.755,25.32
1,16.25,621.84615,-0.255169983,5.455204,172.5,27.975,94.114415,22.39525,27.52972,26.32,32.05,27.57,20.8,0.43989875,2.9965882555,36.81,22.58
1,16.75,619.434425,-0.22112794825,5.235782,139,27.7,94.1156825,21.274325,27.484565,26.37,32.025,26.9575,20.7425,0.4200438,3.094180832,31.285,22.03
1,17.25,620.393525,-0.10859641275,5.23839,102,21.7,94.116705,21.1863925,27.47749,26.2225,31.875,25.9775,20.595,0.406862,3.188254908,32.675,21.97
1,17.75,617.4522,0.015490568,5.086323,56.5,15.85,94.10548,20.4657,27.36917,25.96,31.3,24.92,20.64,0.4367415,3.15639745775,32.9175,20.22
1,18.25,617.896925,0.16013398925,5.2096685,10.9,9.015,94.11709,20.48335,26.7600275,25.2125,30.025,23.4775,20.5275,0.376552325,2.7535896705,23.485,16.94
1,18.75,619.5313,0.370877929,5.163408,1.4475,3.54,94.12243,21.9115,25.61398,23.84,28.5,22.225,20.3,0.25514835,2.40308258,8.4,12.205
1,19.25,622.5936,0.318333021,5.13014425,-4.03,2.245,94.13801,23.0869675,24.2210525,22.3,26.025,21.04,19.98,0.2146266,2.262877147,0,7.05925
1,19.75,625.404575,0.38495211125,5.1210745,-6.26,1.88,94.1572375,24.949075,23.3463625,21.32,23.825,20.075,19.6175,0.214371275,2.20548592725,-4.67975,2.80625
1,20.25,626.9877,0.3902667835,5.3746185,-5.095,2.3,94.172,26.3598,22.3671,20.26,22.4,19.32,19.37,0.2107699,2.1106892845,-8.7,-0.25825
1,20.75,629.31725,0.400136973,5.5222075,-2.755,1.76,94.18303,27.4511,21.4737,19.465,20.85,18.61,19,0.2109502,2.20106775,-10.9775,-3.25225
1,21.25,631.23815,0.4268705745,5.638974,-3.3175,1.945,94.20137,29.08451,20.78195,18.63,19.55,17.99,18.66,0.199591225,1.997748234,-12.7175,-5.315
1,21.75,633.60725,0.381030471,5.7336805,-1.305,0.92,94.22262,30.644445,20.16127,18.165,18.85,17.4,18.37,0.202597125,1.987444349,-13.6125,-6.733
1,22.25,633.6209,0.4176252855,5.781822,-4.15,1.3425,94.23804,32.00575,19.231865,17.24,17.4,17.15,18.1,0.184169775,1.89518949775,-14.46,-8.057
1,22.75,634.8864,0.47608463,5.7892115,-5.46,2.21,94.252425,34.01515,19.1897,17.105,16.55,16.75,17.81,0.232236325,1.89750132925,-14.9725,-9.3925
1,23.25,636.5285,0.4864128375,5.803177,-4.455,1.4625,94.270735,34.60202,18.424495,16.455,15.8,16.37,17.51,0.23609215,1.96280045425,-15.9825,-10.62
1,23.75,639.045875,0.525443903,5.7001425,-3.975,2.2875,94.28114,36.305475,17.99895,16.0425,15.375,16.1875,17.265,0.2315472,1.814237066,-16.3875,-11.1725
2,0.25,637.1249,0.5317415495,6.866121,-6.14,2.695,94.14379,43.67065,18.03875,15.97,15,15.4875,16.85,0.19541825,1.88177504975,-19.75,-14.38
2,0.75,638.7711,0.480443879,6.805831,-4.8675,2.72,94.14171,45.3009,17.377755,15.375,13.9,15.07,16.6725,0.20532725,1.732492491,-20.36,-15.1775
2,1.25,636.96625,0.4133718185,6.837974,-4.775,2.2525,94.14418,45.64255,16.77232,14.69,13.5,14.71,16.4275,0.2040439,1.6448852495,-21.0875,-16.4375
2,1.75,639.3083,0.4311818675,6.896008,-6.12,2.435,94.142665,47.5857,16.36191,14.4475,12.7,14.3725,16.2225,0.1926586,1.666787019,-21.72,-17.1075
2,2.25,640.97875,0.425920991,6.8868995,-4.98,2.235,94.126285,49.53705,16.07154,14.1075,12.5,14.24,16.035,0.1739445,1.543328333,-21.9475,-17.745
2,2.75,644.18255,0.4280826815,6.8312785,-6.19,2.51,94.121425,50.8039,15.84377,13.7725,11.75,13.8675,15.805,0.1989292,1.484699726,-21.985,-18.0175
2,3.25,644.57845,0.360926581,6.7992915,-3.1125,2.18,94.112795,52.05465,15.33929,13.4725,11.675,13.785,15.59,0.1694481,1.4644574735,-22.1825,-18.7275
2,3.75,641.561075,0.4434360975,6.83114075,-2.11,3.9075,94.0978225,53.385,14.93735,12.9875,11,13.58,15.42,0.221714975,1.5236885665,-22.6475,-19.31
2,4.25,638.5709,0.400066534,6.932396,-2.015,1.9225,94.0882,54.698475,15.0513275,13.01,11.325,13.34,15.24,0.1795288,1.58055498875,-23.445,-19.875
2,4.75,640.1526,0.425456476,6.923496,-2.4025,3.15,94.07724,54.927275,14.78334,12.715,10.7,13.07,15.075,0.19572015,1.3688693165,-23.025,-19.87
2,5.25,642.4518,0.433724722,6.984904,-2.79,1.91,94.07143,56.625825,14.5803975,12.57,10.225,12.825,14.84,0.21503075,1.6062594395,-22.545,-20.24
2,5.75,641.461675,0.475351934,6.858526,-3.25,2.785,94.064945,57.7559,14.02423,12.165,10.1,12.68,14.64,0.257999975,1.5696632375,-23.16,-20.52
2,6.25,644.2786,0.408823456,6.66433,-1.7225,2.21,94.08712,57.785475,14.012665,11.9275,9.665,12.435,14.455,0.2317539,1.513966543,-22.6,-21.02
2,6.75,639.8484,0.477791473,6.7156395,-4.7725,3.35,94.09444,55.9022,13.714955,11.76,9.612675,12.2325,14.32,0.2581899,1.625424417,-23.08,-21.665
2,7.25,645.6669,0.3808467485,6.5604205,-3.66,3.4175,94.11475,58.024275,13.401215,11.47,9.46205,12,14.1375,0.2320796,1.559441057,-23.5625,-21.8525
2,7.75,642.857125,0.34708916275,6.5703045,0.02,2.26,94.133325,56.41505,13.2112925,11.55,9.6851,11.94,14.02,0.22881045,1.492690129,-23.07,-22.14
2,8.25,641.027,0.3458527625,6.687436,-2.095,2.36,94.15074,58.447175,13.255455,11.42,9.46085,11.71,13.7075,0.2166726,1.6489978835,-22.45,-21.99
2,8.75,642.7495,0.446312877,6.809477,1.52,6.81,94.18058,59.0046,13.88914,12.765,9.805775,12.03,13.75,0.2746803,1.5319471665,-20.525,-21.025
2,9.25,642.3807,0.5105651655,7.267624,34.25,15.025,94.192565,53.81085,15.24202,14.03,11.075,12.77,13.945,0.3543087,1.745843485,-16.42,-17.875
2,9.75,645.15865,0.3988646685,7.171063,74.925,22.3,94.235145,49.8664425,16.8404325,15.61,13.325,13.8725,14.62,0.3903814,1.9378069045,-10.65,-12.5
2,10.25,644.322075,0.10451525225,7.13750025,112.25,30.45,94.2521025,46.95468,18.5671475,17.4,15.6,15.1725,14.96,0.4203146,2.1056814675,-0.62675,-5.06
2,10.75,636.0472,0.09940906725,6.82585125,142.25,38.675,94.2731925,44.62931,20.68287,19.47,17.95,16.545,15.545,0.4160547,2.11302503,10.4225,-1.84725
2,11.25,633.77395,-0.2081023035,6.555845,198,44.95,94.282025,40.19805,21.9419925,20.76,20.65,17.97,17.045,0.40304045,2.094254976,20.87,1.03175
2,11.75,631.80075,-0.239328765,6.5907495,220.5,46.825,94.278955,36.88505,23.3905075,22.3,23.05,20.08,18.36,0.377645925,2.1191143165,33.51,5.501
2,12.25,628.4539,-0.37968868525,6.53336825,251,50.95,94.25655,35.18219,24.347865,23.33,25,22.7925,19.02,0.3792599,2.62650650325,39.73,11.43
2,12.75,626.0258,-0.246787765,6.604196,272,51.975,94.22886,32.3377,25.136755,24.03,26.6,24.7325,19.74,0.4035581,3.20236394875,36.19,19.77
