DOY2,HR2,CO2,CO2_SIGMA,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1,TS_5_1_1
1,0.25,532.1156,0.2662434696,14.29824,2137.238,0.5226638,18.1647175,7.86562720000001,5.63745125,6.093796,0.2919504,0.02733102,1.4593597174,0.8805256252,0.4853072838,103.1782,82.2045775,-0.086875,2.517469,-2.7396,0.8912195848,5.14865,-0.053625,-0.0205,0.378125,1.351275,304.95,314.2,-0.329475,-0.418625,-0.0095,1.63975,-8.240036,-0.2585
1,0.75,541.085,0.2866065352,18.10422,2136.026,3.4392932,29.16774,0.852396999999986,13.86381175,6.403844,0.2716094,0.03261648,0.88173284,0.9081249696,0.3987297032,103.1954,81.3229325,-0.14175,2.62026525,-2.6174,1.162257383,4.657125,-0.04675,-0.003875,0.822875,1.351275,308.825,314.1875,-0.323675,-0.422625,-0.012,1.46775,-8.403951375,-0.2645
1,1.25,548.01,0.1738939064,17.87896,2151.058,0.48582335,24.33898,-3.16314625,104.51462425,6.828204,0.3253944,-0.00447802325,0.99401681,0.8898382516,0.3492425862,103.21,82.24578,-0.183875,2.824644,-2.4036,1.064699079,5.0565,-0.055,-0.005625,0.639,1.351275,308.975,314.025,-0.325575,-0.4205,-0.008875,1.40725,-8.5655465,-0.300625
1,1.75,554.4822,0.1227378104,12.658786,2129.63,1.2293621,25.29828,10.5373725,76.3045820000001,7.792678,0.3146832,0.00465189000000001,0.9796445956,0.9211225864,0.402526777,103.2222,81.3239,-0.21425,2.743572,-2.3654,0.9037481546,4.829,-0.057875,-0.0055,0.879125,0.7715,308.4625,313.6125,-0.3276,-0.414,-0.00875,1.394375,-8.729730375,-0.406125
1,2.25,561.1144,0.2222705846,16.0951355,2133.82825,7.47653975,19.10612,23.25338325,54.6209846666667,7.0511,0.3302366,0.04702598,1.0283824142,0.9963945308,0.3774800156,103.2186,81.02666,-0.16675,2.8432,-2.4388,0.7075204952,5.096,-0.05825,-0.025375,0.713125,0.599175,310.5375,314.275,-0.323125,-0.41375,-0.012375,1.508875,-8.8534195,-0.2445
1,2.75,415.09745,0.1929365224,17.8337425,2139.906,0.7663798,27.6989,0.192301200000001,32.9373873333334,7.820902,0.376057,0.0644760574999998,1.9777267998,1.1634279376,0.4956088134,103.2258,69.866995,-0.16175,2.6292,-2.4358,0.9028641138,5.6665,-0.053375,-0.01825,0.645375,0.7556875,308.15,314.1125,-0.327675,-0.411625,-0.00775,1.42675,-8.78967625,-0.300375
1,3.25,410.810425,0.1753129966,16.969936,2130.942,2.100096,24.01486,5.79390400000002,11.25379,8.231328,0.3978816,0.02886646,1.365674675,1.1542137628,0.4338807408,103.2358,74.26203,-0.093375,2.5751,-2.3964,0.9014580236,4.427875,-0.060875,-0.00175,0.58,0.9122,309.3,314.3625,-0.3208,-0.402625,-0.01325,1.322,-8.724536,-0.2265
1,3.75,413.236825,0.156316087,16.811652,2131.162,0.8198352,28.5156,17.439245,12.09789,7.507224,0.332813,0.04844936,1.1683227804,0.984928646,0.4014565138,103.2302,80.172395,-0.139375,2.52604025,-2.333,1.2352325388,5.477,0.008875,0.00525,1.19,0.5068,304.4875,313.6625,-0.323975,-0.4155,-0.013625,1.42125,-8.65707525,-0.410625
1,4.25,401.8063,0.22597432,15.75488175,2127.464,3.34117275,37.03377,-0.543120775,11.3732,7.681928,0.3304186,0.03604318,0.9684549668,0.812227063,0.4506974686,103.213,84.37954,-0.221375,2.528652,-2.3934,1.4906814734,7.95075,-0.060125,0.00425,0.61075,0.47569,303.325,312.925,-0.323425,-0.40675,-0.011375,1.335125,-8.590874375,-0.5425
1,4.75,395.4875,0.2239532176,14.90736625,2130.328,1.899282,49.33368,-2.832762,10.11271075,7.481146,0.3029416,0.05964038,1.130918686,0.7230251286,0.3999398794,103.2104,93.79554,-0.16225,2.838628,-2.2694,2.4032741304,6.488125,-0.037375,0.008,0.806125,0.44458,307,313.8625,-0.32425,-0.413,-0.010625,1.44575,-8.523106375,-0.383875
