DOY2,HR2,FC,H,LE,USTAR,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,TS_1,TS_2,TS_3,G_1,G_2,WS
1,0.25,0.481925661,-9.9263,0.20023,0.08045,0,0.641,-22.98,0,0,0.252065,78.21,98.6,-14.715,-0.85,-3.7675,-3.9865,-6.88875,-4.6015,0.480755
1,0.75,0.3343678815,-7.7944,0.654285,0.07155,0,0.4805,-22.94,0,0,0.243585,78.3585,98.6,-15.255,-0.852,-3.7605,-3.9945,-6.82575,-4.60475,0.509655
1,1.25,0.717282464,-8.09535,0.10876,0.0753,0,0.636,-23.47,0,0,0.242395,78.7085,98.6,-15.6785,-0.861,-3.739,-4.0095,-6.701,-4.66075,0.44929
1,1.75,0.492940689,-9.801,-0.0146,0.0769,0,0.5355,-20.615,0,0,0.242695,78.7365,98.65,-15.138,-0.861,-3.722,-3.9995,-6.63725,-4.66775,0.449385
1,2.25,0.556548801,-8.1432,0.15253,0.06795,0,0.537,-21.545,0,0,0.23549,78.022,98.65,-15.496,-0.8575,-3.702,-3.986,-6.582,-4.677,0.412485
1,2.75,0.414109343,-7.0632,0.57103,0.07925,0,0.4535,-16.99,0,0,0.23133,78.977,98.6,-14.459,-0.8645,-3.6915,-3.9755,-6.537,-4.7035,0.443615
1,3.25,0.438032274,-15.935,0.3931,0.08665,0,0.5175,-18.42,0,0,0.215315,79.4225,98.6,-14.3245,-0.8725,-3.6865,-3.966,-6.54025,-4.7235,0.46463
1,3.75,0.429071936,-4.0121,0.22192,0.0739,0,0.4545,-17.71,0,0,0.22309,78.7485,98.55,-14.3315,-0.8705,-3.69,-3.959,-6.562,-4.73425,0.42751
1,4.25,0.4008588225,-4.02285,0.449905,0.0725,0,0.4675,-17.75,0,0,0.23762,78.241,98.55,-14,-0.8565,-3.706,-3.9535,-6.632,-4.74875,0.41133
1,4.75,0.515906266,-5.5934,0.83434,0.0545,0,0.339,-15.96,0,0,0.22409,77.982,98.6,-13.85,-0.8475,-3.714,-3.9435,-6.7815,-4.763,0.42901
1,5.25,0.542287867,-4.7729,0.6314,0.0612,0,0.4895,-18.74,0,0,0.23896,77.6495,98.55,-13.84,-0.8395,-3.7255,-3.933,-6.93475,-4.77325,0.42404
1,5.75,0.4338024265,-5.4946,0.914155,0.06035,0,0.4635,-20.24,0,0,0.246545,78.077,98.55,-14.2265,-0.8385,-3.7405,-3.924,-7.0845,-4.78325,0.40177
1,6.25,0.2815392505,-10.854,0.8911,0.0653,0,0.4975,-20.53,0,0,0.24176,76.739,98.5,-14.501,-0.8375,-3.758,-3.9155,-7.20125,-4.79425,0.40234
1,6.75,0.2469516475,-7.5877,0.88712,0.068,0,0.4165,-18.875,0,0,0.24187,77.8,98.5,-15.15,-0.8415,-3.78,-3.911,-7.26125,-4.80775,0.44219
1,7.25,0.3204998335,-5.2613,0.62161,0.0624,0,0.531,-19.34,0,0,0.24925,77.3305,98.5,-15.27,-0.845,-3.8025,-3.903,-7.2215,-4.824,0.41777
1,7.75,0.321253255,-7.3174,0.74809,0.073,0,0.4885,-21.97,0,0,0.22234,78.682,98.5,-16.1625,-0.844,-3.793,-3.896,-7.19625,-4.8405,0.42139
1,8.25,0.586295404,-11.6405,0.836725,0.0851,0,0.541,-18.44,0,0,0.227315,77.985,98.5,-16.27,-0.8485,-3.8065,-3.893,-7.1755,-4.85475,0.45394
1,8.75,0.366435774,-9.3847,0.70804,0.0688,0,0.5045,-17.4,0,0,0.22397,78.5005,98.5,-16.0655,-0.8525,-3.825,-3.8875,-7.1555,-4.87325,0.44043
1,9.25,0.550822401,-9.9164,-0.0267,0.0672,0,0.447,-19.26,0.044387,0,0.21867,77.726,98.5,-16.4255,-0.8525,-3.8175,-3.882,-7.1365,-4.88425,0.45525
1,9.75,0.493184833,-5.96485,0.783125,0.0718,0.268,0.8075,-17.505,1.2716,0.44546,0.23151,77.64,98.6,-15.449,-0.8525,-3.798,-3.8755,-7.131,-4.87875,0.419495
1,10.25,0.541767203,-9.3532,0.53572,0.0653,2.064,1.626,-18.945,6.52935,3.246,0.24861,79.009,98.6,-14.493,-0.8495,-3.7825,-3.8705,-7.11775,-4.8715,0.45579
1,10.75,0.380640278,-2.5819,1.5853,0.0774,6.5997,3.639,-15.365,17.8975,9.2304,0.25375,78.7405,98.55,-14.8105,-0.8535,-3.797,-3.868,-7.11,-4.865,0.42307
