DOY2,HR2,USTAR,TA_1_1_1,WS,FC,SC,H,LE,G_1,TS_1,RH_1_1_1,CO2,VPD,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,TAU,SH,SLE,T_SONIC,PA,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_OUT_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,SW_OUT_1_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_5_1_1,TS_6_1_1
1,0.25,0.4356905,15.06,2.18181,2.55249,0.6081875,-9.91217,7.37197,-4.5025,16.125,92.9,413.03675,3.53933905,-17.767225,0.277878,0,-0.0601,0.348796,2.56362,21.4674,101.555,16.3101,0.900002,0.699329,0.541878,0.235692,1.050614359,0.113923323,361.774,391.308,0.850739,-7.9036025,-2.895155,3.16343,2.6709575,17.7011,17.2089,17.3,16.5648,13.1658,16.0757
1,0.75,0.45140775,14.78055,2.24729,2.76262,0.523417,-8.57759,6.304095,-4.77175,16.0575,93.5,414,3.3125,-15.75,0.25001325,0,-0.056875,-0.237288,2.92889,21.362425,101.52975,16.01225,0.9138615,0.73220175,0.56732025,0.24225825,1.0429343065,0.1179755595,361.76625,391.1835,0.824923,-8.99136,-4.6356575,-4.70946,2.56907,17.682625,17.121075,17.29655,16.51445,13.1221,16.0757
1,1.25,0.44915,14.606301795,2.265605,2.86258739325,0.65384765775,-9.55248,7.64714,-4.78725,16.0905,93.7,414.639,3.23243867,-15.31,0.239439,0,-0.0578,0.09310875,1.8968,21.1689,101.514,15.95675,0.936455,0.773828,0.591671,0.261746,1.220906813,0.16140787775,361.436,390.225,0.82098175,-8.882965,-5.0861,-5.66814,2.5190475,17.5383,17.0061,17.2908,16.489,13.1125,16.0544
1,1.75,0.45,14.6082180975,2.264355,2.8558019645,0.723,-9.21999,6.63354,-5.0125,16.0075,94.1,415.564,3.18,-14.0225,0.25,0,-0.0465,0.200238,2.936275,20.9596,101.531,15.674625,0.948437,0.749363,0.580683,0.27121,1.436838816,0.22251347925,365.073,389.869,0.8477825,-9.7910525,-5.69324,-5.68199,2.5279775,17.5022,16.9989,17.2789,16.4293,13.0411,16.0347
1,2.25,0.4591375,14.4329,2.27681,2.911795,0.71549625,-9.61539,6.45889,-5.1975,16.0025,94.4,415.716,3.04,-13.065625,0.256256,0,-0.0553,0.650528,2.15185,20.6857,101.519,15.27925,0.961357,0.748916,0.57664,0.298347,1.69518773825,0.18150365325,366.926,390.23,0.8203905,-10.5520025,-5.86039,-6.16985,2.52351,17.5,17.0707,17.2047,16.3933,13.079,16.0161
1,2.75,0.453772,14.2735,2.253,2.595613873,0.81364525,-8.345,6.5605425,-5.524,15.9,94.8,416,2.93522,-12.21,0.218618,0,-0.0578,0.307458,4.05924,20.5263,101.511,15.1366,0.935175,0.766681,0.564333,0.311194,1.6596676765,0.16263110725,365.718,388.942,0.74924925,-11.7618,-6.16157,-6.50671,2.52105,17.5,16.9906,17.1828,16.3718,13.0038,15.9996
1,3.25,0.46637925,14.27085,2.299,3.041425,0.724,-10.467,8.1935,-5.68575,15.835,95,417,2.87914325,-11.3975,0.217017,0,-0.054,1.09477,3.116595,20.240425,101.495,14.88135,0.948094,0.782706,0.577064,0.316688,1.804837678,0.18684044625,363.102,387.285,0.6917055,-12.814125,-6.41717,-6.95898,2.44871,17.5,16.9811,17.035,16.3507,12.9922,15.9871
1,3.75,0.46369725,14.13335,2.2855,3.0982175,0.755439,-9.54353,6.62021,-5.824,15.81,95.175,417.16125,2.86113227,-11.748,0.211,0,-0.07,1.37922,3.846675,20.355775,101.509,14.8415,0.933601,0.762351,0.600447,0.309094,1.802329316,0.1884401535,365.658,387.395,0.63298,-15.921825,-6.72593,-6.83186,2.497345,17.4967,16.835,17,16.3068,12.9271,15.9792
1,4.25,0.4535,14.0325,2.325,2.93396,0.712,-9.195,8.18883,-5.8375,15.7725,95.4,418,2.83,-10.785025,0.192,0,-0.0713,1.30421,2.7132,20.260375,101.501,14.829725,0.943499,0.745543,0.573224,0.333274,1.846081566,0.1966778725,366.885,387.996,0.6124845,-15.875425,-6.83141,-7.14539,2.529975,17.4225,16.7917,16.9894,16.2884,12.8551,15.9725
1,4.75,0.483,13.973,2.372225,3.312065,0.82421604175,-10.00522,9.3753825,-5.9,15.76,95.5,419.3005,2.71,-9.86,0.180981,0,-0.0647,1.11046,4.050795,20.067475,101.477,14.2294,0.93026,0.759126,0.584408,0.286215,1.907068123,0.22137683925,368.521,388.662,0.63238825,-15.670325,-7.11871,-7.29436,2.347435,17.3,16.708,16.8611,16.278,12.8245,15.9582
