DOY2,HR2,CO2,FC,H2O,H,LE,PA,RH_1_1_1,RH_1_2_1,T_SONIC,TA_1_1_1,TA_1_2_1,TA_2_1_1,VPD_1_1_1,VPD_1_2_1,USTAR,WS_1_1_1,WS_1_2_1,G_1_3_1,G_2_3_1,G_3_3_1,G_4_3_1,LW_OUT,SW_IN,SW_OUT,LW_IN
1,0.25,664.209,0.021966,7.441455,-9.811765,0.3276955,96.05075,51.75,59,17.58475,14.4,12.84,15.465,7.771568509,6.018306127,0.14042,0.515,0.053,-13.81,-25.71,-18.77,-14.27,378.1,-1.7595,2.6275,314.45
1,0.75,665.751,0.01465325,7.494975,-6.92927,0.842084,96.05135,52.57,61.64,17.3806,13.84,12.73,15.355,7.412963583,5.451916486,0.1417065,0.544,0.106,-14.25,-25.65,-18.35,-14.69,377.5,-1.4525,2.759,313.75
1,1.25,665.2415,0.0131824,7.41485,-5.22211,0.8527455,96.03505,51.76,61.43,17.188,13.85,12.295,15.185,7.3405296325,5.4179337915,0.1411725,0.549,0.095,-14.655,-26.205,-18.53,-14.835,376.5,-1.337,2.647,315.1
1,1.75,666.0885,0.01248865,7.32478,-6.629155,0.5696355,96.02975,52.21,61.42,16.9086,13.735,12.02,15.105,7.170065319,5.092087567,0.140673,0.5115,0.188,-15.01,-25.7,-19.05,-15.28,374.95,-1.473,2.607,311
1,2.25,666.6265,0.01950935,7.45915,-7.65953,0.454388,96.03575,54.505,61.645,16.6835,13.45,11.735,14.96,7.046752113,5.1000181525,0.158383,0.5915,0.251,-15.27,-25.545,-18.885,-15.65,373.25,-1.5485,2.6175,309.7
1,2.75,667.5975,0.03706685,7.349705,-14.83615,1.11682,96.02935,54.195,60.87,16.0426,13.25,11.81,14.47,6.5683867965,5.162970142,0.1523665,0.5475,0.148,-15.4,-25.48,-18.955,-15.7,372.2,-1.3485,2.567,307.75
1,3.25,668.302,0.0148196,7.08737,-8.658525,0.4687745,96.0161,55.43,61.735,16.07785,13.035,11.84,14.2,6.287221721,5.438448781,0.161777,0.59,0.177,-15.58,-25.18,-18.61,-15.445,371,-1.35,2.857,306.1
1,3.75,667.882,0.0259486,7.10193,-10.070345,1.265135,95.9902,55.42,61.675,16.14665,12.77,11.75,14.39,6.3916798345,5.035853862,0.139892,0.5605,0.106,-15.55,-24.9,-18.72,-15.665,370.9,-1.093,2.736,305
1,4.25,669.038,0.02340635,7.14647,-10.7127,1.032615,95.9973,56.615,62.69,15.8949,12.75,11.53,13.8,6.090245268,4.907756121,0.159929,0.6305,0.138,-15.655,-24.94,-18.72,-15.645,370.3,-1.404,2.547,309.7
1,4.75,669.383,0.0529347,6.94824,-15.234,1.60298,95.9954,57.74,62.085,15.627,12.595,11.68,14.14,6.159959113,5.2993716545,0.198792,0.611,0.1655,-15.715,-24.685,-18.83,-15.9,369.6,-1.307,2.721,306
1,5.25,670.5295,0.03779515,7.123545,-14.15875,1.868635,95.9901,58.285,63.995,15.3621,12.4,11.4,13.455,5.86935492,5.2923074595,0.191929,0.6785,0.16,-15.93,-24.32,-18.405,-16.14,368.75,-1.379,2.5635,303.95
1,5.75,670.126,0.0511476,7.123605,-15.15355,2.32564,95.9931,58.485,64.015,15.212,12.135,11.41,13.255,5.72957274,4.688067834,0.171355,0.6445,0.105,-15.985,-24.485,-18.49,-16.23,367.65,-1.322,2.708,302.95
1,6.25,669.5635,0.05056935,6.98603,-18.065,1.13287,96.0029,57.715,64.49,15.1365,12.2,11.31,13.485,5.642480221,4.619951637,0.205872,0.6785,0.1845,-16.14,-23.975,-18.36,-16.22,367.45,-1.189,2.8035,303.55
1,6.75,668.747,0.0517062,6.85252,-14.3168,1.77278,96.0187,58.555,65.875,14.8632,12.33,11.51,13.12,5.517333835,4.361652191,0.180818,0.6655,0.187,-16.205,-23.03,-18.535,-16.405,366.95,-1.445,2.522,303.9
