DOY2,HR2,CO2,FC,H,LE,TA,T_SONIC,T_SONIC_SIGMA,RH,VPD,PA,NETRAD,PPFD_IN,TS,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA
1,0.25,364.4373725,-0.6303651,-79.6781375,-7.39544005,-5.341119875,-4.65913575,0.066914965,14.920307,0.26547271,92.6192425,-79.912234,0,0,0.7406666625,0.1097418,0.3249469875,0.3647667,0.1255425
1,0.75,364.15504,0.2656013,-71.4091915,-6.0577436,-5.47947055,-4.82334375,0.07635766125,12.8418765,0.2228767675,92.59519625,-77.15469275,0,0.004666667,0.61656595,0.0561559175,0.3182632875,0.376231575,0.1293927875
1,1.25,365.035845,-0.0190591499999999,-81.34693,-7.88823225,-5.4627864,-4.9412178,0.0557296845,12.99875275,0.16266445625,92.565678,-77.0334,0,0.01,0.79734139,0.0553913325,0.2893614,0.27825339,0.114525435
1,1.75,365.48995,-0.624171599999999,-76.58081375,-6.1453714,-5.6873359,-4.833590375,0.0540169375,12.630818,0.21815313,92.567304,-77.367834,0,0.02,0.745325475,0.09941895,0.276486675,0.3447563875,0.09395699375
1,2.25,365.63034,0.27660563,-56.1514875,-3.9828954,-5.6016,-4.5861145,0.0554826825,13.94895,0.160702115,92.570997,-75.504574,0,0.01833333,0.8651740625,0.0909051875,0.2389684625,0.3056099875,0.1080218
1,2.75,365.6609375,-0.474625399999999,-71.453278,-5.656025,-5.49573235,-4.42197125,0.0718117075,15.75731125,0.0826776625,92.5697115,-84.1327065,0,0.1075,0.51455675,0.08064668625,0.27002775,0.373322,0.085799125
1,3.25,361.23282,0.2994191,-58.3859305,-5.7195292,-5.357319825,-4.27226025,0.04451926625,14.373946,0.13295636,92.54689825,-83.99819875,0,0.1075,0.610259,0.083445825,0.2408149625,0.2734046,0.08058265125
1,3.75,362.54303,-0.53795955,-55.41240625,-6.3078286,-5.3357788,-4.348569625,0.03268454625,13.467839,0.0927080920000001,92.5370005,-80.8159745,0,0.1075,0.6189221375,0.074353375,0.2012935375,0.2321656125,0.06187443
1,4.25,362.4067325,-1.007992925,-59.03235,-8.9070445,-5.500809675,-4.74065975,0.03907996625,12.77985175,0.0915542955000001,92.54188225,-76.06433275,0,0.1069999975,0.62179625,0.091415325,0.2693796375,0.2914846875,0.07386711125
1,4.75,362.6040075,-0.29431795,-60.52743325,-5.232535075,-5.55620145,-4.806575875,0.045377185,12.1298025,0.066545976925,92.5538215,-72.578506,0,0.1020000025,0.43465315,0.05474139375,0.2392706375,0.3039509375,0.07512090375
