DOY2,HR2,TAU,H,LE,FC,CO2,T_SONIC,TA,PA,RH,VPD,WS,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,NETRAD,G,TS,PPFD_IN
1,0.25,-0.019962052,-14.24632072,-0.140035326,-0.060899268,307.10577805,4.026258816,3.221769072,91.82061745,86.16706238,1.020520772,1.652247947,0.133056722,0.596339138,0.554074649,0.149227564,0.397329551,-57.261103825,-33.47130313,6.10171625,-0.040289205
1,0.75,-0.022422903,-14.34848046,-0.194237791,-0.1695991165,307.3232348,3.263713704,2.765699895,91.81770355,86.73407401,0.908813277,1.725476297,0.138710189,0.568970292,0.5398978,0.151189169,0.424650716,-56.76334708,-33.58160301,5.8037715,-0.036395735
1,1.25,-0.01851005,-13.52378427,-0.311509055,-0.0622462615,308.39424505,3.329011624,2.636464258,91.805927435,87.66799476,0.977317864,1.619720743,0.126051887,0.527463548,0.557598907,0.133639862,0.471712034,-55.10412164,-32.46053653,5.54007725,-0.03897877
1,1.75,-0.0201749,-14.45555915,0.000334929,-0.0471010815,308.2334318,3.235842313,2.704938403,91.817820235,86.79521353,0.924815938,1.66988268,0.133096816,0.568610261,0.584092025,0.134811264,0.4942385,-54.21085878,-32.95991218,5.2681975,-0.03458463
1,2.25,-0.020669765,-12.08691716,-0.05027756,-0.046841555,305.2758777,3.150843726,2.558432194,91.799579175,87.27493126,0.839893145,1.601881399,0.133426389,0.529289103,0.632084936,0.126876411,0.443428336,-53.502528695,-31.84033118,4.969837,-0.034706605
1,2.75,-0.018580893,-12.99509904,-0.0330761655,-0.147766588,306.9682557,3.151941376,2.623045024,91.80069241,89.35985083,0.672206179,1.648682725,0.127443053,0.588916614,0.589416517,0.134309141,0.424721966,-53.3984671,-31.00092567,4.63323,-0.03468759
1,3.25,-0.016929465,-13.24372738,0.034490204,-0.142206647,307.57239505,2.695991828,2.200771996,91.81129537,89.88541747,0.731593452,1.533503505,0.121056431,0.55319047,0.586386012,0.12867218,0.503642788,-52.92193866,-31.89705766,4.46702,-0.031863205
1,3.75,-0.017903405,-12.45114722,-0.2048086795,-0.1197029955,306.73451685,2.652608303,2.015442074,91.817509015,86.009272285,0.999133578,1.615347239,0.12547241,0.549573435,0.571843765,0.134233096,0.446963672,-52.850349995,-31.29619002,4.2637855,-0.03173941
1,4.25,-0.021062104,-13.21710825,-0.207342957,-0.202345288,309.94279665,2.325543811,1.587304076,91.83125511,90.544863445,0.6690260905,1.597429669,0.135150657,0.637463268,0.600659553,0.149368597,0.584115952,-53.04387788,-30.590666595,4.07745525,-0.031314925
1,4.75,-0.015445473,-10.82122154,-0.0752851485,-0.045806288,307.28731885,2.255613824,1.583155315,91.85091161,88.761518015,0.693162932,1.459365116,0.115475587,0.531943948,0.556591151,0.12433582,0.55636267,-53.65442284,-29.28764463,3.82228075,-0.03176028
