DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,SG_1_1_A,SG_2_1_A,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,CO2
1,0.25,0,-6.053764595375,-101.1633,0,-37.75125,-13.215,29.99375,0.033765,87.4,0,-75.4985,0,0,-12.17,0,-15.127,-10.979,-14.733,-17.791,-14.042,-8.241,367.2325
1,0.75,0,-6.3766697634,-81.855025522,0,-37.622,-13.1685,29.418,0.0253025,87.5,0,-75.491,0,0,-12.186,0,-14.9955,-10.83495,-14.592,-17.934,-13.772,-8.164,367.1
1,1.25,0,-12.13265,-101.0116,0,-37.35075,-13.09675,29.8495,0.030865,87.4425,0,-74.6925,0,0,-12.166,0,-15.22175,-10.8065375,-14.614,-18.194,-13.696,-8.144,366.275
1,1.75,0,-9.664345,-106.8947754225,0,-37.53625,-13.14425,29.217,0.035805,87.3475,0,-73.4005,0,0,-12.138,0,-15.323875,-10.8712125,-14.55425,-18.4295,-13.87775,-8.14825,366.425
1,2.25,0,-8.04798,-93.5981,0,-37.81125,-13.167,29.1585,0.03055,87.295,0,-77.364,0,0,-12.154,0,-15.30125,-10.9264625,-14.50475,-18.46825,-13.9755,-8.13475,366.335
1,2.75,0,-8.847414,-102.70485,0,-37.82025,-13.1155,29.13775,0.03026,87.2475,0,-77.119,0,0,-12.1685,0,-15.379875,-10.95945,-14.5415,-18.352,-14.02325,-8.11475,366.5725
1,3.25,0,-8.591068,-92.33032,0,-37.8095,-13.10975,29.5545,0.034885,87.2,0,-76.9,0,0,-12.1425,0,-15.406625,-10.9705625,-14.57075,-18.2495,-14.05275,-8.1165,366.18
1,3.75,0,-7.118762,-88.41,0,-37.63825,-13.157,29.166,0.029215,87.1475,0,-75.4015,0,0,-12.1625,0,-15.374625,-10.920875,-14.65475,-18.28225,-14.07925,-8.1365,366.7
1,4.25,0,-10.60429,-95.69419855,0,-37.768,-13.174,30.4185,0.03094,87.2475,0,-73.804,0,0,-12.1825,0,-15.33925,-10.8993125,-14.79675,-18.2655,-14.094,-8.1565,366.66
1,4.75,0,-5.8883375,-89.822375,0,-37.665,-13.181,31.702,0.031528,87.2475,0,-74.218,0,0,-12.2195,0,-15.33075,-10.8969375,-14.91275,-18.25575,-14.07675,-8.1665,367.375
