DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1
1,0.25,398.8788953,2.0068271445,1989.201863,0.36666588625,-0.906,-17.59259012,-0.325235159,2.61080373275,0.1616588995,-0.174844399,0.663666676801984,0.42849502248377,0.169188038535822,100.219391075,74.3,-24.1625,1.30096540225,-7.92474024999998,0.145544501780757,-49.1480000000001,-0.10375,-0.09775,-2.153,0.19,187.9,211.425,-0.977,-2.19225,-1.012,-1.836,-47.04901
1,0.75,399.422786925,2.0068271445,1992.108049,0.3002191999,-1.91,-24.689712105,-0.325235159,3.39620884875,0.17436872825,-0.114835898,0.604434004560575,0.408369953657869,0.199122958924143,100.21418285,74.2475,-23.8125,1.30096540225,-7.99215254999996,0.186917568871766,-54.561,-0.1305,-0.10975,-2.0695,0.635,193.7,211.6,-0.981,-2.20725,-1.00725,-1.8235,-47.1831625
1,1.25,399.4491237,2.0068271445,1987.35534975,0.23377251355,-2.24,-20.90454937,-0.325235159,3.19995077425,0.181080487,-0.10350690475,0.693075076257054,0.460367695832677,0.176847349428795,100.12483065,73.35,-23.63,1.30096540225,-7.78701762499997,0.15132309245945,-50.72025,-0.09775,-0.09025,-2.13,0.32175,195.5,212.375,-0.98425,-2.21825,-1.01525,-1.98625,-47.3165375
1,1.75,399.607217175,2.0068271445,1988.356177,0.1673258272,-1.59935,-15.42233927,-0.325235159,1.842145897,0.1699683765,-0.1333811345,0.588218582227209,0.49732067320152,0.156524432465857,100.30592025,74.515,-23.2125,1.30096540225,-8.08777404999998,0.116182327087734,-45.5415,-0.107,-0.09775,-1.6065,0.3795,191.725,211.275,-0.9825,-2.23975,-1.02,-1.9305,-47.4324125
1,2.25,399.7126031,2.0068271445,1988.94786,0.10087914085,-0.9587,-16.94817435,-0.325235159,1.78478462275,0.157047541,-0.113765158,0.509636901289005,0.475745607031189,0.146797082239797,100.450072525,74.8825,-23.2475,1.30096540225,-8.50824022499997,0.145422863678379,-50.50575,-0.10525,-0.09825,-2.156,0.21425,191.525,211.9,-0.9855,-2.26575,-1.0185,-1.87225,-47.555765
1,2.75,399.024307575,2.0068271445,1988.778604,0.0344324545,1.86775,-19.9315897475,-0.325235159,1.939741829,0.1210853965,-0.1084052995,0.484623901788462,0.507330468564178,0.123847583200751,100.3011129,73.13,-23.5225,1.30096540225,-8.49642574999996,0.121652473437553,-49.743,-0.10575,-0.10125,-2.15625,0.336,192.225,212.4,-0.98825,-2.29225,-1.0265,-1.8835,-47.68157
1,3.25,398.8611508,2.00143209325,1992.02744,0.090411665,0.89275,-16.415736755,-0.325235159,1.7452740165,0.1674402625,-0.175442687,0.521226277173519,0.403348274299822,0.141870937497087,100.31070205,75.365,-23.5,1.217132989,-8.31610474999997,0.16077326095368,-54.9515,-0.10725,-0.09775,-2.3455,0.561,193.125,212.8,-0.98775,-2.3295,-1.02,-1.81225,-47.7912125
1,3.75,399.3845199,2.360238118,1990.56061125,0.1463908755,1.02,-14.7693250025,-0.325235159,1.9424855295,0.154124262,-0.119750148,0.495521438166168,0.391736693768111,0.152054470233194,100.28524575,74.05,-22.66,1.310921525,-7.98870939999998,0.121285183590605,-55.782,-0.109,-0.1045,-2.419,0.5065,192.3,214.95,-0.983,-2.353,-1.016,-1.83425,-47.8925475
1,4.25,398.5946256,2.57722738075,1990.79585825,0.202370086,0.9935,-23.2100453225,-1.487581721,2.3313337485,0.15345599475,-0.10687979425,0.511185350996678,0.426294041104857,0.155237770366806,100.361855925,73.62,-22.5725,1.386237808,-8.36694575,0.155547808280334,-55.99,-0.115,-0.106,-2.127,0.512,192.425,214.025,-0.98525,-2.34875,-1.01725,-1.8215,-47.881015
1,4.75,398.787547925,2.714959134,1985.180795,0.11405771325,1.254,-15.689765545,2.674090712,2.48244675125,0.13251819775,-0.0914,0.484619211104439,0.47704724448412,0.13334206617883,100.340584075,73.96,-22.91,1.536982057,-8.23067027499999,0.12574714147208,-61.151,-0.12125,-0.10775,-2.135,0.5715,189.1,212.95,-0.98575,-2.34325,-1.00975,-1.88375,-47.5863775
