DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,0.25,0,-0.4220665,-31.02985,0,-27.23,-7.1955,56.805,0.1250226885,88.6,0.02175,-47.09,0,0.303657,-7.233,0.6265,-6.575,-11.835,-10.11,-6.94625,-9.2065,-8.6275,392.2
1,0.75,0,-0.528841049,-32.2593175,0,-27.025,-7.184,56.83,0.116053751,88.6,0.0335,-47.49,0,0,-7.26,0.4915,-6.441,-11.69,-9.96,-6.871,-9.06975,-8.546,385.75
1,1.25,0,-0.50871925,-36.35888871,0,-26.965,-7.215,57.33,0.1070381635,88.6,0.0245,-46.91,0,0.02365345,-7.231,0.6,-6.749,-11.765,-10.145,-7.0295,-9.297,-8.64625,385.8
1,1.75,0,-0.488550762,-35.1995548725,0,-26.935,-7.212,55.805,0.12040116275,88.6,0.025,-48.81,0,0,-7.199,0.639,-6.852,-11.77,-10.225,-7.0875,-9.3705,-8.701,385.8
1,2.25,0,-0.264721241,-29.000075,0,-26.84,-7.256,57.845,0.10641330525,88.6,0,-46.9675,0,0.0388808,-7.095,0.6185,-6.916,-11.82,-10.27,-7.113,-9.433,-8.68475,385.7
1,2.75,0,-0.525865415,-35.66156378,0,-26.875,-7.219,57.495,0.114617522,88.625,0.0075,-46.175,0,0,-7.132,0.601,-6.9235,-11.875,-10.29,-7.1275,-9.421,-8.65375,385.75
1,3.25,0,-0.6570935955,-36.1592956525,0,-26.84,-7.131,56.995,0.10736290925,88.6,0.031,-46.33,0,0.04926025,-7.094,0.586,-6.9465,-11.88,-10.275,-7.122,-9.41825,-8.64525,385.675
1,3.75,0,-0.3169035,-34.965704745,0,-26.775,-7.12,56.575,0.1233884795,88.7,0.0145,-46.275,0,0,-7.233,0.673,-6.95,-11.845,-10.22,-7.1085,-9.3685,-8.65125,385.7
1,4.25,0,-0.4561352555,-29.932262895,0,-26.63,-7.168,56.965,0.13048275,88.6,0.0445,-45.62,0,0.0130016,-7.123,0.6365,-6.9715,-11.9,-10.2,-7.116,-9.34475,-8.6735,386.2
1,4.75,0,-0.48607962875,-29.509067075,0,-26.515,-7.191,56.255,0.1107145,88.6,0.0095,-45.81,0,0,-7.131,0.4625,-6.9345,-11.925,-10.2,-7.09,-9.32325,-8.6925,385.975
1,5.25,0,-0.59583,-27.265813665,0,-26.875,-7.105,56.21,0.10387305225,88.6,0.017,-45.745,0,0.03016005,-7.205,0.539,-6.9075,-11.98,-10.23,-7.0835,-9.31075,-8.705,387.3
1,5.75,0,-0.826716047,-29.1389,0,-26.835,-7.181,56.53,0.115532,88.6,0,-46.2575,0,0,-7.2,0.369,-6.8985,-12.025,-10.27,-7.1015,-9.30675,-8.76725,386.175
1,6.25,0,-0.535843833,-25.66562109,0,-26.485,-7.183,55.125,0.115932,88.6,0.043,-47.76,0,0.00736561,-7.198,0.485,-6.8675,-12.025,-10.375,-7.123,-9.343,-8.78825,386.3
1,6.75,0,-0.58496225,-27.1183320775,0,-26.57,-7.221,56.265,0.0896,88.6,0.0245,-48.045,0,0,-7.239,0.3965,-6.8855,-12.03,-10.27,-7.159,-9.335,-8.80825,386.2
1,7.25,0,-0.3617655805,-24.3432699,0,-26.575,-7.194,58.005,0.105183,88.6,0.008,-47.645,0,0.030058,-7.276,0.4175,-6.909,-12.065,-10.28,-7.142,-9.4145,-8.817,386.175
