DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,427.45762275,7.844644,2089.737196,1.200052,-4.66322675,-26.40450775,-17.4558505,-1.605494,0.97369975,0.0669185,-0.03462875,0.27755675,0.05891925,101.53,86.7,4.765,0.21462,10.7454485,0.210512,5.727,6.491,7.415,8.56,9.78,6.62,6.787,7.512,8.64,9.74,5.4,6.051,7.28,8.61,9.83,-54.356795,0,0,-3.371429,0.201613,273.911804,324.331029
1,0.75,425.7918075,7.6511895,2084.48143,1.12855925,-3.34787475,-26.80155375,-17.8197315,-1.918288,0.97240775,0.068197,-0.04042225,0.28472225,0.061934,101.53,86.4,4.347,0.20151,10.3302715,0.2067975,5.572,6.392,7.316,8.54,9.78,6.386,6.623,7.339,8.56,9.75,5.272,5.928,7.176,8.56,9.83,-50.62891,0,0,-3.371429,0.201613,277.692746,323.937403
1,1.25,424.531661,7.4875005,2115.000705,1.024384,-6.14414675,-26.75299375,-15.6811335,-1.0441425,0.88076975,0.06332525,-0.0418885,0.267225,0.05798425,101.548,87.6,4.246,0.167323,10.1349815,0.20085025,5.479,6.293,7.25,8.5,9.79,6.255,6.434,7.25,8.52,9.76,5.081,5.781,7.066,8.51,9.83,-50.183349,0,0,-3.257143,0.100806,279.095536,322.771353
1,1.75,426.89828525,7.62086075,2112.30485975,1.054159,-4.55570925,-27.110859,-13.7382475,-1.202092,0.97944125,0.059724,-0.03409425,0.25999125,0.06391575,101.53,88.1,4.027,0.143797,9.82904775,0.192975,5.379,6.166,7.151,8.44,9.8,6.135,6.287,7.144,8.51,9.77,4.955,5.626,6.862,8.44,9.84,-49.636922,0,0,-3.257143,0.201613,282.65533,321.554007
1,2.25,425.7144985,7.307594,2115.13592075,1.2875305,-6.2469645,-26.913381,-15.136874,-1.09302775,0.92985225,0.06244975,-0.04288675,0.264151,0.06348125,101.533,88.1,3.81575,0.12944725,9.7542205,0.189752,5.327,6.02725,7.08025,8.4125,9.8025,5.96375,6.20225,7.13675,8.4325,9.775,4.82225,5.50225,6.82775,8.4,9.835,-48.7111605,0,0,-3.142857,0.201613,283.71004625,321.95779025
1,2.75,425.18863725,7.366917,2120.035582,1.493366,-3.0396065,-26.653142,-15.757862,-1.5992005,0.8499575,0.06477975,-0.043511,0.27159125,0.0583225,101.55,88.025,3.65975,0.12109775,9.703039,0.2003715,5.228,5.955,6.9695,8.37,9.81,5.869,6.11425,6.9515,8.3725,9.7725,4.7375,5.3655,6.7505,8.355,9.84,-45.03624075,0,0,-3.18571425,0.252016,282.89714575,320.274833
1,3.25,425.10275125,7.031948,2140.969502,1.92549075,-5.32132725,-26.784149,-15.47330575,-1.36417025,0.92280325,0.065519,-0.04807675,0.27610875,0.0531945,101.541,89,3.71775,0.105449,9.565838,0.187045,5.059,5.84875,6.86675,8.32,9.81,5.796,6.00875,6.75625,8.3225,9.7725,4.541,5.192,6.62625,8.3375,9.84,-41.8269665,0,0,-3.085714,0.201613,288.333056,320.52213825
1,3.75,423.4705595,7.169106,2128.0523635,1.40642775,-5.78227125,-26.938064,-13.08765925,-1.1698535,0.91630075,0.06303175,-0.042519,0.2590195,0.05824075,101.5225,89.275,3.572,0.0895345,9.409945,0.18781775,4.85975,5.73425,6.74025,8.2825,9.8125,5.692,5.94625,6.633,8.275,9.77,4.4195,5.11725,6.546,8.305,9.84,-39.43514325,0,0,-3.085714,0.201613,289.1822395,320.4563025
1,4.25,427.44006975,7.08090725,2135.169126,1.28041575,-7.261269,-26.468657,-13.8545355,-0.987496,0.9695485,0.060739,-0.038506,0.2553305,0.0606995,101.495,89.5,3.41475,0.0679085,9.2914615,0.180077,4.7915,5.56025,6.6625,8.25,9.8,5.6015,5.823,6.526,8.2025,9.7625,4.31425,5.0185,6.45425,8.275,9.84,-36.96609675,0,0,-3.07142825,0.201613,291.3223225,319.768833
1,4.75,425.353231,7.164007,2106.681808,1.86893025,-4.0391015,-26.985724,-13.789219,-0.9198885,0.974237,0.0621055,-0.0395005,0.26154225,0.05922,101.48,90.05,3.27,0.0598105,9.350244,0.168732,4.635,5.40675,6.611,8.1975,9.8025,5.52975,5.69925,6.38025,8.1425,9.7625,4.1665,4.865,6.422,8.23,9.84,-39.63748025,0,0,-3.142857,0.201613,289.6191045,319.41836775
