DOY2,HR2,CO2,CO2_SIGMA,FC,SC,H2O,H2O_SIGMA,H,SH,LE,SLE,PA,RH,TA,T_SONIC,T_SONIC_SIGMA,VPD,PPFD_IN,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TAU,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_1_1_1,G_1_2_1,G_1_3_1,G_1_4_1,TS_1_1_1,TS_1_2_1,CH4,FCH4,SCH4
1,0.25,377.855,0.7325317303,-18.09272,-2.2932505,6.60909425,0.02988047015,-45.6209,-5.9715025,-16.610485,-9.301093,100.899,57.505875,4.59,7.7029,0.070213959,0.0536,0,-82.2194275,-3.7719276,-0.134107475,264.6031125,322.84395,-0.179926,0.0343,0.144222051,0.103253,0.020396078,0.25906125,-30.546426,-36.43970975,-25.16029,-22.833436,13.48925825,13.6312485,1794.1205,-15.384055,-0.4102625
1,0.75,377.900975,0.64796928925,-16.162695,-3.411612,5.4799835,0.0304023662,-52.98521,-1.4524015,-14.41941,-2.090882,100.88425,54.61,4.31075,7.419155,0.08342,0.053905,0,-85.582935,-4.041127875,-0.0327960265,264.6515875,323.167275,-0.22205,0.03441,0.1314786,0.12053345,0.0194945259,0.1785712,-29.56149125,-36.342396,-25.75277175,-23.3425865,13.359687,13.494533,1765.294,-10.755763,-0.41703
1,1.25,377.35535,0.66398469925,-17.97034,-6.66595125,6.439976,0.022972081475,-44.9021,-1.46522,-14.94535,-1.79211675,100.87025,55.575,4.42885,6.142352,0.05842,0,0,-81.2874395,-4.21978225,-0.0148754555,263.5206125,324.497275,-0.19065,0.03074,0.12777095,0.1162281,0.01892453595,0.1940786,-29.36395725,-36.88436275,-25.5536925,-23.2880595,13.25632575,13.34373175,1762.824,-12.36873,-0.4777057
1,1.75,373.7298,0.56862197335,-19.6228375,-2.118134,5.9178705,0.0263791513,-56.6432625,-2.0310375,-19.8838125,-2.421358,100.8744,54.8915,3.9598,6.3918405,0.0562,0,0,-85.9601225,-4.11102125,-0.09473405,262.521585,322.71765,-0.216609925,0.027135,0.1487497208,0.120531875,0.01858940475,0.2073885,-30.30042675,-38.06434075,-26.38803975,-22.8921585,13.16579975,13.19877325,1756.101,-11.71479,-0.631515475
1,2.25,374.2144,0.6825094204,-27.563875,-2.356156,7.30165175,0.031410690375,-52.93752,-1.58800425,-31.0811,-1.7814735,100.87025,61.3615,3.6896,4.848075,0.0618925,0,0,-89.45703625,-4.46766325,0.0910925,260.3101175,322.11,-0.207601375,0.0287675,0.097102729725,0.1080894488,0.016881943,0.23692155,-31.04605875,-38.92957075,-27.0401105,-23.202916,13.07767425,13.10397775,1755.17475,-10.24237125,-0.41119665
1,2.75,364.406825,0.673946284,-7.5879775,-8.6672045,7.116147,0.030626790325,-52.944875,-1.65228025,-63.152,-3.14066475,100.8716,61.8142875,3.8211,5.125,0.068786496,0,0,-88.3087325,-4.696446075,0.062485,257.55062,321.419725,-0.225051,0.02373,0.1035370301,0.09922,0.01911,0.1734307,-31.45659925,-39.3412405,-27.66359325,-23.5305305,12.99400275,13.00801375,1753.8845,-8.865342,-0.32896515
1,3.25,374.78535,0.5590015227,-3.571903,-5.8907175,6.748403,0.035230765175,-48.360155,-1.7336245,-21.513745,-2.785561,100.8804,58.95162,3.71235,5.0076,0.04978,-0.0004123,0,-89.1887925,-4.85021825,-0.0397375,255.817625,321.182,-0.2580667,0.03388,0.1163293261,0.1106107085,0.0182834592,0.208129,-31.54845925,-39.909476,-28.3396955,-24.1689885,12.90572725,12.89827575,1752.7515,-8.7200865,-0.437884925
1,3.75,372.8724,0.52998102965,-9.6613125,-4.120383,6.5309345,0.0270981374,-57.1659575,-1.424119,-35.93562,-11.875925,100.88015,59.186925,3.662125,5.1682,0.0579750918,-4.39999999999998e-05,0,-90.599663,-4.75918475,0.0116805,257.1342425,321.089075,-0.29389105,0.0274625,0.127227702125,0.115751834775,0.0188925,0.09064,-31.66771075,-40.6396115,-29.1281815,-24.611676,12.8064285,12.77931,1750.81125,-9.9836855,-0.403195375
1,4.25,375.790525,0.68255448725,-9.895421,-7.797349,6.3109585,0.0297905306,-53.342335,-1.40699,-26.7572,-3.653686,100.896025,59.32011,3.39475,5.288825,0.0401492842,-0.003348075,0,-88.54300975,-4.516471675,0.04915992975,257.6716525,320.149565,-0.26685965,0.0346025,0.101031910475,0.10588005,0.0218175,0.20098075,-31.6193295,-41.11306175,-29.934901,-25.051337,12.70721375,12.66070075,1775.4635,-15.904755,-0.477615625
1,4.75,379.991175,0.62275253715,-35.8513925,-10.814235,5.978329,0.028186797375,-57.7195,-1.5389,-32.72893,-2.22350975,100.90715,59.35404875,3.01,5.0394,0.061314917775,0,0,-82.94553725,-4.21890575,-0.071185,255.3366875,320.1855425,-0.196703025,0.0267075,0.111915425,0.0915375,0.022442455225,0.168596875,-32.66682125,-41.35249425,-30.31255725,-24.929716,12.6092035,12.54494725,1747.31,-11.78205,-0.291602625
