DOY2,HR2,CO2,FC,H2O,H,LE,PA,RH,T_SONIC,TA,VPD,TS_1_2_1,TS_2_2_1,USTAR,WS,G_1_2_1,G_2_2_1
1,0.25,568.62409,-0.40932012555,1.66141705,-88.2975,-1.65,93.6317735,18.949928,9.5536517,7.828,5.56015,10.6625,11.29125,0,0,-34.9385,-27.48175
1,0.75,568.16005,-0.43923041595,1.716012,-66.5,-1.7415,93.61114275,18.679065,9.16537815,7.293025,5.163485,10.506,11.208,0,0,-32.5475,-27.29
1,1.25,569.1212725,-0.25709968815,1.76142015,-68.745,-1.868,93.5755655,20.3900745,8.77798225,6.90375,4.44515,10.2275,10.9825,0,0,-29.465,-27.36
1,1.75,569.03639,-0.2094782816,1.7735934,-69.33,-2.10975,93.596109,20.005259,8.4360272,6.6285,4.03406,11.925,13.74375,0,0,-28.655,-25.464
1,2.25,569.615375,-0.54359202775,1.8039875,-64.31,-1.996,93.6003275,20.594825,7.76213275,5.99875,3.99865,11.57275,13.5435,0,0,-28.611,-26.158
1,2.75,571.00738,-0.2796161366,1.7860184,-85.5875,-1.545,93.595896,20.49866,7.5158622,5.8042,4.13246,11.28625,13.35275,0,0,-28.6425,-26.729
1,3.25,573.31026,-0.5121765532,1.7123702,-83.1225,-2.6,93.590274,21.57776,6.9367502,5.2448,3.95594,11.06575,13.1805,0,0,-28.99775,-27.0595
1,3.75,573.32328,-0.4713655246,1.7967806,-62.99,-3.538,93.580262,22.10926,6.6107624,4.8498,3.95388,10.8615,13.012,0,0,-28.849,-27.125
1,4.25,571.66654,-0.4157940226,1.836289,-90.82,-2.25525,93.57356,21.94054,6.3714782,4.6112,3.86512,10.6235,12.82825,0,0,-28.83525,-27.50425
1,4.75,572.5854125,-0.20727285125,1.890881375,-68.87,-1.218,93.56274,22.249525,6.87531125,5.031625,4.0686125,10.406,12.61,0,0,-29.12075,-27.8865
1,5.25,571.849475,-0.371467845875,1.871989625,-79.3975,-2.42,93.55877375,22.7487625,6.347495875,4.313375,4.1146375,10.19475,12.449,0,0,-29.31675,-28.04775
1,5.75,569.040965,-1.106841381375,1.9290243,-66.5575,-2.77075,93.55065,22.482225,5.904968725,4.163025,3.4951725,9.978,12.248,0,0,-29.7805,-27.16425
1,6.25,570.639095,-0.51020819305,2.002879,-81.24,-2.7825,93.5592345,23.844775,5.6261502,3.67665,3.4417,9.73575,12.0685,0,0,-30.082,-27.49175
1,6.75,572.4029775,-0.448282252,1.996736,-75.69,-2.49925,93.56213625,22.23906625,5.6135973,3.75485,3.3300225,9.56,11.9075,0,0,-30.114,-27.504
1,7.25,574.37586,-0.3651265325,1.9945461,-84.14,-3.272,93.594138,21.464129,6.434378,4.5116,3.28574,10.226,12.59725,0,0,-30.2135,-27.446
1,7.75,572.9814575,-0.721022365699999,2.286163125,-82.225,-5.1085,93.630868,21.54745125,5.941074675,4.0341,2.5174575,9.31041666666667,11.239,0,0,-30.275,-27.52
1,8.25,572.06536,-0.37623852545,2.118149875,-65.4125,-2.421,93.65961225,21.1343755,5.045312075,3.146075,2.6181325,8.39483333333333,9.88075,0,0,-30.57225,-27.752
1,8.75,574.41309,-3.5526353536,2.0194045,-64.9625,-2.89625,93.680168,23.160058,5.5875173,4.2389,2.86725,7.47925,8.5225,0,0,-30.086,-29.361
1,9.25,573.548145,-1.27326646155,1.98931475,-42.895,-2.9,93.667248,21.651618,6.8263008,6.00995,2.79461,7.512125,8.475,0,0,-26.301,-28.011
1,9.75,570.33688,-4.0869811526,1.9842754,-21.31,0.405,93.701802,18.953852,8.7494862,7.5273,3.68883,8.53425,8.64675,0,0,-20.86775,-23.82825
1,10.25,567.5869,-4.185211621375,1.6159694,-9.735,1.045,93.614124,17.487752,9.83411,8.99,4.30245,9.807,9.112,0,0,-13.42375,-21.67875
1,10.75,564.351525,-3.867631573625,1.5015476,19.175,0.74875,93.6641125,16.07395,12.1114325,10.5555,5.43946,11.17,10.15,0.095583303,0.65330016415,-3.82625,-18.4
1,11.25,561.2761225,-3.7543131649,1.383585725,37.8625,0.8525,93.67600375,14.07285,12.991444,11.13525,6.3706125,12.509,10.82875,0.12925754,0.4888072063,-1.899625,-13.9135
1,11.75,558.42925,-3.4147359438,1.415341,42.8375,2.2825,93.6625275,13.050975,13.615118,11.8,7.722275,14.012,11.459,0.151768865,0.667655109125,2.7687,-10.1825
1,12.25,556.67005,-4.124190327025,1.466859,42.6125,0.669,93.63213,12.313575,14.42543175,12.265,8.43935,15.013,12.286,0.15363541,0.5843995623,3.65855,-7.5122
1,12.75,554.5701,-4.2348853373,1.5188365,53.33,0.6325,93.5939,11.57535,14.8159095,13.2725,8.392475,15.257,13.089,0.1409457275,0.436247606825,7.3033,-0.99695
1,13.25,552.70595,-4.2140384823,1.43609125,51.79,0.7955,93.5405475,10.94259,15.62676325,14.145,9.1937,15.845,13.61,0.1308498725,0.47165680205,5.77325,2.7406
1,13.75,551.497275,-4.08662557,1.38043475,49.615,-0.26625,93.4919725,10.35315,15.8805925,13.81,10.126475,16.096,14.384,0.158776125,0.78439638575,3.5782,2.37265
1,14.25,551.448175,-3.6301215165,1.20423225,61.53,0.3425,93.450825,9.898975,16.3037025,14.1925,10.1,16.508,14.598,0.13738475,0.84480224975,9.1215,2.1901
1,14.75,551.15935,-3.51202344775,1.077721,51.65,0.91,93.4294725,9.20475,16.8010875,14.7875,10.089275,16.661,14.594,0.140102275,0.9493814335,13.23,1.5282
1,15.25,550.0551,-3.9199680255,1.1174342,46.95,0.422,93.4180775,9.142975,16.83231,14.44,9.17695,16.972,14.71,0.189005275,0.65023403925,11.6055,3.43715
1,15.75,549.091825,-3.3335163105,1.08447925,28.5125,1.18125,93.3878475,9.18928,16.3128175,14.5025,9.64175,16.765,14.585,0.153493475,0.7612672495,3.43055,-1.28075
1,16.25,549.13265,-2.95380042825,1.043589775,24.275,-0.70175,93.3918725,9.481625,16.0206125,14.36,9.920175,16.622,14.383,0.1714374,0.894831871,-1.74145,-4.14775
1,16.75,548.982035,-2.688928865625,0.850580395,24.35,0.112,93.42160775,9.4523275,16.34889675,14.16725,10.99,16.56775,14.32075,0.13965055,0.6323621455,-0.2838,-2.4682
1,17.25,549.5052775,-2.3760566438,0.9298937375,6.6845,-1.924,93.4158245,8.616411,16.6503445,14.52675,10.69,16.18075,14.24075,0.13332885,0.706545719,-2.03335,-3.8159
1,17.75,549.93793,-1.5723174129,1.02670279,-3.871,-1.078,93.386185,8.724644,16.497181,14.483,10.47,15.715,14.153,0.1327364925,0.65173714025,-5.40645,-5.9918
1,18.25,550.5076825,-0.6704032237,0.9463802325,-25.2,-0.5905,93.36131625,9.10255,16.30225675,14.04525,10.23698,15.15125,14.111,0.0894418225,0.6020384614,-9.27225,-9.5649
1,18.75,552.2349,-0.5262185138,1.1035122,-40.1375,-7.336,93.515874,9.99716,15.8903,14.032,10.58,15.0795,13.7985,0,0,-13.68125,-8.979825
1,19.25,553.8463975,-0.205172077825,1.142383,-55.65,-2.8815,93.54877275,10.88407625,15.134506,13.45,11.58,14.31,13.424,0,0,-20.6885,-12.47475
1,19.75,556.81149,-0.535666191,1.215676125,-61.89,-2.624,93.57886775,12.089635,14.4015635,12.7365,10.84167,13.7725,13.15,0,0,-25.3655,-15.83275
1,20.25,558.36193,-0.80658891745,1.4724511,-94.9875,-2.77125,93.5969605,13.546285,13.614756,11.907,10.281145,13.318,12.898,0,0,-27.8655,-18.146
1,20.75,560.172185,-0.32999666055,1.50373465,-64.33,-3.18,93.613789,14.4917,13.1364855,11.431,9.20658,12.92,12.705,0,0,-30.4455,-20.305
1,21.25,561.179915,-0.36461731565,1.49928305,-55.0725,-2.205,93.623983,15.31806,12.6057575,10.838,7.62202,12.582,12.513,0,0,-30.50775,-22.1375
1,21.75,561.051895,-0.38948743075,1.50681075,-61.6375,-2.13,93.643336,15.503114,12.1258095,10.1995,7.50592,12.266,12.322,0,0,-30.67475,-23.3315
1,22.25,563.746575,-0.2650649238,1.5782713,-77.2,-2.3315,93.6434105,16.937155,11.637741,9.816,7.14255,11.912,12.124,0,0,-31.533,-23.71725
1,22.75,565.025805,-0.5453963437,1.59036275,-74.6925,-2.931,93.6500935,17.41865,10.6980105,9.064,6.327635,11.588,11.928,0,0,-32.536,-24.51775
1,23.25,566.274385,-0.5689488579,1.59360215,-73.06,-2.32625,93.641126,17.89901,10.559469,8.732,5.957855,11.293,11.733,0,0,-33.3175,-25.009
1,23.75,567.1679775,-0.613912720725,1.641162475,-86.5475,-2.18,93.6322905,18.45037125,10.131237,8.04925,5.717405,10.955,11.50125,0,0,-34.721,-26.36725
2,0.25,548.636065,-0.3693433814,1.34716225,-58.55,-2.55325,93.527368,14.06209,9.0595757,6.8051,3.60296,10.7295,11.154,0,0,-34.99,-30.7245
2,0.75,549.77036,-0.566439121,1.3723148,-53.4025,-2.89,93.572048,14.50016,8.3464607,6.54695,3.44972,9.4345,10.51125,0,0,-35.5475,-32.9125
2,1.25,550.52504,-0.38799633795,1.54339585,-54.42,-1.9745,93.549651,15.22339,8.3282608,6.099,3.44746,8.99975,10.25875,0,0,-34.86625,-33.507
