DOY2,HR2,FC,LE,H,SW_IN,TA,TS_1_1_1,RH,USTAR,PA,SW_OUT,NETRAD,PPFD_IN,TS_2_1_1,WS,G_1_1_1,G_1_1_2,G_2_1_1,G_2_1_2,SG_1_1_A,SG_2_1_A,CO2
1,0.25,0.42150375,12.696,-4.24423,0,-11.76,-1.03425,76.795,0.378771,92.625,0.50502325,1.4622475,0,-0.29075,2.46775,-0.08875,-0.71525,6.97725,-0.52175,-0.44625,1.418875,446.175
1,0.75,0.438701,14.8052,-6.1861725,0,-11.7925,-1.04925,76.5875,0.39190825,92.625,0.20368325,2.185143,0,-0.30575,2.671,-0.12775,-0.76875,7.71925,-0.22375,-0.51075,1.5029134715,445.9
1,1.25,0.5531175,13.152425,-4.88319,0,-11.98,-1.05025,76.2375,0.376479,92.7,0.614672,0.50708125,0,-0.296,2.3715,-0.15075,-0.7695,7.652,-0.485,-0.511625,1.26473590175,445.9
1,1.75,0.463878,14.69185,-5.09901,0,-12.04,-1.07225,76.655,0.3738305,92.625,0.49297375,1.88681825,0,-0.2855,2.70175,-0.1835,-0.7505,7.53775,-0.55575,-0.535125,1.697625,445.8
1,2.25,0.37956725,13.974925,2.0690975,0,-12.2925,-1.068,77.08,0.3602205,92.7,0.45852675,0.990654,0,-0.26075,2.99625,-0.21,-0.74775,7.2845,-0.833,-0.54325,1.658,445.6
1,2.75,0.5560705,14.77345,-1.6017875,0,-12.175,-1.08125,76.3225,0.399256,92.725,0.4963855,-0.556609,0,-0.26825,3.745,-0.207,-0.75,7.17325,-0.8815,-0.53575,1.451625,445.875
1,3.25,0.5810215,13.38645,-4.1296125,0,-12.815,-1.072,76.425,0.319476,92.725,0.44304725,1.4846315,0,-0.25175,3.48925,-0.1965,-0.77675,6.6475,-0.691,-0.531,1.52292475075,444.5
1,3.75,0.602706,9.936535,-11.271305,0,-11.86,-1.07675,76.2675,0.3474645,92.7,1.07010925,0.758358,0.000868776,-0.25225,2.963,-0.19675,-0.814,6.5175,-0.633,-0.5415,0.860787338,445.125
1,4.25,0.37399125,10.9966,-4.065155,0,-12.055,-1.06525,76.45,0.3365925,92.725,0.396076,1.17184,0.003246771,-0.25075,3.218,-0.22375,-0.795,6.4815,-0.89075,-0.53,0.71295226575,445
1,4.75,0.295948,15.188725,-6.09043,0,-12.14,-1.06325,76.37,0.365686,92.725,0.51159,0.60274775,0,-0.241,3.743,-0.2,-0.907,6.407,-0.994,-0.54,1.27,444.05
1,5.25,0.50932325,10.638325,-8.829975,0,-12.3525,-1.0435,76.62,0.3378155,92.8,0.44891875,0.88446307,0,-0.24075,3.721,-0.212,-0.877,6.243,-0.974,-0.525,0.127,444.25
1,5.75,0.6206645,15.2063,-9.1905875,0,-12.2375,-1.041,76.7,0.367818,92.7,0.5861125,-0.367219,0,-0.24925,3.62,-0.132,-0.873,6.259,-0.955,-0.5215,0.409,442.7
1,6.25,0.37957175,15.0167,-3.441855,0,-12.035,-1.03975,77.03,0.37190525,92.7,0.524211,-0.300272825,0,-0.23675,3.266,-0.128,-0.922,6.251,-0.92525,-0.5125,0.2795,445.2
1,6.75,0.37796175,13.86335,-2.540515,0,-12.36,-1.039,77.21,0.36069675,92.7,0.91857725,-0.140447,0.002630465,-0.23625,3.021,-0.155,-0.926,6.196,-0.962,-0.5165,0.7815,446.9
1,7.25,0.5746325,9.22455,-10.503375,0,-12.2425,-1.02975,76.7,0.344558,92.7,1.1276625,-0.26293475,0.00024015675,-0.23725,3.205,-0.149,-0.947,6.342,-0.929,-0.5085,0.9515,447.2
1,7.75,0.317455,10.971375,-1.4888225,1.029675,-12.67,-1.05125,77.2125,0.3572735,92.625,3.8726175,0.45408525,0,-0.23,3.223,-0.12525,-0.80875,6.12875,-0.772,-0.497875,0.468625,447
1,8.25,0.459074,13.24305,-0.22597,9.26766,-12.49,-1.0705,76.9225,0.384908,92.625,13.7803,0.433167,0,-0.23125,3.4665,-0.16175,-0.8475,6.289,-0.774,-0.5475,0.144875,446.25
1,8.75,0.380052,9.53004,-7.4214875,29.5091,-12.31,-1.10575,76.9175,0.362152,92.625,31.292,0.68130695,0,-0.258,3.4455,-0.1465,-0.88375,6.1885,-0.889,-0.55,0.10525,443.2
1,9.25,0.58904775,9.8743525,-8.4752575,45.15015,-12.455,-1.1015,77.43,0.343155,92.625,49.6593,0.3217155,0.049334015,-0.23725,4.0125,-0.143,-0.87625,6.21975,-0.98,-0.539875,0.17825,443.2
