DOY2,HR2,CO2,H2O,FC,NEE,LE,H,USTAR,TA_1_1_2,TA_1_1_1,RH,PA,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,PPFD_IN_1_1_1,PPFD_OUT,PPFD_IN_1_1_2,PPFD_DIF,TS_1_1_1,TS_2_1_1,TS_1_2_1,TS_2_2_1,TS_1_3_1,TS_2_3_1,TS_1_4_1,TS_2_4_1,TS_1_5_1,TS_2_5_1,TS_1_6_1,TS_2_6_1,WS
1,0.25,391.100555,0.775,0.04,0.06,-0.135,-9.45,0.06,-22.265,-21.12,73.95,94.3,-1.325,0.135,204.5,219.5,-27.055,-0.215,-0.095,6.065,2.665,-7.58,-10.45,-6.2445,-9.6,-4.5925,-7.98,-1.582,-5.148,0.0275,-0.556,-9.25,0.0165,0.775
1,0.75,390.95,0.84,0.0475,0.06,-0.18,-10.37,0.07,-22.53,-21.13,74.35,94.35,-1.455,0.135,203.9,220.15,-27.26,-0.21,-0.11,7.815,3.205,-7.605,-10.475,-6.2975,-9.655,-4.624,-8.025,-1.6055,-5.1485,0.027,-0.5565,-9.25,0.017,0.795
1,1.25,390.795,0.86,0.03,0.03,-0.185,-11.36,0.07,-22,-21.11,74.45,94.3,-1.27,0.165,201.8,217.45,-24.17,-0.205,-0.095,5.675,2.555,-7.58,-10.515,-6.335,-9.605,-4.683,-8.025,-1.6445,-5.181,0.0265,-0.5585,-9.25,0.016,0.865
1,1.75,390.74,0.87,0.03,0.04,-0.1525,-10.3675,0.05,-21.275,-20.99,74.95,94.3,-1.22,0.135,202.75,217,-23.86,-0.19,-0.1,5.4,3,-7.615,-10.64,-6.295,-9.585,-4.7485,-8.025,-1.6565,-5.191,0.0265,-0.5605,-9.25,0.0155,0.76
1,2.25,390.8125,0.8775,0.02,0.02,-0.08,-8.16,0.06,-21.985,-21.12,75.55,94.3,-1.345,0.125,204.9,215.05,-24.88,-0.195,-0.09,7.69,3.46,-7.625,-10.645,-6.281,-9.64,-4.7205,-8.005,-1.624,-5.215,0.026,-0.562,-9.25,0.0145,0.805
1,2.75,390.65,0.87,0.06,0.03,-0.08,-8.25,0.08,-21.97,-21.51,74.9,94.3,-1.29,0.14,205.55,213.15,-22.595,-0.195,-0.085,8.05,3.865,-7.66,-10.64,-6.2455,-9.605,-4.7335,-8.05,-1.6375,-5.213,0.026,-0.5645,-9.25,0.0145,0.82
1,3.25,390.6,0.86,0.06,0.05,-0.15,-7.845,0.07,-22.09,-21.79,75.15,94.3,-1.295,0.12,207.85,214.45,-21.56,-0.19,-0.085,6.605,3.39,-7.67,-10.65,-6.359,-9.66,-4.7575,-8.115,-1.5935,-5.242,0.026,-0.566,-9.25,0.0145,0.755
1,3.75,390.45304,0.89,0.04,0.035,-0.1,-7.32,0.08,-22,-21.83,75,94.3,-1.18,0.13,209.75,217.55,-20.94,-0.175,-0.085,6.59,2.77,-7.71,-10.72,-6.355,-9.705,-4.7345,-8.135,-1.607,-5.275,0.0255,-0.5675,-9.25,0.014,0.755
1,4.25,390.205,0.89,0.025,0.04,-0.11,-8.4025,0.0875,-22.25,-21.89,75.2,94.3,-1.365,0.105,209.3,216.6,-20.025,-0.185,-0.08,8.575,4.55,-7.715,-10.81,-6.353,-9.825,-4.728,-8.17,-1.601,-5.3245,0.0255,-0.5685,-9.25,0.013,0.76
1,4.75,390.28,0.8975,0.05,0.0425,-0.1775,-8.325,0.07,-22.83,-21.69,75.25,94.3,-1.45,0.09,208,215.9,-21.625,-0.18,-0.07,8.39,4.405,-7.74,-10.835,-6.3525,-9.87,-4.7395,-8.215,-1.587,-5.314,0.0255,-0.5685,-9.25,0.013,0.79
1,5.25,389.8325,0.9125,0.05,0.0425,-0.2,-10.9675,0.09,-22.125,-21.58,75.45,94.25,-1.32,0.125,207.8,217.55,-20.145,-0.16,-0.07,8.27,3.87,-7.735,-10.755,-6.3485,-9.945,-4.7285,-8.38,-1.6145,-5.3235,0.0245,-0.568,-9.25,0.013,0.825
1,5.75,389.43,0.9,0.0575,0.06,-0.16,-11.96,0.08,-22.195,-21.47,75.1,94.25,-1.35,0.13,205.05,219.05,-20.895,-0.16,-0.07,7.995,4.14,-7.73,-10.73,-6.41,-9.98,-4.8035,-8.395,-1.645,-5.2945,0.0245,-0.568,-9.25,0.012,0.97
1,6.25,389.7475,0.895,0.03,0.03,-0.125,-10.7475,0.0725,-22.35,-21.41,74.65,94.3,-1.5,0.135,205.75,217.75,-20.845,-0.16,-0.07,8.04,3.975,-7.735,-10.87,-6.48,-10.045,-4.856,-8.38,-1.6025,-5.2715,0.024,-0.5675,-9.25,0.012,0.775
1,6.75,389.37,0.86,0.05,0.0675,-0.12,-8.97,0.08,-21.83,-21.24,74.65,94.3,-1.29,0.09,205.05,218.2,-21.775,-0.175,-0.06,8.05,4.06,-7.79,-10.92,-6.553,-10.055,-4.818,-8.37,-1.6215,-5.277,0.0235,-0.567,-9.25,0.0115,0.775
1,7.25,389.645,0.8575,0.04,0.05,-0.14,-9.775,0.07,-21.925,-21.09,75.15,94.3,-1.4,0.11,202.5,218.35,-20.68,-0.14,-0.06,7.2,2.79,-7.86,-11.025,-6.538,-10.005,-4.8705,-8.445,-1.655,-5.2585,0.0235,-0.5655,-9.25,0.0115,0.785
1,7.75,389.28,0.91,0.0375,0.03,-0.16,-9.15,0.08,-21.81,-21.19,75.05,94.3,-1.505,0.085,202.3,217.95,-20.405,-0.125,-0.04,7.94,3.92,-7.925,-10.9,-6.5105,-10.06,-4.8635,-8.51,-1.699,-5.234,0.0235,-0.5665,-9.255,0.011,0.855
1,8.25,389.55,0.8925,0.0525,0.04,-0.105,-7.2775,0.0725,-22.05,-21.44,75.6,94.3,-0.95,0.22,202.35,218,-19.515,0.06,0.07,8.755,5.155,-7.895,-10.915,-6.5475,-10.09,-5.008,-8.515,-1.7025,-5.219,0.0235,-0.566,-9.255,0.0105,0.73
1,8.75,389.7125,0.9125,0.05,0.06,-0.13,-8.5675,0.0625,-22.1,-21.87,75.8,94.3,1.34,1.655,202.75,219.1,-13.935,2.915,2.43,15.735,10.255,-7.86,-11.005,-6.5625,-10.215,-5.026,-8.625,-1.744,-5.201,0.024,-0.5655,-9.255,0.011,0.8
