DOY2,HR2,FC,LE,H,FCH4,CO2,H2O,CH4,USTAR,WS,T_SONIC,TA,RH,PA,TS_1_1_1,PPFD_IN,FCH4_1_1_1,FCH4_1_1_2,CH4_1_1_1,CH4_1_1_2,SW_IN,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,SW_OUT,LW_IN,LW_OUT,NETRAD
12,13.75,-0.788838,2.716042,-3.18092425,11.1555,399.577083,2.49729975,1864.62075,0.144102,1.1361,-10.724624,-10.4,64.85,95.53637,1.523,113.43112875,10.5,13.528,1990.1275,1980.1395,47.06,3.359,4.893,5.111,5.819,8.13,8.34,28.0025,249.5073525,268.478688,2.54675
12,14.25,-0.642443,2.141363,-5.812077,11.9165,399.597258,2.589413,1870.35975,0.142492,1.074325,-10.577243,-10.27,65.45,95.55664075,1.523,94.078,14.05825,13.2195,1989.94475,1980.511,39.47,3.359,4.889,5.106,5.819,8.13,8.34,22.485,250.8322155,270.9644178,-0.5125
12,14.75,-0.62445725,1.912682,-9.33439625,11.22915,399.6255485,2.58997875,1870.535,0.12399575,1.00864675,-10.45379225,-10.16,65.51,95.571704,1.523,67.3195,14.174,12.463,1975.246,1980.239,29.88,3.358,4.888,5.106,5.816,8.13,8.34,17.13,247.900124,272.0353293,-9.41
12,15.25,-0.60060575,0.8821165,-9.946511,11.2155,399.917106,2.559197,1872.77275,0.121623,0.960887,-10.461246,-10.225,65.885,95.5971435,1.5225,45.829,12.24425,13.722,1953.13,1981.2645,21.24,3.36325,4.89525,5.1175,5.813,8.1325,8.3325,12.0275,247.855848575,273.225532075,-13.0625
12,15.75,-0.50898,0.38550275,-11.7582605,10.323,400.33434,2.549632,1873.6765,0.1069545,0.80852,-10.5551955,-10.2725,67.9225,95.585806,1.52325,20.55,10.295,12.05275,1975.323,1983.092,9.37,3.36325,4.8945,5.11675,5.8085,8.1325,8.34,6.28375,250.7373621,273.0456218,-16.8725
12,16.25,-0.388327,-0.252847,-15.8699475,10.2755,400.33850775,2.475436,1875.69075,0.0840095,0.5922325,-10.78841,-10.6375,71.3925,95.5931145,1.522,6.4923,14.994,13.457,1984.1335,1984.133,2.049,3.361,4.88825,5.11575,5.8065,8.1325,8.3325,1.7445,247.59221465,271.34022435,-25.2725
12,16.75,-0.387442,-0.520967,-15.05411875,9.77,398.705813,2.516094,1881.25325,0.0745715,0.4507445,-11.432492,-11.575,74.17,95.596582,1.51575,0.4520475,11.65525,12.3395,1986.485,1986.1395,-1.567,3.36175,4.8865,5.11175,5.805,8.1325,8.3325,0.17625,249.297244125,267.67228005,-24.1475
12,17.25,-0.39120975,-0.556396,-16.5219005,9.60875,399.936447,2.53647225,1884.97975,0.0742,0.439996,-11.9778755,-12.255,76.375,95.583552,1.51875,0,12.8415,12.959,1977.7025,1987.63775,-1.6245,3.3605,4.88525,5.109,5.8025,8.1325,8.3325,-0.059,250.07939665,264.680137,-26.792486795
12,17.75,-0.5958645,-0.886314,-17.476211,10.327,400.6484585,2.43174825,1882.86775,0.070579,0.394266,-12.545171,-12.6425,77.0275,95.6021825,1.5195,0,13.4045,15.01725,1991.5725,1989.5665,-1.3205,3.359,4.88225,5.10625,5.8025,8.1325,8.33,0.0825,251.74072145,265.497164425,-22.47632512
12,18.25,-0.57019675,-1.598701,-19.70761,10.7965,400.981175,2.374252,1883.256,0.0701,0.414815,-12.890842,-13.0525,78.1125,95.588543,1.52,0,11.7895,13.911,1988.9275,1986.8895,-1.3525,3.352,4.878,5.1035,5.802,8.13,8.33,0.05775,251.544191625,264.733222375,-22.47632512
