DOY2,HR2,FC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_5_2,H2O_1_5_2,CO2_1_6_2,H2O_1_6_2,CO2_1_7_2,H2O_1_7_2,CO2_1_7_3,H2O_1_7_3,CO2_1_8_2,H2O_1_8_2,CO2_1_8_3,H2O_1_8_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,WS_1_7_1,WS_1_8_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_1_5_1,T_CANOPY_1_6_1,T_CANOPY_2_6_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_IN_1_7_1,PPFD_IN_1_8_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_9_1,TS_2_1_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_5_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,NETRAD
1,0.25,1.567613822,3.13239206587662,0.161877903684031,-14.3057748515599,-1.3597816065,0.525618999291699,425.542325501634,7.62859919352709,421.3291671,6.884111641,424.246432247104,6.71213352773524,419.783360889355,7.68745776187358,428.546611188464,6.62016400354735,421.02307535,6.92209661115855,425.80459185,422.8039263,6.84836920728269,423.9188205,6.92761089137816,425.214180607908,6.825700545,427.9486318,7.01660259829818,429.4381336,6.70417722569692,438.818373861046,6.900335061,436.623848371517,6.76954175143572,1.08338675122417,1.66009176076694,0.244816119118027,0.64,0.51,0.325,0.29,0.26,0.28,0.125,1.7916,1.4915,1.645,1.5861,1.1458,1.15045,1.1409,1.02875,0.3587,97.62178,96.62,0.2285,2.99,2.98,2.94,2.76,2.735,2.185,2.385,0.6,-1.29,1.7,-1.065,0.065,326.75,324.85,331.3,321.45,0.22,-0.055,0.16,-0.18,0.13,0.21,-0.34,0.34,0.52,0.04,0,0.29,2.5505,2.628,3.8935,4.926,6.2235,6.302,5.995,7.194,2.066,3.44,4.903,6.241,6.713,6.575,7.3295,1.73,2.251,3.0535,3.8055,5.2525,6.144,7.001,7.0805,1.919,2.14,2.862,3.127,4.362,5.7475,6.2,7.13,1.6445,2.8595,3.1445,3.829,6.1465,6.274,-2.6535,-2.4335,-1.53
1,0.75,1.3854556875,5.94189095412752,0.16162946461532,-8.80249285681431,-1.9053925815,0.589741549540223,426.0622255,7.511966928,421.2301917,6.656686156,425.1554301,7.14967361115488,420.0188963,7.831555243,427.941460815665,7.64040392178024,423.0726708,6.59050306,427.525412155263,423.4715798,6.55533669961602,424.699296,6.58218888616034,426.128419583329,6.55522113317198,429.770572,6.653762577,432.1147388,6.970606207,435.45461905,6.668732077,443.4048356,7.03663551484594,1.07136711032929,1.970554208,0.281273344581064,0.61,0.475,0.29,0.26,0.23,0.27,0.13,1.7995,1.336,1.49365,1.3717,1.0686,1.1224,1.0809,0.9652,0.3059,97.63756,96.65,0.23,2.935,2.9,2.83,2.67,2.57,2.18,2.3,0.6,-1.4,1.7,-1.04,0.08,327,324,331.3,321.5,0.23,-0.05,0.16,-0.19,0.13,0.21,-0.34,0.34,0.52,0.03,0,0.26,2.474,2.604,3.882,4.912,6.224,6.303,5.994,7.189,2.013,3.441,4.892,6.236,6.7125,6.5755,7.331,1.695,2.237,3.001,3.78,5.241,6.173,7.001,7.08,1.895,2.1365,2.836,3.088,4.362,5.736,6.196,7.129,1.604,2.796,3.124,3.827,6.148,6.264,-2.7845,-2.6,-2.09
1,1.25,1.527241175,2.32147402011618,0.163039623,-12.48923367,-2.499874713,0.600783286,425.348358825602,7.54371468703507,421.1068929,6.858406854,424.539744763084,6.807321019,420.6408895,7.87857042056621,428.06994385,6.72088921431816,423.23302965,6.82395016873918,424.44873985,423.85938,6.693205006,423.722551306393,6.9620597555,427.3304065,6.74950277084842,430.116089322589,6.84998847591929,433.719749661278,7.004262141,438.66927,6.73681165223403,439.673610721362,6.95784984839307,0.994200465,1.82981232186324,0.271856254,0.66,0.49,0.3,0.27,0.24,0.28,0.13,1.8618,1.421,1.50435,1.3671,1.0277,1.0574,1.0005,0.9603,0.3181,97.65956,96.1,0.25975,2.9,2.83,2.69,2.71,2.54,2.18,2.27,0.6,-1.38,1.6,-1.06,0.06,325.8,323.9,331.5,321.4,0.23,-0.05,0.16,-0.19,0.13,0.21,-0.35,0.34,0.47,0.03,0,0.27,2.449,2.567,3.903,4.911,6.225,6.304,5.993,7.189,1.958,3.428,4.88,6.236,6.716,6.577,7.331,1.667,2.223,2.998,3.792,5.238,6.173,6.999,7.08,1.896,2.133,2.812,3.087,4.362,5.731,6.195,7.129,1.555,2.878,3.112,3.826,6.148,6.263,-2.5655,-2.555,-0.62
1,1.75,0.930864402,2.717570928,0.189974517,-8.11509511393218,-1.425621546,0.606774865,424.7630362,7.63629404226626,422.768959064126,6.674597841,424.2383069,6.391745051,421.593730907545,7.47370267517979,426.285288004121,6.605010593,423.371621621817,6.638191994,425.4069331,424.60899007638,6.496904437,425.1267972,6.66501178632551,427.53772745,6.51583518214252,429.8117347,6.472267199,436.501644951456,6.71478762752831,434.33671765,6.51634530608642,439.824386319195,6.57979466555403,1.18218212162275,1.975230307,0.299062297,0.625,0.51,0.33,0.285,0.275,0.3,0.13,1.7053,1.372,1.5045,1.46145,1.0643,1.06425,0.96425,0.90015,0.3221,97.64906,95.92,0.2814,2.86,2.825,2.625,2.595,2.565,2.18,2.27,0.55,-1.33,1.6,-1,0.085,327.1,324.35,331.75,321.45,0.23,-0.055,0.16,-0.19,0.135,0.21,-0.34,0.34,0.41,0.03,0,0.265,2.484,2.5575,3.9295,4.9025,6.223,6.305,5.9745,7.193,1.9575,3.496,4.886,6.2345,6.715,6.579,7.3305,1.69,2.2215,2.995,3.7865,5.2255,6.172,6.998,7.0815,1.912,2.15,2.8205,3.081,4.362,5.729,6.2,7.128,1.5385,2.882,3.124,3.8,6.1495,6.273,-2.747,-2.651,-0.59
1,2.25,1.021551107,4.1151094565,0.1886474445,-10.96456998,-2.0926291685,0.5188613365,426.4429973,7.64685541892638,422.3953352,6.7832282565,423.1311241,7.375393876,421.9836394,7.39591355931707,426.647279526154,7.64152172609017,423.5798158,6.80580563233661,424.3538649,424.4978016,6.54392268814932,425.4484804,6.67966223795601,428.0083189,6.56237991137037,430.1680851,6.86688041074223,429.1491246,7.207733121121,438.5921312,6.7132692765,434.71167005,7.14143500233827,1.20533650408,1.84463402804487,0.300221923548959,0.67,0.56,0.325,0.27,0.265,0.29,0.13,1.6957,1.4975,1.522,1.50485,1.1737,0.84025,0.75715,0.73965,0.35165,97.66002,96.55,0.2292,2.53,2.54,2.5,2.46,2.57,2.18,2.27,0.6,-1.32,1.6,-0.99,0.095,326.65,324.2,332.55,321.4,0.23,-0.05,0.16,-0.19,0.13,0.21,-0.4,0.34,0.42,0.03,0,0.275,2.4745,2.5445,3.923,4.89,6.2225,6.306,5.974,7.193,1.8825,3.509,4.8765,6.2315,6.715,6.579,7.331,1.685,2.2135,2.9935,3.788,5.222,6.141,6.997,7.0815,1.8975,2.149,2.8055,3.078,4.362,5.7195,6.199,7.127,1.5025,2.8675,3.1195,3.8,6.1495,6.2735,-2.642,-2.53,0.38
1,2.75,1.11168189750233,0.982732275216555,0.164726534,-16.408446455,-0.014560632,0.486920756,426.5926263,7.67499444841247,423.10659355,6.7376477595,424.8566871,6.44285468,422.461062299061,7.5492443885,429.281097471405,6.9419971185206,424.1243962,6.602598145,427.6249519,426.202953220537,6.6656540342856,426.2901032,6.73326102496138,427.3863129,6.63887688305686,430.5133778,6.53757425242884,433.757181019712,7.50666777447438,438.4858963,6.668199241,438.562157315814,6.76133695124629,1.29091418972167,1.598202651,0.226031953,0.655,0.48,0.33,0.28,0.26,0.29,0.13,1.6866,1.588,1.4659,1.4887,1.1212,0.8749,0.70985,0.68795,0.3412,97.66489,95.91,0.2566,2.52,2.53,2.445,2.39,2.535,2.185,2.215,0.6,-1.42,1.6,-1,0.1,326.3,323.5,332.2,321.4,0.23,-0.05,0.16,-0.19,0.13,0.21,-0.4,0.34,0.41,0.04,0,0.27,2.449,2.542,3.8855,4.897,6.2215,6.306,5.991,7.1925,1.871,3.586,4.881,6.234,6.714,6.581,7.3305,1.6855,2.206,2.9865,3.784,5.228,6.139,7.0025,7.083,1.865,2.125,2.787,3.075,4.3625,5.732,6.199,7.127,1.4935,2.841,3.099,3.802,6.1495,6.273,-2.686,-2.623,0
1,3.25,1.17820932202434,13.38756609,0.168694584,-9.257413553,-2.422331381,0.526284863,428.099912719721,7.42731162210901,423.35373995,6.7293400775,424.13610325,7.33846086754483,422.471002441842,7.474735387,426.275985103846,6.4954162078214,423.6261589,6.6354316425,427.11942385,425.2962659,6.664688274,426.318159273162,6.646111434,428.74945922963,6.607944028,431.912303538175,6.67467508447574,434.072548844262,7.20076633761728,440.4056874,6.70060709422499,442.3791437,6.870458407,1.25195218854003,1.489832068,0.253525019,0.64,0.49,0.33,0.27,0.25,0.285,0.12,1.7868,1.489,1.55595,1.4255,0.9709,0.8789,0.7156,0.6551,0.2928,97.658945,96.445,0.24295,2.585,2.53,2.48,2.39,2.51,2.19,2.19,0.7,-1.26,1.7,-1.08,0.07,325.9,323.5,331.5,321.4,0.23,-0.05,0.16,-0.19,0.13,0.21,-0.34,0.34,0.48,0.04,0,0.27,2.441,2.548,3.919,4.888,6.224,6.308,5.99,7.197,1.874,3.569,4.874,6.232,6.896,6.581,7.33,1.683,2.223,2.977,3.801,5.225,6.138,7.0015,7.083,1.832,2.147,2.819,3.085,4.368,5.719,6.195,7.126,1.472,2.819,3.081,3.806,6.1495,6.287,-2.724,-2.653,0.29
1,3.75,1.30489609438712,3.137466158,0.165942903957384,-12.6001541832964,-1.686782704,0.469664776192607,428.105038928165,7.65371993286153,422.6004416,6.56328949,426.6628396,7.331381297,423.045766407863,7.1830477035,430.370755655044,7.5935730252029,424.13286589792,6.39272384189428,425.800672689308,424.7509517,6.468816712,426.043454358733,6.5959731035,427.768621912473,6.518619976,430.8643011,6.57571525634433,433.8974708,6.55977473687358,439.6123153,6.52450920304434,441.5404305375,6.65751617604135,1.128909693,1.37709724043562,0.2011978585,0.69,0.495,0.31,0.27,0.25,0.29,0.13,1.7537,1.344,1.23955,1.055,0.88945,0.8215,0.7269,0.7236,0.3478,97.66546,96.725,0.2343,2.59,2.61,2.5,2.42,2.48,2.18,2.2,0.5,-1.315,1.5,-1,0.09,326,323.2,332.6,321.4,0.23,-0.05,0.16,-0.19,0.13,0.21,-0.33,0.34,0.495,0.04,0,0.27,2.386,2.534,3.942,4.878,6.228,6.308,5.99,7.196,1.88,3.551,4.866,6.231,6.895,6.581,7.33,1.635,2.168,2.971,3.796,5.221,6.137,7.008,7.082,1.797,2.135,2.804,3.085,4.37,5.657,6.193,7.125,1.439,2.8015,3.06,3.8085,6.1495,6.288,-2.833,-2.7595,-0.25
1,4.25,1.680505948,5.9925945775,0.200645301248414,-12.464454315,-2.464200103,0.539233557635738,427.3323723,7.387029824,422.798346358969,6.85750685,427.8145574,6.51404398868911,421.4644768,7.586647416,430.0581954,6.40526217631995,423.951786833417,6.724240889,428.4886935,424.726339381347,6.5884125147825,425.84005435,6.687672344,428.0424894,6.65763563749607,431.752068627843,7.32132259711233,436.781001833333,6.48092848167524,440.6082644,6.7171040386269,442.375120256329,6.47459342925251,1.1738384395,1.537459136,0.3217482925,0.62,0.5,0.33,0.31,0.27,0.3,0.13,1.6271,1.262,1.26905,1.0789,1.03115,0.8503,0.7106,0.7132,0.3162,97.638625,96.81,0.2288,2.57,2.56,2.52,2.42,2.5,2.18,2.19,0.6,-1.405,1.6,-1.02,0.03,326,323.3,332.6,321.4,0.22,-0.05,0.16,-0.19,0.13,0.21,-0.34,0.34,0.48,0.04,0,0.28,2.38,2.51,3.99,4.867,6.226,6.3075,5.989,7.196,1.885,3.532,4.859,6.234,6.8955,6.581,7.33,1.638,2.14,2.973,3.791,5.218,6.135,7.007,7.082,1.761,2.099,2.789,3.084,4.371,5.656,6.193,7.124,1.426,2.7865,3.043,3.811,6.1495,6.289,-2.614,-2.851,-1.71
1,4.75,1.17918732677808,3.679142662,0.145556860917593,-11.78349628,-2.748185185,0.587190971015593,426.06922495,7.2256463845,421.99187205,6.78803530871888,425.2633269,7.355229489,422.2500251,7.54305628385887,428.274075053077,7.8908472034165,423.86024515937,6.70569075263919,426.496279,426.113279873601,6.54784582017863,427.827943900473,6.75206029400574,430.2635218,6.57699475211512,434.1230423,6.60741561874119,433.64393935,8.433398566,443.24635405,6.74026510055688,442.7121709,7.69110374754841,1.11370448669354,1.421291112,0.288852201482609,0.62,0.52,0.34,0.3,0.27,0.305,0.13,1.4736,1.162,1.15125,1.06385,0.9553,0.8087,0.831,0.7334,0.2993,97.638085,96.725,0.2341,2.56,2.65,2.62,2.49,2.52,2.17,2.2,0.6,-1.4,1.6,-1.04,0.03,325.5,323.6,332.8,321.4,0.23,-0.05,0.16,-0.19,0.13,0.21,-0.41,0.34,0.475,0.04,0,0.28,2.382,2.501,3.992,4.856,6.222,6.3075,5.988,7.196,1.89,3.516,4.851,6.236,6.896,6.578,7.33,1.616,2.127,2.965,3.787,5.215,6.133,7.007,7.082,1.729,2.096,2.773,3.083,4.373,5.655,6.192,7.124,1.415,2.774,3.041,3.812,6.149,6.29,-2.702,-2.632,-0.225
