DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC_1_1_1,SC,H_1_1_1,SH,LE_1_1_1,SLE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2_1_1_1,VPD,NETRAD,PPFD_IN_1_1_1,SW_IN,PPFD_OUT,SW_OUT,LW_IN,LW_OUT,PPFD_DIF
1,0.25,0.023675,-34.548,0.391,-0.79745,-0.302,-0.42925,-49.2902,-16.4225,-2.98,-5.4215,-3.638525,-0.284575,0.00292500000000001,67.822,94.79,382.8874,0.1,-83.3526,0,-4.473225,-0.2762,-4.1924,115.588,169.75,4.889
1,0.75,0.024675,-34.866,0.4862,-0.3871,-0.151,-0.543875,-43.643825,-16.029,-2.944,-4.2613,-3.64305,-0.287025,-0.000974999999999995,68.684,94.88,382.97245,0.1,-82.6118,0,-4.5709,-0.2656,-3.9275,114.716,168.676,4.8888
1,1.25,0.0169,-35.289,0.4572,-0.805825,-0.468625,-0.4629,-46.575875,-15.923225,-4.979375,-3.2674,-3.689325,-0.2867,-0.00817499999999999,69.166,94.89,382.4215,0.099,-81.3364,0,-4.1716,-0.219,-4.2335,117.27,169.372,4.8976
1,1.75,0.02265,-36.168,0.4418,-0.381,-0.1445,-0.42355,-40.513,-17.534725,-2.284375,-3.4929,-3.59205,-0.2866,-0.000549999999999999,68.725,94.89,382.321775,0.09,-77.9024,0,-4.801425,-0.2416,-4.2176,117.486,167.7,4.8752
1,2.25,0.0227,-35.553,0.4194,-0.629125,-0.1205,-0.348,-42.2285,-16.6895,-2.1348,-3.3428,-3.844475,-0.289925,0.000675000000000002,68.799,94.9,382.3213,0.09,-78.9508,0,-4.81755,-0.2188,-4.12905,117.748,167.006,4.864
1,2.75,0.02135,-36.072,0.457,-0.522275,-0.1031,-0.65115,-43.14105,-16.43875,-3.00315,-3.9967,-3.78815,-0.290375,-0.00627499999999999,68.757,94.9,382.4486,0.09,-76.9318,0,-4.806025,-0.3364,-4.4138,118.84,167.116,4.8882
1,3.25,0.0202,-36.725,0.4616,-0.7062,-0.2765,-0.73415,-40.6435,-15.14625,-2.79175,-3.82725,-3.979,-0.29625,-0.00072499999999999,68.35,94.9,382.71365,0.09,-80.4168,0,-4.7185,-0.2018,-4.14075,118.722,167.378,4.8628
1,3.75,0.025625,-36.516,0.3772,-0.325,-0.14275,-0.64595,-43.612875,-16.574,-2.6952,-4.62275,-3.799275,-0.293625,-0.01025,67.407,94.89,382.9285,0.09,-76.8352,0,-4.6215,-0.119,-4.1095,117.018,165.928,4.8938
1,4.25,0.019575,-36.671,0.4578,-0.6822,-0.201,-0.82575,-44.04995,-15.1465,-2.4015,-5.3935,-3.712525,-0.3028,-0.0117,67.562,94.88,383.04985,0.089,-74.5928,0,-4.4846,-0.2374,-4.1215,115.472,165.454,4.8908
1,4.75,0.023525,-36.8225,0.4642,-0.805,-0.133575,-0.6584,-41.189,-17.539,-2.65065,-5.33925,-3.7176,-0.298275,-0.00769999999999999,67.487,94.87,383.2,0.08875,-73.2034,0,-4.500775,-0.349,-4.3872,113.656,164.816,4.8836
1,5.25,0.02095,-37.12,0.2472,-0.864425,-0.2008,-0.65725,-39.96925,-15.99625,-1.98265,-4.1395,-3.81685,-0.30725,-0.013125,67.177,94.86,383.2218,0.08,-74.761,0,-4.532225,-0.0874,-4.3444,113.638,163.78,4.8668
1,5.75,0.024625,-37.406,0.461,-0.590875,-0.186,-0.63535,-41.6804,-16.03425,-1.635,-3.553,-3.769475,-0.3004,-0.01445,66.724,94.76,383.1917,0.089,-74.375,0,-4.5635,-0.1498,-3.979,111.198,163.132,4.8398
1,6.25,0.02275,-37.906,0.3474,-0.596525,-0.0786,-0.56695,-39.862175,-17.19775,-1.9596,-3.94275,-3.91595,-0.297625,-0.014225,66.661,94.67,383.091,0.08,-72.8334,0,-4.31515,-0.1762,-4.0741,113.674,161.872,4.8408
1,6.75,0.026,-38.076,0.2726,-0.441125,-0.057,-0.76955,-41.9394,-18.211,-1.517,-4.484,-3.969975,-0.29665,-0.015575,66.292,94.68,383.18625,0.08,-76.3886,0,-4.6705,-0.0806,-4.07245,113.476,162.19,4.8376
1,7.25,0.0272,-38.124,0.35,-0.403,-0.1204,-0.6762,-43.182425,-16.88075,-1.73505,-4.26825,-3.982975,-0.306625,-0.015675,66.389,94.5,383.1914,0.08,-75.1318,0,-4.6685,-0.1114,-3.9087,113.546,162.588,4.8234
1,7.75,0.022625,-37.874,0.5594,-0.58825,-0.1956,-0.6768,-38.7198,-14.9625,-1.953575,-4.52775,-3.956125,-0.30565,-0.017,66.564,94.49,383.095,0.08,-67.4714,0,-3.1898,0.2868,-3.1006,115.344,162.016,4.9552
1,8.25,0.02935,-38.223,0.607,-0.606625,-0.0612,-0.70835,-35.285225,-12.51825,-1.6791,-5.085525,-3.811275,-0.312825,-0.0149,65.935,94.57,383.164675,0.08,-44.77,4.392475,2.3594,0.9484,-1.0184,114.486,162.248,10.2486
1,8.75,0.0445,-37.736,0.4594,-0.74445,-0.0796,-1.1095,-34.154775,-9.32125,-2.9629,-3.58925,-3.97205,-0.323125,-0.00802499999999998,66.559,94.57,383.23865,0.08,-8.7536,17.4651,8.92,2.417,1.1076,115.024,166.632,39.0074
1,9.25,0.054,-36.343,0.4572,-0.64775,-0.048,-1.5747,-25.3241,-5.8915,-2.851,-2.9472,-4.049825,-0.31805,-0.0207,67.554,94.67,383.2524,0.09,10.8552,31.288075,13.306,4.04,1.832,115.726,173.61,66.9462
1,9.75,0.1132,-34.92,0.5022,-1.1957,0.019775,-1.74575,-20.46545,-3.8582,-3.327825,-1.81815,-3.9112,-0.313075,-0.0206,67.47875,94.6625,382.99415,0.1,17.7536,45.26915,19.546,6.5596,2.8804,114.658,179.648,126.99
1,10.25,0.1662,-33.812,0.690625,-0.70565,-0.44175,-1.8075,-11.3685,-6.5344,-3.42725,-2.0521,-4.038275,-0.320175,-0.0204,64.9439,94.59,382.79895,0.11,21.4088,55.31445,23.84,7.622,3.139,116.8,185.296,138.256
1,10.75,0.2008,-32.994,0.7544,-1.093375,-0.326,-1.1217,-11.456875,-6.62995,-2.72,-2.1085,-4.011925,-0.3193,-0.0197,65.5039,94.59,382.619,0.119,26.95345,66.15645,30.40225,9.6542,5.07955,119.95625,188.47925,151.622
1,11.25,0.18045,-32.1951,1.0008,-0.58855,-0.652,-0.6797,-16.700975,-5.1954,0.054,-1.333725,-4.2294,-0.318525,-0.016825,64.035,94.5,381.896,0.129,32.055225,85.814275,40.999,9.8302,5.480375,121.41375,191.16,159.358
1,11.75,0.22575,-31.325,0.9088,-0.4216,-0.08,-0.4955,-14.1458,-4.46915,-1.261,-2.193275,-3.909,-0.318075,-0.03035,63.005,94.3925,381.894,0.14,29.5037,68.454125,37.08425,10.901725,5.762125,122.12,193.40375,159.54825
1,12.25,0.22705,-30.636,0.949,-1.3046,-1.2286,-0.3188,-14.5674,-7.489275,-1.2546,-3.42025,-3.871775,-0.311975,-0.0196,62.059,94.3,381.90595,0.149,28.33725,70.7232,32.61875,10.323525,5.378775,122.57975,195.68325,154.4715
1,12.75,0.22855,-30.185,0.9832,-0.5231,-0.33355,-0.30215,-21.032,-7.1977,1.89565,-3.4788,-4.0452,-0.324075,-0.01175,61.1495,94.2,382.09735,0.159,27.795025,71.1899,38.0755,13.3406,6.2104,123.22875,197.44625,167.5385
1,13.25,0.2319,-29.656,1.1612,-0.6701,-0.19475,-0.281375,-17.216975,-5.7683,-1.4845,-3.0435,-4.029925,-0.32695,-0.019175,59.104,94.1,381.994725,0.16,25.146875,76.298925,34.59625,12.3884,5.7852,123.827,198.519,137.37475
