DOY2,HR2,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,20.25,-7.512,-7.887,-5.782,-9.26,101.609,82,-21.39,-16.523,3.492,6.738,-6.831,-5.647,192.8,209.6
1,20.75,-7.376,-7.887,-5.933,-8.93,101.6085,81.8,-21.17,-18.005,3.473,6.738,-6.722,-5.728,192.2,210.2
1,21.25,-7.267,-7.926,-6.002,-8.6,101.6086,81.7,-20.92,-18.2,3.972,6.738,-6.762,-5.798,189.8,206.9
1,21.75,-7.308,-7.779,-6.001,-8.52,101.6142,81.9,-20.86,-18.3,3.427,6.738,-6.773,-5.85,192.2,211.3
1,22.25,-7.298,-7.775,-5.907,-8.46,101.6159,82.1,-20.88,-18.171,3.357,6.738,-6.799,-5.934,193.6,208.3
1,22.75,-7.288,-7.824,-5.855,-8.38,101.5856,82.2,-21.12,-18.503,4.129,6.738,-6.796,-5.863,193.1,208.1
1,23.25,-7.192,-7.775,-5.886,-8.3,101.5666,82.2,-21.55,-18.654,4.031,6.736,-6.853,-5.896,189.4,207.6
1,23.75,-7.19,-7.704,-5.877,-8.33,101.5584,82.1,-21.52,-17.515,3.734,6.736,-6.696,-5.729,188.4,207.6
2,0.25,-5.364,-6.308,-3.997,-6.274,101.9367,82.1,-20.74,-23.53,6.385,0.038,-6.814,-5.788,190,207.3
2,0.75,-5.383,-6.406,-3.997,-6.277,101.9493,82.3,-21.04,-23.974,6.458,0.015,-6.806,-5.753,189.7,206.3
2,1.25,-5.255,-6.492,-4.003,-6.339,101.9828,82.3,-21,-25.59,6.552,0.023,-6.907,-5.729,181.2,205.9
2,1.75,-5.274,-6.506,-3.998,-6.312,101.9911,82,-20.93,-26.598,6.087,0.026,-6.927,-5.66,177.8,208.1
2,2.25,-5.321,-6.548,-4.091,-6.383,101.9947,82.2,-21.11,-26.665,6.53,0.026,-6.876,-5.775,181.4,207.3
2,2.75,-5.257,-6.548,-4.108,-6.426,101.9909,82,-21.39,-23.25,6.57,0.019,-6.886,-5.74,183,205.8
2,3.25,-5.254,-6.524,-4.16,-6.526,102.0061,81.8,-21.61,-23.232,6.202,0.023,-6.814,-5.654,182.9,204.5
2,3.75,-5.252,-6.282,-4.217,-6.601,101.9934,81.8,-21.72,-26.227,6.233,0.03,-6.94,-5.578,181.5,205.2
2,4.25,-5.2755,-6.7765,-4.371,-6.876,101.97985,81.95,-21.675,-25.9305,6.1115,0.0285,-6.9485,-5.4845,178,204.85
2,4.75,-5.276,-7.1935,-4.3935,-6.769,101.9749,81.95,-21.69,-25.193,5.969,0.032,-6.903,-5.629,176.3,205.05
2,5.25,-5.252,-7.325,-4.327,-6.534,101.9962,81.8,-21.94,-23.946,6.107,0.023,-6.881,-5.697,184.6,207.3
2,5.75,-5.248,-7.433,-4.328,-6.85,101.9999,82,-21.91,-23.1,6.099,0.038,-6.861,-5.736,181.9,208.4
2,6.25,-5.249,-7.543,-4.326,-6.851,101.9804,82,-21.83,-20.478,6.015,0.049,-6.813,-5.773,184.7,208.8
2,6.75,-5.188,-7.65,-4.328,-7.08,101.9595,82.2,-21.69,-20.062,6.282,0.049,-6.947,-5.753,183.4,208.9
2,7.25,-5.235,-7.747,-4.333,-6.87,101.9622,82.1,-21.26,-21.611,5.986,0.06,-6.773,-5.741,187.2,207.4
2,7.75,-5.451,-7.703,-4.33,-6.806,101.9567,82.2,-21.41,-21.959,5.759,0.049,-6.773,-5.616,184.9,209
2,8.25,-5.474,-7.597,-4.261,-6.746,101.9829,82.2,-21.06,-21,6.231,0.045,-6.577,-5.525,186.6,207.3
2,8.75,-5.458,-7.134,-4.249,-6.713,101.9795,82.4,-20.86,-19.785,6.467,1.639,-6.367,-5.447,187.7,208.6
2,9.25,-5.551,-6.848,-4.309,-6.639,101.9838,82.1,-20.9,-24.325,6.743,6.655,-6.395,-4.884,184.2,206.1
2,9.75,-5.61,-6.699,-4.333,-6.64,101.9856,81.9,-20.9,-25.193,6.913,6.744,-5.372,-3.757,181.3,207.6
2,10.25,-5.579,-6.609,-4.334,-6.641,102.0024,81.7,-20.93,-25.205,12.12,14.3,-0.192,0.596,183.4,208.3
2,10.75,-5.519,-6.446,-4.334,-6.641,102.0025,81.8,-20.91,-23.29,28.35,30.34,7.968,10.91,182.4,207.7
2,11.25,-5.455,-6.255,-4.334,-6.993,101.9854,82,-20.68,-25.503,44.89,55.58,15.04,23.06,181.1,208
2,11.75,-5.593,-6.116,-4.411,-6.994,101.9724,81.9,-20.55,-22.38,56.02,66.62,26,39.43,179.6,208.4
