DOY2,HR2,CO2,H2O,FC,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD,PPFD_DIF,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,412.810422,7.584534,0.18289325,-26.731602,-9.586945,-1.40471575,0.705311,0.041241,-0.012498,0.256233,0.036373,101.8315,83.8,5.00675,0.55764225,12.80236,0.200525,5.89999975,6.276333,6.9984165,8.06287475,8.84250025,-48.4274445,-0.528169,0,0,-2.775694,0.133333,270.151709,316.9405795
1,0.75,412.849378,7.552354,0.208866,-26.080765,-11.781733,-2.062797,0.981628,0.037211,-0.020405,0.259037,0.039762,101.8175,83.9,4.917,0.51322125,12.700004,0.190629,5.727333,6.09,6.870667,8.016333,8.843333,-44.1705935,-0.528169,0,0,-2.64441075,0.25000025,270.8847305,317.7789715
1,1.25,414.417176,7.775547,-0.32010475,-26.2697,-11.884127,-3.054881,0.780919,0.045351,-0.026852,0.252059,0.032619,101.81,85.725,4.79275,0.48976425,12.506845,0.203864,5.603667,6.004333,6.778,7.955,8.843333,-42.2084775,-0.528169,0,0,-2.71942975,0.133333,274.682179,315.68265925
1,1.75,417.205352,7.366126,0.2750355,-26.642304,-8.920735,-2.799039,0.825029,0.040738,-0.021827,0.248108,0.033182,101.82,86.575,4.4605,0.432815,12.41605,0.168362,5.437333,5.886,6.662,7.893667,8.836667,-41.0671645,-0.528169,0,0,-2.64441075,0.133333,274.988414,317.24735875
1,2.25,414.0365895,7.079303,0.028789,-26.066777,-11.80278225,-2.24443325,0.825168,0.047075,-0.02125,0.264394,0.0412,101.822,86.975,4.44975,0.40771025,11.964664,0.1877825,5.384333,5.747,6.575333,7.838333,8.843333,-40.9949895,-0.528169,0,0,-2.550638,0.2,278.186905,320.41128425
1,2.75,416.4233345,7.143275,-0.103506,-25.5449305,-7.507074,-1.188896,0.834153,0.045355,-0.0202505,0.268765,0.036699,101.88,86.3,4.2395,0.3465,11.866723,0.18340225,5.2990835,5.62691675,6.473833,7.79775025,8.85499975,-36.74602925,-0.528169,0,0,-2.625656,0.133333,278.22214625,317.8412655
1,3.25,415.052863,7.3133095,0.282278,-24.8712745,-6.6949115,-2.070262,0.965279,0.04227825,-0.01572725,0.24280725,0.036762,101.8625,87.3,4.029,0.332078,11.5268975,0.183562,5.1956665,5.5735,6.331667,7.7688335,8.848333,-35.688683,-0.528169,0,0,-2.4006,0.133333,286.03788225,317.0184865
1,3.75,417.358646,7.213058,0.121945,-23.876975,-8.1899275,-1.444651,0.8032935,0.044494,-0.0173175,0.261054,0.0379545,101.8,88.1,4.1015,0.301829,11.592139,0.1724185,5.114,5.4995835,6.332333,7.7215,8.8483335,-35.190299,-0.528169,0,0,-2.550638,0.2,289.776267,317.41466475
1,4.25,408.856411,7.2643995,0.169664,-23.396434,-7.782953,-1.8927835,0.95362475,0.04553625,-0.01731325,0.262525,0.03851475,101.8,87.5,3.884,0.281304,11.372321,0.184055,4.9536665,5.37016675,6.2626665,7.7065,8.845,-34.26516875,-0.528169,0,0,-2.625656,0.133333,289.876322,316.009114
1,4.75,408.181517,6.67360825,0.3738015,-23.131668,-9.699558,-2.4193125,0.920135,0.046583,-0.018656,0.283551,0.046752,101.8075,88.375,3.47825,0.29515625,11.218027,0.181382,4.8629165,5.32675,6.26600025,7.64987525,8.8458335,-31.5685445,-0.528169,0,0,-2.550638,0.133333,290.8684605,314.645348
1,5.25,407.85359725,6.631339,0.1222515,-22.429161,-8.525477,-2.034844,0.853635,0.052877,-0.016104,0.269779,0.050241,101.805,88.725,3.714,0.27198625,11.014902,0.1886235,4.7016665,5.195,6.196167,7.58275,8.8416665,-31.309733,-0.528169,0,0,-2.19429875,0.266667,289.188454,314.5965025
1,5.75,408.5389865,6.512657,0.542781,-22.5622705,-7.920424,-3.406278,0.87944775,0.04985025,-0.016051,0.2693635,0.04480425,101.815,88.475,3.297,0.251172,10.63678025,0.174656,4.517,5.0048335,6.058833,7.495,8.81,-30.044376,-0.528169,0,0,-2.325581,0.2,284.6999145,314.050169
