DOY2,HR2,CO2,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,PA,RH,TA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,NETRAD,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PPFD_IN_1_1_2,PPFD_OUT_2_1_1,PPFD_DIF,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,463.636937,10.39543125,2770.2344905,2.220599,32.187514,-0.71154025,6.7315615,2.090771,0.24141125,-0.004344,0.621688,0.31944,17.301455,0.423379,102.2375,94,8.9325,1.581157,10.83,10.6825,10.7975,10.596667,10.79,11.265,10.92,11.1425,9.185,11.11,11.4075,12.04,-20.5457745,0,0,0.159744,0,-0.479233,-1.167031,1.6092815,339.441119,356.8375325
1,0.75,463.77794275,10.353105,2813.030573,1.932527,31.4950715,-0.30957025,6.79683,2.04833725,0.23007125,-0.005406,0.61205375,0.306139,17.132104,0.405824,102.22,94.3,8.8675,1.501642,10.765,10.65750025,10.8025,10.61,10.785,11.27,10.92,11.1425,9.29,11.1125,11.4075,12.03,-20.641725,0,0,0.159744,0,-0.479233,-1.239971,1.497006,336.099968,356.808707
1,1.25,464.00954225,10.15641625,2846.67096175,2.05391425,31.300398,-0.37658675,7.9542445,2.0193575,0.2304485,-0.0047505,0.5975235,0.319108,16.988283,0.3858255,102.2275,94.3,8.78,1.5321005,10.7575,10.62,10.805,10.60333325,10.7925,11.26125,10.92,11.09,9.265,11.105,11.4,12.03,-20.7357515,0,0,0.159744,0,-0.479233,-1.239971,1.571856,333.5359545,356.456441
1,1.75,461.71301925,10.435387,2805.6981835,1.82460925,35.7158335,-0.038646,6.597059,2.170649,0.2368135,-0.00543925,0.621159,0.3203845,16.64188,0.4045565,102.2375,94.65,8.67,1.5025595,10.765,10.6,10.805,10.6,10.7925,11.26,10.915,11.045,9.2525,11.1075,11.41,12.03,-19.68309825,0,0,0.159744,0,-0.479233,-1.167031,1.59056875,334.89804225,355.811032
1,2.25,461.518429,10.561603,2876.916798,1.92412975,33.77569625,0.174802,10.3290125,2.228109,0.239195,-0.0048865,0.6292495,0.325195,16.59123,0.38993625,102.24,94.65,8.65,1.3702955,10.7825,10.55,10.76,10.59375,10.8025,11.2525,10.915,11.03,9.295,11.1025,11.41,12.03,-17.9856745,0,0,0.159744,0,-0.479233,-1.021152,1.497006,340.9561495,356.3761275
1,2.75,462.8737195,10.17249675,2891.1986855,1.943785,29.579134,0.22309475,8.720078,2.213179,0.236143,-0.00598025,0.61531775,0.30324775,16.454425,0.38795,102.24,94.875,8.52,1.37211375,10.7775,10.52,10.74,10.595,10.79875,11.255,10.915,11.03,9.3075,11.115,11.41,12.03,-15.2548745,0,0,0.159744,0,-0.479233,-0.875274,1.571856,340.13082175,355.3077615
1,3.25,462.8123935,10.037457,2887.4195085,1.936797,34.4233285,-0.072751,7.888841,2.044127,0.244338,-0.0044255,0.620085,0.3282305,16.461726,0.396337,102.24,94.995,8.385,1.365506,10.78,10.465,10.715,10.5675,10.785,11.25,10.9175,11.035,9.275,11.11875,11.4125,12.0225,-14.39114425,0,0,0.159744,0,-0.479233,-0.875274,1.571856,340.76922,355.10590725
1,3.75,463.9616935,9.988888,2841.06346575,2.0518195,37.14285225,0.452959,9.4903025,1.998915,0.240053,-0.003836,0.6137865,0.30965125,16.361087,0.39829,102.24,95.0225,8.35,1.30932725,10.7825,10.43,10.71,10.565,10.7975,11.245,10.91,11.055,9.2125,11.135,11.42,12.04,-15.273198,0,0,0.159744,0,-0.479233,-0.948213,1.571856,336.4227625,353.122403
1,4.25,459.962292,10.16263425,2843.71035,2.09053,32.26165575,1.0715975,8.02451575,1.89372225,0.240135,-0.003816,0.617002,0.311769,16.26762125,0.411829,102.23,95.2,8.105,1.22222725,10.7725,10.385,10.685,10.58,10.8025,11.245,10.91,11.04,9.16,11.105,11.42,12.025,-14.7204425,0,0,0.159744,0,-0.479233,-0.875274,1.497006,341.045192,353.11074325
1,4.75,458.97887575,10.1746455,2836.35911275,1.864052,32.40159325,0.895343,8.4437485,1.9591035,0.228732,-0.0041315,0.605374,0.309763,16.191071,0.43005125,102.24,95.4,7.798,1.222059,10.735,10.33,10.65,10.58,10.81,11.25,10.9025,11.04,9.145,11.11375,11.4175,12.03,-12.972893,0,0,0.159744,0,-0.479233,-0.948213,1.571856,340.34759825,353.11698175
