DOY2,HR2,USTAR,TA,WS,NEE,FC,H,LE,TS_1_1_1,TS_1_2_1,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,SC,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1
1,0.25,0.07078725,-18.090525,0.782907,-0.944816,-0.747349,-62.56695,-7.040235,-0.103525,-0.337675,62.5154,96.3005,383.220125,-87.28265,-0.006175,-3.5088875,-0.122335,162.948125,243.654,1.1585,-0.8729825,0.083,0.5339,1.3767,2,3.86863,5.1703
1,0.75,0.0634576,-17.91305,0.8696,-0.884731,-0.773912,-60.457,-9.4212475,-0.12305,-0.34745,63.650425,96.301,383.22025,-88.71875,-0.006275,-3.56895,-0.1623655,155.19675,242.69225,1.157125,-0.96571625,0.0782,0.5452,1.366,2,3.88998,5.12334
1,1.25,0.054967375,-17.824425,0.820105,-0.7641425,-0.61456125,-57.13905,-12.628875,-0.12505,-0.34505,62.09995,96.31075,383.1295,-87.0065,-0.006,-3.58762,-0.143015,160.1323,242.55675,1.1705,-1.0913575,0.0782,0.5452,1.3584,2,3.8568,5.16332
1,1.75,0.06805715,-18.27285,0.7814875,-0.708,-0.587075,-58.6498,-8.03548,-0.12595,-0.38995,61.69795,96.352,383.225,-87.8025,-0.006,-3.588325,-0.14640375,168.2688,243.15725,1.117725,-0.87294,0.075,0.533,1.375,2,3.87352,5.1568
1,2.25,0.0530736,-18.38855,0.6754,-0.926209,-0.7624,-58.81425,-7.41428,-0.1465,-0.3731,63.4136,96.36925,383.34025,-89.69815,-0.006,-3.4648775,-0.1573975,167.424475,242.434,1.145025,-1.089525,0.0782,0.543,1.3782,2,3.84648,5.13682
1,2.75,0.059822025,-18.664875,0.880575,-0.84407875,-0.51815,-60.68645,-9.1761325,-0.15275,-0.37805,63.892425,96.4315,383.201125,-87.9685,-0.005225,-3.49916,-0.14746375,169.525,241.19825,1.134975,-0.738595,0.083,0.55,1.3616,2,3.87352,5.167
1,3.25,0.0563412,-18.948325,0.768,-0.845175,-0.542292,-61.3451,-9.48532,-0.13065,-0.3925,63.280925,96.377,383.175,-87.20875,-0.005125,-3.56192,-0.133985,159.7625,239.039,1.109475,-1.23406875,0.068,0.55,1.367,2,3.8802,5.12334
1,3.75,0.0635531,-18.867125,0.72895,-0.6809165,-0.48054375,-63.75245,-6.661015,-0.12935,-0.39745,62.5609,96.345,383.218875,-88.7017,-0.006,-3.589025,-0.149455,161.1541,236.6455,1.074875,-0.67178125,0.0782,0.5398,1.375,2,3.87,5.14678
1,4.25,0.062325,-19.345725,0.81314725,-0.874281,-0.564225,-63.4,-9.2839675,-0.13605,-0.4119,63.64455,96.294,383.26,-87.86,-0.006,-3.532475,-0.161523,161.208,236.737,1.0740375,-1.1976875,0.075,0.528,1.3782,2,3.87352,5.12322
1,4.75,0.05855,-18.5925,0.8413495,-1.19304,-0.8397645,-56.431275,-10.58665,-0.1467,-0.39745,63.244025,96.26725,383.304625,-84.512,-0.00515,-3.53725,-0.2151595,160.96375,235.2355,1.0838625,-0.858505,0.0702,0.52,1.3702,2,3.8568,5.13998
1,5.25,0.06415325,-18.8314,0.801715,-0.96841625,-0.547655,-56.0281,-8.055575,-0.1376,-0.39505,62.83855,96.2345,383.3405,-88.34475,-0.006125,-3.628125,-0.16294925,159.199,233.722,1.0565,-1.08312,0.0782,0.527,1.367,2,3.87,5.13312
1,5.75,0.0727,-19.1167,0.784345,-0.581934,-0.5346,-63.271875,-9.2309875,-0.13165,-0.383,62.487625,96.20975,383.285125,-89.4055,-0.0063,-3.5922,-0.16575,160.714,232.73425,1.0457,-1.3597,0.06,0.5216,1.3702,2,3.86682,5.1398
1,6.25,0.07176175,-19.4939,0.6489075,-0.703768,-0.46102525,-59.9415,-9.25445,-0.1247,-0.39745,63.62965,96.191,383.217875,-90.6054,-0.007,-3.524625,-0.14464325,159.668725,232.265,1.0373125,-0.94133025,0.0498,0.5318,1.3702,2,3.84648,5.1568
1,6.75,0.0525952,-19.8172,0.80599375,-0.69370525,-0.408847,-58.223,-6.61273,-0.1357,-0.39745,63.62795,96.178,383.092625,-89.2806,-0.007,-3.4064,-0.123953,161.62875,231.1,1.02645,-0.943113,0.0498,0.527,1.3648,2,3.83002,5.13312
1,7.25,0.059909,-19.6411,0.69075,-0.82834575,-0.4577975,-54.994,-7.88722,-0.1626,-0.41445,64.865575,96.177,383.0315,-89.3039,-0.0059,-3.3961375,-0.23576,164.5661,231.77575,1.045075,-1.2142975,0.0566,0.512,1.36,2,3.87352,5.13312
1,7.75,0.0577565,-19.461875,0.8549725,-0.64208375,-0.4485725,-56.754225,-8.11975,-0.16235,-0.39745,64.487975,96.18,382.90275,-86.3425,0.034863725,-3.100685,-0.167678,161.71,230.6435,1.06525,-1.2135425,0.0552,0.5018,1.3466,2,3.867,5.13998
