DOY2,HR2,FC,H,LE,USTAR,WS,NETRAD,PPFD_IN,SW_IN,TA_1_1_1,RH,VPD,PA,G,TS_1_1_1,TS_1_2_1,TA_1_1_2,SW_OUT,LW_IN,LW_OUT,CO2
1,0.25,0.012825,-56.751915,-13.56325,0.0182,0,-68.33125,0,0,-9.78325,44.435,0.03175,89.0916625,-4.957225,0.6578,0.700325,-3.81535,0.7978474,151.7466,253.9822,423.3136
1,0.75,0.0242,-53.813745,-6.5924215,0.0185,0,-70.275,0,0,-10.2685,48.061,0.0335,89.01333,-4.878725,0.7736,0.6993,-3.1835465,0.63301275,150.134,255.1437,414.948925
1,1.25,0.019375,-63.4886,-18.045945,0.02505,0,-69.0225,0,0,-10.29075,46.7465,0.04175,88.98443,-4.931275,0.789,0.710875,-3.8482575,0.72610175,149.364975,252.748375,420.6138
1,1.75,0.01455,-81.9638,-11.5255,0.02575,0,-69.76875,0,0,-10.36225,41.70525,0.021,88.88614,-5.4548,0.591175,0.68825,-4.126488,0.4629108,148.9274,252.038,422.642625
1,2.25,0.00455,-81.65041,-1.218,0.022875,0,-65.067875,0,0,-11.08975,48.7355,0.02125,88.873675,-5.6672,0.64735,0.672825,-4.191046,0.2619666,148.321,251.4094,420.193625
1,2.75,0.036625,-52.9475,-2.144,0.017,0,-64.6325,0,0,-11.19,46.19875,0.03,89.176,-5.994275,0.441425,0.6745,-4.70123225,0.616764825,147.23695,249.73855,423.845
1,3.25,0.0378,-39.784725,-3.276,0.019875,0,-67.03125,0,0,-11.13475,45.11625,0.04,89.10025,-6.479275,0.403525,0.691875,-5.1539625,0.42756175,146.86875,248.630575,423.4488
1,3.75,0.027,-57.24485,-1.644,0.013875,0,-65.60875,0,0,-11.89375,38.303,0.05,89.10025,-6.055,0.420025,0.71345,-5.85614475,0.8485125,145.998275,247.437,405.7662
1,4.25,0.1386,-44.2025,-2.306,0.030625,0,-64.914125,0,0,-11.8735,41.58525,0.04025,89.075,-5.04525,0.4198,0.698075,-6.098238,0.34064532,145.4274,246.3832,405.62875
1,4.75,0.056375,-38.7215,-1.466,0.0162,0,-67.3225,0,0,-12.004,40.51075,0.0505,89.075,-5.984725,0.419,0.702075,-5.8598,0.2095625,150.1665,245.7145,413.9591
1,5.25,0.04225,-45.462,-2.318,0.0209,0,-66.7675,0,0,-11.9595,44.95375,0.022,89.075,-5.87345,0.432975,0.663725,-6.10799575,-0.1072861,149.86105,244.56235,423.29
1,5.75,0.0216,-40.075,-1.4635,0.01485,0,-66.70625,0,0,-12.2985,38.52275,0.01,89.075,-5.138825,0.4291,0.6502,-7.1368585,0.525402,144.46825,242.10415,404.2145
1,6.25,0.0295,-66.06,-1.63,0.014625,0,-65.76,0,0,-12.89125,38.68175,0.02075,89.05025,-5.96825,0.445275,0.658475,-7.78984925,1.11251675,144.02205,240.575475,403.82795
1,6.75,0.15225,-18.04,-4.2222975,0.025925,0,-70.0485,0,0,-12.49875,38.689,0.04025,89.05025,-5.721525,0.450875,0.671725,-7.52454675,1.64518875,150.27355,241.326325,419.6973
1,7.25,-2.848725,-43.84175,-1.78025,0.022,0,-72.4045,0,0,-12.3535,39.63,0.03,89.05025,-5.35965,0.42805,0.586175,-8.01185,2.672655,149.984,240.8365,423.289775
1,7.75,-4.6069,-49.309,-2.4855,0.0222,0,-63.28,1.238975,0,-13.06725,39.611,0.04,89.05025,-4.920975,0.4039,0.5615,-8.0051265,4.498526,145.86455,240.2969,415.718
1,8.25,-7.645,-33.97125,2.4895,0.044575,0,-50.3825,4.973725,0.97195,-12.64925,39.90825,0.03,89.05025,-4.704175,0.331125,0.645,-7.36422525,9.61135125,147.8228,243.1856,422.7874
1,8.75,-8.43895,-29.077288,0.93975,0.03935,0,-32.993125,10.6876,2.418075,-12.05125,38.78325,0.069,89.05025,-4.1041,-0.41015,0.55185,-5.77009525,12.3813775,148.366,251.17825,422.5146
1,9.25,-10.469375,-13.402,1.81575,0.0397,0,-11.04725,19.094125,4.3886,-11.84825,38.489,0.0505,89.10075,-3.62675,-0.378075,0.505625,-4.192952,17.68438,147.94645,259.14655,421.542125
1,9.75,-7.498075,-1.471,1.42125,0.03615,0,-4.18425,25.77275,5.8763,-10.98425,40.518,0.10175,89.126,-2.8726,0.2177,0.5186,-2.4011415,23.22113,149.08815,264.89915,421.643275
1,10.25,-9.25415,-17.92303825,4.12,0.03885,0,0.505625,28.54375,5.8701,-9.5085,38.97575,0.07925,89.05025,-3.188475,0.167575,0.447025,-1.337131,23.9129525,151.28165,270.260725,422.5113
1,10.75,-9.12605,2.318,-1.8275,0.0364,0,1.801125,44.40155,6.32335,-8.56425,33.063025,0.1255,89.05025,-2.856725,0.0642,0.276875,-0.861720175,18.9262075,149.84595,272.153375,420.4768
1,11.25,-8.5048,4.354,5.995,0.07485,0,3.0645,32.081,7.616275,-7.75075,29.52425,0.16,89.05025,-2.950225,0.0674500000000001,0.1739,-0.75878335,27.27359,150.5635,272.64095,421.769425
1,11.75,-10.0032,-14.155,-8.3836,0.0519,0,3.886,33.89875,7.443475,-6.631,24.43225,0.114,89.025,-2.4887,0.40285,0.1563,-0.272,29.6521375,151.990875,273.798125,421.544875
1,12.25,-11.787,-1.87975,6.9075,0.0404,0,4.303,41.383825,7.044,-6.010075,22.926,0.126,89.025,-2.5688,0.113675,-0.324725,-0.136140625,27.2023375,151.557,273.92375,420.422125
1,12.75,-7.89365,-31.054,3.22,0.061,0.00145,7.251625,42.54075,7.375625,-5.3961,20.935,0.09425,88.95075,-2.519525,0.0944,-0.241075,-0.1104375,22.546575,154.6705,273.162125,420.8255
1,13.25,-10.07325,-33.044,3.0325,0.032,0,9.315,35.7855,6.166725,-5.4265,21.7365,0.1,88.95075,-2.70705,0.176275,-0.053425,0.06921145,25.895175,153.66455,273.8143,420.366
1,13.75,-13.256,-72.38,8.60325,0.064,0.015225,3.06875,27.137375,5.494425,-5.63725,19.63175,0.06125,88.976,-2.9883,0.322125,0.05755,0.25812999,29.27338,152.8175,273.8791,419.9772
1,14.25,-9.0355,-18.43,2.1335,0.04955,0.019575,3.896125,24.5119,4.74015,-5.86975,19.56825,0.0245,88.90025,-3.019525,0.224,0.115425,0.051102,31.58402,156.275,273.3154,419.81885
1,14.75,-9.67075,-61.17725,-5.9425,0.0506,0,4.121625,26.1045,4.2497,-6.27325,20.18275,0.11,88.925,-2.78975,0.1158,0.1866,0.470675,20.3209875,155.878875,272.990375,420.409
1,15.25,-9.167825,-8.3255,-0.8275,0.04225,0,0.01225,16.90575,2.512675,-6.58775,21.75275,0.087,90.017675,-2.984925,0.2918,0.309625,0.478187375,17.71026,156.079875,274.00725,420.37625
1,15.75,-14.927425,-57.15175,-13.147,0.037275,0,-23.53125,12.04325,1.536525,-6.90575,23.93625,0.088,90.017675,-3.9972,0.696575,0.377525,0.94277,13.620054,158.509325,274.7562,419.922925
1,16.25,-5.681325,-36.99225,-6.31275,0.0476,0,-52.1975,4.176675,0.745725,-7.26225,26.212,0.109,90.118325,-4.69445,0.9892,0.54605,0.683231775,10.9331055,156.963375,272.045525,418.997275
1,16.75,-4.434,-27.15625,-5.4055,0.05195,0,-75.775,0,0,-8.112,28.07475,0.11125,90.118325,-5.00975,1.161675,0.65945,0.2461668,5.879454,156.448,270.7234,411.043
1,17.25,-7.1154,-67.52975,-3.982,0.03705,0,-76.425,0,0,-8.87875,31.33675,0.04875,89.07575,-5.17025,1.14445,0.720225,-0.2175398,4.135764,154.9484,269.2734,418.096
1,17.75,0.05435,-35.68075,-4.22375,0.02105,0,-77.9875,0,0,-9.24975,35.00725,0.082,89.15,-5.3977,1.067725,0.77945,-0.329230625,1.69024375,159.07,268.968875,418.473
1,18.25,0.101325,-44.271,-5.7805,0.0388,0,-78.2775,0,0,-9.6275,37.14575,0.06,89.3,-5.0761,1.03315,0.82015,-0.646594375,0.7519545,160.73275,268.39525,418.8815
1,18.75,0.0202,-23.6,-4.4825325,0.0268,0,-80.065,0,0,-9.89375,37.39275,0.09,89.1379675,-5.448675,0.7507,0.793975,-1.04134695,0.4168257,155.38915,264.77695,418.9451
1,19.25,0.0112,-38.857,-3.3725,0.0347,0,-74.295,0,0,-10.245,38.14875,0.10275,89.15215,-5.164275,0.5377,0.7837,-1.116490625,0.508500875,156.4535,263.059125,418.15875
1,19.75,0.02015,-55.469,-3.5775,0.01985,0,-71.5425,0,0,-10.4915,41.10225,0.0655,89.1223125,-5.065675,0.461725,0.794175,-1.5646445,0.3860292,153.959675,260.4443,420.06435
1,20.25,0.00735,-109.07535,-7.21370175,0.0287,0,-73.565,0,0,-11.024,43.29675,0.07175,89.11028,-4.95265,0.45275,0.7484,-2.271185,1.1577071,150.8583,258.3829,420.1748
1,20.75,0.0138,-152.0582,-2.74037,0.03745,0,-75.96,0,0,-11.14175,40.78475,0.0615,89.2832025,-4.741375,0.46515,0.682125,-2.515696,1.354781,155.34,257.839275,421.965425
1,21.25,0.051275,-92.9864,-1.85525,0.0279,0,-77.22,0,0,-11.26525,40.0455,0.033,89.11772,-4.911775,0.482275,0.68375,-2.5633765,0.9881292,156.5402,258.8093,421.899
1,21.75,0.024375,-85.654515,-3.34125,0.017,0,-70.72,0,0,-11.31275,45.68525,0.04,89.11708,-4.829,0.484375,0.682825,-3.101635,0.60106145,156.88515,258.0641,422.05995
