DOY2,HR2,RH,TA,PPFD_IN,PPFD_OUT
3,10.75,68.15,-17.14,372.81375,393.1039
3,11.25,68,-16.915,433.6362,438.904
3,11.75,66.85,-16.495,498.51685,519.95795
3,12.25,65.6,-16.225,546.8203,552.1498
3,12.75,66.7,-16.31,585.9336,597.53305
3,13.25,67.5,-15.305,606.44225,600.2603
3,13.75,67.4,-15.46,602.38715,595.47955
3,14.25,68.25,-16.53,599.77005,602.309
3,14.75,67.65,-15.425,551.7935,560.07015
3,15.25,67.95,-15.11,516.1344,532.66465
3,15.75,64.4,-15.4,462.0393,483.5489
3,16.25,65.75,-16.085,393.2763,415.3602
3,16.75,68.55,-16.335,316.17405,344.79165
3,17.25,69.8,-16.37,245.8959,278.5094
3,17.75,66.65,-16.995,183.47525,204.743
3,18.25,70.25,-17.645,123.48685,135.0154
3,18.75,70.05,-18.17,73.572415,78.02708
3,19.25,70.95,-18.07,34.37753,36.246435
3,19.75,71.15,-17.585,10.0937725,10.085703
3,20.25,71.75,-18.235,1.12947685,1.1920175
3,20.75,71.6,-20.84,0.0119706035,0.1593594
3,21.25,71.15,-20.025,-0.024433475,0.064937025
3,21.75,71.65,-20.165,-0.028069605,0.053407615
3,22.25,71.15,-19.125,-0.02907508,0.05211676
3,22.75,71.35,-21.34,-0.03339315,0.048971075
3,23.25,72.2,-20.9,-0.03212232,0.050964795
3,23.75,70.9,-21.185,-0.030890625,0.047439495
4,0.25,75.8,-20.44,-0.024524725,0.03608157
4,0.75,74.45,-20.335,-0.026839895,0.033177885
4,1.25,74.7,-21.45,-0.024660835,0.03432103
4,1.75,75.2,-21.765,-0.025570775,0.044039445
4,2.25,74.1,-21.02,-0.023163385,0.035963535
4,2.75,73.5,-20.87,-0.02621527,0.041834415
4,3.25,73.7,-21.435,-0.022936745,0.051520515
4,3.75,73.55,-21.515,-0.006818795,0.105907435
4,4.25,73.5,-21.775,0.122190245,0.2529605
4,4.75,73.25,-22.32,1.2310325,1.304884
4,5.25,73.75,-22.195,7.9283785,7.54654
4,5.75,73.55,-22.555,32.53909,28.48743
4,6.25,73.15,-21.47,71.7691,64.65431
4,6.75,73.35,-21.975,145.98375,129.1156
4,7.25,72.65,-21.165,218.1441,198.12255
4,7.75,73.05,-20.34,319.3478,287.79265
4,8.25,72.4,-20.21,426.32045,392.34885
4,8.75,71.2,-19.97,519.11055,492.29775
4,9.25,71.6,-19.305,625.71035,589.60625
4,9.75,70.6,-18.73,728.54245,677.888
4,10.25,71.75,-18.36,815.2419,774.0053
4,10.75,71.45,-17.31,924.85445,861.7291
4,11.25,70.2,-16.815,950.29535,915.40805
4,11.75,70.35,-16.815,1011.93,982.7114
4,12.25,68.95,-16.315,1063.2125,1026.9065
4,12.75,69.35,-16.585,1086.65,1060.065
4,13.25,67.4,-15.885,1096.7295,1077.657
4,13.75,67.55,-15.7,1070.354,1056.9565
4,14.25,68.55,-15.67,1025.404,1035.548
4,14.75,69.15,-15.815,1018.1915,1029.187
4,15.25,67.4,-15.54,967.463,985.3837
4,15.75,69.45,-15.715,885.27315,909.0895
4,16.25,68.25,-15.655,816.1667,860.35905
4,16.75,71.6,-16.44,730.21275,776.60835
4,17.25,69.5,-16.55,642.166,685.66245
4,17.75,69.8,-16.315,550.0251,595.1433
4,18.25,70.05,-16.58,445.12385,480.71275
4,18.75,70.3,-18.28,348.9055,353.4701
4,19.25,71.1,-18.675,264.55545,273.7083
4,19.75,73.7,-19.07,182.02685,203.5723
4,20.25,74.5,-19.745,110.0141,133.94535
4,20.75,73.45,-19.45,60.976125,74.381655
4,21.25,75.05,-19.47,29.04457,31.685195
4,21.75,75.85,-19.59,8.733015,8.920641
4,22.25,74.5,-19.16,1.512117,1.5905695
4,22.75,74.1,-19.195,0.16156535,0.2488057
4,23.25,73.75,-20.385,-0.008940189,0.07856066
4,23.75,73.1,-20.43,-0.023902325,0.05776419
5,0.25,90.55,-0.436,22.68209,9.3758985
5,0.75,90.5,-0.553,16.74702,6.886955
5,1.25,89.5,-0.728,13.88801,5.5633055
5,1.75,90.15,-1.088,14.20717,5.652033
5,2.25,89.55,-1.366,16.4297,7.386861
5,2.75,89.5,-1.277,22.05699,9.7951
5,3.25,89.55,-1.405,31.13522,15.879745
5,3.75,89.05,-1.079,47.00512,27.627995
5,4.25,88.9,-1.088,68.90199,48.66222
5,4.75,88.36478,-0.747,107.2797,78.69736
5,5.25,88.9,-0.681,152.9358,112.1356
5,5.75,87.8,-0.957,221.0729,177.2896
5,6.25,86.51878,-1.022,307.058,241.7323
5,6.75,85.05,-0.806,403.8123,288.51125
5,7.25,84.35,-0.73,490.8325,341.21905
5,7.75,83.55,-0.401,566.679,443.23265
5,8.25,81.6,-0.277,696.4053,524.4197
5,8.75,81.55,0.001,812.0128,615.83915
5,9.25,80.9,-0.048,869.6424,696.3217
5,9.75,78.7,0.227,986.3419,773.1375
5,10.25,78.9,0.472,1050.197,860.30545
5,10.75,79.6,0.412,1163.398,930.0105
5,11.25,78.2,0.533,1229.837,1004.028
5,11.75,78.4,0.821,1280.723,1007.93965
5,12.25,76.4,0.898,1323.428,1012.612
5,12.75,76.15,1.116,1342.6765,1033.414
5,13.25,75.6,1.274,1349.909,1034.025
5,13.75,74.1,1.981,1353.875,1070.978
5,14.25,72.1,1.517,1306.253,1024.128
5,14.75,72.6,1.886,1294.816,1001.54475
5,15.25,73.4,1.99,1254.582,1004.899
5,15.75,73.5,1.976,1187.278,901.704
5,16.25,73.15,2.317,1098.8695,787.6483
5,16.75,73.7,2.891,1017.8135,785.6699
5,17.25,73,2.849,927.7228,677.2956
5,17.75,74.6,2.9995,822.0896,626.14795
5,18.25,74.3,2.867,697.8181,532.8687
5,18.75,74.6,2.536,613.4376,425.624
5,19.25,75.9,2.502,543.6643,372.3079
5,19.75,77.2,2.053,435.6273,328.32735
5,20.25,78.3,1.695,346.2581,263.09655
5,20.75,79.3,1.324,257.9466,178.68295
5,21.25,81.3,1.221,196.6585,128.9052
5,21.75,82,0.826,151.0216,89.72988
5,22.25,83.96142,0.481,107.065,58.60884
5,22.75,85.49446,0.274,73.0178,36.09469
5,23.25,87.4,0.048,49.79884,21.46465
5,23.75,89,-0.057,32.73174,12.94081
6,0.25,86.3,6.408,39.90292,3.442916
6,0.75,87.8,5.8795,31.027785,2.620417
6,1.25,89,5.5535,28.137915,2.42142
6,1.75,90.5,5.209,26.415105,2.379678
6,2.25,91.3,4.93,28.555735,2.634289
6,2.75,91.7,4.717,34.47986,3.079725
6,3.25,91.8,4.5315,44.67403,3.9504838
6,3.75,91.6,4.748,58.288085,5.452018
6,4.25,91.6,4.8665,82.86173,7.239635
6,4.75,90.9,5.093,108.6428,9.947293
