DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC
1,0.25,0.661999999999999,3.9975,8.01375,7.955,95.32875,-0.0397500000000001,3.139,-1.0375,5.993,16.648,1.02
1,0.75,0.616,4.2295,7.86375,7.757,95.41625,-0.07,2.56025,0.375499999999995,5.54699999999998,17.85875,1.04325
1,1.25,0.608,4.00875,7.8475,7.86125,95.4625,-0.0887500000000004,2.6645,0.997999999999997,4.41599999999999,15.73225,1.26175
1,1.75,0.63,3.67375,7.50875,7.51875,95.225,-0.0995000000000002,2.2585,1.04024999999999,15.216,15.4025,1.024
1,2.25,0.64775,4.4325,7.6255,7.684,95.81,-0.00850000000000051,2.191,-0.742750000000006,15.9,37.9935,0.876
1,2.75,0.79125,4.812,7.626,7.694,95.993,0.0217499999999994,2.42975,0.28025,9.33125,53.015,1.392
1,3.25,0.75125,4.6735,7.631,7.562,96.0755,-0.0497500000000001,2.124,-0.437250000000001,25.40725,55.176,1.03525
1,3.75,0.909,4.71125,7.2665,7.474,95.9355,-0.108500000000001,2.23075,0.282999999999999,9.0325,69.6600000000001,0.892
1,4.25,0.85425,4.78475,7.596,7.486,95.8315,-0.0495000000000002,3.04225,-1.32025000000001,19.0955,27.071,0.744249999999998
1,4.75,0.748,4.36025,7.4795,7.536,95.881,-0.0185000000000005,3.58025,-0.879,12.072,17.77975,0.69
1,5.25,0.713,4.208,7.552,7.56,96.061,0.500999999999996,2.73775,-0.809750000000014,9.00625,14.6535,0.9
1,5.75,0.67425,3.8765,7.4135,7.49275,96.293,-0.0292500000000003,2.63274999999999,0.804499999999992,12.53025,14.745,1.18525
1,6.25,0.75425,4.616,7.3465,7.25275,96.3925,0.0349999999999983,2.73774999999999,-0.553750000000043,8.282,25.085,0.931
1,6.75,0.7625,4.26875,7.123,6.97825,96.1895,0.214999999999998,2.39075,-1.25525000000002,20.276,40.83275,0.745
1,7.25,0.716,4.10425,7.199,7.09475,96.108,22.7715,17.444,0.983999999999995,5.888,50.768,0.7955
1,7.75,0.674,4.298,7.2565,7.1765,96.001,111.71325,58.623,14.0105,11.044,46.8755,0.988999999999999
1,8.25,0.73,4.304,8.055,8.106,95.7335,220.61125,84.636,61.53525,25.586,39.36925,0.718
1,8.75,0.75,4.576,8.9025,8.8,95.844,324.914,100.05625,124.31425,73.652,74.697,1.092
1,9.25,0.766,4.266,9.2545,9.186,95.9245,403.05225,124.51975,179.2445,115.336,91.75325,1.981
1,9.75,0.748,4.206,9.452,9.534,95.731,479.89375,156.80575,235.39875,184.702,114.356,1.902
