DOY2,HR2,FC,H,LE,USTAR,TA,PA,RH,VPD,WS,U_SIGMA,V_SIGMA,W_SIGMA
4,22.25,4.946144,-1.5968416,69.6805625,0.5822803,19.5062,98.924765,100,5.770612,7.038653,1.81191205628544,1.4667816802394,0.658532570383688
4,22.75,6.29624,0.0207273999999897,57.636125,0.496101575,19.578875,98.915325,100,5.61712,6.5655105,1.55712966333274,1.25009677429052,0.701946798036098
4,23.25,4.52309875,-0.4537025,58.0340625,0.5217056,19.828,98.91047,100,4.2640905,6.2528575,1.4026776158308,1.32505756344975,0.632125013564238
4,23.75,4.343216,3.899245,66.849825,0.507817,18.474925,98.8871675,100,3.813112,5.99528,1.52749513685813,1.57523994073918,0.639641249673728
5,0.25,7.014982,11.792618,72.5219,0.49416655,22.5327,98.99012,100,5.980141,5.54541225,1.43238330651353,1.42229174817318,0.645556061552099
5,0.75,6.6347145,9.65545,41.9977,0.471997,22.374875,98.9894975,100,4.9346975,5.015055,1.34110114630675,1.15653968154582,0.668368672828933
5,1.25,4.881185,8.48228549999999,34.683,0.4957718,22.156325,98.9835225,100,7.63647299999999,5.010502,1.49937123156922,1.03372023754874,0.652886979992394
5,1.75,5.932671,8.61185625,47.9244225,0.475654,22.1588,98.9995,100,5.1908075,5.050585,1.41666837745847,1.12991150095926,0.637436047289609
5,2.25,6.413805,3.662897,54.47975,0.41964675,22.0526,99.0034,100,3.6964475,4.903075,1.2892733011723,1.19435691050837,0.579600629245572
5,2.75,8.40352399999999,8.139874,52.0876125,0.4064633,21.8026,99.00852,100,4.5071665,4.566568,1.23383884116389,1.00446005395934,0.586305122507707
5,3.25,4.699175,5.171747,47.1976,0.42568805,21.6665,99.0189,100,2.59126875,4.558678,1.20379815583843,1.07651285184499,0.616726367253945
5,3.75,4.9203285,4.4024625,39.6046,0.4370207,21.262425,99.013785,100,8.01113049999998,4.73283,1.2524434630425,1.01114135329554,0.670932022324295
5,4.25,4.5714175,4.25178425,59.448775,0.481541475,21.241825,99.02132,100,7.82751375,4.851075,1.23752111120841,0.975541122967262,0.641715008203702
5,4.75,5.2286545,6.704728,48.800945,0.5516228,20.7298,99.06933,100,3.139176,4.71387,2.20569686322159,1.22085434264356,0.682673553504878
5,5.25,10.0446795,10.7368375,39.0725,0.52393075,20.375625,99.090875,100,8.76445849999998,4.5726105,1.37432637381768,1.32425073154596,0.711353693335489
5,5.75,3.3419725,7.44328574999999,110.40957,0.4947549,20.50675,99.1292,100,7.01670825,4.677277,1.29139467288331,1.16244999892469,0.634225732357458
5,6.25,3.140472,2.392414,50.0451375,0.510203625,21.161125,99.171725,100,2.510389,4.3919,1.2132142767065,1.07106843406287,0.655824025562163
5,6.75,2.875,15.16073,67.3286375,0.5035954,21.9865,99.2085625,100,4.552666,4.6146965,1.10894351858798,1.05028538738876,0.655770527363921
5,7.25,2.419134,44.32302,89.7852175,0.47289475,22.77125,99.24835,100,5.091225,4.8537975,1.22605012329357,1.08629867191868,0.615838345698337
5,7.75,3.7311725,68.4507299999999,147.156125,0.48782975,24.42375,99.280725,100,6.54662,5.5165175,1.26730634259952,1.12343196948478,0.646015772644559
5,8.25,2.7123525,103.24235,148.418275,0.498718325,25.403125,99.296775,100,10.324488,6.1247305,1.44667728353769,1.13701059398084,0.660984103836181
5,8.75,3.13490775,159.094725,188.6836,0.5043196,26.941875,99.3031375,100,10.379215,6.4125145,1.37103075428868,1.31919667934434,0.686549248717794
5,9.25,3.0055525,173.1228,226.008125,0.55953115,27.999125,99.2947375,100,12.988485,6.5578455,1.56484518159699,1.41847176212951,0.734812438743862
5,9.75,2.57659825,210.914125,242.244275,0.5800092,28.952,99.267775,100,15.44505,6.879568,1.49065890731925,1.34472661781193,0.730399395643696
5,10.25,4.76689199999999,231.8067,288.6616,0.551658875,28.9895,99.2479375,100,15.4475325,6.99014625,1.55721251234487,1.67804391754898,0.69387823850464
5,10.75,3.178018,251.82215,323.259025,0.5643075,29.39775,99.2377,100,16.089275,7.298338,1.52856377588394,1.88186193654655,0.643549366137537
5,11.25,2.695601,305.279975,334.414875,0.561240375,29.4628,99.21058,100,17.6855475,7.9360425,1.75232390048274,1.94771556814371,0.669276080219553
5,11.75,2.62087975,262.628975,375.42495,0.60716895,29.667625,99.205275,100,17.8676,7.6004995,1.70142604544411,1.81423159271537,0.671568555631018
5,12.25,3.139188,260.3417,339.63975,0.580370625,29.7515,99.1779,100,19.22277,7.16661625,1.74447907737448,1.90665162521392,0.69435050365619
