DOY2,HR2,CO2,FC,H2O,SC,H,LE,PA,RH,T_SONIC,TA,VPD,LW_IN,LW_OUT,NETRAD,SW_IN,SW_OUT,TAU,USTAR,WS,TS_1_1_1,TS_1_2_1,TS_1_3_1,CO2_SIGMA,H2O_SIGMA
1,5.75,415.456,0.856483,3.65302,0.00435,-4.56142,1.936395,98.3709,90.9081,-2.285,-6.192,0.4040495,283.154,285.475,-4.84701,-8.73159,-6.50172,-0.05875,0.205535,2.84318,-0.005,-0.1735,-0.1,0.563729781,0.033624654
1,6.25,415.515,0.7998025,3.63441,0.00589,-5.180105,2.19848,98.3672,90.90695,-1.965,-6.365,0.395115,283.594,285.533,-6.42483,-8.688965,-6.43619,-0.05785,0.198157,2.94036,-0.0185,-0.2,-0.1,0.485219561,0.0341462345
1,6.75,416.279,0.7350285,3.701205,0.0111,-3.991905,1.60942,98.40405,91.45355,-2.3185,-6.28,0.400267,282.561,285.391,-5.23125,-8.9284,-6.42054,-0.0514,0.199845,2.894855,-0.04,-0.2,-0.1,0.582312893,0.0350501655
1,7.25,416.905,0.7974605,3.71171,0.0103,-3.66879,1.314,98.40525,91.9619,-2.3085,-6.427,0.37124,280.269,285.339,-4.57332,-8.50423,-6.33918,-0.0497,0.195931,2.807055,-0.05,-0.2,-0.1,0.554981632,0.0354046835
1,7.75,416.072,0.946985,3.68124,0.0143,-3.81144,2.31581,98.4228,92.1854,-2.235,-6.315,0.356295,282.09,284.419,-0.150993,-2.124825,-2.32903,-0.0508,0.206936,3.01454,-0.0515,-0.2,-0.1,0.550680793,0.0358399115
1,8.25,416.181,0.915697,3.744705,0.00996,-2.29068,2.758285,98.4295,91.9957,-2.184,-6.006,0.395259,281.343,286.263,8.34937,24.741,11.4529,-0.0598,0.207785,2.98005,-0.052,-0.2,-0.1,0.568039668,0.0377831595
1,8.75,414.844,1.12074,3.8203,0.00164,2.26912,4.98729,98.4562,91.11475,-1.992,-5.789,0.410134,281.391,289.947,25.7409,70.5944,39.0371,-0.0693,0.227165,3.28907,-0.0515,-0.2,-0.1,0.5903744885,0.049929944
1,9.25,415.052,1.266065,3.83992,-0.00639,5.10448,5.56327,98.45495,89.811,-1.9155,-5.678,0.443616,278.7515,292.912,41.68785,126.984,64.6327,-0.0832,0.243602,3.504015,-0.05,-0.2,-0.1,0.523965262,0.0547657385
1,9.75,414.906,1.18756,3.9064,-0.0111,6.24613,7.635175,98.4692,89.6033,-1.259,-5.208,0.451281,280.8205,295.8385,63.83885,161.647,86.4458,-0.0832,0.2585625,3.709105,-0.05,-0.2,-0.1,0.591590696,0.060292774
1,10.25,414.9635,1.10391,3.93372,-0.0102,8.91886,10.32375,98.4612,88.2099,-0.815,-4.845,0.510972,285.585,298.074,88.79105,218.618,109.6505,-0.0923,0.260935,3.55055,-0.06,-0.2,-0.1,0.576437872,0.063991124
1,10.75,414.7555,1.001871,3.99879,-0.0147,9.16407,11.98215,98.4799,87.79235,-0.958,-4.6225,0.5336155,287.472,299.2615,101.42,245.273,137.4835,-0.0965,0.264661,3.692455,-0.0535,-0.2,-0.1,0.5498757625,0.071677742
1,11.25,414.209,0.9101955,3.89737,-0.0107,10.7411,14.3564,98.4297,86.9075,-0.914,-4.4695,0.607247,286.5225,301.4445,122.4545,287.1,147.091,-0.09365,0.274027,3.8722,-0.0265,-0.2,-0.1,0.625558726,0.076862298
1,11.75,413.9855,1.079745,4.053405,-0.0135,14.0921,14.2783,98.4067,85.2225,-0.534,-4.0595,0.6746795,287.395,303.5145,127.369,320.533,167.1255,-0.095,0.264765,3.91368,-0.0015,-0.2,-0.1,0.5590689635,0.085090626
1,12.25,413.194,0.971296,4.026685,-0.0176,12.9578,15.46945,98.3831,83.9481,-0.0595,-3.8945,0.77010046,286.202,304.444,142.474,363.3405,172.841,-0.0988,0.256093,3.78577,0,-0.2,-0.1,0.631921822,0.093679389
1,12.75,413.144,0.838902,4.05977,-0.0133,12.344,14.5592,98.3431,83.6582,0.103,-3.531,0.75795,289.291,305.17,135.594,369.907,168.774,-0.088,0.258679,3.76648,0,-0.2,-0.1,0.515650814,0.094750903
1,13.25,413.222,0.894551,4.05373,-0.015,10.86635,16.5446,98.3191,83.9028,0.034,-3.506,0.821694,288.382,305.462,116.185,318.2525,150.951,-0.088,0.25941,3.97053,0,-0.2,-0.0935,0.5460477195,0.090209416
1,13.75,413.263,0.989714,4.01434,-0.007925,9.68826,15.0821,98.3059,83.853,0.0895,-3.448,0.858441,287.447,304.801,105.602,300.435,131.637,-0.093,0.252578,3.843815,0,-0.2,-0.065,0.4786631395,0.084240551
1,14.25,412.893,1.05188,4.062125,-0.0138,7.2323,12.545,98.289,83.6309,0.1385,-3.458,0.8504275,287.641,304.149,99.5306,284.259,124.647,-0.0766,0.2417035,3.87301,0,-0.2,-0.05,0.476944466,0.0776000695
1,14.75,411.91,1.139,4.11841,-0.0129,4.66729,12.373,98.2882,84.0193,0.2555,-3.335,0.833135,287.784,302.956,79.4638,231.1765,85.4454,-0.0709,0.235418,4.021785,0,-0.197,-0.05,0.44758386,0.076341612
1,15.25,411.61,1.09305,4.02503,-0.01145,3.13414,10.3266,98.3104,83.5568,0.386,-3.533,0.769108,285.531,302.034,57.8187,172.5065,66.5546,-0.0794,0.248862,3.902405,0,-0.197,-0.05,0.4112051975,0.069390961
1,15.75,411.291,1.10786,4.00332,-0.01145,0.546433,8.639795,98.32015,83.2735,0.477,-3.5575,0.7617345,285.859,300.552,40.6783,123.949,45.4126,-0.07345,0.234715,3.58807,0,-0.2,-0.05,0.39171118,0.061258686
1,16.25,411.2205,1.03661,4.086765,-0.00134,-2.01531,6.711425,98.304,85.0635,0.648,-3.6405,0.7837755,279.713,299.198,18.3151,65.2039,24.311,-0.0601,0.204803,3.4231,0,-0.197,-0.05,0.41836705,0.0567166745
1,16.75,411.2515,0.831702,4.14511,0.001875,-5.26908,4.52782,98.3039,87.4839,0.458,-4.204,0.6545665,277.616,298.082,-0.728344,13.3461,4.09204,-0.0609,0.206134,3.26999,0,-0.2,-0.05,0.563582721,0.051985355
1,17.25,412.7085,0.709237,4.099975,0.00247,-4.700295,3.91814,98.30155,89.232,0.0875,-4.697,0.56668,270.746,295.319,-16.65715,-5.0456,-3.68108,-0.056,0.197074,3.22002,0,-0.197,-0.0485,0.675532747,0.045769385
1,17.75,412.585,0.642751,3.99988,0.0182,-4.77106,3.25553,98.2837,88.27285,-0.376,-5.0285,0.515713,270.316,292.7225,-16.7956,-9.29816,-6.2068,-0.0548,0.188277,3.150045,0,-0.18,-0.0465,0.6696466145,0.040723206
1,18.25,412.586,0.7316335,4.02959,0.01155,-4.55109,2.67581,98.2955,89.9718,-0.797,-5.114,0.479796,269.2995,290.7485,-16.5035,-9.34451,-6.107675,-0.0479,0.172526,2.79337,0,-0.167,-0.0565,0.540542996,0.045134847
1,18.75,412.99,0.72039,3.93958,0.0168,-5.031135,2.6475,98.29835,90.0322,-1.007,-5.2945,0.472844,270.5315,290.678,-13.3734,-9.23342,-6.345185,-0.0508,0.170875,3.19431,0,-0.183,-0.0385,0.6565534665,0.039650119
1,19.25,412.9575,0.800483,3.927765,0.0035,-4.15311,2.441635,98.317,90.1143,-1.132,-5.317,0.446844,266.141,289.1245,-15.77005,-9.60254,-6.251195,-0.04115,0.174953,2.99573,0,-0.19,-0.0215,0.6703340955,0.041059997
1,19.75,412.644,0.74468,3.90156,-0.002756,-4.509835,2.19509,98.33135,91.4523,-1.189,-5.3905,0.431948,273.6765,289.011,-16.1059,-9.39687,-6.16831,-0.0397,0.177261,3.04009,0,-0.157,-0.01,0.6661731485,0.0408661115
1,20.25,411.9195,0.799564,3.77182,0.00615,-6.05763,2.29142,98.3363,91.86115,-1.135,-5.3455,0.395791,273.3975,288.35,-16.58385,-9.58975,-6.16803,-0.044,0.163584,2.91963,0,-0.157,-0.01,0.716407478,0.036967213
1,20.75,412.4635,0.718984,3.733345,0.00868,-5.31534,1.989215,98.3031,92.36475,-1.322,-5.4025,0.369314,272.759,289.0215,-13.90735,-9.23969,-6.113065,-0.0365,0.166709,2.76653,0,-0.183,-0.0135,0.661003537,0.036327339
1,21.25,412.8345,0.724408,3.761745,0.01665,-4.880155,1.95937,98.31715,91.9942,-1.19,-5.451,0.385833,274.1175,290.266,-15.93095,-9.10677,-6.190065,-0.0403,0.1688145,2.82136,0,-0.18,0,0.606212746,0.038051099
1,21.75,412.796,0.724766,3.77047,0.01195,-5.037985,2.30002,98.32185,91.288,-1.9475,-5.924,0.38546,280.594,289.094,-9.955265,-8.92275,-6.277425,-0.0448,0.170502,2.85404,0,-0.167,0,0.5726461055,0.035522856
1,22.25,413.6365,0.800205,3.7319,0.012,-4.565905,2.43733,98.3128,91.3471,-1.798,-5.92,0.409688,280.3065,289.9755,-11.0166,-9.46314,-6.413615,-0.0421,0.175778,2.81386,0,-0.18,0,0.6099708375,0.0371345735
1,22.75,413.705,0.7468975,3.71621,0.00548,-4.02473,2.416425,98.3429,91.13315,-1.897,-6.055,0.389677,279.1915,288.306,-6.063755,-9.55886,-6.332595,-0.04755,0.184643,2.85664,0,-0.177,0,0.644404463,0.0381326415
1,23.25,412.995,0.7111175,3.70469,-0.00914,-4.26052,2.592915,98.3291,90.84415,-1.961,-6.318,0.359951,280.8915,289.163,-5.183945,-9.54826,-6.441235,-0.0515,0.186339,2.856265,0,-0.173,0,0.658253472,0.038902612
1,23.75,413.401,0.6744205,3.67001,-0.000763,-3.775885,2.227715,98.3208,89.6011,-1.755,-6.138,0.37055,281.74,289.33,-5.80917,-9.54983,-6.642835,-0.0406,0.178678,2.914285,0,-0.173,0,0.59630012,0.034162768
2,0.25,411.134,0.732176,4.13766,0.0044,-7.48517,1.85553,98.31035,85.3159,-0.209,-4.6735,0.712809,241.098,282.126,-32.4915,-9.31695,-6.31293,-0.0367,0.164803,2.68073,0.1,-0.043,0.1,0.670959663,0.0377313205
