DOY2,HR2,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS,G
1,0.25,102.564575,84.725,-17.9875,-5.23525,7.24025,6.75225,-6.07125,-4.9435,217.2,220.625,-18.3425,-4.012125
1,0.75,102.56505,84.725,-17.9975,-5.9195,7.07475,6.75175,-6.066,-4.97225,217.775,220.45,-18.385,-4.0245625
1,1.25,102.573375,84.65,-18.2925,-6.0165,7.13875,6.74825,-5.877,-4.802,214.85,220.675,-18.4125,-4.035125
1,1.75,102.56285,84.825,-18.3875,-6.04825,6.98225,6.755,-5.97775,-4.6785,218.05,221.55,-18.22,-4.0581875
1,2.25,102.539,84.95,-18.1075,-6.2705,6.92925,6.76175,-6.0295,-4.9605,219.9,222.25,-18.02,-4.0456875
1,2.75,102.524125,84.85,-18.0925,-6.42975,6.9115,6.77875,-5.98075,-4.92625,215.375,222.5,-18.01,-4.051625
1,3.25,102.514925,84.9,-18.33,-5.35775,6.9095,6.77225,-6.02425,-4.90925,219.25,222.425,-18.0575,-4.0704375
1,3.75,102.519575,85.3,-18.065,-6.288,6.94075,6.814,-5.8475,-4.986,216.325,223.15,-17.92,-4.0755625
1,4.25,102.51245,85.325,-18.0275,-5.77075,6.912,6.879,-6.10325,-4.97775,215.45,223.625,-17.73,-4.093
1,4.75,102.5303,85.25,-17.8575,-4.7995,6.92025,6.8205,-6.00375,-5.0085,218.575,223.775,-17.4875,-3.9986875
1,5.25,102.521375,85.4,-17.6425,-3.6955,6.915,6.76175,-5.81,-4.972,218.425,225.025,-17.2125,-3.861
1,5.75,102.524725,85.325,-17.7375,-3.28875,6.952,6.749,-6.01,-4.9455,220.2,224.725,-17.45,-3.90275
1,6.25,102.5418,85.225,-17.9525,-3.6545,7.31225,6.75275,-5.987,-4.99575,220.525,224.125,-17.6575,-3.9784375
1,6.75,102.537875,85.225,-18.0475,-4.157,6.955,6.7565,-6.1445,-4.96875,217.925,224.05,-17.7375,-3.9038125
1,7.25,102.5498,85.225,-18.025,-5.39025,6.97175,6.7525,-6.252,-4.92025,216,223.45,-17.8975,-4.02975
1,7.75,102.55465,85.125,-18.045,-6.437,6.926,6.7475,-6.21125,-4.9465,215.175,223.925,-17.8625,-4.012875
1,8.25,102.545575,85.35,-18.0375,-5.891,6.92625,6.74625,-6.28225,-5.086,214.55,224.275,-17.7675,-3.984125
1,8.75,102.559625,85.225,-17.8875,-5.5535,7.0035,6.748,-6.26325,-5.043,215,224.375,-17.72,-3.961
1,9.25,102.557525,85.4,-17.79,-5.5145,7.118,6.74625,-6.276,-5.06525,217.975,224.125,-17.6525,-3.846
1,9.75,102.550825,85.4,-17.9675,-6.93175,7.083,6.746,-6.24875,-4.91175,216,224.925,-17.53,-3.75175
