DOY2,HR2,FC,LE,H,G_1_1_1,G_1_1_2,G_1_1_3,CO2,H2O,PA,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,RH,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,WS,G_2_1_1,G_3_1_1,NEE
1,0.25,0.1825,-0.76075,-14.5012007425,-4.3,-5.1,-3,399.78375,4.27215,89.745,-4.43185,0.19,-1.83892,-4.95,-4.7,77.4179175,0,0,0,235.6,290.5025,-55.46925,-1.09,-0.158,0.582,1.255,2.4995,4.049,0.05,0.26,0.2960442085,0.06,0.8042,-7.180965,-2.0029425,0.598
1,0.75,0.21,-0.83,-18.8289925,-4.45462,-6.6864,-3,399.4415,4.21055,89.73,-4.66,0.21,-2.3766175,-5.02,-4.88,76.9721675,0,0,0,237.53,289.405,-55.75,-1.08,-0.199,0.55375,1.2515,2.5035,4.06,0.06,0.27,0.308846343,0.06,0.783,-9.65677,-2.0033,0.9385
1,1.25,0.17,-0.65003,-12.48501303,-5.3,-6.188225,-3,398.725,4.2,89.74635,-4.9476775,0.189925,-2.42731,-5.10025,-4.82,77.343335,0,0,0,237.142475,288,-53.5015,-1.1925,-0.228,0.55475,1.25,2.52,4.08,0.0503775,0.25901,0.301825,0.06,0.696225,-12.1378,-2.170025,0.916
1,1.75,0.219,-0.585,-16.91583,-5.3,-5.465625,-3,398.942925,4.2,89.75,-5.1825,0.19,-2.695945,-5.4295,-5.02,76.55275,0,0,0,236.57,288.055,-52.4799975,-1.163,-0.234,0.56,1.25,2.515,4.075,0.05275,0.265645,0.2825,0.0505925,0.71,-11.9322,-2.47061,0.857
1,2.25,0.16925,-0.60925,-13.92988591,-4.775,-5.4244,-3,399.15,4.11509,89.75819,-5.46028,0.195,-2.7404675,-5.485,-5.27,78.46525,0,0,0,236.9333,284.9674975,-51.7375,-1.21325,-0.266,0.52,1.24,2.525,4.07,0.054,0.2725,0.31,0.06,0.76,-12.814855,-2.25299,0.58925
1,2.75,0.15,-0.6777,-12.243,-5.1902,-5.825,-3,399.2,4.01883,89.761355,-5.733775,0.1925,-2.683215,-5.801,-5.473,76.968,0,0,0,237.4,284.6525,-51.21525,-1.29125,-0.303,0.477,1.23,2.4975,4.04,0.056,0.2725,0.2925,0.06,0.723,-11.030045,-2.252975,0.6665
1,3.25,0.1845,-0.766,-13.353,-5.3,-5.88805,-3,399.4,3.90248,89.793,-5.5875,0.2000018115,-2.8662425,-5.874,-5.568,81.15575,0,0,0,236.03,285.295,-50.91,-1.3685,-0.3555,0.47,1.2375,2.485,4.03,0.06,0.281996754,0.32,0.06,0.715,-12.7454975,-2.3522825,0.656
1,3.75,0.195,-0.83489158525,-17.815285,-5.3205,-5.63975,-3,399.2,3.904225,89.81,-5.87,0.2,-2.9995175,-5.91025,-5.48875,80.588,0,0,0,236.8275,284.6,-50.43,-1.402,-0.39,0.441,1.235,2.496,4.042,0.05299,0.28745392225,0.29,0.06,0.7653,-13.084475,-2.8777925,0.61725
1,4.25,0.135,-0.75525544425,-14.8657,-5.320325,-5.38325,-3.000725,398.8,3.9,89.82,-5.98,0.1775,-3.3504875,-6.07,-5.5955,80.55,0,0,0,236.115,284.05,-49.6725,-1.463,-0.40425,0.408,1.22,2.5035,4.04,0.059,0.2749975,0.3,0.06,0.699,-12.755905,-2.979425,0.729
1,4.75,0.11,-0.68,-14.213785,-5.321,-6.188075,-3,399.1,3.93687,89.801965,-6.08,0.184135,-3.1234075,-5.97,-5.59,80.14125,0,0,0,235.27,283.985,-49.4925,-1.5365,-0.389,0.44825,1.23,2.5,4.021,0.06,0.28775,0.3129125,0.06,0.736,-12.8596,-3.00314,0.497
1,5.25,0.113004,-0.65,-16.027,-5.3231,-6.2,-3,399.3,3.9013,89.795545,-6.325,0.2,-3.931325,-6.204,-5.612,79.73725,0,0,0,236.6025,282.3,-51.6,-1.58,-0.42,0.4075,1.2155,2.491,4.0485,0.05,0.274175,0.2919041295,0.06,0.74582,-12.300305,-3.003355,0.483
1,5.75,0.12,-0.64275,-10.51,-5.4389825,-6.3,-3,399.4333,3.88355,89.826,-6.62,0.18,-4.14745,-6.0175,-5.58,77.967,0,0,0,235.27,282.44,-50.355,-1.592,-0.4,0.4,1.20025,2.461,4.0425,0.05,0.27565,0.2814,0.06,0.745258287,-12.64138,-3.00308,0.56275
1,6.25,0.09,-0.61775,-10.468,-6.38669,-6.68815,-3,399.39805,3.781375,89.84,-6.58,0.18,-4.076475,-6.183,-5.75,80.1816675,0,0,0,234.44,281.2,-48.97,-1.582,-0.441,0.395,1.199,2.454,4.024,0.0579,0.28,0.3,0.06,0.72363,-12.981645,-3.0034,0.532
1,6.75,0.03,-0.6069,-14.88429,-6.39443,-7.1766,-3,399.65,3.90975,89.779855,-6.915,0.18256,-4.3676,-6.336,-5.7815,78.67225,0,0,0,233.294175,280.615,-49.68835,-1.6505,-0.466,0.4025,1.176,2.46,4.03,0.056,0.26,0.28,0.06,0.69692,-12.981645,-3.003475,0.36
