DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,412.80217525,8.12770875,2156.78230375,1.104382,-4.935789,-13.4992625,-24.4562485,-0.73481825,0.658877,0.07833675,-0.026325,0.27114475,0.08225825,101.585,86.1245,5.94495,0.4749735,6.47974525,0.183691,6.10045,6.6912,7.145275,7.417125,8.01135,-21.042497,0,-0.01925,-1.16075,0.724205,313.705916,330.210843
1,0.75,410.58915975,8.0799375,2145.294724,0.7686895,-2.92043425,-13.0422875,-26.6994745,-0.73481825,0.7269475,0.07503475,-0.024713,0.2822945,0.08079025,101.555,87.837,5.6692,0.4245175,6.1512755,0.18422475,6.052625,6.661475,7.123775,7.416175,8.020775,-19.78061,0,-0.0275,-1.22985,0.6872525,318.9138895,331.51087625
1,1.25,410.76357,7.776731,2141.88919675,0.95358,-4.1230885,-12.9925,-32.11242925,-1.690399625,0.61070725,0.08084225,-0.05985475,0.3129845,0.07676075,101.545,87.0795,5.7029,0.4144725,6.331002,0.175737,6.03645,6.6525,7.111575,7.424075,8.03265,-21.085434,0,-0.01925,-1.2398,0.5562675,320.311788,333.01981475
1,1.75,412.567657,7.549417,2120.0383705,1.07374875,-3.20197125,-13.3305,-29.89286175,-2.645981,0.7360895,0.079811,-0.0500375,0.32195925,0.10071075,101.555,87.792,5.63675,0.427873,6.20409225,0.17864725,5.851775,6.549975,7.101475,7.4235,8.030725,-17.8772395,0,-0.0165,-1.1924,0.6571075,321.346666,333.05976525
1,2.25,412.05375325,7.681524,2137.48863,0.6301095,-2.714313,-13.699375,-33.89490175,-6.472935,0.78165525,0.077411,-0.042472,0.29427875,0.09694425,101.55,88.3385,5.8008,0.388313,6.08199275,0.1793245,5.81505,6.444225,7.0935,7.4226,8.037375,-14.856686,0,-0.033,-1.03865,0.659915,320.368241,331.3474295
1,2.75,411.462583,7.62004275,2146.480542,0.767614,-4.10535,-13.103625,-34.524695,-4.807005,0.649124,0.080016,-0.0379645,0.32759275,0.10200525,101.55,88.9935,5.6904,0.427852,6.240415,0.1708315,5.752775,6.40075,7.072,7.42645,8.042275,-17.02266,0,-0.0274925,-1.2262,0.6844925,320.309228,329.44455825
1,3.25,411.2581365,7.548222,2140.658436,1.46756125,-2.0392085,-12.502,-37.702818,-3.141075,0.67721575,0.07670175,-0.0604815,0.3131015,0.0872885,101.54,89.298,5.5246,0.4093915,6.10893575,0.204695,5.706825,6.380175,7.00365,7.42385,8.0528,-17.05495,0,-0.011,-1.21505,0.3911975,321.9654445,330.463459
1,3.75,409.62807075,7.46068775,2140.4915475,1.116109,-6.58692475,-12.380125,-37.699533,0.141137,0.677156,0.08385425,-0.055874,0.33452825,0.10149,101.535,88.9195,5.68745,0.392987,6.2598345,0.1788095,5.668925,6.32945,6.997225,7.420775,8.061575,-19.982718,0,-0.011,-1.3181,0.4307525,317.298376,329.11900975
1,4.25,408.37332475,7.07385,2126.8102405,1.75175325,-7.072261,-13.714125,-39.628444,-6.34904725,0.7604525,0.09197575,-0.031272,0.2982445,0.1049965,101.53,89.4545,5.39275,0.359537,5.925428,0.200861,5.60135,6.31035,6.990625,7.419375,8.06575,-20.385995,0,-0.011,-1.46045,0.5010125,317.7414385,328.59547975
1,4.75,408.787452,7.4964295,2108.1944745,1.2405865,-2.222903,-14.67825,-41.51179,-5.44651975,0.7206725,0.08176425,-0.028433,0.30853825,0.09650275,101.53,89.7725,5.2924,0.3706225,5.700177,0.18816575,5.522375,6.2558,6.982225,7.398775,8.0776,-19.7119315,0,-0.00825,-1.379,0.5621725,318.056883,327.5832305
1,5.25,409.2935885,7.0297815,2110.76020175,0.64629075,-2.343931,-14.639125,-27.744427,-2.640254,0.76502,0.083311,-0.033041,0.29847,0.090587,101.525,89.2505,5.07105,0.316335,5.527412,0.192643,5.4624,6.14555,6.9372,7.389425,8.080075,-19.7593,0,-0.03025,-1.23695,0.46748,320.080195,328.01002975
1,5.75,408.15141225,7.538018,2132.8543545,0.913051,-5.011713,-13.2677625,-37.54260775,-8.821802,0.813151,0.079684,-0.04096075,0.323301,0.093325,101.54,88.165,4.85545,0.3361355,5.545925,0.1687135,5.4412,6.084075,6.8905,7.388875,8.085275,-19.98659,0,-0.011,-1.40095,0.4919275,319.822611,328.259738
1,6.25,407.895412,7.165831,2151.8022525,0.064541,-4.743106,-12.87875,-41.83960575,-2.82707425,0.733297,0.093259,-0.032453,0.36451,0.094528,101.56,88.74,4.9607,0.309395,5.346778,0.18654675,5.404725,6.032675,6.84895,7.3935,8.098375,-17.8763,0,0,-1.4936,0.46442,317.5314515,327.55243275
1,6.75,409.132022,7.165482,2124.24203325,0.53288925,-4.0313945,-13.922625,-52.5357605,-3.334987375,0.7454455,0.08593475,-0.0377845,0.31490975,0.09557975,101.575,89.621,4.8235,0.255576,5.4662255,0.1829795,5.27505,5.997,6.796275,7.393175,8.107225,-14.524183,0,0,-1.1187,0.388135,320.540553,327.49065575
