DOY2,HR2,USTAR,H,LE,NEE,FC,SC,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_1_1_1,WS_1_1_1,TA_1_1_1,TA_1_2_1,RH_1_1_1,RH_1_2_1,PA,G_1_1_1,G_1_1_2,SW_IN_1_1_1,SW_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_2,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,PPFD_IN,PPFD_OUT,T_CANOPY_1_1_1,T_CANOPY_1_1_2,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_2,TS_2_2_2,TS_2_3_2,TS_2_4_2,TS_2_5_2,TS_2_6_2,TS_2_7_2,TS_2_8_2,TS_2_9_2,T_CANOPY_2_1_2,T_CANOPY_3_1_2
1,0.25,0.133364639,-37.32627859,-0.9116223235,0.168641427,0.05682665275,-0.01243744925,0.369143,0.339935,0.15791,0.17761675,375.0322558,1.3265325,-21.4095,-22.18625,59.8375,64.0575,93.900296,-4.9135,-4.507695,0,0,0,0,197.6063335,222.905000325,-48.5964587875,-40.9022894825,0,0,-22.20890173,-24.20122735,-3.340344,-3.0783565,-1.6399,-0.3932644,-0.335313275,-1.97833,-1.679298,-0.7631836,-0.1912669,0.0347412025,0.4315796,0.569862375,0.5084229,0.78246305,-18.6066875,-19.232245
1,0.75,0.127622959,-37.9606277275,-1.040620742,0.17481394725,0.060094232,-0.018123189,0.376369,0.332083,0.151262,0.179063,375.1010973,1.314488,-21.46825,-22.20375,59.47,63.94725,93.915668,-4.9135,-4.502463,0,0,0,0,196.18318705,222.436912225,-48.9178053775,-41.7184214625,0,0,-21.85179191,-24.56393922,-3.344325,-3.073505,-1.6201335,-0.390588825,-0.105665,-1.97738575,-1.679298,-0.7631836,-0.1912669,0.03378295,0.4315796,0.5680466,0.5084229,0.782142125,-18.9929375,-19.074745
1,1.25,0.1347295945,-35.488019125,-1.00955557825,0.182076553,0.03578854,-0.023039714,0.3884355,0.348745,0.1563695,0.17015,375.2657091,1.33479975,-21.47725,-22.2225,59.01525,63.94875,93.971108,-4.9135,-4.514235,0,0,0,0,195.43785065,223.1068241,-48.799750525,-40.73246784,0,0,-21.8933815,-25.15560345,-3.343266,-3.07474275,-1.6101455,-0.3908867,-0.1061175,-1.97738575,-1.68182075,-0.7631836,-0.1915853,0.0347412025,0.4315796,0.569221525,0.5084229,0.782142125,-19.04047,-19.1226075
1,1.75,0.128440315,-35.5294862925,-0.938558421,0.2080511865,0.050732134,-0.014380779,0.371729,0.352838,0.154708,0.168477,374.8852551,1.356068,-21.638,-22.3115,59.0115,64.11825,93.968132,-4.889725,-4.524372,0,0,0,0,194.789788975,223.679138825,-46.524406525,-41.093084355,0,0,-21.95979769,-24.92992402,-3.340849,-3.07936525,-1.61306,-0.39634465,-0.09418,-1.97738575,-1.68402825,-0.7631836,-0.1925405,0.03378295,0.4315796,0.569274925,0.5084229,0.781821175,-19.03667,-19.1062975
1,2.25,0.129289571,-37.72535511,-0.765323956,0.176093652,0.060827164,-0.01411749875,0.381929,0.342239,0.155589,0.168044,374.787960575,1.32722725,-21.564,-22.211,58.716,63.5925,93.965372,-4.9135,-4.5126,0,0,0,0,194.96236975,223.80241785,-45.631650025,-40.43614672,0,0,-22.39364162,-25.0806765025,-3.30831825,-3.0760825,-1.6114425,-0.3981772,-0.168900025,-1.97738575,-1.68402825,-0.7631836,-0.193150775,0.0347412025,0.4315796,0.568954475,0.5084229,0.78187465,-19.194595,-19.6214925
1,2.75,0.121393065,-36.3499043,-0.74062717975,0.179055234,0.06754717775,-0.01709402,0.353494,0.343146,0.144515,0.17353,375.269729175,1.355107,-21.62,-22.2825,59.635,63.8885,93.958562,-4.9135,-4.5349995,0,0,0,0,194.24452255,224.143417425,-47.202269425,-40.60690549,0,0,-22.24589595,-24.99918177,-3.358882,-3.07837425,-1.548701,-0.3953462,-0.11147,-1.97644,-1.68402825,-0.76793665,-0.1931773,0.03378295,0.4315796,0.5699158,0.5084229,0.781767675,-19.104085,-19.837905
1,3.25,0.132811818,-36.68146583,-0.679927495,0.168346094,0.076199016,-0.0144366275,0.381998,0.345234,0.159485,0.176645,375.1071243,1.377819,-21.696,-22.12825,59.7275,64.594,93.956276,-4.9135,-4.5372885,0,0,0,0,193.883045775,223.594083,-46.965254425,-39.9199785525,0,0,-22.5155491325,-25.4396844,-3.3603815,-3.082697,-1.609071,-0.3868418,-0.10711,-1.97170975,-1.682136,-0.773640475,-0.194477425,0.03378295,0.4315796,0.56863405,0.5084229,0.781500225,-19.3855,-19.7315425
1,3.75,0.135569102,-35.510748865,-0.73760934025,0.150675519,0.078661791,-0.019251013,0.383819,0.341983,0.163676,0.181598,375.1202781,1.37076125,-21.5265,-22.16,59.6425,64.47475,93.95117,-4.921425,-4.54897875,0,0,0,0,192.897487725,223.55411945,-49.250869075,-40.08292568,0,0,-22.66495665,-25.8814436,-3.3656265,-3.075693,-1.6096765,-0.4055654,-0.1100475,-1.9647715,-1.67646,-0.7774429,-0.1947693,0.03378295,0.4315796,0.568954475,0.5084229,0.781179275,-19.520545,-20.1438
1,4.25,0.131995707,-37.1580326,-0.711797818,0.205676425,0.09170348975,-0.01702635325,0.396505,0.34456,0.155963,0.1750935,374.932344425,1.416792,-21.6875,-22.505,59.42275,64.14925,93.947438,-4.93687875,-4.56189525,0,0,0,0,192.9678209,223.323821225,-52.512867745,-39.18021873,0,0,-21.937875725,-24.5523816475,-3.3466415,-3.07556775,-1.5545275,-0.410326,-0.2247999,-1.96414075,-1.67300125,-0.7774429,-0.197289975,0.03378295,0.4315796,0.56863405,0.5084229,0.781500225,-19.4995475,-20.3261925
1,4.75,0.120894191,-36.42325298,-0.702260589,0.1864409425,0.079024568,-0.0155470705,0.377247,0.3396205,0.144567,0.175666,375.18326865,1.33200175,-21.5875,-22.4375,59.64825,64.23825,93.928892,-4.9135,-4.58086125,0,0,0,0,192.69945535,222.58477045,-49.856079315,-39.6273380875,0,0,-22.299017345,-24.221464055,-3.36739225,-3.071177,-1.599319,-0.416173075,-0.112,-1.96382575,-1.6742665,-0.7774429,-0.1966797,0.03378295,0.4315796,0.568367025,0.5084229,0.781500225,-19.4350525,-20.4161325
