DOY2,HR2,USTAR,TA_1_3_1,WS,NEE,FC,SC,H,LE,G_1_1_1,RH,PA,CO2,VPD,NETRAD,PPFD_IN,SW_IN,H2O
1,20.25,0.16,14.305,1.374,2.461,2.0705,0.0365,-23.148,-0.941,-11.835,85.2,102.1,385.25,2.87,-31.541,0,0.179,13.09
1,20.75,0.168,14.1,1.385,2.338,2.349,0.0295,-25.398,-0.366,-12.43,86.1,102.1,385.9145,2.7,-31.417,0,0.161,12.947
1,21.25,0.181,13.84,1.491,2.421,2.185,-0.0085,-26.526,-0.36,-12.18,85.85,102.1,386.24,2.62,-31.16,0,0.1795,12.8365
1,21.75,0.19,13.86,1.539,2.4145,2.3465,0.0085,-30.5055,-0.245,-11.635,86.2,102.15,385.952,2.49,-31.074,0,0.166,11.957
1,22.25,0.1785,13.8,1.487,2.322,2.2925,0.012,-28.732,-0.69,-11.64,86.4,102.15,386.5015,2.4,-29.1,0,0.1905,11.94
1,22.75,0.1995,13.79,1.551,2.347,2.3045,-0.008,-28.783,0.2845,-11.74,86.8,102.2,386.755,2.29,-28.74,0,0.153,12.73
1,23.25,0.199,13.49,1.458,2.278,2.0395,0.038,-28.332,0.255,-11.78,87.6,102.1,387.367,2.14,-29.18,0,0.146,12.334
1,23.75,0.201,13.26,1.4315,2.2935,2.067,0.043,-28.83,-0.2535,-12.17,88.4,102.1,387.827,2.035,-27.76,0,0.163,12.357
2,0.25,0.164,15.59,1.355,2.589,2.061,0.02,-21.63,0.14,-8.55,90.6,102.1,392.7405,1.87,-17.01,0,0.0615,13.8635
2,0.75,0.169,15.59,1.297,2.646,2.199,0.008,-23.0095,0.0615,-9.295,90.8,102,393.1375,1.74,-15.46,0,0.0805,14.202
2,1.25,0.16,15.36,1.2595,2.5675,2.24,0.013,-22.338,-0.012,-9.32,90.7,102,393.7675,1.73,-14.65,0,0.0705,13.8585
2,1.75,0.15,15.065,1.264,2.453,2.033,0.047,-22.301,0.002,-9.62,90.8,102,395.03,1.6,-15.415,0,0.069,13.891
2,2.25,0.159,14.76,1.277,2.495,2.332,0.054,-23.055,-0.507,-10.1,91,102,394.634,1.69,-14.37,0,0.078,13.6185
2,2.75,0.15,14.58,1.299,2.617,2.123,0.006,-22.243,-0.1215,-9.945,91.8,102,394.5485,1.58,-13.22,0,0.067,13.512
2,3.25,0.157,14.215,1.253,2.703,2.3605,0.012,-20.422,-0.02,-10.045,92.1,102,395.452,1.555,-12.765,-0.144,0.0745,13.523
2,3.75,0.16,14.13,1.233,2.509,2.392,-0.037,-19.421,0.95,-10.43,92.1,102,395.65,1.405,-11.735,-0.0935,0.0865,13.03
2,4.25,0.151,14.245,1.282,2.6665,2.295,0.001,-20.96,0.81,-10.58,92.4,102,395.119,1.41,-11.195,-0.117,0.0865,13.524
2,4.75,0.17,14.175,1.3055,2.6375,2.112,0.02,-20.19,0.689,-10.98,92.9,102,395.7,1.42,-11.495,-0.062,0.0695,13.9245
2,5.25,0.1715,14.105,1.365,2.449,2.297,0.033,-19.9325,1.104,-10.715,93.3,102,398.14,1.44,-11.93,-0.1225,0.069,13.658
2,5.75,0.1775,13.955,1.355,2.758,2.217,0.0465,-20.7605,0.113,-10.115,93.3,102,397.772,1.25,-10.825,-0.189,0.0615,13.495
2,6.25,0.17,14.1,1.297,2.693,2.347,0.053,-19.3455,0.743,-10.185,93.5,102.05,397.73,1.2,-9.74,-0.113,0.069,13.495
2,6.75,0.17,14.405,1.3285,2.6645,2.544,0.0655,-19.9045,1.5305,-10.155,93.8,102.1,398.48,1.14,-8.57,0.027,0.792,13.95
2,7.25,0.183,14.647,1.377,2.131,2.222,-0.02,-15.1995,2.1805,-9.495,93.5,102.1,396.5965,1.12,2.368,39.525,16.96,14.14
2,7.75,0.214,15.195,1.528,0.66,0.9035,-0.1165,-8.215,8.603,-7.84,93.7,102.1,394.419,1.2,33.95,146.95,62.23,15.0645
2,8.25,0.276,16.47,1.8895,-1.556,-1.552,-0.2445,10.291,16.812,-5.6155,89.7,102.2,392.084,2,87.8,335.3,154.3,16.273
2,8.75,0.3325,17.57,2.201,-3.7175,-3.7895,-0.169,35.134,40.335,-2.323,83.8,102.2,387.469,2.98,151.95,524.2255,261.25,16.21
2,9.25,0.3795,18.19,2.598,-5.735,-5.4355,-0.149,73.906,68.35,-0.221,79,102.2,383.633,4.6,222.95,723.467,355.2,15.82
2,9.75,0.41,18.8,2.727,-7.383,-6.3465,-0.095,105.75,83.725,1.3405,73.8,102.2,381.9125,6,300.7,935,437.55,15.144
2,10.25,0.43,19.41,2.845,-8.461,-8.176,-0.097,138.65,108.81,2.9855,71.7,102.2,380.693,7.1,360.8,1073,499,15.3285
2,10.75,0.4575,20.02,2.9385,-8.859,-8.6955,-0.0585,166.027,118.441,4.1075,68.45,102.2,379.521,8.1,416.25,1133.667,572.95,15.044
2,11.25,0.452,20.51,2.966,-9.2965,-9.444,-0.042,179.273,130.929,6.421,66.46,102.2,378.8615,8.8,436.6,1208,612.25,15.1955
2,11.75,0.47,20.94,2.996,-9.445,-9.6375,-0.012,188.1415,141.261,8.19,62.89,102.2,378.859,9.49,466.6,1258,630.3,15.141
2,12.25,0.47,21.12,2.985,-9.184,-9.389,-0.021,194.236,143.79,9.95,62.83,102.15,378.73,10.01,475.25,1215,654.15,15.45
2,12.75,0.468,21.84,2.956,-9.027,-9.089,-0.028,205.026,145.082,10.65,62.6,102.1,378.684,10.25,491.686,1277.225,676.1,15.51
2,13.25,0.458,21.67,3.0485,-8.786,-9.069,-0.0295,193.81,139.02,11.78,61.1,102.05,378.265,11.115,474.1,1280,658,15.126
2,13.75,0.47,21.81,3.034,-8.392,-8.807,-0.013,180.033,137.88,10.35,59,102,378.184,11.02,455.7,1226,617.7,15.3715
2,14.25,0.4505,21.05,3.022,-7.8065,-8.1545,-0.01,172.05,123.038,9.74,59.4,102,378.191,10.6,416.5,1152,571.25,15.356
2,14.75,0.45,21.2,2.843,-7.1315,-7.564,0.002,146.9555,105.295,8.09,61.32,102,378.354,10.4,359.25,1003,538.45,15.4075
2,15.25,0.442,20.77,2.9135,-6.0425,-6.276,0.02,119.199,95.433,6.496,59.87,101.9,378.536,10.465,312.3,921.5,480.2,15.435
2,15.75,0.4345,20.54,2.771,-5.019,-5.4035,0.018,82.3725,75.563,3.925,61.9,101.9,379.043,9.9,235.3,690.9225,391.65,15.346
2,16.25,0.4105,20.005,2.73,-4.141,-4.5005,0.014,52.403,55.5115,2.3505,63.5,101.9,379.83,8.83,148.3,478.85,291.35,15.257
2,16.75,0.381,19.75,2.547,-2.572,-2.886,0.0215,22.487,39.05,0.898,67.32,102,379.819,7.94,89.4,350.7,211,15.4265
2,17.25,0.3425,19.26,2.294,-0.884,-1.214,0.04,-2.42,22.08,-0.287,70.6,102,380.1475,7.005,27.405,190.4,118.35,15.456
2,17.75,0.29,18.66,2.009,1.123,0.836,0.08,-20.654,6.9795,-2.495,76.5,102,380.985,5.7,-12.685,51.56,31.565,15.44
2,18.25,0.23,17.98,1.678,2.398,1.87,0.126,-23.098,0.36,-3.625,80.3,102,382.822,4.45,-43.09,0.3375,1.355,15.4025
2,18.75,0.204,17.345,1.478,2.809,2.178,0.103,-22.11,-1.048,-5.125,83.4,102,385.19,3.65,-41.85,-0.2045,0.055,14.887
2,19.25,0.175,16.965,1.379,2.743,2.0955,0.106,-20.601,-1.069,-5.888,84.6,102,386.5305,3.355,-35.04,-0.191,0.061,14.4415
2,19.75,0.17,16.92,1.377,2.587,2.2175,0.0535,-22.4,-0.665,-7.12,85.3,102,387.0815,3.015,-30.795,-0.058,0.05,14.366
2,20.25,0.18,16.735,1.4325,2.6645,2.0175,0.01,-23.8395,-0.197,-7.47,87.1,102,387.689,2.8,-30.06,-0.062,0.059,14.239
2,20.75,0.176,16.565,1.46,2.5095,2.088,0.009,-24.48,0.7205,-8.06,87.5,102.1,387.412,2.81,-25.93,-0.119,0.065,14.2455
2,21.25,0.1555,16.405,1.381,2.5,2.209,0.019,-24.89,-0.422,-8,87.7,102.1,388.158,2.66,-23.515,-0.173,0.0705,14.115
2,21.75,0.165,16.75,1.3855,2.604,2.2815,0.008,-23.908,0.074,-8.59,87.6,102.1,388.503,2.695,-25.545,-0.047,0.0685,14.12
2,22.25,0.165,16.13,1.37,2.655,2.2235,0.04,-24.6155,-0.4285,-8.27,88.5,102.1,390.04,2.44,-25.555,0,0.061,13.993
2,22.75,0.17,16.1405,1.424,2.543,1.98,0.025,-23.117,0.186,-8.34,89.2,102.1,390.6435,2.215,-20.705,0,0.0565,13.994
2,23.25,0.1845,16.01,1.396,2.7455,1.985,0.048,-24.65,0.882,-8.3,89.5,102.1,390.353,2.1,-17.805,0,0.0435,13.9185
2,23.75,0.156,15.99,1.284,2.495,2.077,0.016,-24.03,0.5775,-8.43,89.65,102.1,392.21,1.99,-19.37,0,0.0485,13.62
3,0.25,0.1825,17.92,1.475,2.9405,2.4605,0.042,-30.323,-0.433,-8.95,86.55,101.7,390.204,3.5,-31.825,-0.0155,0.1195,14.9115
3,0.75,0.155,17.76,1.37,2.694,2.248,0.033,-26.459,-0.683,-9.285,87.6,101.7,390.967,3.12,-29.85,0,0.1215,14.58
3,1.25,0.1625,17.48,1.301,3.0475,2.67,0.0115,-26.421,-1.6165,-9.8,88.75,101.7,390.347,2.99,-27.795,-0.01,0.1285,14.5435
3,1.75,0.1445,17.355,1.2545,2.8605,2.626,0.0155,-25.888,-0.73,-9.63,89.15,101.7,392.557,2.935,-23.815,-0.0175,0.1325,14.374
3,2.25,0.128,17.015,1.182,2.696,2.344,0.0695,-23.357,-1.27,-9.935,89.7,101.7,394.184,2.73,-22.105,0,0.126,14.2215
3,2.75,0.12,16.955,1.1625,2.908,2.698,0.058,-20.1365,0.509,-9.9,90.5,101.7,393.954,2.465,-20.88,-0.01,0.13,14.987
3,3.25,0.111,16.76,1.173,3.037,2.71,0.046,-23.494,-0.887,-10.07,90.2,101.7,396.842,2.175,-18.29,-0.039,0.1265,13.67
3,3.75,0.125,16.735,1.135,2.776,2.372,0.029,-19.571,-1.02,-10.61,91.15,101.7,397.493,2.005,-14.87,-0.0175,0.1175,13.932
3,4.25,0.1275,16.63,1.208,3.159,2.647,0.026,-22.131,-0.37,-10.75,91.8,101.7,397.909,1.765,-14,-0.021,0.1375,13.89
3,4.75,0.121,16.665,1.2035,3.147,2.773,0.009,-23.236,-1.514,-10.26,92.55,101.7,396.598,1.87,-13.43,-0.019,0.1195,14.05
3,5.25,0.1495,16.625,1.252,3.221,2.646,0.038,-24.62,-0.802,-10.36,92.2,101.7,397.16,1.725,-14.79,-0.027,0.112,13.67
3,5.75,0.1495,16.385,1.2635,3.081,2.655,0.095,-23.002,-0.99,-10.1,92.8,101.7,398.902,1.715,-12.965,-0.019,0.1285,13.933
3,6.25,0.1585,16.54,1.3175,3.3405,2.758,0.024,-22.475,0.121,-10.31,92.95,101.8,398.8125,1.46,-9.4,1.618,0.9285,14.5
3,6.75,0.1445,16.997,1.2985,2.5015,2.148,0,-18.972,1.7165,-9.79,93.45,101.8,400.44,1.415,2.4535,44.44,18.245,15.4905
3,7.25,0.185,17.94,1.354,1.292,1.17,-0.138,-8.094,10.279,-7.68,91.2,101.8,396.923,1.9,43.51,193.813,92.15,16.5525
3,7.75,0.25,19.14,1.703,-0.847,-0.575,-0.409,13.184,26.806,-5.7165,87.95,101.8,391.645,2.765,109.75,408.05,184,16.823
3,8.25,0.32,20.025,2.098,-3.653,-2.983,-0.4155,50.43,50.01,-2.309,81,101.9,385.796,4.4,187.35,626.45,292.55,16.016
3,8.75,0.3955,21.1,2.539,-5.4075,-4.912,-0.287,93.1435,76.8405,-0.446,73.5,101.9,382.689,6.56,267.45,848,395.1,15.6025
3,9.25,0.43,21.95,2.802,-6.453,-5.9965,-0.12,128.164,100.34,1.503,68.72,101.9,380.522,8,349.2,1054,486.45,15.7525
3,9.75,0.432,22.76,2.768,-7.089,-7.009,-0.063,162.784,123.61,3.013,64.511,101.9,380.033,9.74,419.75,1211.8335,597.35,15.8
3,10.25,0.455,23.24,2.869,-7.6035,-7.502,-0.0305,199.838,141.663,4.706,61.6,101.9,379.346,10.8,484.7,1344,644.05,15.9665
3,10.75,0.462,23.58,2.946,-7.785,-8.027,-0.025,231.59,153.995,6.7925,60.19,101.9,379.3185,11.93,536.6,1471.5945,706.5,15.81
3,11.25,0.469,23.875,2.9555,-8.052,-8.01,-0.0085,252.525,158.97,7.52,59.15,101.9,378.551,12.65,585,1533.757,767.5,16.031
3,11.75,0.486,24.06,3.002,-7.9455,-7.616,0.003,267.156,173.018,8.93,57.08,101.9,378.203,12.85,604.8,1548,802.5,15.595
3,12.25,0.4915,24.01,3.0655,-7.684,-7.965,-0.008,279.374,168.963,10.36,56.29,101.9,378.093,13.47,625.1,1681,826,15.664
3,12.75,0.5005,24.25,3.2065,-7.6165,-7.541,-0.014,273.3,166.55,10.67,56.74,101.8,377.9145,13.59,612.7,1621.804,825,15.525
3,13.25,0.499,24.51,3.183,-7.2,-7.378,-0.0105,268.562,168.63,11.03,55.36,101.8,378.336,13.84,595.7,1585.8795,820.5,15.52
3,13.75,0.49,24.077,3.088,-6.974,-6.6985,5e-04,263.725,159.236,11.54,56.9,101.8,378.17,13.26,566.35,1579,778.5,15.4485
3,14.25,0.508,23.74,3.247,-6.7825,-6.76,-0.003,248.5195,145.29,10.98,57.88,101.7,377.942,12.94,514.701,1404.9475,729.5,15.23
3,14.75,0.4985,23.74,3.232,-6.102,-6.1725,-0.005,215.337,128.35,9.395,57.7,101.7,377.793,12.95,457.6,1345.5,663.7,15.54
3,15.25,0.494,23.495,3.228,-5.511,-5.543,0.005,188.0685,118.585,8.31,57.9,101.7,378.119,12.32,381.5,1147.872,596.7,15.485
3,15.75,0.4845,23.32,3.08,-4.721,-4.7815,0.0135,153.24,98.75,6.75,60.23,101.6,378.115,12.24,311.5,988.5,496.4,15.781
