DOY2,HR2,TA_1_3_1,RH,TA_1_6_1,TA_1_5_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_3_2,G_1_1_1,G_1_1_2,G_1_1_3,G_1_1_4,G_1_1_5,G_1_1_6,T_BOLE_1_1_1,T_BOLE_1_1_2,T_BOLE_1_1_3,CO2_1_1_1,H2O,CO2_1_2_1,USTAR,LE,H,FC,SC,G_1,SLE,SH,NEE,TA_1_3_2,TA_1_4_1,TA_1_3_3,TA_1_2_1,TA_1_1_1,WS_1_1_1,NETRAD_1_1_1,NETRAD_1_1_2,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,SW_IN_1_1_3,SW_OUT_1_1_2,PPFD_IN_1_1_1,PPFD_IN_1_1_2,PPFD_DIF,PPFD_OUT,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,PA,T_SONIC,WS_1_1_2,LW_IN,LW_OUT,RH_1_2_1,CO2_1_3_1,SG,WS_1_2_1,U_SIGMA,V_SIGMA,W_SIGMA,VPD,T_SONIC_SIGMA,NETRAD_1_2_1,PPFD_IN_1_2_1,SW_IN_1_2_1,SW_OUT_1_2_1,G_1_2_1,G_1_2_2,TA_1_6_2
1,5.25,4.46125,95.615,3.7945,4.058,4.239975,4.323,4.55125,4.328825,-0.487,-1.288,-2.8201,-1.247425,-2.1234,-1.547475,3.841,3.9435,4.00025,395.2,8.413,423.325,0.2408905,1.792035,-1.5491875,1.621,0.228858,-1.35275,0.6053,0.596825,1.9835,4.1235,4.245,5.34,5.988,5.39775,2.002,-3.8425,0.002585,0,2.34,0.0717025,0.14455,1.4815,0,0.613675,21.2875,0.00161,4.7809,4.909175,5.162225,5.84585,6.4721,100.7425,7.130855,2.209,330.5,333.3235,100,423.83675,-1.9287,1.798705,0.6877595,0.7348535,0.35798225,0.575493,0.4030695,-0.4337165,0,0,1.332395,-3.068925,-0.90258075,4.0106975
1,5.75,4.4996,95.4975,3.888,4.0855,4.22825,4.303125,4.54925,4.318525,-0.4145,-1.34675,-2.818,-1.246625,-2.09735,-1.47805,3.8775,3.91825,3.96,394.85,8.434,422.025,0.262327,2.13773,-1.68106,1.408175,0.238577,-1.30075,0.589558,0.64315375,1.916,4.2205,4.432,5.081,5.8895,5.33975,1.973,-3.7675,-0.08043,0,2.34,0.082015,0.1043,1.4935,0,0.618525,21.2875,0.00241,4.776,4.90525,5.15725,5.844825,6.4712,100.74,7.17935,2.208,330.28925,333.3055,100,423.3815,-2.112255,1.84512,0.7348425,0.703232,0.36311,0.581447054,0.40636175,-0.391735,0,0,1.5334175,-2.953075,-0.85491175,3.97273
1,6.25,4.436,95.58,3.88,4.09,4.2318,4.2928,4.53525,4.3054,-0.44585,-1.3525,-2.8549,-1.2724,-2.109,-1.463,3.8895,3.92775,3.963,395.4,8.457655,423.675,0.2494175,1.95549,-1.618325,1.462,0.23584175,-1.32675,0.5405905,0.51463425,2.008,4.2625,4.3395,5.038,5.909,5.3285,1.969,-3.0015,-0.12935,0,2.34,0.0832725,0.08489,1.567,0,0.6182,21.2875,8e-04,4.7732,4.89785,5.153275,5.85095,6.4693,100.74,7.10425,2.215,330.175,333.2295,100,423.4865,-2.08163,1.802035,0.7041515,0.689995,0.358907,0.5675425,0.415718,-0.5143435,0,0,1.51738,-2.9532075,-0.90234675,3.8546
1,6.75,4.45275,95.5525,3.8625,4.203,4.2326,4.283675,4.50725,4.27395,-0.4679025,-1.3853,-2.822925,-1.3011,-2.114,-1.5385,3.98975,3.92325,3.95425,395.575,8.421545,422.925,0.2495115,1.934,-1.150575,1.60073,0.21211575,-1.54725,0.5108,0.490169,2.0845,4.413,4.53025,4.9745,5.9355,5.453,1.8575,-1.71575,-0.1511,0,2.34,0.064895,0.06892,1.559,0,0.62015,21.2875,0.001618,4.779425,4.902075,5.1548,5.8507,6.4765,100.72125,7.081165,2.1505,330.4,333.5,100,423.5475,-2.08277,1.79808,0.6945765,0.6769815,0.347672,0.5327105,0.388818,-0.472908,0,0,1.48144,-2.8610375,-0.87865225,3.925605
1,7.25,4.4648,95.3725,3.93,4.284,4.230025,4.285825,4.4815,4.283375,-0.467605,-1.414,-2.810925,-1.299,-2.13475,-1.5759,4.0025,3.94325,3.97075,395.35,8.41193,423.525,0.236581,1.71255,-1.449,1.50054,0.2155485,-1.54275,0.70713675,0.635894,2.20225,4.402,4.51575,5.048,6,5.4145,1.786,-1.24575,-0.00202,0,2.34,0.10045,0.1058,1.46575,0,0.6263,21.2875,0.001618,4.7681,4.9112,5.156125,5.846775,6.476925,100.7335,7.1144075,2.047,330.169,333.3065,100,423.4725,-1.99402,1.76476,0.7151405,0.71005275,0.3530765,0.51192734325,0.3998525,-0.4721915,0,0,1.392625,-2.768635,-0.78366325,3.8672875
1,7.75,4.4803,95.415,3.792,4.287,4.20605,4.2767,4.46975,4.275775,-0.48318,-1.4491,-2.75415,-1.3554,-2.099075,-1.58185,4.038,3.98975,3.99625,395.1,8.3553,422.975,0.238207,2.072515,-1.55471,1.5485,0.16515475,-1.472,0.7159,0.6993,2.0615,4.365,4.49525,5.1115,5.9355,5.344,1.92675,-2.71375,0.0520725,0.0117675,2.6475,0.1159,0.3721,1.56325,0.551225,1.39675,44.8975,0.09702,4.761525,4.9165,5.15235,5.847675,6.473425,100.76,7.056805,2.2115,330.35475,333.5,100,423.02975,-1.9930475,1.760855,0.685751,0.689957,0.3231395,0.507691,0.429378,-0.53113275,0.0809778,0.0897575,1.511635,-2.8606925,-0.78367225,3.84197
1,8.25,4.434575,95.6,3.6515,4.0675,4.19395,4.26375,4.4625,4.262,-0.4872,-1.448,-2.7105,-1.3311,-2.1148,-1.56535,3.98075,3.98775,4.015,394.95,8.4191725,421.825,0.24550375,2.1021725,-1.492105,1.51116,0.07893655,-1.4155,0.888,1.622,1.69825,4.262,4.413,5.091,6.025,5.304,1.897,-1.6775,2.04025,4.165,7.6335,1.24,6.426,3.0395,11.83,12.855,24.0375,1.018,4.764925,4.906925,5.142725,5.84265,6.472925,100.755,6.97,2.0445,330.1,333.424,100,423.056,-2.04004,1.691715,0.695605,0.711124,0.34413925,0.534654641,0.38392,1.384625,13.427375,6.625,2.40896,-2.7911225,-0.783665,3.8507775
1,8.75,4.4485,95.55,3.7855,4.3645,4.219175,4.2514,4.45175,4.25765,-0.42732,-1.39945,-2.783,-1.336,-2.14,-1.434125,4.054,4.00275,4.02375,394.35,8.4350925,421.125,0.238454,2.54372,-0.612125,1.20898,-0.0020201975,-1.24325,1.513525,3.95878,1.25925,4.179,4.484,5.1015,5.994,5.4505,1.8,3.05475,8.34325,22.545,21.6725,6.95575,33.2875,7.83725,45.8425,56.1,53.33,4.18086,4.7612,4.88855,5.13905,5.8462,6.47245,100.76275,7.097,1.95875,330.855,334.144,100,422.467,-2.061565,1.5891675,0.72561175,0.6868245,0.3671815,0.557888,0.36845375,10.04425,57.634,30.4365,5.3117,-2.860545,-0.759879,3.904565
1,9.25,4.598,95.675,4.1835,4.673,4.2476,4.26745,4.45275,4.2577,-0.37715,-1.42825,-2.7739,-1.322,-2.136,-1.273,4.099,4.03025,4.03325,393.75,8.469495,420.15,0.274172,3.992955,-0.8840825,0.917878,-0.0315501,-0.171675,1.96718,6.19569,1.1045,4.241,4.61775,5.302,6.0975,5.346,1.603,17.5575,20.76,58.2525,47.56,15.1275,63.32,15.8925,95.4875,114.325,86.9125,9.072155,4.762225,4.890475,5.141825,5.853725,6.4855,100.7845,7.1649475,1.799,330.95,335.111,100,422.1845,-1.68321,1.6245775,0.746356,0.73565925,0.39310025,0.586485,0.35700325,25.1865,111.635,59.7885,9.37325,-2.7918975,-0.66487875,4.062655
1,9.75,4.82095,95.42,4.57,5.1715,4.327425,4.320825,4.448,4.2825,-0.2767,-1.3209,-2.6515,-1.2384,-2.0057,-0.837505,4.4355,4.1985,4.18875,393,8.58368,418,0.2761115,8.93203,2.964255,0.6547905,-0.036001425,0.91365,2.2892,7.36435,0.979225,4.5235,5.12425,5.5595,6,5.46825,1.535,37.2975,41.365,83.3075,86.3,22.9925,96.5625,20.8475,160.2,177.275,120.6,14.89475,4.7461,4.89265,5.142775,5.87315,6.513925,100.783,7.24451,1.66,332.0395,336.54125,100,421.671,-1.082305,1.5433025,0.760487,0.726719,0.3765405,0.61920395,0.324371,50.655025,188.3125,100.605,13.5236,-2.76899,-0.759855,4.2134025
