DOY2,HR2,TAU,H,LE,FC,SH,SLE,SC,CO2,H2O,T_SONIC,WS_1_2_1,USTAR,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,CO2_SIGMA,H2O_SIGMA,G,NETRAD,PA,RH,SW_IN,TA,TS_1_1_1,TS_1_2_1
4,13.25,-0.0303917474122341,220.466675576311,126.805707703288,-1.14433006918666,1.08954625977604,0.308735843780125,0.0131265547553992,407.726268653511,10.0380456802995,22.4710221600003,3.78059717727965,0.374153630817972,1.2782231539346,1.4152426417837,0.413524932870064,1.01265557172869,1.77451782988067,0.45281381336773,80.376946,502.393443333333,100.531823333333,37.119788,0,21.2075206666667,30.5850556666667,26.6574531666667
4,13.75,-0.0404866121700526,206.078807289972,123.759345727521,-0.813459139955842,0.97303292420871,0.31427053591566,0.00167232012137983,407.591810027933,9.97958946295508,22.729655406528,3.58618394275987,0.369231598722078,1.4336837310266,1.33017137803027,0.39281242969917,0.980738857288828,1.7014220432258,0.483618258156349,77.0108036666667,482.421293333333,100.54985,34.7503643333333,0,21.9652633333333,31.3716126666667,27.7146188333333
4,14.25,-0.0480244833725678,195.93829058812,124.143638268986,-0.983123110187736,0.743533083934183,0.273220568286064,0.00760964592602789,407.310093768309,10.0147394574779,23.3146048965454,3.99185817162851,0.405709362933384,1.38018611789393,1.39369370512618,0.437450919050338,0.920544432685979,1.58833645392054,0.486276399367956,74.1629696666667,445.994616666667,100.525873333333,34.043359,0,22.3873986666667,31.877032,28.5495205
4,14.75,-0.0410243915723406,172.449393288527,120.937613411633,-0.940819627560579,0.630697469544842,0.23425030743658,0.0133182272419036,406.816291372655,9.87310521106017,23.2935300860935,4.23410312866083,0.395403028066658,1.4378806779143,1.24721535625573,0.442313625900041,0.868209114864045,1.54699745946615,0.468784502689791,70.7089883333333,397.43703,100.50285,33.2923503333333,0,22.4146433333333,32.1464463333333,29.1989448333333
4,15.25,-0.0419277105412631,158.895873133929,115.200295755868,-1.10890556598047,0.485776207092559,0.349548567023577,0.00449608859676201,406.765016778816,9.89893636306081,23.491223027971,4.2640503669223,0.380899791964074,1.3253793647308,1.30495823711033,0.427509131239531,0.775877571255277,1.4257171425155,0.423799176184738,64.8334616666667,344.02021,100.493076666667,33.4996816666667,0,22.5801923333333,32.2653896666667,29.6555458333333
4,15.75,-0.035834449309909,116.07136542668,105.019840468712,-0.756858651138307,0.300001736954833,0.401382310536763,0.00166425485196153,406.726774482067,10.2350130746454,23.171603585985,3.91572178690443,0.367728183690671,1.28079888540564,1.24109218931868,0.406465208895514,0.683281611748281,1.29660581984919,0.39945521631762,59.4960093333334,279.34499,100.476836666667,34.7306636666667,0,22.347714,31.835936,29.6997688333333
4,16.25,-0.0377070014745415,91.6816057135209,91.2633468224829,-0.586434922155659,0.0922797742439101,0.563554409761905,0.00367441069460399,406.305387403302,10.305658398257,23.1102410354615,4.45828410050388,0.390367782234006,1.21787154405271,1.10536516179008,0.437453161666433,0.560168200070757,1.20431402260915,0.423325015075219,49.0434453333333,216.56571,100.435226666667,33.467271,0,22.097926,31.03249,29.6184378333333
4,16.75,-0.0257978796332615,60.9585664093477,70.1118027712854,-0.561928052008123,-0.145062132549825,0.778203840168491,-0.00145087094789913,405.906244154176,10.517676815315,23.0070359666613,4.3913193342846,0.403406419731726,1.22590294178428,1.06288737247643,0.43611933157433,0.415902288406298,0.957184151878184,0.378900672902633,37.4695126666667,146.40857,100.42232,37.4875443333333,0,21.934801,30.2163556666667,29.2422958333333
4,17.25,-0.0196381906225214,31.4452858307375,59.8235249464281,-0.313875690734743,-0.389637399727213,0.870908474850323,0.00656586701101694,405.719393357315,10.6400878948527,22.4153909623888,4.51916246844029,0.380947127595894,1.12202283663341,0.993018427354312,0.44413882953466,0.396000895706326,0.863904177139284,0.390685662320818,26.846637,85.54762,100.415126666667,37.2725976666667,0,21.1561503333333,29.02003,28.7102176666667
4,17.75,-0.00952586673993235,8.11890228555998,42.1093538238893,-0.00790587642377777,-0.956559973227509,1.46424039396165,0.0166598562905488,405.853939056095,11.14481608626,20.9626829223635,4.41463682789911,0.388820679799575,1.14897326684779,0.817568076293703,0.450930217392608,0.495310228210637,0.818973448166963,0.369509524528846,14.7802149666667,19.89561171,100.37752,40.9665376666667,0,20.1204266666667,27.4089886666667,27.9763061666667
4,18.25,-0.00854560046113869,-6.29289298462193,37.4772597537967,0.653337110747955,-1.46361302173184,1.10263975016991,0.0667515841105369,406.082791906661,11.2131770407653,19.1510781368679,3.69136873285097,0.322605655326094,1.14417388256172,0.807873678819001,0.372979375305368,0.663663472312641,1.32613110129404,0.320431389438619,3.09389370033333,-27.4532466666667,100.37452,45.7266816666667,0,18.639065,25.965507,27.2712123333333
4,18.75,-0.00614744108864117,-8.16051319392104,34.6003132381834,1.13772117609676,-1.73100720105698,1.07261829094802,0.13192634859867,406.460556424905,11.529828671998,17.7384484363134,3.32276131140728,0.282590206972612,0.946678123970565,0.761918740298664,0.337309256502133,0.840518229377345,2.25754779540621,0.30517848493269,-3.59850687666667,-45.7412666666667,100.350993333333,50.4284043333333,0,16.6527336666667,24.566033,26.400745
4,19.25,-0.00933923924758486,-6.99038257339259,27.5683492401861,1.50685551445642,-1.0705935833848,0.697389362650649,0.153232923145762,407.636111711403,11.5642117033381,16.5977978320653,2.79669255126008,0.262019964296035,0.867636186562081,0.663359949056879,0.30316198896976,0.764083431035568,2.39842974417745,0.223034548055834,-8.4614457,-47.2445333333333,100.41012,56.0919136666667,0,15.2661563333333,23.0152986666667,25.360146
4,19.75,-0.00738013556398747,-7.84008963675814,25.7075353872782,1.52566140487707,-0.719055864454338,0.473861065818782,0.186938301264307,408.596906330386,11.4450598100831,15.5726850886875,3.33075211638883,0.269813072894119,0.921993832882999,0.707953749557534,0.305088804918611,0.730061025571904,3.08604424027157,0.260266693842161,-12.6759483333333,-46.433488,100.427946666667,61.2608343333333,0,14.419191,21.466409,24.176712
4,20.25,-0.00825332029762102,-11.8459408040596,23.1883060140928,1.87170612170944,-0.333347415286232,0.351593661833502,0.187923631063709,408.818925259424,11.3166936304147,14.7598679101733,3.10453686512795,0.269932430660606,0.981764238148962,0.69673844340406,0.321565236782597,0.685690424571025,3.88355088623491,0.259985057555439,-15.609951,-43.8758013333333,100.427456666667,62.464227,0,13.590966,20.0724393333333,23.045764
