DOY2,HR2,USTAR_1_2_1,WS_1_2_1,FC_1_2_1,H_1_2_1,LE_1_2_1,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,SH_1_1_1,SLE_1_1_1,SC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,TA_1_1_1,PA_1_1_1,RH_1_1_1,VPD_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,CO2_SIGMA_1_1_1,H2O_SIGMA_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1
5,14.75,0.786,2.662,-7.09375,242.3705,246.8285,-0.254121,227.282,231.816,-5.212145,6.395505,8.65331,0.0546521,2.83179,0.777776,29.6932,27.7642,100.182,63.0637,20.7663,346.3215,21.0933,1.67985,1.40937,0.860767,0.550943,0.0549851,0.443181261,838.306525,82.5167875
5,15.25,0.75275,2.666,-6.19925,227.0405,232.57275,-0.236614,194.63,212.943,-4.878845,4.35682,9.53455,0.08467375,2.75728,0.77279,29.6895,27.8562,100.159,66.4471,20.93265,346.1495,21.41425,1.60279,1.36549,0.841302,0.468567,0.050969375,0.422742212,764.773275,74.7968075
5,15.75,0.7805,2.6335,-5.04025,189.78425,210.26975,-0.236495,162.468,193.657,-3.7573325,3.38753,8.4124125,0.17926975,2.71668,0.739305,29.7187,27.6672,100.163,65.93895,20.994775,345.731,21.60515,1.53167,1.29405,0.815684,0.425378,0.047689225,0.42378525875,677.24735,69.97973
5,16.25,0.777,2.439,-4.249,167.066,200.123,-0.224238,116.479,176.1865,-3.05743,1.33396,9.56046,0.2373815,2.76953,0.732675,29.4371,27.6379,100.144,67.79575,21.30945,345.526,21.85575,1.4971,1.23452,0.791159,0.357623,0.04338575,0.4152734855,575.19305,59.26613
5,16.75,0.76125,2.522,-3.67075,116.70675,179.97825,-0.184461,68.7083,148.666,-2.005595,0.258089,11.3656,0.130899,2.57872,0.669126,29.2719,27.5345,100.137,70.0255,20.5795,345.5985,21.9397,1.43112,1.14784,0.746477,0.274275,0.03593005,0.373313711,477.0908,52.47932
5,17.25,0.675,2.395,-2.142,77.415,157.267,-0.1425905,29.163575,124.337,-0.991048,-1.6734,11.6197,0.22436,2.4730825,0.67041525,29.041425,27.34905,100.13425,66.9691,20.0111,345.599,21.6464,1.3682425,1.024615,0.722812,0.20810125,0.0335,0.351540348,367.8573,42.15424
5,17.75,0.6545,2.15225,0.04825,29.17575,129.79875,-0.102176,-0.856133,78.4539,0.071421875,-4.29453,12.4073,0.235508,2.2139,0.585466,28.633,26.8539,100.144,72.7044,18.5157,345.833,21.82,1.15786,0.896894,0.629464,0.221439,0.029885,0.323676723,251.5608,31.91682
5,18.25,0.5345,1.9085,0.364,1.46625,79.142,-0.03825025,-8.77544,40.106,0.844693,-5.93801,12.568575,0.46541475,1.969625,0.47461275,27.858175,26.15125,100.162,74.58485,17.197625,346.392,22.309175,1.018775,0.808339,0.53644175,0.3059735,0.0343,0.2923295315,145.7786,19.91145
5,18.75,0.5295,1.89125,1.01475,-8.50425,42.7265,-0.01873955,-6.68549,21.45285,1.7677,-6.8987725,10.99585,0.9597095,1.7744025,0.38994675,27.1309,25.362475,100.17625,77.53195,15.50525,347.628,22.36765,0.79756325,0.656717,0.43614125,0.36070825,0.0458872,0.1915770175,59.20508,9.3358005
5,19.25,0.381,1.5765,2.199,-13.0005,22.109,-0.0166876,-8.5789875,12.8797,2.471545,-8.0938825,8.93942,1.27005,1.78823,0.36398775,26.259875,24.51605,100.1895,79.4739,13.4681,349.08825,23.1007,0.79254925,0.64961325,0.43280775,0.357255,0.057448,0.222368899,8.60426125,1.9049145
